ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;18629.766666666666;0.36096433279935614;0.24411034342420937;0.28637413633094705;0.504239804200797;0.11603014677315505;0.08065752741401194;0.09358248756579454;0.7859920337255379;0.5240552397284485;0.5431349080763249;0.6164221386202571;0.46661322038737507;0.36588704311219816;0.18493855522418504;0.34844822438843975;0.13630254171688821;0.669689321329513;0.7059994011058776;0.5375938454662109;0.43869813790776885;0.1139579301453492;0.34844822438843975;0.13630254171688821;0.5987086962506771
100;17235.116666666665;0.326042692082569;0.22601959267014776;0.26136281729800426;0.4951388104272345;0.10513272333354691;0.07382344355896882;0.08490730491104731;0.7795179955238513;0.4879131209843614;0.5077609503866823;0.6063247963315148;0.4178343223118059;0.331958911633127;0.18559737712252042;0.39656830056567377;0.114166406256357;0.6963320839445509;0.7047031397323951;0.4886319353402861;0.40464391335810873;0.11479976409404016;0.39656830056567377;0.114166406256357;0.6255344709160708
150;19078.166666666668;0.32930435407359593;0.2358731595807343;0.26982172777587166;0.493874611193799;0.09905177419859115;0.0728153803371367;0.082386031359601;0.7901461690997622;0.49951747176948297;0.4990388474546113;0.5806479321675851;0.4485771438443823;0.3427426229181496;0.21107383014663733;0.34034902600898037;0.15203358889287066;0.7034564450484883;0.6801638084753231;0.5299007915941;0.42312204254246605;0.1297501823969196;0.34034902600898037;0.15203358889287066;0.6221327972987704
200;17258.616666666665;0.32324111075352574;0.2330207818843631;0.2653258705834463;0.489285957122215;0.09877345248164866;0.07199035727112614;0.08161125986354274;0.7813548313108689;0.4823531029663327;0.4961718416454375;0.5980212302176465;0.4132119029534987;0.32657962177987926;0.19182402114565555;0.3949640759008458;0.1156388229167773;0.7024269199632786;0.6997174192372488;0.4871157942812774;0.4018790316258818;0.11792012981787683;0.3949640759008458;0.1156388229167773;0.6285230286355
250;17485.766666666666;0.30193903472549005;0.22832337899569677;0.2550978443773069;0.48675176803392467;0.09231821209533135;0.07052867319641713;0.07845492106545711;0.7774615494587429;0.4799261696154874;0.4893293479610467;0.592571921724869;0.4120699745514066;0.3242283352821481;0.1965557425856952;0.39137428286289827;0.11760594831418832;0.7055359737627818;0.6946512175754761;0.4866174885090645;0.39978387846292496;0.1220082286280372;0.39137428286289827;0.11760594831418832;0.6309884598051239
300;19459.7;0.32619281135026756;0.25202741292770536;0.27939460630218055;0.4874235059345894;0.09522407635764367;0.07529271109611571;0.08261097911709474;0.7821951672266965;0.4983286446016538;0.48945142838646133;0.5721569920203624;0.45177675969420394;0.3414036316984401;0.21944049904178733;0.3287827412640087;0.16049683718429592;0.708720077490092;0.6747343953181012;0.5376628026913137;0.42558933560876416;0.13355445604467758;0.3287827412640087;0.16049683718429592;0.6228340344929822
350;16979.833333333332;0.28263889451297114;0.22480517734254707;0.24512678643203714;0.47860078085021573;0.08464987879827308;0.06762314593379745;0.0736155715637686;0.7727361329908128;0.46585760791410846;0.4754426440810553;0.5861903306862241;0.3949525004246332;0.3118878643339486;0.19715181816883226;0.40789568140653454;0.11571885391279399;0.7207663534881609;0.6908876746727004;0.47008923396496555;0.38724823848977924;0.12201508462849991;0.40789568140653454;0.11571885391279399;0.6456296199478284
400;15920.333333333334;0.3089647416157245;0.2243877924340851;0.25417213045878584;0.48130147718358196;0.09291860918927948;0.06819311031257;0.07694022354811272;0.7729525695122156;0.45866241899368715;0.47830589016039693;0.6012463383418194;0.3793748371401973;0.30566897934823295;0.1833370082984623;0.4372881545613404;0.09673529197456586;0.7173604548343686;0.7061225842625468;0.44924101946110107;0.3770444630820801;0.11347082597755866;0.4372881545613404;0.09673529197456586;0.6474942725134648
450;16377.616666666667;0.2824697748441442;0.21294692422614514;0.23737951393366377;0.47744479355459635;0.08479910312384598;0.06439789505148263;0.071581806072137;0.7709180122949562;0.46004222677848655;0.4737704728357886;0.5923878184067672;0.38432160102694307;0.3070315757217024;0.19027123788602557;0.42540716108703136;0.1031510441435566;0.7188294431166135;0.6982982693767593;0.45687997179779766;0.3806126524068389;0.11771286711517101;0.42540716108703136;0.1031510441435566;0.6462710723457588
500;17744.616666666665;0.27132413349613227;0.2333912296420058;0.2457879565092121;0.4759466383750029;0.08035744170999641;0.06911146092204803;0.07277243230658456;0.7741493604817431;0.46460771180175026;0.4624426264081333;0.5689040632029145;0.4015161135448754;0.31057976827317574;0.21140350160811322;0.3870803848470114;0.13150787620021187;0.7299917626553365;0.6740309440478771;0.48064649713815444;0.3884852010061684;0.1322731180148342;0.3870803848470114;0.13150787620021187;0.6508613790620575
550;17957.416666666668;0.3033630848680907;0.24144108476509749;0.2636402172678067;0.48245852809653655;0.09070914029512703;0.07307043824293083;0.07935570616057075;0.7773953891263408;0.47967590079612077;0.47758405476674953;0.5821072673082222;0.4175140100197513;0.3241361044517009;0.20672393162535455;0.3757620583548942;0.13062938125392878;0.7131153712341776;0.6871174219403163;0.4978000425712042;0.4039066766053974;0.12643789907390174;0.3757620583548942;0.13062938125392878;0.6328293386827245
600;16839.65;0.286008375986503;0.22576366313831223;0.24728795747420287;0.47861054600178454;0.08567209027175303;0.06781115419656732;0.07422877021672411;0.7713678397566941;0.46574475439994256;0.47327999496180745;0.5911815251186449;0.39278477627141317;0.3114505676369807;0.19398054943384296;0.4132346742947438;0.11056344210411759;0.7177786658327042;0.6969766263368306;0.46774580268454297;0.38709416759916265;0.1190195230207131;0.4132346742947438;0.11056344210411759;0.6428176394195746
650;16239.3;0.2589957420428533;0.21428552155508268;0.22909150857674432;0.4690168225719163;0.07616169220253305;0.06229647331004019;0.06697365917234843;0.7664445760634373;0.44836061476180067;0.4592977100988462;0.5836440606499226;0.371933610141463;0.2963029079363913;0.19333932820305408;0.43472706165548297;0.10396763957006468;0.7320340294286016;0.6912128888892838;0.44537181037027723;0.3699089023912448;0.11990112797423981;0.43472706165548297;0.10396763957006468;0.6585958291997875
700;17603.666666666668;0.2694529802350822;0.23869706267820634;0.24783151438820497;0.47404212104274657;0.08040715324316042;0.07087976577721464;0.07377833152442186;0.7675607387547483;0.46564233195035387;0.46292401119321164;0.5722048552387846;0.40145948961735173;0.311568827357995;0.2101836969850282;0.3883568133976202;0.1274863222743513;0.7260268326569995;0.680106996264843;0.48245743738550906;0.39161745509025975;0.12918574921687084;0.3883568133976202;0.1274863222743513;0.6450288848888424
750;17108.3;0.2412321202272781;0.19447159083677662;0.21083334142323448;0.4644922887133045;0.06844632474134395;0.05529359333770411;0.059937677824938175;0.7660755877345603;0.45334068875317424;0.45137393597411984;0.5690906636646189;0.3855726163923249;0.3010176010729845;0.20826097894570936;0.40616640466196563;0.12211438417535327;0.7365417677830284;0.6775005738261287;0.4645416200705162;0.3785286081502789;0.12929197526751826;0.40616640466196563;0.12211438417535327;0.6575727641048371
800;16169.183333333332;0.29095665832884077;0.22062639898509934;0.24551894288035023;0.4787591520358589;0.08673911524870086;0.06595046066635944;0.07331858843690466;0.7733088070031755;0.4566263091288095;0.46894965422232854;0.5933870484760775;0.3796746763159955;0.3035078524118996;0.18928614210388486;0.4310391815801197;0.10240834674831617;0.7227336704323207;0.7016594436569146;0.4534525188305755;0.37830880936654765;0.11550829958930481;0.4310391815801197;0.10240834674831617;0.6489558279177405
850;17358.683333333334;0.26443047490474897;0.23083269319077987;0.24122832354309606;0.4763008282061569;0.08081365768174369;0.07031169809917236;0.07361236791233068;0.7679692763716319;0.46682179175659777;0.4659896252848827;0.579598849750774;0.3995634976849487;0.31273531948406574;0.20364129255875657;0.3967952097562948;0.12109534620161815;0.7215318485166695;0.6865204963168485;0.4779889764696676;0.3910047264337975;0.1252158137740377;0.3967952097562948;0.12109534620161815;0.6431063697319507
900;17989.75;0.23731465455865713;0.2217566199691596;0.22427690334610978;0.47543765124328635;0.07269612576751767;0.06757734653156756;0.06849259748965114;0.766167432466091;0.46186109347358684;0.45142375100170556;0.5604287078226433;0.4009049598985633;0.3087282216074694;0.21978504272301738;0.3793099973784193;0.13199104192204447;0.7310860820234812;0.6706016384424714;0.48463019087712594;0.3909573111234488;0.1360598117444547;0.3793099973784193;0.13199104192204447;0.6473608510449186
950;15477.833333333334;0.254859356019714;0.19948899157096117;0.21882875882948813;0.46799629648022084;0.07469307656149957;0.0585009205678889;0.06416545824415744;0.766689638971802;0.4447218054116293;0.46197772856586705;0.5967456874245407;0.36299812098680373;0.2933696706332643;0.1812303770321308;0.4557715019810655;0.09466924017998249;0.7316711191931788;0.7022082442245352;0.4317057083182269;0.3629557771824278;0.11252278970070755;0.4557715019810655;0.09466924017998249;0.6629635318617556
