ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;17981.383333333335;0.3715605036900356;0.2293531189547641;0.27889915297091933;0.5041277601483048;0.1133115730300607;0.07206101805990703;0.08659547683459337;0.7933710639442003;0.5137812225721046;0.540946173656237;0.6241807539507909;0.4486805545452016;0.3560550135207067;0.17680786952242514;0.3745115759323732;0.124437608873165;0.6757570543279635;0.7126764389925182;0.5154395035000113;0.4249414009383892;0.11004892056761545;0.3745115759323732;0.124437608873165;0.6089981053731537
100;18129.483333333334;0.3547415518925927;0.23435401799831357;0.27746991181128017;0.501043497895918;0.1111261284547158;0.07545228867660153;0.08837476488513446;0.7833449409524588;0.5118762506059871;0.5372676363425045;0.619789363809925;0.44668026220964585;0.354083463219963;0.1786559266602978;0.3746638111300565;0.12512513311525017;0.6784448709056045;0.7084144690019354;0.5133538787412538;0.42283144503953024;0.11198231012868984;0.3746638111300565;0.12512513311525017;0.6117712543739965
150;19646.033333333333;0.34231174843485385;0.2614913801610609;0.2919216711920874;0.49796153297891915;0.10549717279481029;0.08226777576260218;0.0910205658394683;0.7777549077998389;0.5143579957549128;0.5223189863871448;0.5901730698049367;0.4663044196363167;0.3557935411014874;0.20326633063883126;0.3304292497248521;0.157621166269693;0.6913167466333764;0.6827459115952296;0.5429567786798193;0.4324770303609007;0.12661397159532864;0.3304292497248521;0.157621166269693;0.6146643875898737
200;17137.316666666666;0.32793219545156493;0.23575110499079593;0.2694591234218087;0.4948560599914635;0.1054004006135256;0.07690539938176581;0.08737764049944424;0.7721762902496938;0.4862542923883293;0.5113509856396259;0.6120724601142091;0.4124164319500867;0.3296559995412049;0.18151025319004047;0.4060733148598727;0.10927816275548981;0.6968617308054029;0.7075504921606213;0.4798370151641937;0.3991141752053173;0.11408966997593355;0.4060733148598727;0.10927816275548981;0.6294411475912961
250;17356.433333333334;0.3207374298052232;0.23907248487637625;0.2691426027288322;0.4975829042429147;0.10267125825172517;0.07740954266201491;0.08671522788518497;0.7769372096674997;0.4859691686583485;0.5066476492845006;0.6061709402132707;0.41444745538371863;0.3292185224619394;0.18626667845453737;0.39928586616174394;0.11361460986794536;0.6991671544842268;0.7026292312553772;0.4836683979638858;0.40012820233882734;0.11704573587437034;0.39928586616174394;0.11361460986794536;0.6299462119040596
300;16861.5;0.30581732682787016;0.22777657580310479;0.2564106648062296;0.4901133605452583;0.09611278015290016;0.07237936955358103;0.08111215294114783;0.7686921392958456;0.47602129172382207;0.49828221136301626;0.605640183905403;0.4004181276127376;0.3204147414282857;0.18422863933075154;0.4153532330565109;0.10467420950508585;0.7042560818923482;0.7034656660690756;0.46812448057414446;0.38997183877235064;0.11652228636934461;0.4153532330565109;0.10467420950508585;0.6365497289309414
350;16001.783333333333;0.31673943713595076;0.23247047164270418;0.26307475063989966;0.4827105318809666;0.09621470097517099;0.07135794998010674;0.08042013191724443;0.7718065829120787;0.46440510356058645;0.4920767349321752;0.6101177384984208;0.38389415179510655;0.31000995009672444;0.17750348226780732;0.4386023659370861;0.09619927820740223;0.7123051264122957;0.708685995039105;0.4487923099640707;0.37686465527657803;0.11260532409884313;0.4386023659370861;0.09619927820740223;0.6474069682433315
400;16381.016666666666;0.3142324498604198;0.23831486019008355;0.26591477159560273;0.48407111038576184;0.09543121283246139;0.0731411344225797;0.0812934169116912;0.7715142397454847;0.46732516469544305;0.4883209682982875;0.6044138821094859;0.38950991346884045;0.3125501080899317;0.18249233873051893;0.4279977478006407;0.10006243367772037;0.7105525202088799;0.7036665459816728;0.4565086054481957;0.3813443141338887;0.11549364675116366;0.4279977478006407;0.10006243367772037;0.6435538282295248
450;16263.5;0.29822911564443827;0.23622958980670947;0.25878073211786495;0.48478657097762523;0.09414061820237227;0.07457722157652459;0.08170396420787353;0.7659253068071464;0.4635380531636949;0.4853564570915047;0.6047822043493155;0.3836599070121985;0.3088536236858684;0.18170792648501286;0.43463216650278874;0.09670798134907774;0.7130480743368792;0.7044413479763246;0.45000417119814623;0.3770448793011975;0.11536366229906513;0.43463216650278874;0.09670798134907774;0.6467038101509317
500;16005.233333333334;0.29090706447221176;0.22876239120895067;0.2511572775563826;0.4812176522117601;0.09150594748642676;0.07218432567741559;0.07916577655229698;0.7644565457738389;0.4569392235019047;0.4795949237748881;0.6034690476509729;0.37536610908380424;0.3033554228919872;0.1804160575789992;0.44421783333719655;0.0923377337595423;0.716971624675738;0.7040912083141794;0.44086477169468163;0.3707205031899542;0.11491739496812174;0.44421783333719655;0.0923377337595423;0.6514729620648606
550;16196.316666666668;0.2739950904921037;0.2239918492221718;0.24177141679925046;0.4792943453814534;0.08611861818031667;0.07054044197677228;0.0761018287718797;0.7604301591176031;0.4584851085700984;0.478458685661415;0.6010643822750076;0.3780912359601559;0.30473858193039155;0.181231729737119;0.4406770343027251;0.09511570155583433;0.7170244655956785;0.7011575172763133;0.44374403563686404;0.3722884555575947;0.1155789300604108;0.4406770343027251;0.09511570155583433;0.6513716659189704
600;15402.316666666668;0.278752330552498;0.22460841095432313;0.2438601144430414;0.47554331685354484;0.0872188434700932;0.07016460485268146;0.07625090376592006;0.7600947962048383;0.44776565235884225;0.47637815891086743;0.6073438979478306;0.3619662296468974;0.29527992320490287;0.1736879441663498;0.46434582618675285;0.08558214293137888;0.7236159132844815;0.7076077324500805;0.4247127149522793;0.36001738318096693;0.11094145886096786;0.46434582618675285;0.08558214293137888;0.6608694279790994
650;15994.3;0.2858710578930332;0.23730331889943027;0.25458236278951246;0.48087613496545484;0.08959716534359788;0.0741180748360786;0.07966064492180767;0.7659250390966457;0.45170993703680096;0.46881102325466084;0.595947264176045;0.3711206548361931;0.2986133306148597;0.18617653947862323;0.4427028056851838;0.09397608624683301;0.72285543141064;0.6995621760737543;0.43909772289318594;0.3680286710391906;0.11819947142163037;0.4427028056851838;0.09397608624683301;0.6548783633536471
700;15511.833333333334;0.28010450113775687;0.22557473996285535;0.24465691306492335;0.47553231607718266;0.0844916239015073;0.06840793397733208;0.07404024490080457;0.7608658910274572;0.4462515718331146;0.47036649313022844;0.6011063431669463;0.36232300204056767;0.29415085699203497;0.17733929659085243;0.46033770136858;0.08720681146203105;0.7248838094214634;0.7037704551393448;0.42697062261086927;0.3606957835570689;0.11269167602055093;0.46033770136858;0.08720681146203105;0.6602361888511618
750;16292.033333333333;0.2725194863014474;0.23185781836952243;0.24589866115003375;0.4779835145950827;0.08480714784579806;0.0720972617009801;0.07648412258692047;0.7610773493137891;0.4540102330457582;0.4681226786469026;0.5913141262439171;0.37597019321449276;0.3006754662768547;0.18903271548439624;0.43499709130111114;0.09929015023022059;0.7233199570157279;0.6942140118533409;0.44468347993531115;0.37059875861895575;0.12031942876357782;0.43499709130111114;0.09929015023022059;0.6546066702949094
800;14492.783333333333;0.29279457294939365;0.2200011270956543;0.24572337879358125;0.4778059687627797;0.09096502149916418;0.06843647814208861;0.07641682902767943;0.7632885441302513;0.43508249195636434;0.4750060482349517;0.6160712005874981;0.3432182290506352;0.2844498185367485;0.16321890335798248;0.49356286759138235;0.07187019505765457;0.7286519660070193;0.7188718529539425;0.40299815357150504;0.34697445801875154;0.10343897883711271;0.49356286759138235;0.07187019505765457;0.6688720414861495
850;14700.75;0.2663377122235879;0.205528693150456;0.22703598340734382;0.4682855034815863;0.07974660894535958;0.061393141224457985;0.06788425100085872;0.755424704685468;0.43021938170694757;0.4623123131414391;0.604666690883866;0.340746893816129;0.28054857896207147;0.17067457819265583;0.4885785279912152;0.0749306774197419;0.7341837836036127;0.7103239953406938;0.4030887323577465;0.34505830224883466;0.10833273965103844;0.4885785279912152;0.0749306774197419;0.6718419450619953
