ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1416.0;0.7503915152384583;0.7229214906005581;0.7260873102245841;0.7449210149891585;0.5110548140061025;0.5129208089514822;0.5081167452565036;0.8914366090616045;0.8481363555725527;0.9092346318233735;0.8649829250353768;0.8379716392064394;0.7401060835142644;0.03318296490208578;0.1288453958914747;0.10258450482985632;0.2646128656234168;0.8717194515921167;0.843870895357957;0.7490351069601767;0.02728370875056828;0.1288453958914747;0.10258450482985632;0.2587136094718993
100;1428.888888888889;0.7268349203002142;0.7171276207739806;0.7111023396627592;0.7508658649445067;0.5100709642797577;0.5232077176415352;0.512250936998874;0.8919353606594722;0.8516629072505819;0.9114893865739848;0.8626219601468542;0.8469338636660284;0.745211233847245;0.03457554576653011;0.1184905905674416;0.1060360400865892;0.25910217642056094;0.8690694404116797;0.8528025491520432;0.7540121261119987;0.028706860280515098;0.1184905905674416;0.1060360400865892;0.2532334909345459
150;1422.0833333333333;0.7102932647074041;0.7288178860385358;0.7085380757265707;0.753635468609401;0.5029816768630504;0.5348082104408429;0.5137322573089702;0.891295308703039;0.8527560983511248;0.91102439096502;0.8623061669682666;0.8493699141010577;0.7467499074692207;0.034012536603789646;0.11661754929515279;0.10739581835407591;0.25802590425301836;0.8689856008781326;0.8554255668493799;0.7558885086841476;0.027956883855467393;0.11661754929515279;0.10739581835407591;0.25197025150469604
200;1423.3055555555557;0.6969620401841982;0.7263761727652622;0.7001274996932696;0.7520871805873639;0.49229690755707334;0.5324686587737967;0.5068492793975615;0.8919705720335658;0.8508905092944755;0.9082529480337792;0.8596073521396934;0.8482304578614548;0.7439510512739251;0.034734363549111476;0.11703517858943363;0.10925057147343173;0.2610201136119768;0.8668843817357312;0.854807477642689;0.7539488145116757;0.02815734376787722;0.11703517858943363;0.10925057147343173;0.2544430938307426
250;1438.9722222222222;0.6926764115184594;0.726632797080491;0.6984011091797893;0.752153243706073;0.4897924753168625;0.5334987169163815;0.50629926432094;0.8929367264972505;0.8519785669036236;0.9078910320434009;0.8558328013521966;0.8537806853785276;0.7454240571091211;0.035612051888509764;0.11060726273296248;0.11386376029925567;0.2600830749207279;0.8632709401602685;0.8606159135461989;0.755721524847847;0.02877682372083853;0.11060726273296248;0.11386376029925567;0.2532478467530566
300;1434.9444444444443;0.6868212820742409;0.72956917496521;0.6969553197713779;0.7525273137324201;0.48871022529450997;0.5382521681384046;0.5080493095125383;0.8937066957264871;0.8503908221918364;0.9068761478996881;0.8554466424504715;0.8512904584665155;0.7432508414499088;0.03570462596414014;0.1130049155693445;0.11417817906619875;0.26288772059968335;0.8629252194306988;0.8581695494877041;0.7536617868275386;0.028825534942951432;0.1130049155693445;0.11417817906619875;0.25600862957849463
350;1436.4444444444443;0.6822783771597568;0.7261542358735344;0.6932369571195812;0.751726831169957;0.4863444918936317;0.536621465000707;0.5061141440543395;0.8916174875593009;0.8499309783766574;0.9072997792105334;0.8543589541716972;0.8512980249379409;0.7423687699428632;0.035839418101563845;0.11286255696049527;0.11540289378170027;0.26410486884375933;0.8615070425729923;0.8578504174289313;0.7523096601252314;0.0292870256105734;0.11286255696049527;0.11540289378170027;0.2575524763527689
400;1437.638888888889;0.6839962041778981;0.7273725040794762;0.6935023919027778;0.7505588660211591;0.48705701964998926;0.5377018153293845;0.5063589122439751;0.8911618964600839;0.8510829252953866;0.9065999778104062;0.8560119276814548;0.8518390807323655;0.744082493124774;0.03552176976681363;0.11263914950082089;0.1139646300837721;0.2621255493514066;0.8632703749879479;0.8585488053918402;0.754237141369463;0.028812045107338955;0.11263914950082089;0.1139646300837721;0.25541582469193197
450;1438.6666666666667;0.6786392679175883;0.7244395971072317;0.6897060457834667;0.750662263519067;0.4809690552492483;0.5322351684128681;0.5006666122020182;0.8919191252922043;0.8512073984622839;0.9059731056084455;0.8566250638199852;0.851509920481251;0.744154213540713;0.035091047635295296;0.11339903188345365;0.11374444197309698;0.26223452149184584;0.8637911453632452;0.8581185764353643;0.7541867068607627;0.028482391681181916;0.11339903188345365;0.11374444197309698;0.2556258655377326
500;1448.9166666666667;0.6746772869071426;0.7266792003500028;0.6886520624192424;0.7525594483307122;0.4800073806988165;0.536009368543272;0.5019951075923885;0.8918963102027612;0.8508911976540785;0.9051368238497921;0.8523316615742752;0.8552351978104201;0.7436960198221265;0.03571836353075854;0.10904643865882119;0.11923320393867003;0.26399800612824975;0.8593839536645265;0.8618208915453787;0.7536223446605101;0.029132669795800124;0.10904643865882119;0.11923320393867003;0.2574123123932914
550;1433.888888888889;0.6699027410577686;0.7236951180172138;0.6854710955051908;0.7483330020153398;0.4750835684744559;0.5310562628735309;0.49723402462645594;0.893298513254604;0.8489879918909478;0.9054548136295205;0.8541055058802146;0.8499474625489705;0.7408457839792774;0.03567474221360196;0.11437779523742757;0.11611052215495365;0.2661630596059832;0.8608330706721201;0.8561153877719904;0.7501895837807593;0.02950681699058199;0.11437779523742757;0.11611052215495365;0.2599951343829632
