ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;16400.216666666667;0.6069255497317803;0.5603611757651888;0.572158355131019;0.610521511739302;0.348252848629163;0.3158495757794318;0.32518076469495705;0.7997559926475526;0.6197135918614906;0.691845400207984;0.7630760888548374;0.5302333732785249;0.45751972569192423;0.10168011914909862;0.36808650757237643;0.06333953588617379;0.533106162607649;0.8281683204627611;0.5735305260248332;0.5124031644652993;0.05838296640279027;0.36808650757237643;0.06333953588617379;0.4898090098613405
100;14722.833333333334;0.6443684768861377;0.5737638884959698;0.5957762184389281;0.6001247444755237;0.37073086131978117;0.32293414421496675;0.3387295578725755;0.7936852274188758;0.6150797121347881;0.7071491829585485;0.8098493290555098;0.505423178482704;0.45349194271430765;0.07298962038203552;0.42158720113526044;0.04453315500989736;0.5391099765271933;0.8610043607347505;0.5356021366902843;0.4929312847769317;0.042810662174455234;0.42158720113526044;0.04453315500989736;0.5089310183196131
150;14175.85;0.6534836127744443;0.5856999932474611;0.607103000811321;0.5908753563145371;0.37064174156357294;0.3256689890992707;0.34055130778167797;0.7885742681383063;0.6120943325313778;0.705608567242678;0.8252505265465706;0.49570742735759693;0.4500127902752484;0.06522223164629774;0.4390703409961053;0.03845846915257134;0.5427510417949745;0.8730835089487771;0.5227689090635194;0.48575971832842735;0.03816074994037515;0.4390703409961053;0.03845846915257134;0.5156895600890519
200;15329.95;0.6407082502753322;0.5908940950633751;0.6053917816713363;0.604573451870447;0.3750091127354335;0.3407273262589952;0.3515748514551604;0.7930634840690938;0.6319201533333982;0.7140337007106274;0.809121034698874;0.5270821783781898;0.47090421077692113;0.07355336158151772;0.39936446004029247;0.04906932077982724;0.5219871424016375;0.8563072380494953;0.5561968841840564;0.5092872196517656;0.04443865577565099;0.39936446004029247;0.04906932077982724;0.4928724365957706
250;16583.533333333333;0.6260465238255492;0.6117712101838434;0.6100287137445312;0.6149523957962181;0.37525720676841523;0.3618959457833032;0.3632115065736301;0.795003791909307;0.6531983698664784;0.7251375337193051;0.7932573519444901;0.564174767646721;0.4936672748654801;0.08411153125223743;0.35171370110104155;0.06270188734561638;0.4985271196988954;0.8403897010525676;0.5961793843644345;0.5356432880382089;0.05210691453452408;0.35171370110104155;0.06270188734561638;0.46652250298118203
300;15296.75;0.6422293403476413;0.6023312328887462;0.6124355911974344;0.6016686935854005;0.3782306973340652;0.34954582852506666;0.3578758324135439;0.7890541883319698;0.6386832312030678;0.7294364760356056;0.8188724074311712;0.5327331055557457;0.4781610087436127;0.07016356475550821;0.397103329688746;0.04705081752560684;0.5143177119698611;0.8625931363211473;0.559728666242418;0.5138992666241157;0.04316800406883595;0.397103329688746;0.04705081752560684;0.48732215128318873
350;16447.783333333333;0.6451254511655071;0.6069230145338415;0.617721895810277;0.620069139554748;0.39151388643545026;0.36474362440928787;0.37298371451956946;0.7961795791549111;0.6574533427277374;0.732110914097534;0.8042963971004603;0.5640296124645335;0.49830116352696213;0.07869910681515674;0.3572712807203098;0.0580224019167303;0.4939927894521968;0.849106587415368;0.5939993175646081;0.5378618908041849;0.04872940171508207;0.3572712807203098;0.0580224019167303;0.4640230843521221
400;16746.566666666666;0.63471662987547;0.6168198845867544;0.6182208760699406;0.6193770858073523;0.38416746721930256;0.3695186723807867;0.3722345635763057;0.7966417568153352;0.6601556474034832;0.7315634447156173;0.798026861034132;0.5707224372348829;0.5009106143181045;0.08132711377927213;0.34795044898584493;0.062546914022766;0.4918244767878831;0.8438284466502084;0.6021482930328014;0.5422872272597746;0.049901257981353614;0.34795044898584493;0.062546914022766;0.4603986209899647
450;17293.383333333335;0.6250377563125415;0.6235724714600456;0.6173777184126303;0.6254709107969904;0.38289112952207616;0.3791201145617843;0.3768442944572366;0.7983641470572075;0.6690554582383369;0.7373398316422454;0.789499138816808;0.5880873373086507;0.5109012624543443;0.08791317648722134;0.32399948620412794;0.06954558862307138;0.48145825131442066;0.8363943050019891;0.6216183574328972;0.5546851899584432;0.05438215636297491;0.32399948620412794;0.06954558862307138;0.44792723119017425
500;15185.966666666667;0.6525093533946832;0.611006615325499;0.6241784128419138;0.6045033503703389;0.38729267744830653;0.35878086378532964;0.36840987929985136;0.7894181719957317;0.6424657915771635;0.7327430478478525;0.8295675342094351;0.5315776016799519;0.48113075199394667;0.06467159645611936;0.4037508018639287;0.043963022211739214;0.5123854205317873;0.8698727070512697;0.5562700104086847;0.5140676232202869;0.039979187727386636;0.4037508018639287;0.043963022211739214;0.48769301180305463
550;15393.1;0.6638885467637152;0.6114889718173552;0.6296067763163637;0.6087528869317099;0.3974195100467181;0.3622144202564124;0.3748524154053182;0.7913094636396897;0.647043682798443;0.739164782342638;0.8285378805317787;0.5377605772312138;0.48635212315163445;0.06463052863841277;0.3976088941303734;0.045299967686899256;0.5075393904556854;0.8686291381134424;0.5625665338391271;0.51952422291239;0.03982457203049952;0.3976088941303734;0.045299967686899256;0.48273343384777223
600;16106.1;0.6560335059706774;0.6273565624941476;0.6346315705496544;0.6172444793044959;0.39871144287489757;0.37770856049223556;0.3838638193047634;0.7953264634494146;0.6599054565123487;0.7436156580866694;0.8177744328230807;0.5603433744696722;0.500755724267496;0.07242374913915031;0.3672328763911775;0.05110730686535382;0.4907639323956817;0.859678568107619;0.5879120092104486;0.5374695538929598;0.04485511439837397;0.3672328763911775;0.05110730686535382;0.46319529765490536
650;17246.566666666666;0.6481694143023513;0.6308543414242247;0.6323176892365959;0.6273703492957369;0.3998234126796133;0.38668376285865874;0.38881201568143225;0.7992138808414798;0.6736192757919376;0.745145652261492;0.7998704968384588;0.5897166389379779;0.5163182571601949;0.0805683146362774;0.32971504642574484;0.06643978717564138;0.4767231482376636;0.8431680312392622;0.620354896155714;0.5568627508848862;0.049930057418541084;0.32971504642574484;0.06643978717564138;0.4460848910199272
700;16864.633333333335;0.6492251289161446;0.6141356308899123;0.6246260763132178;0.6237563717176969;0.3980666338517459;0.3741216145003946;0.38173654913634886;0.7950887141445094;0.6682386912369228;0.7448175471631985;0.8077008492407209;0.5768147280951921;0.5100096882204969;0.07697032513861717;0.3462149467661908;0.05947958786924592;0.48266485977405377;0.8505863544448555;0.6061104182559078;0.5489249565072485;0.04767463497790146;0.3462149467661908;0.05947958786924592;0.4533691696133381
750;16568.366666666665;0.6433719445139091;0.6258824429823077;0.6281151361776998;0.6187094608616128;0.3931395158474542;0.37969728041667195;0.38242846158296345;0.7941326392901285;0.6662401574416078;0.7446589584295928;0.8120628227113315;0.5720298391335926;0.50739996867553;0.07579717071431367;0.35217299015209363;0.05656040086253734;0.4845305617289447;0.8554122459981646;0.6013374660034565;0.5463805279188226;0.0464895438444499;0.35217299015209363;0.05656040086253734;0.45522293485908094
800;16396.116666666665;0.6540498778914555;0.639384013394197;0.6403257014184651;0.6216512491057846;0.40014456880769783;0.3883534207449691;0.3903565725993259;0.7958821391883852;0.6695301305912191;0.7482545880078605;0.8178630881370794;0.5739039614413641;0.5109944018085607;0.07232276734112202;0.3537732712175138;0.05513324487759695;0.4812292834362328;0.8574235960009802;0.600566356332904;0.5467304607000174;0.04566037244958209;0.3537732712175138;0.05513324487759695;0.4545668885446929
850;17016.75;0.6518498365764848;0.6229452996943005;0.6306734805322642;0.6286413052250999;0.4036198029985814;0.38349014596289677;0.3893729105709511;0.7979361701183143;0.674224135127035;0.7454054423581149;0.8073160446110362;0.5860493755408895;0.5169436822259478;0.07645257274535194;0.3374980517137585;0.06230757935966117;0.47625820381877165;0.8491695243682836;0.6150869078806832;0.5555758738452651;0.04741504040555823;0.3374980517137585;0.06230757935966117;0.4472206714789779
900;16333.833333333334;0.6528822013207344;0.6273733951518798;0.6334825156288778;0.6215669481872509;0.4002483683043332;0.3821218337832075;0.3870892791896817;0.7954110435031024;0.6679150063808417;0.7518087534201151;0.816875320516219;0.5723415483313089;0.5092715983902358;0.07384298967272332;0.3538154619959678;0.05482554691485482;0.48248399858354596;0.8587447099703062;0.6005006058907298;0.5468499818171606;0.045683932113302454;0.3538154619959678;0.05482554691485482;0.45432494102412513
950;16982.4;0.6408085501606854;0.6216012438936946;0.6249634295585099;0.6243865532241456;0.3941630709301691;0.3806282278580499;0.3835502600306044;0.7960734207905072;0.671134779790976;0.7446584125683398;0.8030814732343863;0.584007388624948;0.512951624716317;0.0810775643468006;0.33491504702825126;0.06296416549096712;0.47895677686601906;0.8479190184472725;0.615334403907487;0.5543981750146714;0.04975054906426176;0.33491504702825126;0.06296416549096712;0.4476297615834803
