ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1071.4166666666667;0.7711678250062343;0.7017495760321576;0.7225122475468116;0.6024215094426333;0.33210613517066984;0.32264944916902477;0.32362422524282214;0.8039176470223648;0.7481094951862202;0.7582062390844081;0.8665125583325153;0.6724011427046118;0.6053403428592712;0.03155844464138313;0.29604041265400505;0.07778471210769802;0.40538356940308623;0.8726145752299401;0.6764338735237071;0.61127647869631;0.027525713822287894;0.29604041265400505;0.07778471210769802;0.4013508385839909
100;1183.8333333333333;0.7138141209568283;0.7095732480233221;0.7012828166400434;0.6260292453909276;0.33116575534998915;0.34274979623190055;0.3330546788176752;0.8073680276993193;0.7680404659600488;0.7677095925134125;0.8453411969963617;0.7131563856782275;0.6288898011501005;0.03904668125312404;0.24779693306864836;0.09520001923387003;0.3820436335556424;0.8524386689992621;0.718460869048338;0.6366789537710059;0.03374219788301371;0.24779693306864836;0.09520001923387003;0.37673915018553206
150;1387.611111111111;0.6097214604056053;0.696077349374844;0.6349861486831725;0.6397134695775878;0.291459527056506;0.3560130415038423;0.31473633690932235;0.8124425360149643;0.7618499195761672;0.7736748369508957;0.7794051979770743;0.7567611022888554;0.6186652875807188;0.049200372928766244;0.1940385247823783;0.17781460971139085;0.4210535074225354;0.7880546265725216;0.764637516020142;0.629523018025577;0.04132395919747978;0.1940385247823783;0.17781460971139085;0.4131770936912489
200;1300.638888888889;0.6326129648350598;0.6966404388105839;0.6514475416448336;0.6251819383775331;0.299082688940122;0.3468965911622643;0.31703660595052824;0.8024295015043598;0.7589950098709737;0.7622678037504211;0.7939827699005616;0.7380180617562124;0.6159605634164392;0.04937900826145248;0.21260292998233504;0.15197330236777543;0.41395524061156297;0.8031262803094547;0.7458255995790155;0.626663486777777;0.041571470438649366;0.21260292998233504;0.15197330236777543;0.40614770278875983
250;1276.2777777777778;0.6337439893285909;0.6994262893137035;0.6539375886186469;0.6231906288387706;0.2922878872554189;0.34246150523747443;0.3116618040450173;0.8042794292526196;0.7530335488754083;0.7584573820587307;0.7933976756803892;0.7294762281871215;0.6083696933578165;0.05120296219933943;0.2193208096135391;0.15013406770913365;0.4206578395220122;0.8034516748094135;0.7377608748930736;0.6198673482420355;0.0429183154933874;0.2193208096135391;0.15013406770913365;0.4123731928160601
300;1406.0833333333333;0.5946576290251296;0.6966600510114802;0.6311262425962864;0.6419100023781823;0.2948540451944981;0.3645290754988566;0.3221426506025462;0.8086352433970921;0.7480949689883265;0.7714384878879239;0.753592611288605;0.7575157915355216;0.6015896809583546;0.05974552061832071;0.18273868784615763;0.20778863626672822;0.45027284473120655;0.7647248172128687;0.7675603316188581;0.6149760276454712;0.04970098053498417;0.18273868784615763;0.20778863626672822;0.44022830464787
350;1406.3055555555557;0.596330294321087;0.6953543220761094;0.6310850898053467;0.6400608922252464;0.2936134024630539;0.36117134863765044;0.31973550898884223;0.8069994609055972;0.7477330731466825;0.7734650158652354;0.7547870591507986;0.7556768391568813;0.6014132324455997;0.05933307734246086;0.18499008350065782;0.2070568941836444;0.45138005502676315;0.766077737606575;0.766076463911441;0.6151721694726882;0.04893345258790116;0.18499008350065782;0.2070568941836444;0.4409804302722034
400;1392.5277777777778;0.5907376524794634;0.6905972404315898;0.6269518886767389;0.6350587069457734;0.284133628032768;0.3504131964759922;0.31018020893447823;0.8054759300640781;0.7414762606159109;0.7642934663137617;0.7524089107944324;0.7471117018723065;0.5938338933057479;0.05861767335658013;0.19427062477111337;0.20963488811235514;0.46252318624004857;0.762977081876396;0.756646591172314;0.6063574469846624;0.04908278405657252;0.19427062477111337;0.20963488811235514;0.45298829694004095
450;1387.888888888889;0.6149472996216906;0.6916395645320308;0.6407469964473689;0.6409342871121699;0.30623717713308996;0.36221387039319203;0.3278308148609942;0.8073725382243642;0.7522529643020568;0.778856883670178;0.7648140434113785;0.7554740019549729;0.607744786593892;0.0581341635260289;0.18639183451899824;0.19493200852991094;0.4394580065749381;0.7759368930620968;0.7655337983897588;0.6211985454363841;0.04807436709124302;0.18639183451899824;0.19493200852991094;0.4293982101401521
500;1510.0833333333333;0.5757203758928473;0.6738551901226919;0.6114977644300537;0.6514651125194129;0.29819810845347994;0.3670059012318611;0.32526579531551625;0.8109226912115965;0.7450038626383229;0.7815112387454954;0.7319029280846598;0.7731720566214055;0.5975501538487609;0.06286565970138239;0.163962283677212;0.24116482824238636;0.4679927716209808;0.7443251074464071;0.7852235555198519;0.6130673798519243;0.05081416080293618;0.163962283677212;0.24116482824238636;0.4559412727225345
550;1454.638888888889;0.5802166691232489;0.6743271806629504;0.6123124958892512;0.6465751550002294;0.29228222627492406;0.35739991497795753;0.3170120063375294;0.811001768390784;0.7481803207532297;0.7828112985929921;0.7457096698790338;0.7657043792808618;0.6021000118347647;0.06015922312558148;0.17413639759355687;0.22369795335951548;0.45799357407865376;0.757812577494455;0.7770527013228682;0.6171151693753842;0.0488109010835749;0.17413639759355687;0.22369795335951548;0.44664525203664723
600;1432.361111111111;0.5790450833252359;0.682079770318592;0.6166325674290435;0.6486100767901453;0.2959289840677022;0.36556315680268203;0.32319854064735515;0.8117301989976367;0.7499411117146007;0.7833323886021712;0.7493485725698378;0.765096483164202;0.6043444838888595;0.059229827232211846;0.17567368960358612;0.21468966077394175;0.4495931776097397;0.7619262751009719;0.776288618226107;0.6192904707554848;0.04803769217030698;0.17567368960358612;0.21468966077394175;0.43840104254783474
650;1506.1666666666667;0.5347203465831601;0.6889893817030963;0.5921143809693351;0.646516197416124;0.27213995025862003;0.36865098154695086;0.3090700574536604;0.8105641793512128;0.7324138616477343;0.7726425210399787;0.7156831408792192;0.765763086750229;0.5817198926576604;0.0660555330284207;0.16818138022135043;0.261164987817986;0.495401901067757;0.7293939592115676;0.7785999697443213;0.5981557457978643;0.05321865003432832;0.16818138022135043;0.261164987817986;0.4825650180736647
700;1495.8333333333333;0.5559795467360212;0.6794074010587207;0.60243855189483;0.6532888974361016;0.28973497433701745;0.3715009786681241;0.3218905800175667;0.8127756024066385;0.7463024465931246;0.7881144098235148;0.7328347702292003;0.7753165501417055;0.5993647368058634;0.06090160200928304;0.1637818478490115;0.24393813550103596;0.4686215853593305;0.7447503156168994;0.7865951538724582;0.6141275314373267;0.04962299827853046;0.1637818478490115;0.24393813550103596;0.45734298162857784
750;1494.25;0.548233923224719;0.6797560548867684;0.5961841648501199;0.6489633488657609;0.28139811712712165;0.3668479179235837;0.3140376897134074;0.81087110937589;0.740539459168537;0.7844527047813763;0.7266254497076613;0.7713407211871854;0.592623797716865;0.063464808564385;0.16519447024842965;0.2539306513983483;0.48258993021116275;0.7391485621454277;0.7831170237575508;0.6079555556867524;0.05168850599401952;0.16519447024842965;0.2539306513983483;0.4708136276407974
800;1494.5555555555557;0.5537042972544165;0.6795139821797904;0.5994559207119788;0.646939270820203;0.28112835488449384;0.3640705221135503;0.31290104425647836;0.8082582078942093;0.7379132635958074;0.7816526930118877;0.724980024324967;0.7679352060122572;0.5888515911542003;0.06389739012284286;0.16816740386490003;0.25272579134248613;0.4847905853302289;0.7383107980895981;0.7803939204469097;0.6050473111530474;0.051438675688190355;0.16816740386490003;0.25272579134248613;0.4723318708955764
850;1458.1944444444443;0.5758277220295757;0.6812762102104403;0.6135652010518248;0.6494102345239697;0.29332467938013207;0.36493310578205;0.3210462241618812;0.8108974740362949;0.7449865257428773;0.7836553168592423;0.7395401453666339;0.7652517546508315;0.5976840984198661;0.059535013765864314;0.17521323158330407;0.22975829389834385;0.46450653924751223;0.7515790171419263;0.7762325109279882;0.6122658330758225;0.04855425748870777;0.17521323158330407;0.22975829389834385;0.4535257829703557
900;1416.1944444444443;0.5783376360892999;0.6818769197309795;0.6157732095215297;0.6463986463510961;0.2961573607711016;0.36686346899505057;0.3236433930645476;0.8082051328608806;0.7459547698841237;0.7875342113246784;0.7471128811463223;0.7606670084025219;0.5993615244219194;0.05975657445750041;0.17957641713997766;0.21912630860587168;0.4584593002033498;0.7598976892943557;0.7720841660954312;0.6143758785362918;0.04833941676459124;0.17957641713997766;0.21912630860587168;0.4470421425104406
950;1446.25;0.5689110980128749;0.6829946045083051;0.6106107291805439;0.6493560282472939;0.29194034436956934;0.368354184054766;0.32181932306684335;0.8099433604457963;0.7443560054670147;0.7835865803646458;0.7400395428060274;0.7630187796659345;0.5974221255659009;0.0606598179148586;0.17632140241920694;0.22641459674826125;0.46339581708232674;0.753050150622521;0.774739576695898;0.6129256566899712;0.04893902088489504;0.17632140241920694;0.22641459674826125;0.45167502005236326
