ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07624808179145287;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07494664179121299;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07239030151495628;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0811859555627241;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;3416.766666666667;0.1701874741038291;0.007722152316291885;0.014386732254845514;0.4100356156585305;0.05302833728312092;0.0023413513454788614;0.004382107351374446;0.5555159013541665;0.03280292328023745;0.18867437902236742;0.49098526144461846;0.01743767073698771;0.01690714502348826;0.018589654961398954;0.9639726743016134;0.0012983986559354506;0.9838607279189476;0.7953528991483758;0.02854421310405731;0.02815389122047828;0.007483112594329352;0.9639726743016134;0.0012983986559354506;0.9727541855518782
300;12820.133333333333;0.2909209584710694;0.15781143208659484;0.1997188990073506;0.4780282498492237;0.08510917986204426;0.046584874153121576;0.058785662143518276;0.7826438168151701;0.3491033597563399;0.3573601828645041;0.5519781433861294;0.2608494853291645;0.2151080344923265;0.17585409342755207;0.5632964212432833;0.06106848779964503;0.8002190024704805;0.7056730832936009;0.3399564530678886;0.2949706220553923;0.09674712568882803;0.5632964212432833;0.06106848779964503;0.7211120347317566
350;15327.833333333334;0.25172880881098403;0.15405627088178128;0.18684193690074352;0.45946032329516523;0.06514723962146103;0.040613842107800814;0.048926885315165446;0.779203532393588;0.4017088700278923;0.3875519554066956;0.5501942439735426;0.3228531150420218;0.257228578276455;0.20470546709511378;0.4724414178628645;0.08836746323125942;0.7655143481892377;0.6844290530860444;0.406794927845817;0.34100126655375207;0.12076365429131843;0.4724414178628645;0.08836746323125942;0.6815725353854423
400;17782.366666666665;0.3077201299744795;0.22499762633267345;0.2551600079218857;0.4764043524372333;0.08441294672021295;0.0628417452743288;0.07076376106133969;0.7864368225226371;0.4440595843850955;0.40896544557987935;0.5464116185519828;0.38144853852424887;0.291947904252029;0.2285116167828353;0.39003984469291575;0.1252912731912122;0.7438427346669633;0.6708178147833256;0.4743220903575766;0.3828704109169162;0.1356380649495076;0.39003984469291575;0.1252912731912122;0.6509691828336356
450;16715.75;0.2620181372977937;0.18972325582128122;0.2158228181572703;0.4710444424958072;0.06974927714460914;0.051325648233460704;0.05806639454810529;0.784948713475294;0.4318335643582165;0.4058661839928056;0.5544231378663408;0.36081658127312133;0.2819286942219764;0.21489802221445006;0.4242853965124286;0.10966117753800532;0.7488445962648841;0.6768498164083436;0.44563940201171326;0.3658695728783962;0.13007520147585816;0.4242853965124286;0.10966117753800532;0.664021775526292
500;17786.516666666666;0.2397401818214079;0.18677658698980132;0.20568705253042124;0.45968877798306196;0.058670851261032206;0.046673648427084234;0.050974364422059056;0.7792743238358786;0.4333538137584231;0.39661664700431537;0.5338183437865375;0.37284963945422805;0.28341539553817074;0.23266853704885077;0.39448182349692107;0.131749837752451;0.7589001982982229;0.6566173283923117;0.46380884964355823;0.37160825661601127;0.14170932685952067;0.39448182349692107;0.131749837752451;0.6679409881088927
