ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07221796130006268;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0802195554403992;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.091171971614627;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08388596661321225;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08118507985754458;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
300;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08432705274286773;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
350;2575.8333333333335;0.04;8.944940674249829e-05;0.0001779604452154903;0.02530721966205875;0.0;0.0;0.0;0.0;0.0001862067784820198;0.23092134604623102;0.15550135501355014;9.319809402575487e-05;9.318867519874666e-05;2.164469296810957e-05;0.9998851572130062;8.288902483676377e-06;0.9999150908084579;0.20831074977416442;0.00011484278699386444;0.0001148363378771182;0.0;0.9998851572130062;8.288902483676377e-06;0.9998934461154898
400;7410.7;0.4426301635970715;0.20591127627022665;0.2700463246356877;0.476799313542292;0.192853510492608;0.08203955957678712;0.11068557507922207;0.7666686069608349;0.26408551943347913;0.48358228177915474;0.6917962730904416;0.16597762174008648;0.15456579091821654;0.056769376047256265;0.7772530022126571;0.015485323939669162;0.8495077021995827;0.8376624328458877;0.19928663288163037;0.19149815262250244;0.02346036490571241;0.7772530022126571;0.015485323939669162;0.8161986910580388
450;12754.75;0.5496160496220281;0.40456975478013785;0.455753997769237;0.5731296632615013;0.2927511713774669;0.2122729020930509;0.2408769365167311;0.7861336408036614;0.508653047309402;0.6318890264693842;0.7577669524494174;0.388990018622721;0.3473557616488814;0.08297446053032816;0.5280355208469509;0.041322756271683116;0.6523327376489622;0.8334890496927827;0.4257441901199233;0.3919480871395275;0.04622028903312576;0.5280355208469509;0.041322756271683116;0.6155785661517597
500;15088.083333333334;0.5945963656159674;0.5095793716474203;0.5406004991904244;0.597251017973827;0.34564475997104077;0.29383706382518787;0.313028980134751;0.7863938445106972;0.5962082553811693;0.6916278099718287;0.7831224431117009;0.48791364391462483;0.4322494073932827;0.08652485437477667;0.4255615017105985;0.04813782575941717;0.5602241818447923;0.8429398237489429;0.5237481477497725;0.47750112560642083;0.050690350539629045;0.4255615017105985;0.04813782575941717;0.5243896780096446
