ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;13979.4;0.5732966589214307;0.49439929772039426;0.5179051200883232;0.5504074957489415;0.29217660316894334;0.24403564279540457;0.259357761113003;0.7752821325534267;0.5479485394756235;0.6451080153137598;0.762735336744992;0.4361297142589429;0.3844027849083057;0.08990593788762317;0.4739643478534338;0.04963595926176875;0.6135062450028258;0.8254260029478132;0.47082885703077415;0.42665059111019216;0.05520679511579201;0.4739643478534338;0.04963595926176875;0.5788071022309944
100;18857.716666666667;0.5607757098911195;0.5931672080702953;0.5688033942445472;0.6003192749627047;0.30626162952127234;0.32242181310103274;0.310011167890739;0.7976235435799893;0.641359799727178;0.6952848638935674;0.7217864532564044;0.5847087519375408;0.4787306462591515;0.12176937101369467;0.29352187704876453;0.11082985880216849;0.5261211068646277;0.7769753133546243;0.6283284442866496;0.5314595026672759;0.07814967866458587;0.29352187704876453;0.11082985880216849;0.4825014145155188
150;15108.533333333333;0.615231332576751;0.6091554057468652;0.6042087586807088;0.5777562787487999;0.34054205032212553;0.329740369690394;0.3306929807283164;0.7787675025745541;0.6209585620108433;0.723644384084263;0.8112257218670073;0.5087465867077676;0.4568344702088126;0.07424067759164941;0.41701273570058295;0.04460925672707539;0.5358626700193078;0.8563103514110051;0.5362175753706587;0.4924312848888033;0.04676968892875831;0.41701273570058295;0.04460925672707539;0.5083916813564165
200;17298.666666666668;0.6182826752442813;0.5990317728646882;0.6015549240389209;0.6084076778522436;0.36275483438371897;0.34812246119245277;0.35122850325046034;0.7954118903929852;0.6525759498045806;0.7328102639466852;0.783550701184397;0.5657175685126503;0.49140733195811453;0.09107960820979734;0.3432028232775523;0.0662689824381893;0.5005514139255389;0.8291087072718376;0.5975867602711123;0.5324220296345552;0.059210416451335283;0.3432028232775523;0.0662689824381893;0.46868222216707683
250;16902.716666666667;0.6130739527507392;0.6480890711494264;0.6235536504443014;0.6019742538037026;0.3607491732876981;0.3763637537906446;0.364599649887892;0.7881390609662309;0.6587989617449701;0.7434937241708808;0.8017107244509464;0.5651441028583719;0.49768508752153534;0.0840812148217039;0.35077468231992415;0.056928896372435624;0.4917847935140636;0.8452034178234504;0.5949461877729133;0.5368617375502978;0.05427912990716271;0.35077468231992415;0.056928896372435624;0.46198270859952245
300;18535.766666666666;0.6122298281958005;0.6285782075552981;0.6153807820352424;0.6218971591808847;0.3696617054076947;0.37822168408928153;0.3709826434711721;0.7959532923053098;0.6752114542819772;0.7425221446154643;0.7756308752639375;0.6035878981965757;0.5163477414224231;0.095400683791307;0.3010114180121173;0.08213642204542357;0.47854852384884783;0.8179100344007819;0.6358137555689158;0.5574910863201082;0.06317482641896689;0.3010114180121173;0.08213642204542357;0.4463226664765077
350;20106.466666666667;0.5974731351531091;0.6375525668573062;0.6120434811682174;0.6318275520495439;0.36429687926303994;0.3877524185595619;0.3728221466646724;0.7996046024270389;0.6926161594541699;0.7538559848810473;0.7572000034950112;0.6443953937244163;0.5363568266296571;0.10618483183516483;0.24941977444041877;0.10539735617827893;0.46100196245386255;0.7984869381911304;0.6787851200078573;0.5796812100693257;0.07179510555172414;0.24941977444041877;0.10539735617827893;0.42661223617042193
400;18055.45;0.6318311770336804;0.6510972788322306;0.6352691499209056;0.6184571169232534;0.38098425122562857;0.3888073518839236;0.38123449886196603;0.79669787334423;0.6769602517398315;0.7554466212754216;0.7905784458600144;0.5986523237174483;0.5180869860745151;0.08926930211791079;0.3120783741646412;0.06947004469439054;0.47081772097694236;0.8331672959734627;0.6297055957565971;0.5590808046013312;0.05821603007876177;0.3120783741646412;0.06947004469439054;0.4397644489377933
450;19596.383333333335;0.6161579521693338;0.6540257031445145;0.6297563156873788;0.633807712165426;0.37770102646948783;0.39882628434897804;0.38515167521023214;0.8073287354798051;0.6912604795774233;0.7548474713033931;0.7657232206338022;0.6358559378590282;0.5338019076572229;0.10202500581230332;0.2621190563286685;0.09566349596123579;0.4598075581022076;0.8066335593445041;0.6690022345298411;0.5764590764309551;0.06887870914149057;0.2621190563286685;0.09566349596123579;0.42666126143139493
500;20055.116666666665;0.617123818934261;0.6330921237854047;0.6206081262620905;0.6445647704144906;0.38508254632846933;0.3954709139569394;0.38760245422793477;0.8066978884773987;0.6986633363440795;0.7619332862211817;0.7638566131110575;0.6500311300679602;0.5432646814227206;0.10272599220120632;0.24724287773083356;0.10280734582545938;0.45277621575749927;0.8044004014454675;0.6836488677185207;0.5861761992519054;0.06910825455064572;0.24724287773083356;0.10280734582545938;0.4191584781069386
