ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1440.75;0.8545067513108462;0.7174039415955735;0.7625033307573605;0.7991219607383131;0.650616161550549;0.5735734023864567;0.6019127448051989;0.913794718102161;0.8970768502862327;0.9525693788458622;0.9133743505812458;0.8828605645198451;0.815493875355384;0.02166534697101494;0.09547408850913994;0.06352127506419607;0.18066071054435093;0.9154062635377609;0.8847567952073478;0.8186221335368171;0.01976911628351222;0.09547408850913994;0.06352127506419607;0.17876447985684818
100;1461.5555555555557;0.8420068319069461;0.7271519940843345;0.7656529545890688;0.8021615667885854;0.6449301535612908;0.5795142530523063;0.6035489260440254;0.912384144652575;0.8947447498948525;0.9478594409712628;0.9037741401098626;0.8872043284120638;0.8120495926955124;0.023841651948131135;0.08895401963980525;0.07225079357975997;0.18504646516769635;0.9067948457636249;0.8900851066301794;0.8167587237659396;0.020960873730015327;0.08895401963980525;0.07225079357975997;0.18216568694958055
150;1420.0;0.8513738626576316;0.7214083973304198;0.7657225664643806;0.7982744172503038;0.6455537770590617;0.5714999240733398;0.5989975656871728;0.9130035685100631;0.8888136543743843;0.9430230979939195;0.9105295049030124;0.8696155853300778;0.8024641229250729;0.023915749676130225;0.10646866499379201;0.06276273859902586;0.19314715326894807;0.9138472553275511;0.8726819087319102;0.8074877013157996;0.020849426274297752;0.10646866499379201;0.06276273859902586;0.19008082986711564
200;1448.6666666666667;0.8386519303534894;0.7228869303128838;0.7631938699700078;0.798921918233317;0.6338703347841361;0.5696020089984961;0.5939193219037483;0.9140560657131085;0.8877635635759773;0.9413959138215898;0.8995519787390295;0.8777630130389987;0.8009712405253432;0.025808511575607;0.09642847538539417;0.07389871324638969;0.19613570020739085;0.9029719125406969;0.8809530681250579;0.8061103493632463;0.022618456489547974;0.09642847538539417;0.07389871324638969;0.1929456451213318
250;1439.9166666666667;0.8383448430326499;0.7260932858626955;0.7646194683890783;0.8017999396120572;0.6329917728752599;0.5716142429162474;0.5945798899726351;0.9149171706994209;0.8876339988897137;0.9423106036915576;0.8999980050008125;0.8772455901479489;0.8004682780369474;0.025566460690893116;0.09718794916115812;0.07364631755522497;0.1964007274072762;0.9023347605084475;0.879400056192408;0.8039798054931572;0.023411994646434037;0.09718794916115812;0.07364631755522497;0.19424626136281714
300;1449.611111111111;0.8320341016039386;0.7313826030413945;0.7655022418041285;0.8016718381613743;0.627045739249458;0.57457908171683;0.5937417713173803;0.9154668342154886;0.8848774819203252;0.9397922135849792;0.8963737274712934;0.8754394565969335;0.7964011372364248;0.026245540349942715;0.09831500305312374;0.07712679116453475;0.2016873345676012;0.8991143179556076;0.8780043697162012;0.800519655074486;0.023680627230674996;0.09831500305312374;0.07712679116453475;0.19912242144833348
350;1416.2222222222222;0.8462760879116855;0.7284276336115275;0.7711123440731995;0.8001010913794216;0.6428309079501995;0.5765568187926227;0.6023672392356363;0.9144325468948361;0.8853841437277254;0.9397103015660372;0.9091440051279238;0.8643771350822265;0.7973748821426199;0.02465886593070825;0.11096399898706523;0.06305402921639118;0.19867689413416462;0.9115097352324558;0.866508894807168;0.8008455490337028;0.022527106205766687;0.11096399898706523;0.06305402921639118;0.19654513440922308
400;1469.4444444444443;0.8319389704742418;0.7262269727497318;0.7638086274350622;0.803161153956197;0.6286573400098967;0.5711467448109399;0.5931690919806479;0.9172160414386155;0.886779744425676;0.9387481560318705;0.8938867311752087;0.8817854900854344;0.7993314834324385;0.025539740730004718;0.09267476918456105;0.08175304595630924;0.199967555870875;0.8966434208207106;0.8843911158442267;0.8035528517193876;0.022934114971212394;0.09267476918456105;0.08175304595630924;0.19736193011208267
450;1465.5;0.8299780128058328;0.7368115217592044;0.7694423954977406;0.8009853834162104;0.6261897868423899;0.5762082480358409;0.5948768486054944;0.9154856097255626;0.8844881269511375;0.9357851629773517;0.891194628404987;0.8794983300592981;0.7958393026988438;0.02728020279769887;0.09322146714300311;0.08229579393780355;0.20279746387850553;0.8938712670544182;0.882023059122498;0.7998839346397004;0.024755473734498858;0.09322146714300311;0.08229579393780355;0.20027273481530555
500;1438.25;0.816240075960327;0.7355886729937067;0.7628337891524944;0.7896746910454725;0.6006217158016578;0.5624866541529625;0.5759651260891047;0.9134182333335364;0.8776813117960726;0.9320817792175242;0.8926338605944752;0.8648571212493326;0.7846872435743487;0.0276097621073476;0.10753311664331985;0.07838070702475021;0.21352358577541766;0.8951972000626137;0.8672141025805353;0.7884550793723961;0.025252780776144793;0.10753311664331985;0.07838070702475021;0.21116660444421487
550;1461.611111111111;0.8280243308967935;0.7254741851756874;0.7604261936492841;0.7950057551272945;0.61711354014316;0.5643370865659537;0.5838535615917275;0.9175015927374051;0.8841848248703027;0.9346209839186588;0.8892160848707957;0.8812244214770503;0.7950606750671356;0.02654133215344229;0.0922342463695074;0.08602236955798807;0.20479794808093774;0.8919307048644423;0.8837588518197967;0.7991181442657906;0.024006901810695785;0.0922342463695074;0.08602236955798807;0.20226351773819123
600;1454.3333333333333;0.8323782074333149;0.7312210786054494;0.7666921413618056;0.7965971877223386;0.6264623786949695;0.5744972008928823;0.594082943991189;0.9150098158009194;0.8855546446863533;0.9359122881514712;0.8951877665300346;0.8781211189062126;0.7972902053622464;0.02604993354593104;0.0958289475478563;0.07938811356286722;0.20126699465665457;0.8977991459782702;0.8805429722568385;0.8012088220675889;0.023628080195305136;0.0958289475478563;0.07938811356286722;0.19884514130602865
650;1467.638888888889;0.8164595621989748;0.7220094812361274;0.7539058735504016;0.7949184995473467;0.6138783465378537;0.5655655525425218;0.5830109895869031;0.9154624141066888;0.8834384616527184;0.9350333404183915;0.8871776708545892;0.8817473500014195;0.7938349246223605;0.027696573461056986;0.09055607653752346;0.08710896307630915;0.20536161307488957;0.889942846090421;0.8843381859644948;0.7979958129706654;0.025105737497981784;0.09055607653752346;0.08710896307630915;0.20277077711181438
700;1434.7222222222222;0.8226235210274703;0.748938939016365;0.773758161425505;0.7883161227906385;0.6056378647609301;0.5721640799710666;0.5840087730040529;0.9124163838670439;0.8788833161395231;0.932219054855325;0.8981699666352078;0.8620729508055704;0.786595241557003;0.027466051733666254;0.11046099746076316;0.0721765852838132;0.21010363447824262;0.9011544938027587;0.8648010764168704;0.7909861761803999;0.02473792612236641;0.11046099746076316;0.0721765852838132;0.20737550886694278
750;1525.9166666666667;0.7955388261943236;0.7019809762671426;0.7320632851733343;0.7942951781768491;0.5881775557675829;0.541251953016909;0.5578450430959686;0.9143765603217857;0.8809124357002696;0.9342312856622351;0.8669991469243682;0.8973945846119498;0.7898608309465192;0.030420800736936166;0.07218461465111395;0.11073122391894351;0.21333663930699368;0.8699495564528363;0.9003232303455094;0.7944263246203297;0.027492155003376734;0.07218461465111395;0.11073122391894351;0.2104079935734342
800;1444.7777777777778;0.8243932926505619;0.7180728087705561;0.7552205558489198;0.7901927894433374;0.6107893855347621;0.5555208046371453;0.5764742487522069;0.9129238352305724;0.8795012582856586;0.9325344957766569;0.8955219444381743;0.8662151367310551;0.7878840403893597;0.027455404539308826;0.10632945872963591;0.07601397839197364;0.20979884166091842;0.898294694017137;0.8687763516063609;0.7919937189068942;0.0248941896640032;0.10632945872963591;0.07601397839197364;0.20723762678561275
850;1476.0833333333333;0.8032909957181771;0.7489314547469017;0.7652940976718641;0.7932384913379625;0.5982629228845963;0.5778384703779131;0.583531696219845;0.9142018050106455;0.8800887735447722;0.9323437821970919;0.8857221984782297;0.8762824470113044;0.7883126988426281;0.029634817011585206;0.09408273597711038;0.08595107439986803;0.20966862738856362;0.8888120335126808;0.8792365337742626;0.7930077090013635;0.026680730248627042;0.09408273597711038;0.08595107439986803;0.20671454062560543
900;1429.2222222222222;0.830962235382721;0.7438830571201717;0.7748367800787099;0.795207696345695;0.6257583603077452;0.581167838322649;0.5979571292282813;0.9132362461379974;0.8819238567910467;0.9352420139754679;0.9006320026310333;0.8659795929080192;0.7915801997289436;0.027213274185387857;0.10680713290659291;0.07058676755967735;0.20460717465165812;0.903278144760486;0.8683840508152425;0.7954737493417476;0.024808816278164544;0.10680713290659291;0.07058676755967735;0.2022027167444348
