ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1423.0;0.8619820648330934;0.7257561588602898;0.7711044882702686;0.8035702451987223;0.6506270712409827;0.5754254270914606;0.6028598403290268;0.9172097133189864;0.8902940936882051;0.9483234662434672;0.9170383664713841;0.8680478901070103;0.8050004060479192;0.018788844401251212;0.1131632654917383;0.062498243832696226;0.19445035372568575;0.9186260054149467;0.8695149622053734;0.8074266696225546;0.017321772302888158;0.1131632654917383;0.062498243832696226;0.1929832816273227
100;1437.2222222222222;0.8591661983332437;0.7312002728064936;0.7736853441810222;0.8028074720618207;0.6517533016611926;0.5820839840437262;0.607493329429061;0.9148664597093017;0.8921595166480542;0.9479055194087577;0.9131517218583015;0.8744014333404924;0.8079565859404021;0.019921437388779023;0.10567712927072864;0.06552169311918235;0.19112025977869004;0.9149333982571051;0.8760602881367295;0.8106793554471158;0.01826258259254187;0.10567712927072864;0.06552169311918235;0.1894614049824529
150;1440.638888888889;0.8560814491087325;0.7363307736929193;0.7774056393648926;0.8056970304453341;0.6542837809525631;0.5879925643149995;0.6125712477814924;0.9173027609960721;0.8937673047058065;0.9466740699714788;0.9106376741460644;0.8797351035845711;0.8104813042650001;0.020791476958983274;0.09947341945644553;0.068052272540358;0.18831716895578682;0.9127183527351987;0.8816675473995033;0.813641339832502;0.018859033144051292;0.09947341945644553;0.068052272540358;0.1863847251408548
200;1441.0277777777778;0.849851524068615;0.7337179479101281;0.7728773852227188;0.8037398321373814;0.6469301328047276;0.5824182373094927;0.6057538016397547;0.9146873372147655;0.8919718470362934;0.9452545022757423;0.9094913242448838;0.8772613009516274;0.8078047319124195;0.021190759645564407;0.10154793940280829;0.06847777828225604;0.19121647733062874;0.9114335243869706;0.8790575212249313;0.8107188956416365;0.019394539372260426;0.10154793940280829;0.06847777828225604;0.18942025705732476
250;1450.9166666666667;0.8506626478988683;0.7368878553060928;0.7740857284170958;0.8052811656685601;0.6490220467562717;0.5877665333143909;0.6092831874710422;0.9169163519358867;0.8936598122052869;0.9455890978786332;0.9032146020138951;0.8866651853201685;0.810554367800327;0.021947800918548203;0.09138701376128343;0.0760523603326912;0.18938717501252286;0.9052590806155294;0.8885715642531701;0.8136315374346532;0.02004142198554651;0.09138701376128343;0.0760523603326912;0.18748079607952117
300;1428.7222222222222;0.8503454412204746;0.7413605234360183;0.7787852115779024;0.8026202326248659;0.6457232329040816;0.5876801529657097;0.6091492719326499;0.9159619446292836;0.890036534935637;0.943968277234664;0.9093652539722383;0.8735638271762939;0.8047602668037871;0.021997652296913688;0.10443852052679257;0.06725477443771127;0.19369094726141753;0.9114193962078614;0.8754454846906888;0.8077905920152673;0.02011599478251871;0.10443852052679257;0.06725477443771127;0.19180928974702255
350;1440.5555555555557;0.845505081273966;0.7354576077771734;0.7725078971034699;0.804271792687384;0.6474305159517625;0.5857927253804631;0.6079620194114345;0.916013280475595;0.8908597378443017;0.9436094847674789;0.9052712232074759;0.8793791846874763;0.8060935800100754;0.021753702832019182;0.09886711248050452;0.07317758619602234;0.19379840150854602;0.9074921527051638;0.8814167345182792;0.8093759189196932;0.019716153001216444;0.09886711248050452;0.07317758619602234;0.19176085167774326
400;1451.6666666666667;0.845123632555388;0.7384188397370743;0.7748789174220655;0.8042844542323873;0.6493976861142774;0.5897158853776656;0.6114307667370489;0.9149763138328874;0.8896539826465957;0.9420495663840587;0.9024882105782157;0.8795356560154194;0.8041569554061786;0.022416788518840318;0.09804755546574037;0.07555995424123559;0.1960242982258163;0.9046342558093244;0.8815232422740213;0.8073497748220186;0.02042920226023836;0.09804755546574037;0.07555995424123559;0.19403671196721434
450;1444.0;0.8404423053488569;0.7376130042763314;0.7720814798195337;0.8052001990443225;0.6445345692075323;0.5874622134041814;0.6078218272840648;0.9161488349214942;0.8895575479838498;0.9416258769943647;0.9038954471381503;0.877850884890274;0.8040649810071369;0.022595736162964175;0.09955337894676194;0.07348110975203953;0.19563022486176568;0.906165034481815;0.8799439045977027;0.8074230096914274;0.020502716455535402;0.09955337894676194;0.07348110975203953;0.19353720515433692
500;1436.25;0.8458049701990349;0.7426440553672038;0.7782190956629126;0.8024332698448369;0.6431493252465175;0.5869392191494156;0.6076188650893363;0.9154105018619728;0.88762768584725;0.9414557435083566;0.9043288426122292;0.8739021962021922;0.8010434139546346;0.02308471173870568;0.10301309205910211;0.07229092172476737;0.1983887255225752;0.906646921559902;0.8760277266158831;0.80446857312229;0.020959181325014967;0.10301309205910211;0.07229092172476737;0.19626319510888446
