ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;14368.233333333334;0.42954702093071695;0.27368953635870874;0.3270242195290024;0.49386100422954676;0.13528623235856957;0.08586867864275761;0.10272859730785057;0.7798254017981832;0.4480090829419138;0.46251307300774064;0.6295573566729812;0.35666722044499916;0.2949976221893804;0.15725105319236177;0.4860817263626391;0.07843596706800372;0.7217687466230047;0.7466851594945564;0.4270469346855888;0.3697765839932524;0.086871338951772;0.4860817263626391;0.07843596706800372;0.6513890323824146
100;15561.35;0.38973003771477693;0.25982863769774583;0.3053665808585161;0.48680844475505547;0.11844098410287687;0.07951925040271139;0.09320338599650305;0.7843431992213659;0.45131006445989513;0.4453720704863338;0.6047274808055207;0.3690410097159624;0.2980507774111505;0.1787350431783022;0.4522239471057354;0.093685637775432;0.7246446280594693;0.7250955146538953;0.447657877094058;0.3794158511377187;0.10011817580020661;0.4522239471057354;0.093685637775432;0.646027760681374
150;16044.383333333333;0.3687078766670087;0.2572825121627205;0.29697922264789783;0.4814712235948935;0.10991418593564053;0.07725334306031942;0.08895561178117288;0.7799257005596499;0.4530445475860324;0.4395732510013126;0.5935327570181159;0.3752129807448284;0.29966981851536895;0.1863232271535219;0.43846379210164976;0.10207067739866339;0.7268576966538353;0.7149403930294079;0.45704034275132865;0.3836746944811454;0.10449586514702164;0.43846379210164976;0.10207067739866339;0.6450303346473347
200;16394.066666666666;0.35354518470271123;0.24529375143649743;0.2837507389409825;0.47926549607899377;0.1033440859133464;0.07250850128102247;0.08355851025626641;0.7818768714648635;0.4476471900450897;0.42644473976579106;0.5789488232612133;0.37383870875169667;0.29514597898767286;0.19666164091001465;0.4294996503382887;0.10973743841157564;0.7358987296598792;0.7036751582718748;0.45967441688854344;0.3822269563995462;0.11082593277316781;0.4294996503382887;0.10973743841157564;0.6500630215230321
250;17307.55;0.3487877789306995;0.2543451828747284;0.28888292660549986;0.4792046421843522;0.10008889250198023;0.0743712689252498;0.08384656405548628;0.7841740482293441;0.4576797116163592;0.4278114807917161;0.5708784539600684;0.39167436131755234;0.3037694445958745;0.2076266180773309;0.40069902060511675;0.12578616233392997;0.7341118010163775;0.6945088524673984;0.4821723027180305;0.39438698144785117;0.11712867667685277;0.40069902060511675;0.12578616233392997;0.6436138596158995
300;16982.483333333334;0.3374347050583477;0.2493118679570288;0.2808210227451377;0.47959411358740395;0.09791686680881827;0.07320167842088796;0.08208738305141942;0.7815735354425646;0.45019866531724945;0.4231456741199974;0.5699977005613908;0.3809359255595002;0.29718879076739124;0.20490300229572445;0.4141610721447754;0.11910601091306121;0.738170085353561;0.6960683837005779;0.4706155246721108;0.38745060760591715;0.11522340318311372;0.4141610721447754;0.11910601091306121;0.6484904862409504
350;17510.6;0.3310423653561961;0.2461983592062556;0.2770411652777541;0.4803188352554338;0.09530223943695329;0.0717605844704665;0.0803430056648278;0.7825583619937962;0.4520063005619971;0.41875896971799587;0.5610854365149179;0.38752935581437864;0.2988395578329864;0.21376618751571286;0.39870445666990856;0.12878974678538221;0.7412603909710037;0.6873782251003328;0.48057067098076395;0.3914326068304703;0.12072487234932754;0.39870445666990856;0.12878974678538221;0.6482190758046182
400;17846.516666666666;0.31230598310895813;0.24177111138003626;0.2673013356858041;0.4738217113678347;0.08906065356208868;0.07001956514539247;0.07693141773778157;0.7794689980785097;0.4527375967956417;0.41701790931956684;0.5548344632714076;0.39165268048872615;0.2996210868208955;0.21999899976724993;0.38834831974402395;0.13622522407017038;0.7445725435814444;0.6807819658474978;0.48683763522353246;0.39343792887484;0.1248140450324436;0.38834831974402395;0.13622522407017038;0.6493875888466378
450;17819.716666666667;0.31990841524036956;0.2514746189754857;0.2760235065362397;0.47575987314413165;0.09243298182771839;0.07339156878355871;0.08027658398138543;0.7795656982345789;0.4537490174032582;0.4189481030688773;0.5559023667503543;0.3927024293159714;0.30023966414752407;0.2193802792086121;0.3879172914754165;0.13618005486680607;0.7434776255508347;0.6820842000416543;0.4880066155679891;0.39440909078806696;0.1240760929565944;0.3879172914754165;0.13618005486680607;0.6481734392988171
500;17836.766666666666;0.3150056423831563;0.2542341580722204;0.2757812927898024;0.47790483917936377;0.09196586972977498;0.07498109232772028;0.08103510181243177;0.7824582090604744;0.45373197126107495;0.41813543993088353;0.5554327620260523;0.39266810863184526;0.30024744832603206;0.21975153914388237;0.38758035222427245;0.1358492947415625;0.7431811861097173;0.6816813509954065;0.48813141311452307;0.3945155759965068;0.12428823466120446;0.38758035222427245;0.1358492947415625;0.6477178816270394
