ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1394.611111111111;0.6468862055007648;0.6988038452242297;0.6568760007464681;0.6408279574431544;0.3075945916170733;0.35351131160043203;0.3227796469227504;0.8082147184600648;0.7642945576739467;0.7639375142839078;0.7849730001192339;0.7574424645662314;0.6235688831127284;0.046687303078051176;0.19587023235571746;0.17899906428423434;0.42155659971800286;0.792141703024336;0.7639100204494919;0.6322799397549274;0.040219747194790725;0.19587023235571746;0.17899906428423434;0.41508904383474243
100;1558.111111111111;0.5352757783757579;0.6842240678044046;0.5831395674659484;0.6486153910237341;0.26368637538209777;0.36198332802158145;0.29800945980933685;0.8086419181620951;0.7254874965005471;0.7584180811777814;0.7025202753204969;0.7710387342738968;0.5749038156018418;0.06298130224602921;0.16597996348007393;0.30728264890116946;0.5362439146272727;0.7135466342032826;0.7822958650866703;0.5886304743182061;0.05172417143325577;0.16597996348007393;0.30728264890116946;0.5249867838144993
150;1520.111111111111;0.5666185545932249;0.6754967970025498;0.5991980863142832;0.6494917399901986;0.2807814723207412;0.35450862037658504;0.306566235622793;0.8103728223730929;0.7349452307067648;0.7608540636061375;0.7208822302098334;0.7690822462859352;0.5872734585447053;0.05948308193965727;0.17143467177440744;0.2807091770948235;0.5116269308088882;0.7314505735468271;0.7799807589042232;0.6002794802345364;0.048584569321369266;0.17143467177440744;0.2807091770948235;0.5007284181906002
200;1618.9166666666667;0.5405981888313226;0.6712640377843648;0.5838157135028347;0.654989057108975;0.2776592041538355;0.36296098262917226;0.3082900434264664;0.8129452820071384;0.7355427335568798;0.774144109306836;0.707198069138912;0.7858237621445853;0.5882663731908371;0.06198741978266051;0.1521888180727542;0.3120106363822063;0.526186874237621;0.7179250064082688;0.7976028614661215;0.6016501102354115;0.05020832046112424;0.1521888180727542;0.3120106363822063;0.5144077749160848
250;1606.6944444444443;0.5377703662131901;0.6609637938601907;0.5756416226616082;0.6587771008778378;0.27910950505185467;0.3622955086314939;0.3079172038298521;0.8148827115244334;0.7366639612166103;0.78073202039646;0.7087330193515506;0.7873189949089745;0.5890456252671082;0.06083924223468814;0.15184176285633744;0.31025250613991956;0.5229335112309452;0.7191264285157373;0.7984559484590792;0.6022316675602002;0.049702288684583346;0.15184176285633744;0.31025250613991956;0.5117965576808404
300;1523.0833333333333;0.5859195221766128;0.6783674120093103;0.6146540152461015;0.6487849430890631;0.29426831343435345;0.3576552091269933;0.31694973743087107;0.8111096732247933;0.7411673957579574;0.7745255299414573;0.7315666869900206;0.7709233087254563;0.5952494025818177;0.06032318070865431;0.16875351056588933;0.26788940359058805;0.4969660948651316;0.7423724117642707;0.782352194584;0.6084676744331364;0.04889429485011071;0.16875351056588933;0.26788940359058805;0.48553720900658803
350;1533.9722222222222;0.5682201718890076;0.6727095579146906;0.6008257264202834;0.6501488168384285;0.2814472452292367;0.3528035973572952;0.30683206875806474;0.8110545950790528;0.7404477139297208;0.7761563120658888;0.7291487994297399;0.7713508820471264;0.5941291192065808;0.06012822114469141;0.16852089680818227;0.2721846427778799;0.5008337607307537;0.7400028124886048;0.7826516154428639;0.6076485323516247;0.04882748774895387;0.16852089680818227;0.2721846427778799;0.4895330273350161
400;1521.111111111111;0.564843220746872;0.6787614990324538;0.6000182245431519;0.6503947099999237;0.28174328370369395;0.35880398390820256;0.30898306101249895;0.8160976673757765;0.7337316196628164;0.7755112510447113;0.7239900131188445;0.7662061707774002;0.5860664795621234;0.06038535273214776;0.17340847649045205;0.2859514529820968;0.5197452822046966;0.7347030609428506;0.7775093616874706;0.5992580659780563;0.04908216182207727;0.17340847649045205;0.2859514529820968;0.5084420912946261
450;1495.2777777777778;0.5657245695082731;0.6783955326973367;0.5997169228226246;0.6497512464631234;0.2797358938564096;0.35851580997244903;0.3073653898743267;0.8183414167449823;0.7298886295722689;0.7752480276273537;0.7240607527816061;0.7585264871764138;0.5808273217189596;0.061683390488504436;0.17979012233508163;0.27732500725300685;0.518798520076593;0.7365318576335936;0.7713860674429946;0.5957774353235743;0.04882381022192354;0.17979012233508163;0.27732500725300685;0.505938939810012
500;1538.1666666666667;0.5639657815004913;0.6752295811917998;0.5970550314392115;0.6526922507920009;0.2811383743194881;0.35596302832899096;0.3069457800098161;0.8129970138831859;0.7363404483026732;0.7798385874045533;0.7232148619946648;0.7726323254310401;0.5898884288116143;0.05965662208349967;0.16771105248546034;0.2947515933865898;0.5221192679555497;0.7329239979030168;0.7832144317596683;0.6020306428316827;0.04907451575487148;0.16771105248546034;0.2947515933865898;0.5115371616269216
