ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;18432.65;0.5880279138515914;0.5550185371354023;0.5628683841794745;0.6158984613982083;0.33618420466808707;0.31308200025201327;0.31965640126981276;0.8031151202396426;0.6297218865531117;0.6853879988592101;0.7348017266270658;0.557317134098696;0.4672291976753603;0.11809117413020938;0.32459169177109454;0.08453587672864613;0.5272187426299502;0.8037541366168011;0.6083144791426703;0.530340013888405;0.06709382908623503;0.32459169177109454;0.08453587672864613;0.47622139758597576
100;18332.683333333334;0.592580331559148;0.5746321080543418;0.5753699509938509;0.6182257722146415;0.33847013983351115;0.32439141942122496;0.3267845734301496;0.8074867116676763;0.6362738614578577;0.6959382576470275;0.7371343810155168;0.5651699839118512;0.4744325679810172;0.11529102810212248;0.31953898798602626;0.08506906698949064;0.5198990830776393;0.8019597784620889;0.6130512725292357;0.5343153801857911;0.06740973948473808;0.31953898798602626;0.08506906698949064;0.47201779446025494
150;19074.216666666667;0.602877382554632;0.5879707346489906;0.5884361276233592;0.6306504321026083;0.35737595533168015;0.34638385418942474;0.34774538502282604;0.8084792764844451;0.6592124556411173;0.7166996329985982;0.7434615707628299;0.5979521912160631;0.4998794731677476;0.11471025766332373;0.28733755112061304;0.09247906390357588;0.4945268726875128;0.8035774778682155;0.6448278050482738;0.5585686145559078;0.06783464383111329;0.28733755112061304;0.09247906390357588;0.4476512588553022
200;19698.166666666668;0.5988680150341179;0.6003569834365717;0.5929595879319222;0.6370816142786598;0.3629556934564961;0.36181659987607134;0.3584658586134003;0.8069818540094571;0.6710061160586493;0.7295857875501296;0.7424754012763661;0.6184748264286022;0.5132087243669164;0.1133757023756903;0.26814947119570764;0.101830216421183;0.48335538999258093;0.7987305057294912;0.6637702883289046;0.5701275921858422;0.06808024047538772;0.26814947119570764;0.101830216421183;0.43805992809227834
250;19512.916666666668;0.6106514899367922;0.6062451012258682;0.6020228628113553;0.6380295971929363;0.37145165639648836;0.3676280210278267;0.36572411235785723;0.8067653392811519;0.6799471750281474;0.7401768607445227;0.75472185804172;0.6250397693810014;0.5232917637773711;0.10641875682876427;0.26854147379023424;0.09736403098878935;0.4723242616077879;0.8050464190237464;0.6652472796877925;0.5744198829532372;0.06621124652197306;0.26854147379023424;0.09736403098878935;0.43211675130099664
300;18595.033333333333;0.628114123475294;0.6239060124997517;0.6196470440035396;0.6340057750707613;0.38584210752573916;0.38107510634131425;0.3796200859890559;0.8029352844437293;0.6806225986576262;0.7461832341223779;0.7774703290359196;0.6115561293466792;0.5239739385825593;0.09493888923660809;0.2935049814167127;0.08013586757986678;0.4685797382331876;0.8254517971551597;0.647966479929223;0.5712301398509197;0.058528538654064446;0.2935049814167127;0.08013586757986678;0.43216938765064394
350;19638.016666666666;0.6134204341741273;0.6256385089066047;0.6132128954009155;0.6404060332156843;0.38036719569572075;0.3861448842930325;0.3794278767481086;0.8065654560870218;0.6877934427005212;0.749341188950082;0.761107278124196;0.6337684967486251;0.5319475739849584;0.10326627007244253;0.2629652331789323;0.09629052258536637;0.462522025836741;0.8097525381422646;0.6729378278190115;0.5821906250000718;0.06409693900205606;0.2629652331789323;0.09629052258536637;0.42335269476635456
400;19108.05;0.6266604598891604;0.6334759943255719;0.6242480299059293;0.6387557650953097;0.38845066454188193;0.3910844202724547;0.3862606758787522;0.8040586610045732;0.6890420451625201;0.7525181330187467;0.7745777620661568;0.6273028516350493;0.5335598795599942;0.09624065202888572;0.27645649633606495;0.08656150860499083;0.4592586569699415;0.821534701060343;0.66390865224522;0.5811774217000168;0.05963485141871508;0.27645649633606495;0.08656150860499083;0.4226528563597708
450;18649.116666666665;0.6308794005541198;0.6327019624446492;0.6259946403894475;0.6324598231128643;0.3906131137064338;0.3899167086632848;0.3867513959202769;0.8001338297677343;0.6863545427362135;0.7523244290357958;0.7858525492664495;0.6159196815984429;0.5301959743623387;0.08879403496821173;0.2952862834333453;0.07898247638075896;0.463062794782316;0.8296200416885802;0.6490406778610261;0.5735872781073894;0.05567303870562842;0.2952862834333453;0.07898247638075896;0.42994179851973263
500;18870.4;0.6260804659186511;0.6460117419558251;0.630579552627443;0.6352513936128051;0.39176341909578205;0.4019760548664773;0.39355053041927485;0.8006548889086902;0.6902820288901164;0.7581985515977309;0.7834156659069677;0.623371791382112;0.5349888449635025;0.0919999588368736;0.2846282497810145;0.07998633281091208;0.45661454142880026;0.8295445759508354;0.6586571589470823;0.5811921691756214;0.056714591271903154;0.2846282497810145;0.07998633281091208;0.42132917386382984
550;18736.466666666667;0.6384460683797111;0.636945433811613;0.632118770265522;0.6382780963819867;0.399905635628235;0.3972597822067046;0.39518600606837767;0.8025062390415065;0.6914834920459225;0.7604594531942575;0.7857931510580118;0.6239187324096404;0.5364645829622492;0.09056127269559174;0.2855199948947679;0.07909336840237242;0.45517463599273206;0.8298152624855858;0.657568788462515;0.5806342342059004;0.056911216642717075;0.2855199948947679;0.07909336840237242;0.4215245799398575
600;19661.566666666666;0.6238934292564163;0.6506971320376886;0.6321603551313599;0.6397817812935884;0.3894700042423807;0.40544530020878233;0.3943787679562405;0.8031694842134802;0.7003507077675079;0.7622986805406257;0.7720330103892755;0.6470137369727058;0.5464154358046979;0.097453795122276;0.25553246790501805;0.09451475598262983;0.44750101900992395;0.8163667177712596;0.6830480263448278;0.593149850997454;0.06141950575015416;0.25553246790501805;0.09451475598262983;0.41146672963780195
650;19924.05;0.6155187344985277;0.666827577812015;0.635605896279315;0.6413148593453866;0.38606369278875374;0.4168458277705625;0.3981056554283956;0.8060880883036499;0.7021684694335332;0.7610394916240694;0.768944438405078;0.651855970356404;0.5478921798848468;0.09867615632824918;0.24946787331534695;0.09934317247316463;0.4474872021167607;0.8129036432462311;0.6882529384811367;0.5948904164747829;0.062279188203516314;0.24946787331534695;0.09934317247316463;0.4110902339920279
700;20112.75;0.6230310598107293;0.6619711996693697;0.6371115137535346;0.6455412324335003;0.39291000042116564;0.4164525960458981;0.40141282198949957;0.8077479078990982;0.7054165085011459;0.761996018381199;0.7694709990572643;0.6570124738775812;0.5514590249360347;0.09664168517859509;0.24634584094382367;0.1018291697010183;0.4448166958234371;0.811461610626632;0.6919239623848132;0.5967559769768215;0.06173019667136296;0.24634584094382367;0.1018291697010183;0.409905207316205
