ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08635972768068076;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07846740655988739;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08856758060968509;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08226909191653314;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08123623362508159;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
300;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07637879864253531;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
350;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11348277581230998;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
400;10308.0;0.18328979059157274;0.07517590095082638;0.10391890848106038;0.44372265281952095;0.04635216078347751;0.019046888636921826;0.026317267703750587;0.7808430749611617;0.2314124933841961;0.26669016869575857;0.46087325876232;0.15824635320098113;0.13273746345951523;0.16852825893640233;0.6732253878626167;0.03561404176940105;0.87736768856842;0.6712706373796586;0.23422448530627463;0.20784902696233945;0.09255012683110879;0.6732253878626167;0.03561404176940105;0.8013895564631265
450;12731.2;0.2575270744928842;0.13627749517837806;0.17419187825630894;0.45663934789810623;0.06460012398521082;0.034729011210665246;0.04416896304728581;0.7793128646386993;0.33986538084339113;0.34376195814082716;0.539108551712446;0.254894907856979;0.20855150143389095;0.180991255377597;0.5641138367654239;0.0690989883077541;0.8142040804507752;0.687773008879766;0.33193492309836226;0.2848053616783604;0.10395124013621368;0.5641138367654239;0.0690989883077541;0.7371640652093918
500;13879.183333333332;0.30208374723280096;0.18081117397920796;0.22070432969903492;0.4690691127107946;0.08125535796543643;0.04871308283492765;0.05948532192606242;0.7829995178763609;0.38282194908700623;0.3753166868692973;0.5590087981530248;0.29865503020611295;0.24177122829344025;0.1854094186568786;0.5159355511370084;0.07880930087349818;0.7801542706673852;0.6947360197266534;0.3752762599737423;0.3190731846425049;0.10878818888924922;0.5159355511370084;0.07880930087349818;0.7035330408997557
550;17989.65;0.25921341386935504;0.1851596366123212;0.21159471460387683;0.4643845090970136;0.06443142247700274;0.047249360500559424;0.05343586562480594;0.7867637279861318;0.42146384750019933;0.37946686061767204;0.5141872101203663;0.36506945068985897;0.2733288154731405;0.24425600409111814;0.39067454521902284;0.14096150885513153;0.7758920581652725;0.6433063668951404;0.4623712138472726;0.36608375934224774;0.1469542409337045;0.39067454521902284;0.14096150885513153;0.6785902950078587
600;17912.583333333332;0.22777850730984578;0.18221354628143258;0.19869320625943593;0.45744624791058813;0.05768780479467395;0.046472477267702525;0.05051534428694339;0.7774981017298827;0.4173885520944757;0.37755914932544077;0.5131904900756643;0.35951477655862973;0.2702687763995743;0.24480477564870273;0.39568044779266753;0.13787372343657484;0.7783589468779453;0.6400532018388091;0.45398949462077237;0.3600454089064138;0.15033005758656018;0.39568044779266753;0.13787372343657484;0.6838842288158027
650;16838.716666666667;0.26109101841052973;0.2165374883224967;0.2321914000675339;0.46718405921489575;0.07208731717343118;0.05965456385758294;0.0640704082739412;0.7749814116965447;0.41763767011548547;0.38639556047310886;0.5331634302443885;0.3511345819348449;0.2698200281051624;0.22587360440993745;0.42299181365521765;0.12071707729931251;0.7695824953644677;0.6582456179406794;0.43877013828035133;0.35482326154081006;0.13823804806443107;0.42299181365521765;0.12071707729931251;0.6819469390189614
700;18244.633333333335;0.25658859578800014;0.22368548517248918;0.23509967341880406;0.4666180348492651;0.06927084278021903;0.06053430616598883;0.06360537144318378;0.7796792094773207;0.4242296692443135;0.3813545425684045;0.5152079086629492;0.3699682577739124;0.275467992269415;0.2469321105109297;0.383099631715158;0.15046380586256503;0.7804955480886527;0.6392773532314735;0.4658480924339357;0.36561329443188767;0.15105227585090633;0.383099631715158;0.15046380586256503;0.6846157134286294
750;17808.25;0.2569361929528522;0.2131443591662433;0.22894407632278144;0.46606623349659076;0.06824697294050129;0.056789490241328185;0.060938952314438;0.7760197097965037;0.4242298480668902;0.3827864635706127;0.5217385453105657;0.36626595254010624;0.2755462187962013;0.2405285565449588;0.393205490914935;0.13818006854658044;0.7719141160064742;0.6452782484923845;0.4585151259502688;0.3635836842159271;0.14827938313479624;0.393205490914935;0.13818006854658044;0.6796649425963117
800;16815.883333333335;0.24511593758791017;0.20597475380890287;0.21930439416475575;0.46357921934178126;0.06707378211583803;0.056279427587274444;0.06001513637967602;0.7690384407068045;0.4200611547491268;0.38955356369559063;0.5356550172961726;0.3537137755655166;0.2722125863481536;0.2229082433667;0.4233779810677834;0.11939316829462927;0.7656793927291129;0.6592279745766495;0.43959093814714606;0.3560206750743109;0.13703108078507054;0.4233779810677834;0.11939316829462927;0.6798022301474832
850;18844.6;0.2518617739833941;0.2126663867647768;0.22666756035978475;0.4581161983163433;0.060520420005626345;0.05159499280015773;0.05472894269239976;0.782719488910359;0.43170816724638267;0.38333859397822306;0.512272277521991;0.38330458163831627;0.2818688108342379;0.2538199470496736;0.3628754713120101;0.16374247429543518;0.7804378926571189;0.6354293161830654;0.4824268224997163;0.3743959411606301;0.1546977061882737;0.3628754713120101;0.16374247429543518;0.6813156517957188
900;19363.283333333333;0.2155598346155638;0.19683432443832963;0.20231822480420517;0.45702588268010663;0.05479615672118686;0.05030600779719517;0.051578161184523845;0.7744554009216025;0.4329269198043514;0.38198619991502425;0.5061256804942936;0.38781109019020704;0.2831956441694736;0.2608367075900627;0.3513522022197303;0.16935197536667182;0.7815408851764648;0.6299760343939894;0.48921873035653685;0.37756073811096524;0.15942906742373278;0.3513522022197303;0.16935197536667182;0.680133245010135
950;15661.816666666668;0.23478412079759237;0.1916696482577276;0.20659659681820536;0.45896039383608933;0.06321658774255297;0.05100200936934332;0.055356975999593286;0.7662831727625178;0.3958065631804517;0.367797705740993;0.5326913615788442;0.322717560603135;0.25223887288996;0.21646257959842172;0.46081985979844325;0.1042602874432771;0.781542726840142;0.6583509484620017;0.4037691936456406;0.33123454226582416;0.1354109465559161;0.46081985979844325;0.1042602874432771;0.7004910937976364
1000;19149.783333333333;0.22738989981584737;0.21902831879018;0.2192810759408166;0.4623946311006051;0.059796478440794165;0.05781288869760188;0.05780524303658988;0.7753299258155651;0.4298201315571993;0.38217045868107286;0.5048507728759116;0.3832170564079339;0.2804523872798908;0.2586139018112407;0.35816904178082537;0.16468230791450184;0.7814652515065679;0.6280333936253151;0.4825273547149937;0.3731239612217818;0.1593036035041809;0.35816904178082537;0.16468230791450184;0.6821549531995081
1050;18955.35;0.24158792787565536;0.2272825037336084;0.22993262764933703;0.46364348379011194;0.06142923304964989;0.0581185759120292;0.058675006120321;0.7778204179746223;0.43795045152542683;0.38858668856696316;0.5169809647002737;0.3892809771975386;0.28712633182324093;0.2504422844760134;0.36027673832644785;0.1610497302618232;0.7717687530642847;0.6386133834403113;0.4869951079296307;0.37913566628574097;0.15272815374392135;0.36027673832644785;0.1610497302618232;0.6740546223321925
1100;18381.333333333332;0.228905943970767;0.2169760306914342;0.21867667248931563;0.4574628205903438;0.058916167336286906;0.05594373508073244;0.05636000660501564;0.775341764233154;0.43067836106849616;0.38922490579132546;0.5189459275158848;0.37675305515100294;0.28091649130204654;0.2433953707172367;0.3798515741317604;0.1491224537148761;0.7723693985638731;0.6411514991607008;0.4706100454712329;0.3702753861416951;0.1495383803970067;0.3798515741317604;0.1491224537148761;0.6785124082436432
1150;18598.416666666668;0.23723327936680194;0.21404269996590744;0.22083832278981402;0.45932028168483985;0.059605588596693085;0.05429769790335018;0.055806279943302575;0.7776477755064786;0.43446252578566463;0.3863796929364157;0.518666954166015;0.3830318808836425;0.28423066391372015;0.2458772084064264;0.37109091070993094;0.15585052825365928;0.7728186473700166;0.6404570691811027;0.4786970281471925;0.37473133225635097;0.15021206114287647;0.37109091070993094;0.15585052825365928;0.6771535001064668
1200;19254.383333333335;0.22697584293560816;0.2162502373914135;0.2174163190588602;0.46156973328921963;0.0581124201970101;0.05538238472267283;0.055708004193243475;0.7748974998043547;0.4340567436175441;0.3820930326151895;0.5076878932509267;0.3884768438176345;0.28403903586519064;0.2583367425533691;0.35318641362899633;0.16862686436302285;0.7801500205453882;0.6299446825145842;0.48830507322728045;0.37698898533715586;0.15850851314372322;0.35318641362899633;0.16862686436302285;0.6803217911357424
1250;19429.316666666666;0.22689176293436492;0.22098384353802367;0.22007381280316157;0.46010515461966006;0.057510413339240236;0.056289362491229025;0.05593412106214064;0.7753306119419998;0.4378485040357139;0.3861041462213467;0.5099381407674679;0.3931321632126453;0.28720581579087257;0.25757677150891917;0.34929106527843545;0.1715943599510911;0.7784621967384456;0.6326778183948236;0.4943192792741867;0.38146673593276537;0.15638965544737787;0.34929106527843545;0.1715943599510911;0.6772750806769046
1300;17591.116666666665;0.24353365669823546;0.21588871272589116;0.22414025806689603;0.4594776873376988;0.06176424434994706;0.05476664150174801;0.056876428734761626;0.775652594699364;0.42891113215441595;0.386464965887775;0.5300386858025925;0.3689655920028389;0.2793551637072003;0.23209771465383697;0.39893669334332416;0.13467772721278662;0.7657121352099476;0.652808614102416;0.45917877613273633;0.3664787042200304;0.1418845305239395;0.39893669334332416;0.13467772721278662;0.6754989510800502
1350;18471.783333333333;0.21968687875681409;0.21601910280016764;0.2137050995224298;0.4567505884385018;0.057558607629174446;0.056389890098542554;0.05591976211071062;0.768358649525806;0.4303962824256215;0.3847099366780901;0.5181405968604164;0.37661240321448314;0.28085240313975784;0.245693674794379;0.3776939219911379;0.14858475344146038;0.7719723502269772;0.6407775063500616;0.471343051511815;0.3707581751726658;0.15096302649704715;0.3776939219911379;0.14858475344146038;0.6772417019296454
