ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1404.1666666666667;0.7867139675981485;0.7263638288284812;0.7402833201101439;0.664519560219833;0.4127051541056629;0.3979041109549984;0.3994261775663253;0.8166702572813507;0.8150448807545552;0.8440952276257823;0.8519818569384028;0.7868961866550871;0.6920940316290588;0.028879747974828174;0.18422406537008462;0.1132379766755393;0.3263417900204521;0.8541569375635322;0.7890469401944503;0.6952717253910057;0.026728994435464903;0.18422406537008462;0.1132379766755393;0.3241910364810888
100;1343.8333333333333;0.8133194437492824;0.7306120601224305;0.7547056242055938;0.6689061826622359;0.42031318821744446;0.3935371691150238;0.40118055170067635;0.8229551980089338;0.8126784833231712;0.8605199159229052;0.8660882940717367;0.7705170019892719;0.6884008216886065;0.029348601917757542;0.2001343960929705;0.09443645655338685;0.3239194545641149;0.8685355325042442;0.7727299383385144;0.6918534242249941;0.02713566556851496;0.2001343960929705;0.09443645655338685;0.3217065182148723
150;1353.0555555555557;0.7952730711532854;0.7373419705699007;0.7514593685790554;0.6609828029316926;0.4171401707333414;0.4012125810289909;0.403700824676615;0.8146167707234712;0.8110200065737042;0.8528914814491784;0.85881901357318;0.7732519129157076;0.68620733361477;0.03033108669316776;0.19641700039112464;0.10183227852342591;0.32858036560771825;0.8620491688234129;0.7761864077882982;0.690714078831903;0.027396591820577153;0.19641700039112464;0.10183227852342591;0.3256458707351278
200;1344.388888888889;0.8118892125656065;0.7272499870921686;0.7496818576052425;0.6640175495356203;0.42463942511231684;0.3974731192556387;0.40410040460976493;0.8186525618730827;0.8132466186883051;0.8641986447317019;0.8647445843365664;0.7726137664610863;0.6890553136631042;0.029235602309318987;0.19815063122959464;0.09620713452187891;0.32359336806079253;0.8685457805205029;0.7760763931142903;0.6943661974282735;0.025772975656115048;0.19815063122959464;0.09620713452187891;0.3201307414075887
250;1300.611111111111;0.8097793591023873;0.7485951672369205;0.7661180319879763;0.6507536351535627;0.4001370059760609;0.38681161328438196;0.38905975270175275;0.8136829537869829;0.8036632026156804;0.8426921538233558;0.8673260572846672;0.7540748218316904;0.6763599147054138;0.0281544728122762;0.21777070535603327;0.09105512946763675;0.33698030763594633;0.8701826692127413;0.7565697997638665;0.6802391655239697;0.02565949488010026;0.21777070535603327;0.09105512946763675;0.3344853297037703
300;1355.361111111111;0.8089273555970722;0.7346539916199781;0.7533740828097695;0.6630612266427268;0.42868908324538174;0.40558378668667555;0.410124243481649;0.8108958050343847;0.8117448217982205;0.8535339755106763;0.8557604280446638;0.7770925029961714;0.6871653282301532;0.030320492674958694;0.19258700432887;0.10563428724020142;0.32854178424403013;0.858868870373239;0.7800002262248882;0.6916879343249632;0.02741276944624189;0.19258700432887;0.10563428724020142;0.3256340610153133
350;1267.4444444444443;0.8245265198144782;0.757355484938088;0.7773422852510381;0.6587489991481222;0.42078211957634715;0.4042944308464645;0.4081189969791708;0.8170037727307249;0.8071361483849427;0.8575355195439607;0.8774212028288213;0.7520438429179782;0.6806298945835969;0.02734323937346121;0.2206129177085605;0.08150088890457897;0.3294570459866007;0.8809759890561889;0.755080935839714;0.6853516903923604;0.024306146451725585;0.2206129177085605;0.08150088890457897;0.32641995306486515
400;1302.2777777777778;0.8023916364362074;0.7439045790251853;0.7582589717362781;0.6497086949800401;0.4080920913492213;0.39307791594714725;0.3952670930049226;0.8087139376385583;0.8017329516192565;0.8461407461638762;0.859595933946137;0.7564765423070557;0.6729287283969811;0.03158087987348346;0.2119425778194607;0.09698533305157768;0.3405087907445218;0.863979321940118;0.7602479970589268;0.6786628792568621;0.027809425121612504;0.2119425778194607;0.09698533305157768;0.3367373359926508
450;1301.0;0.8127215294712671;0.741183496925157;0.7623731304810317;0.6544188242321756;0.40865470656056607;0.38906498415452007;0.39418766037053254;0.8149798326061979;0.806944928809548;0.8495273399155407;0.8697595260325346;0.756999009001785;0.6804317699691927;0.029392169100620265;0.21360882189759478;0.08697769638301725;0.32997868738123226;0.8734940800172979;0.7603014370733092;0.6855273951523349;0.026089741029095958;0.21360882189759478;0.08697769638301725;0.32667625930970795
500;1282.0833333333333;0.8214877936700073;0.741000012286704;0.7666223110962863;0.6543019734416134;0.4094513210259957;0.38674820630266205;0.3934513800452815;0.8168212551353372;0.8033067139581405;0.849448511803424;0.8724359492928887;0.7498435126630231;0.6752616754425653;0.02821719983490376;0.22193928750207326;0.08599092748541558;0.3361474148223926;0.8765764499000702;0.7533954396186414;0.6807755716283271;0.02466527287928537;0.22193928750207326;0.08599092748541558;0.33259548786677423
