ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;15419.016666666666;0.5536283195232112;0.4695755725321817;0.4992912958819843;0.5591757666569221;0.2506978595659942;0.20523445216409666;0.22168162768860714;0.8076046821632411;0.5331675327779003;0.5583255451784467;0.6852981621076065;0.4477074693084798;0.36935690568067503;0.14153158357687573;0.41076094711464445;0.09126055894810217;0.6435530896396223;0.7912866258265743;0.5208797020684226;0.4507800066709259;0.06835935081693294;0.41076094711464445;0.09126055894810217;0.5703808568796795
100;16035.983333333334;0.5691115624683852;0.45641380095565826;0.49875219703926926;0.5607806055246657;0.2532585837497639;0.1993745046790476;0.21952736175495577;0.80503155441029;0.5340999912440415;0.5486821690478242;0.6725820660768761;0.4543306403775326;0.37021820899087;0.15329078242456531;0.3923785771979021;0.1003032878691783;0.6459726474916457;0.7785372401503554;0.5311563458201863;0.45437644492309054;0.07646507698191153;0.3923785771979021;0.1003032878691783;0.5691469420489919
150;14681.6;0.5418873712674117;0.4585442143068153;0.4875979194815284;0.5399893362551551;0.2332080161327868;0.18915350316437074;0.20495586356556703;0.7979240274529337;0.506499638022257;0.5354251417285459;0.6783756240112161;0.41696556073771707;0.3434732180886624;0.1426957476477663;0.44033869161451666;0.09009656182335403;0.673131001085637;0.7889227887552482;0.49054052310936885;0.42414406528625354;0.0691207852761145;0.44033869161451666;0.09009656182335403;0.5995560387139851
200;14759.183333333332;0.5507074429231508;0.4354775919200555;0.4767305544432726;0.5509946373181474;0.24073853162094005;0.1845820388767914;0.2046671084791124;0.7967459836736482;0.5101600626457022;0.5374797385833817;0.6809191418139542;0.42062536226284025;0.3476794160493449;0.14472662425436036;0.4346480134827994;0.08560170137079301;0.664976339107953;0.7918488814385128;0.49445685446651133;0.4290585719656497;0.07089513205068922;0.4346480134827994;0.08560170137079301;0.5911448469042817
250;14071.3;0.5819369664791865;0.4509618438048411;0.49767658131701337;0.5623994470482566;0.2721333156382407;0.20413731374011193;0.22838315217833122;0.8035351080862801;0.5203368662774513;0.5691768263308921;0.7146601031805873;0.42143908255528667;0.3575758556866883;0.12304917667581046;0.45551174076890283;0.07074469988380142;0.6493056173285147;0.8113861852736639;0.48182168368626066;0.4256283988726011;0.06266657554483658;0.45551174076890283;0.07074469988380142;0.5889230161975407
300;14856.916666666666;0.5457679152484205;0.4416542555669995;0.47890432291467466;0.5533981819357342;0.24483877017392136;0.19070775431386455;0.21021591281584048;0.802894891980579;0.5099071111018693;0.5316124463143322;0.6812436215668441;0.41996910768328405;0.34822363322736793;0.14161234608111498;0.43841854623560095;0.08764973631933042;0.6676806286360464;0.7887293418699842;0.490672772625457;0.42548011577677325;0.07090868113894205;0.43841854623560095;0.08764973631933042;0.5969769636938733
350;14023.4;0.5504957752296599;0.43900781638355857;0.47848787082605454;0.5506924613959001;0.25372022375318953;0.19348320583959508;0.2149718104518851;0.7954067659369175;0.5011841799459513;0.5345974749302228;0.6986093188937884;0.40107692367435244;0.3399244087269971;0.12924281878284366;0.46968025754280396;0.06824131959655616;0.6671643959222038;0.8036579950351534;0.4649230523805833;0.4112040203888569;0.06539669007661277;0.46968025754280396;0.06824131959655616;0.6033182672159731
400;12847.55;0.5458452688914139;0.4244819714541875;0.4674374752083226;0.5331885608859582;0.2334816314693358;0.17143153554309978;0.19355399064095732;0.797938606684044;0.4700841521943653;0.5032810581420528;0.6867718755934297;0.3683394259081402;0.3117186945495823;0.1320133860961001;0.4996471879957597;0.06485072154082518;0.6965112956326851;0.802258405483111;0.43528784516202723;0.3851339874280323;0.06506496684221305;0.4996471879957597;0.06485072154082518;0.629562876378798
450;12558.25;0.5617176490952881;0.42192695740272085;0.4706007975021803;0.5413364351197548;0.24886132303375222;0.17794956817408708;0.20266313838238145;0.8009003162186537;0.478564162707853;0.5225731732632216;0.7078800740918391;0.37183075842359686;0.3203370704839098;0.11890759850426573;0.5092616430721375;0.055365181363862405;0.6835344229402656;0.8171941445453869;0.4325274220907088;0.3884467279668212;0.05821093483715362;0.5092616430721375;0.055365181363862405;0.6228377592731535
500;13899.666666666666;0.5762338515255514;0.4290709137332617;0.4820617456109827;0.5520415134372285;0.25842781208339966;0.1844003418255085;0.21091176421921345;0.8027914263246647;0.4996740505994411;0.5294666494685666;0.6950140507951239;0.3997274210999421;0.3382402295909776;0.13053711775176177;0.4697354611482962;0.07013734771603732;0.6704099266160952;0.8041479879948279;0.4662120397083315;0.41258379490626296;0.06405249914337229;0.4697354611482962;0.07013734771603732;0.6039253080077059
550;14967.816666666668;0.5592411445142216;0.43150745664465945;0.4780400553715483;0.5591578429737498;0.2555161762374491;0.1900519047220946;0.2137483757324843;0.802921615518567;0.5104516584112008;0.5216387483931211;0.6759591474760339;0.4202660116248601;0.34888192520403893;0.14653936944437415;0.43319461893076583;0.08366910361712612;0.6634030919922663;0.7874516020486659;0.4936610989572926;0.42953313243872243;0.07314428211194168;0.43319461893076583;0.08366910361712612;0.5900080046598336
600;13950.516666666666;0.5616712878734753;0.42102549917891974;0.4710141436001693;0.5518214059089577;0.2562649835959702;0.18333695565759855;0.20904647095807496;0.8013446363908728;0.4966110401723288;0.5201895956340176;0.6884019515783325;0.3985481676440644;0.33621944281082905;0.13493507661491813;0.46651675574101753;0.07072588312993244;0.672177715485868;0.7989494791682844;0.4663893598862489;0.4116011705460483;0.0670938843727337;0.46651675574101753;0.07072588312993244;0.6043365232436836
