ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1497.4166666666667;0.5337440499890672;0.6042944186165069;0.5567178736433573;0.5502945320196052;0.17966955467383153;0.21708506202248978;0.193503803859246;0.8141603374654861;0.6960024543482421;0.7225776425844681;0.730533890329903;0.688167916477362;0.5413000018634275;0.05957763483299028;0.2522544486896477;0.21290268508718707;0.5247347686098253;0.7498860638021402;0.7061511436918231;0.5639265643686572;0.041594407618529186;0.2522544486896477;0.21290268508718707;0.506751541395364
100;1219.861111111111;0.6298994657206516;0.6196551770853393;0.609148280249134;0.5036854651452529;0.15862548450415115;0.16698327202314045;0.15864800049031624;0.7956455321261419;0.6628523769551937;0.7054778995817661;0.7927898808472689;0.5962992303984928;0.5061633319289638;0.03963816536507892;0.36406260423642817;0.13690820612674548;0.5406089757282525;0.8034238425140086;0.605149377030264;0.5172447480416027;0.030788018733307814;0.36406260423642817;0.13690820612674548;0.5317588290964815
150;1238.4722222222222;0.6113555452378537;0.627757986778183;0.6033031386912305;0.5559105636459307;0.20029163738140532;0.2165638284910455;0.20307049730965038;0.8089785999008439;0.7117338079424144;0.746140371360333;0.7918627476624618;0.6660821095027798;0.5590713181015307;0.04438169498779454;0.2895361955094258;0.14676879244373678;0.480686682940957;0.8012579921664239;0.6735459923805449;0.5695573700664505;0.03691781211002938;0.2895361955094258;0.14676879244373678;0.4732228000631918
200;1254.3333333333333;0.6692204747338024;0.6355095110640835;0.6329150715435294;0.5729924420763441;0.23447032248445895;0.2382332042666813;0.23081499322107746;0.814636460689444;0.7288606147411197;0.7685759645077224;0.8159661258271304;0.6795972155274703;0.5809377112302074;0.03737705818505446;0.28302572628747513;0.13225218296452904;0.45265496743705863;0.821112118104286;0.683730000035399;0.5868012057120301;0.03324427367712582;0.28302572628747513;0.13225218296452904;0.44852218292912993
250;1254.361111111111;0.6185817322643276;0.6066715536060037;0.6000138940915766;0.5727457874747294;0.22641910849458113;0.23587953379233884;0.22734325072087394;0.8064005457591175;0.7220161089930001;0.7580313134194306;0.7965394185209179;0.6776693532583058;0.571721806408039;0.049496153553888006;0.2728344931878063;0.13569063213567845;0.4580212788773726;0.8065591700175369;0.6857995540011905;0.5828803173373777;0.04136595281100332;0.2728344931878063;0.13569063213567845;0.449891078134488
300;1246.6666666666667;0.6543109992062559;0.656836356977333;0.6348749554726074;0.5881982694110334;0.24218780418579733;0.2562906082826419;0.24242465166744276;0.8078142821698483;0.7216461409228072;0.7618752027697032;0.7956171074284091;0.6804424548578736;0.5713764782183337;0.04480975896277215;0.27474778617935436;0.15170541625078415;0.47126296139291074;0.8037995444811927;0.6871453435378384;0.5806272792244681;0.03810687028280727;0.27474778617935436;0.15170541625078415;0.4645600727129458
350;1414.361111111111;0.5727479863531106;0.6486006451582557;0.5937491585042235;0.5783224219669648;0.21105710402739772;0.2571742928606669;0.2271224742584639;0.8035355979517063;0.7162321147601958;0.7456617523216186;0.7467786914081458;0.7070478879166209;0.5633090660347438;0.05429050009473461;0.23866161198864447;0.2073984132703975;0.5003505253537767;0.756247142450751;0.715045414255008;0.5740712458849525;0.04629297375634751;0.23866161198864447;0.2073984132703975;0.4923529990153896
400;1205.9444444444443;0.6502547735346901;0.6611134222172085;0.6395514637815176;0.555369218879588;0.21251431072415566;0.23279488288126718;0.21767181358869078;0.7996595419183697;0.7132601938526211;0.7417793832367606;0.7937732697449207;0.6652192273352768;0.5612768121145643;0.04764833048569519;0.287132442179028;0.1397862834118562;0.47456705607657956;0.8019712776182608;0.6713045331707761;0.5694846786404621;0.04156302465019579;0.287132442179028;0.1397862834118562;0.46848175024108013
450;1478.2222222222222;0.5873485708546067;0.6567190813370163;0.6018024430151032;0.6020463070215967;0.23583662542376674;0.28119892570206606;0.24990801228246878;0.8103024932891852;0.7294900210516089;0.7661179055125821;0.749739056177443;0.7304490709553566;0.5805661155911027;0.05490394307366888;0.21464698597097456;0.22253190655540514;0.49208283560004873;0.7564542744575208;0.7369146441048127;0.5887452475013204;0.0484383699242127;0.21464698597097456;0.22253190655540514;0.48561726245059234
500;1407.1944444444443;0.6065072315528086;0.6575948006834236;0.611444768663927;0.5924356307190718;0.23971360355889626;0.2799912805719024;0.25119502898823703;0.804348901984574;0.7225839033801635;0.7644296321719514;0.7524204533176051;0.7182352813648993;0.5720388116933411;0.05521238393774284;0.22655233469735775;0.22149710987590057;0.5032618285110011;0.7589632744249895;0.7242517681875132;0.5797111075633398;0.04919589711512892;0.22655233469735775;0.22149710987590057;0.4972453416883872
550;980.3611111111111;0.6769791024858465;0.6919519307099824;0.6664548948344118;0.47994708249770024;0.16127178673062148;0.17917112359954349;0.16641302877493666;0.7950067316352026;0.655804054394085;0.6966303497827182;0.8044031289184149;0.5761969228801397;0.4974504155978933;0.03806578811730724;0.38573728900255305;0.11757282129372583;0.5413758984135861;0.8136929056377629;0.5814122977138502;0.5043625660128914;0.0328504132835967;0.38573728900255305;0.11757282129372583;0.5361605235798755
600;1455.2222222222222;0.6193771955845605;0.6850005200643096;0.632844782238712;0.5878366519157768;0.23636392366008221;0.27928403927883555;0.24974616795531007;0.8076170431794573;0.7272909267815305;0.7613797742852938;0.7568228467886567;0.720254404914098;0.5770294932151541;0.05048151059199974;0.22926408449390218;0.2081146507810279;0.4878602458669298;0.7647271854760319;0.7275081635006236;0.5864732130856551;0.043227752005474074;0.22926408449390218;0.2081146507810279;0.4806064872804041
650;1392.5833333333333;0.6027518365236868;0.7009734208371248;0.6281684712238293;0.57988434769668;0.22465866794312672;0.2815442947472049;0.24327775906179497;0.8034232989694762;0.7172659264195582;0.7518978209953004;0.7492696660607643;0.7108354100136451;0.5651167179038076;0.056748734857043015;0.23241585512931198;0.21794630887377303;0.5071108988601281;0.7557121505325303;0.7169617009771294;0.5726392777164416;0.05062244389355861;0.23241585512931198;0.21794630887377303;0.5009846078966436
700;1373.2222222222222;0.5979837702351706;0.6907154376034917;0.6256784109939958;0.5434701280124645;0.1953160432180259;0.24069501943027216;0.21085047050755426;0.7939745872607151;0.6991040461124212;0.7136981373511753;0.7444505139420786;0.678782657110188;0.543744453303863;0.060158144174864016;0.2610591987149479;0.19670583218871862;0.5179231750785306;0.7577126866419811;0.6908513813307375;0.558894355148026;0.048089419954314476;0.2610591987149479;0.19670583218871862;0.505854450857981
750;1361.5277777777778;0.6235125887325303;0.6756786992947906;0.6287455207723218;0.5735063500558137;0.22039771855572593;0.2570339211659618;0.23091268662849357;0.7983717989145284;0.7262699092086063;0.739022692370331;0.7705083472608207;0.7057290890460374;0.5757993530895731;0.04720154533784107;0.24706936561612153;0.18312922445419308;0.4774001354081558;0.7765432683366646;0.7109552133244588;0.5828522866019529;0.04197542105941971;0.24706936561612153;0.18312922445419308;0.47217401112973434
800;1361.8333333333333;0.6297038674586868;0.6521005820971377;0.6233007076502479;0.601773010904156;0.2607700920366788;0.29174473565164083;0.2692869576657106;0.8100394712218271;0.735422716983712;0.7727544287149534;0.7753650593871596;0.718449164929995;0.5864406513108059;0.05102279941811062;0.23052803565189445;0.17877042351031622;0.46032125858032125;0.7828927201872004;0.7249512469090186;0.595274333789277;0.04452071743908706;0.23052803565189445;0.17877042351031622;0.4538191766012976
850;1208.2777777777778;0.6745523894441363;0.7064313187448104;0.6726465571680708;0.568320817826367;0.23501630749588653;0.2668110649141121;0.24447141234259082;0.8018713145456533;0.7179924334847299;0.7485295798417648;0.7995275093913174;0.6705265627778245;0.5653084352483158;0.04527312360983343;0.284200313612342;0.14208668167558758;0.47156011889776317;0.8062304973156691;0.6756742260144322;0.5723667278169521;0.04012546037322576;0.284200313612342;0.14208668167558758;0.46641245566115536
900;1387.3055555555557;0.6024444924914484;0.6837739294167906;0.6193901690830858;0.5721160179161981;0.2113689559177849;0.26286110700945264;0.22733748616671637;0.798751239022267;0.7064012042117617;0.7348078744289901;0.7427351103398101;0.7006748585472969;0.5527647506415082;0.05648391187194235;0.2428412295807608;0.22691068168882944;0.5262358231415326;0.7486373388913024;0.7059719951398735;0.5593982891694517;0.051186775279365666;0.2428412295807608;0.22691068168882944;0.5209386865489559
