ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;61931.13559322034;0.5216651319733766;0.5181609590599868;0.5137628465451594;0.615763637006486;0.2736575462304204;0.2744218823539715;0.2710175638264975;0.8393408354988917;0.7287618110455564;0.7900080724620816;0.6987322689756018;0.7753752711318922;0.5766868696998277;0.09536032713027115;0.12926440173783668;0.2630062142168283;0.4876309430849361;0.7300469658854037;0.8090080866267153;0.6170175796997297;0.061727511635448054;0.12926440173783668;0.2630062142168283;0.4539981275901131
100;43202.01129943503;0.6380377403540816;0.5470202467220706;0.5813285628702001;0.6301955790804863;0.38640217313366226;0.32889613895435105;0.35093627524970605;0.8426308614542947;0.7229668183302916;0.8454433574348531;0.8773894963582087;0.6198080918047231;0.5698936869822464;0.05090703997607039;0.32928486821920644;0.036962574137832674;0.41715448233310953;0.9033240683711551;0.6382171351838304;0.5965552538962653;0.03249799659696309;0.32928486821920644;0.036962574137832674;0.3987454389540022
150;42519.91525423729;0.6843950048860926;0.5758614647814972;0.618583123791116;0.6638585635543264;0.4377612149621074;0.37185340865871125;0.3980214899236121;0.8541788264329184;0.7590798982266496;0.8667029075707428;0.8862387048362352;0.6706677529717288;0.6166303679890752;0.04197512344565159;0.2873571235826197;0.04575112582433966;0.3750833728526109;0.9081706224649153;0.6865614411895345;0.6403025927655278;0.026081435227845833;0.2873571235826197;0.04575112582433966;0.35918968463480516
200;49007.4802259887;0.6814513515847758;0.5674013707484543;0.6121850422084029;0.6786069943951305;0.44393562232387695;0.37320056606306107;0.40120530919072944;0.856343735442557;0.7763224481305079;0.8609820306320727;0.8465288416226068;0.7237831748553973;0.6389719779709974;0.05212032967054117;0.22409649547406157;0.08220803104272535;0.35842485618732817;0.8697054030956439;0.7426714830732256;0.666368296567713;0.03323202145271272;0.22409649547406157;0.08220803104272535;0.33953654796949967
250;41129.937853107345;0.71236593276777;0.6263962773125968;0.6614222830228383;0.661075527464903;0.45931999583062344;0.4063323713137346;0.42816621921213543;0.8521926992991918;0.7645213263172387;0.879138530396344;0.9029887383008368;0.668286678832927;0.6234866851696823;0.03779576557069012;0.29391755559638283;0.03450940519823051;0.3662227263653034;0.9231606107900097;0.6826481561166967;0.6451633602519387;0.023434288286920436;0.29391755559638283;0.03450940519823051;0.35186124908153377
300;49263.3615819209;0.7118601539370346;0.6052910129890576;0.6482717469976098;0.7083657370813184;0.4963842008210406;0.4246379162208754;0.45381189683787615;0.8656772334126974;0.8037809123658466;0.8863187595563878;0.875145942331729;0.7475136197126433;0.6758357809165445;0.0443282340524669;0.20815814623488982;0.06328305397011455;0.3157694342574712;0.8949523225895138;0.7637751108009722;0.7003640160687498;0.02806674296413806;0.20815814623488982;0.06328305397011455;0.2995079431691424
350;45175.853107344636;0.7032546680573506;0.6642574227261541;0.6781008688112459;0.6819579890138817;0.47080052597175703;0.4457629306760444;0.45480152879403657;0.8583305274687795;0.7928681573714973;0.8918113965467532;0.8992925172473172;0.7129236085459176;0.6606709810652087;0.03996133572181187;0.24711505573227047;0.0396770178803887;0.326753409334471;0.9172570735929939;0.7267331954469628;0.6818690111942028;0.02615174882076681;0.24711505573227047;0.0396770178803887;0.31294382243342594
400;46780.35028248587;0.7050672935077467;0.5954978802268568;0.6388654620337162;0.7040930782358548;0.48778726662770655;0.4134535902606631;0.4431660086268563;0.8654365367118515;0.7927212047373681;0.8945483912385201;0.9005780469670913;0.7117623972584477;0.6607866496087116;0.040146329358444865;0.24809127338310746;0.038042304361084085;0.3262799071026364;0.9188442117531628;0.7258684472726799;0.6824244920849656;0.02604027934421268;0.24809127338310746;0.038042304361084085;0.31217385708840417
450;56831.15254237288;0.6848676558652174;0.6311447340257786;0.6518089955810771;0.7367499913510317;0.5017470599801689;0.4634546663905976;0.4784155744898336;0.87303104671907;0.8327481453177099;0.8992217647383464;0.8405018453631431;0.8276579467349785;0.716040991327057;0.049262844617330555;0.12307920864769087;0.10987441561874918;0.2822164688837706;0.8570952096106137;0.8437688793565923;0.7397635888063309;0.033151911995716904;0.12307920864769087;0.10987441561874918;0.26610553626215694
500;59603.022598870055;0.6655179651253386;0.6387553257285058;0.6467508304038462;0.7400040649370377;0.4886495136538211;0.4693990772375536;0.47535893064480567;0.8761414341215537;0.8333999190243242;0.9020933384236376;0.8214265481280565;0.8489343574891509;0.7169288993363112;0.04935602508458848;0.10170961742626058;0.13895585532454796;0.29002149783539705;0.8365382456063334;0.8642641372920901;0.7390428314772193;0.03402624528164935;0.10170961742626058;0.13895585532454796;0.2746917180324579
