ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;30035.401129943504;0.5065285850841637;0.37038103674855;0.41457676350185163;0.5293591491923352;0.2355042518863295;0.1724242710103997;0.19309408813740245;0.8080940867408213;0.5303304813223985;0.6792200329129208;0.8030567591563588;0.4083123510236464;0.36705795308051725;0.07018399097569875;0.5215036580006548;0.03475481237496761;0.6264424613513212;0.8726816572016439;0.44244670016191673;0.4106568266113293;0.036049641837428495;0.5215036580006548;0.03475481237496761;0.5923081122130509
100;31693.254237288136;0.5804906071601715;0.41910551597164375;0.47549790353250093;0.5652176238373863;0.3018457446335061;0.21645293132400592;0.24640256332076216;0.8214558031766338;0.5948866920520515;0.7642144831735849;0.8645070932945915;0.4605209120155547;0.4286174162846851;0.05073113983097635;0.488747948153469;0.022392476692932897;0.5618715646773781;0.909832137666772;0.4837123168321796;0.459935850463616;0.02753973501435147;0.488747948153469;0.022392476692932897;0.5386801598607533
150;35361.44632768362;0.6167231413926452;0.5454079317070606;0.5707284974676005;0.5756664235529112;0.3299007138778262;0.2932593024778523;0.3063850368839564;0.8211736226974031;0.6494374584875244;0.7821766025782958;0.8497054428448809;0.5344258432315573;0.48692503325772923;0.05915195951403066;0.4064221972544121;0.03692316304588677;0.5024973198143294;0.8938394747119673;0.5607428992990274;0.5231154780468271;0.0328349034465604;0.4064221972544121;0.03692316304588677;0.4761802637468593
200;45761.57627118644;0.6117725341934177;0.554116950311932;0.5741803802770451;0.639161011392943;0.37152703384007973;0.33697675358430595;0.3492228468245321;0.838284274890807;0.7262930111826018;0.8194375528358255;0.8264579114319653;0.6528689818027456;0.5740778337371009;0.07305430338777094;0.2740767148094834;0.06500642185942078;0.41213744005667513;0.8644534722414419;0.6818833110733862;0.6148012597695012;0.04403997411713047;0.2740767148094834;0.06500642185942078;0.3831231107860346
250;49016.67796610169;0.6044426552786464;0.5376532977518983;0.5622607086166493;0.6486527724684209;0.3729998278572384;0.33257660636142206;0.3476501650855053;0.8418388735424502;0.7390090760895109;0.8227811633361314;0.8144776786994361;0.6807449343763854;0.5896089087935628;0.07625097461163731;0.24300409101197734;0.0805445669906637;0.3997996326142783;0.8516178743839068;0.7109470882599473;0.6317518594095086;0.046048820728075396;0.24300409101197734;0.0805445669906637;0.3695974787307164
300;32358.16384180791;0.6811755767096846;0.5613883693450287;0.6061507048853175;0.5714908127756119;0.3615544065895519;0.29913924526694585;0.322709482335373;0.8254368223890018;0.6503043055068184;0.8325330541944651;0.9121913915938844;0.5124038103190708;0.4882249668609992;0.033087450271092514;0.4545087394098366;0.015860256584100823;0.50345644626503;0.9392834139697586;0.526888595130188;0.508869458143235;0.01860266545997523;0.4545087394098366;0.015860256584100823;0.4889716614539127
350;49204.55367231638;0.6297500086431553;0.5280879207035852;0.5673210183785243;0.6658093142249228;0.40307215011780934;0.33834794108215926;0.3636792878972434;0.847756067345502;0.7538579739829566;0.8397863343243707;0.8326306103786478;0.6930828367883519;0.6089548465061253;0.06563472158528807;0.24128244162636;0.07497039997972768;0.3818875631913758;0.862673666784798;0.7172860144240073;0.643317586595909;0.041431543949632735;0.24128244162636;0.07497039997972768;0.35768438555572046
400;72582.51412429378;0.5342115359219393;0.5347337248127203;0.52969030813048;0.6424062029801272;0.3107678340637934;0.30911192772193424;0.3074587792696892;0.8416457594362701;0.7433349717429044;0.8113951610685096;0.6945455301144867;0.8102749148437993;0.5958151124684251;0.08981015935735251;0.0999149257988482;0.2918248684814316;0.4815499536376323;0.7213564184046996;0.8421116964728323;0.6325920615836258;0.05797337772831942;0.0999149257988482;0.2918248684814316;0.44971317200859917
450;49892.666666666664;0.6508886973825172;0.5841364470658074;0.6097313781516249;0.6754015099222375;0.42535872373315337;0.3834468889277537;0.39971282249352436;0.8526420427838204;0.7743497652987752;0.855888730100757;0.8408471790479646;0.7220799675566999;0.6354009544183984;0.06073647164174897;0.21718356080155113;0.07776219727545233;0.3556822297187524;0.8674206294846858;0.7442428222687446;0.6674030645568787;0.038573616929704346;0.21718356080155113;0.07776219727545233;0.3335193750067078
500;49052.1581920904;0.633970814933138;0.6074463694807772;0.6145582537130748;0.6603835365285345;0.4071457599412302;0.39052239716016646;0.395238063841046;0.8463049510765263;0.7586147687690918;0.8453385723280774;0.8374843766011982;0.696646982997453;0.6147071728189739;0.06750255441394694;0.23585046258859999;0.06788219295972298;0.3712352099622699;0.8687883352891933;0.7220519460975692;0.6510354032051724;0.042097591313830805;0.23585046258859999;0.06788219295972298;0.3458302468621538
550;53911.32768361582;0.6408619080215056;0.5876385866120033;0.6071231398572419;0.6976939908330908;0.44251828554275324;0.40602352851418977;0.4196631170747371;0.8553473233185069;0.7907335973745849;0.8650245439892537;0.8240907542964891;0.7646198089729851;0.6569772308569171;0.06242318570793708;0.17295700531907796;0.10271644559687082;0.33809663662388584;0.8468796116920457;0.784995530504049;0.6862191455023768;0.0420474641768731;0.17295700531907796;0.10271644559687082;0.31772091509282185
600;48506.47457627119;0.6633327915745115;0.6045027360746683;0.6262956618864167;0.6837558196138063;0.44483617548455395;0.4079052357776178;0.42165632350558957;0.8551722466497215;0.7799406715538918;0.8666532798071034;0.8545866294207655;0.7231091624390786;0.6432263343486465;0.05527728250097313;0.22161355505994823;0.06878399049271221;0.34567482805363364;0.8787616556101076;0.742797970428233;0.6721616410676151;0.03558847451181863;0.22161355505994823;0.06878399049271221;0.32598602006447913
650;60116.19774011299;0.6114251950449012;0.5592369188945733;0.5788399957966539;0.6708678720635392;0.37836265755242754;0.3487120865756847;0.3598126271922465;0.8587161924972734;0.7782041313749475;0.8430560287258406;0.7668309761129724;0.7973925505795966;0.6403274784943287;0.07460849175933165;0.12799895766107183;0.17979361287547735;0.3824010622958807;0.7919491133190937;0.8230685896789374;0.6742721668980476;0.048932452659990855;0.12799895766107183;0.17979361287547735;0.35672502319654
700;53868.13559322034;0.6430990362330099;0.5989059491688586;0.6141992155604276;0.6983948516963594;0.4405401444358612;0.41150303516025577;0.4216698148185597;0.8605369824320991;0.7973219916831834;0.8720894494503943;0.8318716949295171;0.7693708180552414;0.6660872397599139;0.0607654639254131;0.16986371801934563;0.09643277995059273;0.3270619618953514;0.8547486426736626;0.7898996811102446;0.6958128384262025;0.04023660087040979;0.16986371801934563;0.09643277995059273;0.30653309884034813
750;54901.01129943503;0.6352587153879218;0.6012117786535695;0.6128372984334789;0.7031993289600188;0.44079891638830143;0.4170618580260276;0.42546925506224936;0.8632319479052802;0.7994976438397051;0.8704718989393405;0.8290702336414169;0.7752336205110265;0.668854593263296;0.06097113166244178;0.16379524782653174;0.10239513207891912;0.3271615115678926;0.8507562623224952;0.7953079675722182;0.6975716286573058;0.040896784601249965;0.16379524782653174;0.10239513207891912;0.3070871645067008
800;60700.67231638418;0.6209880814804619;0.6121786360256086;0.6109470401354223;0.7131878622024411;0.4369763934940954;0.4314662298821593;0.43051188303023036;0.8618570609644949;0.806754605485665;0.8755106013926296;0.8002562258968766;0.8160089927813279;0.678699643039888;0.06540506007366233;0.11858594714500985;0.14070989301458744;0.3247009002332596;0.8212468842568815;0.837195463793986;0.7081865651893109;0.04421858906100432;0.11858594714500985;0.14070989301458744;0.3035144292206016
850;49332.497175141245;0.6217041094358539;0.5745149005364516;0.589634236555054;0.6480685987955833;0.387215725231055;0.3561532612897665;0.3666169147817589;0.8474415484556342;0.7547525632259794;0.852783785184223;0.8515098717361353;0.6838855212665264;0.6100260316264905;0.05836574139687624;0.25774873733659737;0.06304890468164612;0.37916338341511974;0.8766918807924923;0.7040961502575366;0.6390398249002511;0.03815511240586598;0.25774873733659737;0.06304890468164612;0.3589527544241095
900;37343.55367231638;0.6901706537061134;0.6792215357149398;0.679677530445014;0.5921551012679709;0.38801814180689864;0.38344729485547874;0.3832443949504158;0.8302357625484568;0.7214881204640821;0.855800993695222;0.9018350596554103;0.6079406079171342;0.570100977594715;0.03767961836030343;0.35437977372256246;0.028560247913748643;0.4206196399966145;0.9241907141300074;0.6223700704478912;0.5913254599927356;0.023250155829546322;0.35437977372256246;0.028560247913748643;0.4061901774658574
