ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;14035.533333333333;0.46997877869871163;0.322835637539448;0.36555918090621214;0.5081136381091164;0.21261007335599408;0.13399034399885432;0.15654473240124586;0.7678866521479436;0.4557733288629299;0.5551672409685949;0.6831905608412059;0.35582050070981475;0.30184046061679864;0.11003759651789774;0.5341419027722875;0.07007591112145611;0.7142554104116413;0.7699917646198923;0.40245408663457266;0.3535540387754376;0.06340401059313987;0.5341419027722875;0.07007591112145611;0.6676218244868835
100;11963.633333333333;0.5304870507290793;0.33851385393986416;0.39702399039127345;0.48976867686898073;0.2351688496378135;0.13820320509913575;0.16699962915941094;0.7594880519400845;0.43313823492664255;0.5872157657922942;0.7217303883824406;0.31849070906023286;0.282136912933847;0.08565876628947908;0.5958505246502879;0.04897154487241033;0.7304808358121773;0.8006563042437184;0.3548822663556333;0.32303413455712826;0.0492672089940787;0.5958505246502879;0.04897154487241033;0.6940892785167773
150;15228.433333333332;0.5360937117426304;0.46141210675531213;0.483770363028602;0.5068924531917235;0.24883052574673153;0.20327207622831442;0.218002886030789;0.7611691308331452;0.516774281533395;0.6043994783578249;0.7040309900008547;0.41978970508008573;0.35433585788328464;0.11689384544582522;0.46331644947408906;0.08121592692961072;0.6614262218495249;0.7808248702809756;0.467378095168965;0.4077073416995229;0.06930545535694588;0.46331644947408906;0.08121592692961072;0.6138378317606457
200;19150.683333333334;0.5505817839661321;0.5004368777787511;0.5147238629206786;0.5430550500515413;0.26739296468554724;0.2355019122838938;0.24559646704216306;0.7746295094705453;0.5792259298756122;0.6315788141774988;0.6838850678606071;0.5187752263034366;0.41531060275473813;0.12555795601177117;0.3556668176847922;0.14724999397623856;0.6284747676728019;0.7466890504196393;0.5682839267772608;0.46962825444746753;0.07604925553794713;0.3556668176847922;0.14724999397623856;0.5789660671989778
250;20483.133333333335;0.5369116781981583;0.4834721061760725;0.4995550446146005;0.531647709835421;0.25271306850249053;0.22028182902418167;0.23072408965638963;0.7749563779717741;0.5716212937761421;0.6106018772873374;0.6564220398567653;0.5258210302993273;0.40822209160522555;0.13779316750289883;0.336385802197774;0.1846415894101752;0.658820559110848;0.7224861880536212;0.5821344667940739;0.4675613117782612;0.08147973100815206;0.336385802197774;0.1846415894101752;0.6025071226161011
300;11774.166666666666;0.6127131425521812;0.48846696279983753;0.5291276375574936;0.47497640061536284;0.2670417026070876;0.19941900547813704;0.22200050829005935;0.7428829800585169;0.4747487309487222;0.6480078913761795;0.7777014866417227;0.3503377520338096;0.31687706796052606;0.06987441527889972;0.5797878326872906;0.03780886197699483;0.6874711099431854;0.8414627470839243;0.3797008841778482;0.35180375009644516;0.040511283134861124;0.5797878326872906;0.03780886197699483;0.6581079777991465
350;20620.583333333332;0.5504950467692841;0.4676105707794372;0.4965860398478316;0.527451396695086;0.25561361663300886;0.21167279868757927;0.2269701637546785;0.7731868672305596;0.5691786975825548;0.6126462513515649;0.6580705158662277;0.524171046718063;0.40629913500378506;0.13006198001484093;0.3457669732670961;0.19212312181618485;0.6679520750981218;0.717513977928244;0.5740066005319366;0.45835011256295644;0.08022642620096723;0.3457669732670961;0.19212312181618485;0.6181165212842482
400;26497.466666666667;0.5220632651864808;0.51561856404168;0.5139456098423869;0.5362649477177435;0.24347270352583517;0.235695744539406;0.2370990224824469;0.7811523308460068;0.6051421870308686;0.6046800889787624;0.6106164125873602;0.6307407863973841;0.44301734406613147;0.1363900273917121;0.2328691862109039;0.370940241278428;0.7401994548810439;0.6572976285340975;0.6834065366492595;0.4927352989444516;0.08372427713983657;0.2328691862109039;0.370940241278428;0.6875337046291684
450;22555.166666666668;0.5858975381852467;0.5551239729332633;0.5637019933604361;0.547717111590756;0.28152693086525865;0.2625041471619976;0.268484618451101;0.7886775413342946;0.6141940522210596;0.6449828388539377;0.666194412631762;0.5930925754486931;0.45132645925684495;0.12349914704360171;0.2834082775077053;0.2328605140783741;0.639767938629681;0.7163993822287936;0.6412130824000416;0.5012649618651815;0.07537864009225316;0.2834082775077053;0.2328605140783741;0.5916474316783324
500;21017.35;0.5764775485304009;0.5810534606016985;0.5719083284623169;0.5384891164180571;0.2774048908215099;0.2728766561157439;0.27157874758949485;0.7739197229833934;0.6099400231787284;0.6527817743914415;0.6810291684390182;0.5688973343036204;0.44575034212354725;0.12117945722972374;0.30992320846665594;0.18464533878480202;0.6157480044811816;0.7367845198182448;0.6178227974105933;0.4995894815660342;0.07225399412275073;0.30992320846665594;0.18464533878480202;0.5668225413742086
550;21951.933333333334;0.5807725878616993;0.5668636885181366;0.5668604695366888;0.5465039936308652;0.28370823945869633;0.27158968322160254;0.27392092216064473;0.7823404542978273;0.6129666195630894;0.644962548543887;0.6705430741381592;0.5866265832192791;0.45004081516841615;0.11730710299847129;0.29606631378224957;0.21967474173541357;0.6330481585161345;0.7199570779296678;0.6315207715389771;0.4977996935807941;0.07241291467877312;0.29606631378224957;0.21967474173541357;0.5881539701964363
