ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1056.7777777777778;0.6554140007983519;0.6764268192517736;0.6459126338015801;0.5298249212989131;0.1798728786239025;0.21314510748353832;0.1911654544709447;0.7944423224943062;0.6611396512511866;0.70449331616225;0.7748790095290611;0.6022074992924142;0.5033922239264956;0.04836398125662682;0.34942851945095893;0.14128970780626451;0.5390822085138502;0.792601586940002;0.6132770550121974;0.5179436839050899;0.03729442553684365;0.34942851945095893;0.14128970780626451;0.5280126527940673
100;900.9166666666666;0.6940854540845521;0.7138962141672539;0.6919713516149322;0.47968104450246624;0.15397567642433627;0.17237150755138353;0.16065695640161434;0.785307849496496;0.6342539227356175;0.6885578845317805;0.8078038274261282;0.53920833550372;0.47593283919463325;0.046888674421920705;0.41390299007435916;0.08330410230028504;0.544095766796565;0.8277000989362273;0.5500759223954205;0.4902811031498465;0.036021087530220236;0.41390299007435916;0.08330410230028504;0.5332281799048646
150;1117.4444444444443;0.6454964724270291;0.6970172878757999;0.6553623700169671;0.5389053154936937;0.18844557638549306;0.22376038815962845;0.20119601840460546;0.7960446793996717;0.6829174908892238;0.7208897250104606;0.7748210763041307;0.6284979480388506;0.5254221185456207;0.05688019701183755;0.31462185494931194;0.1377897705620405;0.5092918225231898;0.7921750437689035;0.6405222957599784;0.5416790526922458;0.04485584929070963;0.31462185494931194;0.1377897705620405;0.49726747480206207
200;1412.888888888889;0.5240682496894778;0.6901690812457262;0.5799710466461784;0.5841779486462246;0.18670972404218503;0.271208140331131;0.21682284731654983;0.7938942484514562;0.6803587250693086;0.7173688262941635;0.6854915838316267;0.6983485250955239;0.5212086842967286;0.07515990375541899;0.22649157114905705;0.27312146909393575;0.574772943998412;0.7029659588674316;0.7137571735037165;0.5406099457450589;0.0597512553472265;0.22649157114905705;0.27312146909393575;0.5593642955902194
250;1114.7222222222222;0.6299550585350541;0.7370700221619764;0.6661252829437898;0.5360674364573677;0.1831475881312402;0.23644528702508738;0.2035317698949084;0.7864531541496844;0.6752482499882227;0.7147888773268509;0.7632174470906615;0.6270826753572581;0.5180262635471953;0.05690716399700905;0.31601016064573284;0.15235644516423744;0.5252737698069795;0.7813242281116586;0.6391020118359283;0.5335743119984081;0.04488782751833884;0.31601016064573284;0.15235644516423744;0.5132544333283092
300;1044.6944444444443;0.6859488520515502;0.7237227640103726;0.6910728284169031;0.5483647332236323;0.2175781231187178;0.24999249641815785;0.22944943769924153;0.7987478296339156;0.6873507259596676;0.7413611910807065;0.8088536095589332;0.616880626492824;0.5333066573779219;0.04779342811914853;0.33532594538802735;0.10541894637076143;0.4885383198779374;0.8245541533099264;0.6265522339900753;0.5464066827675605;0.03812182062189722;0.33532594538802735;0.10541894637076143;0.4788667123806861
350;1120.0555555555557;0.6831286288805574;0.7056252917578243;0.6788120037751882;0.585960096925799;0.25299393754599414;0.28632145165819456;0.26467644848650107;0.8111752371399579;0.7081576354618427;0.767453801964415;0.8040400536530442;0.6556297677003812;0.5571060939991541;0.04485579990722829;0.2995144323923905;0.12852942318425778;0.4728996554838767;0.8173091143229106;0.6646287879660888;0.569571395084798;0.035856779641520536;0.2995144323923905;0.12852942318425778;0.4639006352181689
400;1272.3333333333333;0.6039718699572414;0.7030993862326647;0.6316767949640566;0.6050632779715186;0.23800707201021318;0.30307238061244207;0.26138305229138914;0.8149952053974947;0.7124225108108377;0.7634600627870309;0.7552770214348145;0.6932356582779688;0.5594323261831026;0.05929228358071433;0.24747205814131684;0.1837003298698353;0.4904646715918663;0.7704527176326706;0.7053029954652033;0.5753139311103527;0.04722494639347999;0.24747205814131684;0.1837003298698353;0.47839733440463206
450;1058.1666666666667;0.5932296049796767;0.7809817601684705;0.6615283969223382;0.5020808932176316;0.1502183496333232;0.21821122364689596;0.17550417862161008;0.7896778028826185;0.6343811299795838;0.6742974558415258;0.7242569301754017;0.5837778067611052;0.4711342647679228;0.0660985228134645;0.35012367042543024;0.17045061915339066;0.5866728123922853;0.7484945132052402;0.6000142327188207;0.4910433750176386;0.04986209685574906;0.35012367042543024;0.17045061915339066;0.57043638643457
500;1382.5555555555557;0.5529675930436732;0.7166985289780655;0.6100777319817963;0.6034861166655767;0.22774261156111397;0.3195459922912288;0.261571983768826;0.801413362192281;0.7027078070696785;0.7488559959611786;0.7151638116589623;0.7075118984065158;0.5474530078992808;0.07212489203932201;0.22036320955416208;0.2289370412902085;0.5214251428836926;0.7332501096172718;0.7233669060546529;0.5675146548969601;0.056269884391185014;0.22036320955416208;0.2289370412902085;0.5055701352355556
