ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;20827.994350282486;0.6474152067396273;0.5111332914858938;0.5571543466657172;0.4389850907926362;0.21905504543031792;0.18342200953107424;0.19523819957949318;0.7715471880417168;0.45806030853918067;0.669497901701472;0.8446258511366668;0.33489352890019086;0.30913398839292816;0.03454531314608883;0.6305611579537204;0.0359845312807573;0.7010910023805664;0.886088284852818;0.3503084414828136;0.32829445128379997;0.019130400563466095;0.6305611579537204;0.0359845312807573;0.6856760897979438
100;17452.75706214689;0.717616561411792;0.595339420714506;0.6383023930500001;0.4040823425180507;0.22157786189354411;0.19410701333142455;0.20368606522659471;0.7527325348907618;0.42340732227620026;0.6724513326960968;0.8637970189313545;0.2994909708598326;0.2803419510493352;0.025486935870176516;0.6750220932699909;0.031009955117149955;0.7315189842573174;0.8961047978342793;0.31014723750774637;0.29330613028448416;0.014830669222262791;0.6750220932699909;0.031009955117149955;0.7208627176094036
150;22926.418079096045;0.6862920923162594;0.5724513583995898;0.612479462271104;0.43825878370333493;0.21938608748136038;0.19424938979356934;0.20274055234129013;0.784069370246069;0.49031502461188525;0.6795187902126112;0.8252730705036819;0.37299648557202286;0.3365735012845311;0.03998080839414999;0.5870227060338271;0.055155684617455084;0.6821591990454322;0.8643169991894545;0.39018284234514544;0.3575641328519099;0.02279445162102735;0.5870227060338271;0.055155684617455084;0.6649728422723096
200;28564.16384180791;0.642054904621363;0.6574708099725229;0.6416532073933123;0.44540103725282326;0.2138067546528823;0.22854673663546946;0.21862872314877382;0.7871611374497002;0.5446728609093289;0.676590575009063;0.7881956974918005;0.44333810571394583;0.38526922801814584;0.05338279503306593;0.5032790992529883;0.08455052748986383;0.6412124217759179;0.8317508502345716;0.46618046006123054;0.41331889039338776;0.0305404406857812;0.5032790992529883;0.08455052748986383;0.6183700674286333
250;21425.446327683614;0.7080728707146148;0.6522247906371893;0.6699646349209932;0.41648740359039416;0.23123124696718556;0.22111785452328026;0.2236113896932032;0.7642535417841783;0.4806034416272525;0.6704819898559091;0.8390370733528976;0.3568753407118645;0.32889017335082954;0.036177887183290805;0.6069467721048446;0.03965941617004137;0.6827840754581768;0.8808372605971214;0.37290067472493127;0.3487067730094338;0.02015255317022403;0.6069467721048446;0.03965941617004137;0.6667587414451099
300;22642.785310734464;0.701370413270988;0.6405708964533535;0.6609364537686158;0.4263243056953755;0.2294187969993349;0.21698757740484279;0.2206573301720199;0.7729983527009092;0.49185255791591137;0.6799014031456097;0.8363286934849335;0.3685387678630071;0.3371929398949389;0.036566412485761056;0.5948948196512318;0.0468053020714189;0.6782665342084118;0.8736197527670284;0.384339963138767;0.3567288569580416;0.020765217210001234;0.5948948196512318;0.0468053020714189;0.6624653389326519
350;25024.706214689264;0.6964478783766151;0.6212688367789808;0.6478356406113568;0.44726927980934317;0.24205355433112055;0.22410691757877044;0.23011208960524268;0.7828351539352126;0.5230648141598163;0.6986269997891033;0.8320044441318548;0.40318668983141204;0.3659935844564537;0.04063935417304676;0.5561739559955412;0.05192208779248095;0.6487353979610688;0.8717865185446996;0.4214693744030258;0.38885478520572386;0.022356669601433104;0.5561739559955412;0.05192208779248095;0.6304527133894552
400;24291.74011299435;0.7104374630455315;0.6349012249313603;0.6624289982348495;0.4493883423055192;0.2373732848628048;0.22169639551540413;0.22686698497119198;0.7892176000007504;0.5209650802429757;0.6935727554184649;0.8320993653358368;0.404336996270463;0.3639524028580581;0.03753439053335966;0.5581286131961772;0.06134798157928966;0.6570109853088267;0.864077467742686;0.41964190610231034;0.3828253129430185;0.0222294807015123;0.5581286131961772;0.06134798157928966;0.6417060754769793
450;21805.29943502825;0.7147834346754754;0.7247706663965214;0.7134358302449129;0.4236395469959802;0.23772323070366505;0.24643537339250787;0.24018931236935304;0.7667681262785627;0.5044941959586625;0.6958603169339594;0.8605741621056171;0.37349363013948705;0.3478525336471989;0.03377429607847247;0.5927320737820404;0.03252382969188132;0.6590301995523943;0.8953873511308489;0.387774110898318;0.3660949253529249;0.019493815319641568;0.5927320737820404;0.03252382969188132;0.6447497187935635
500;29919.50282485876;0.6488988501567639;0.7132430915635958;0.6743245711153162;0.4621826428549593;0.22385302446320426;0.252989565435173;0.23596482866894009;0.7979999710155246;0.5739837161240808;0.6950000540095722;0.7939840719272379;0.4769872281068653;0.41270027253949304;0.05303025666158185;0.4699825152315528;0.09168585888179318;0.6146986307749278;0.8321834015024361;0.498768308279053;0.439618885679381;0.031249176489394133;0.4699825152315528;0.09168585888179318;0.5929175506027401
