ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1485.6944444444443;0.8515483685583718;0.7095292503504409;0.7541510521931754;0.7967230351782989;0.6499724101773873;0.5723383324549274;0.6003684137588396;0.9109868363496972;0.8971938573537687;0.9540965503566237;0.9022386035733422;0.8941387461818285;0.8158404784876381;0.021345909620271438;0.08451534419790013;0.07758656358615879;0.1834478174043304;0.9038148424830652;0.8956251930485047;0.8182661346642089;0.019859462753595066;0.08451534419790013;0.07758656358615879;0.181961370537654
100;1450.638888888889;0.8529108103551747;0.7237102917623603;0.7652385927905135;0.8048619130079758;0.6608732203605873;0.5874328000039482;0.6139615482075134;0.9111301613787818;0.8951345684842185;0.9498166060269446;0.9128300570726877;0.8801082783474201;0.812839305069131;0.020619840724382704;0.09927188092819723;0.06546572036113897;0.18535744201371884;0.9144732175348709;0.8816280647886505;0.8153167005884493;0.019100054283152326;0.09927188092819723;0.06546572036113897;0.1838376555724885
150;1451.4166666666667;0.8536148403082858;0.7158049597980329;0.7600171138029918;0.8021967736989936;0.6553875455069138;0.5787523426235901;0.6068570796963074;0.9138166399833251;0.8922318461248486;0.9441580041042391;0.9077814957206088;0.8792119632964726;0.8083493161962513;0.021892312682115736;0.0988957240214118;0.06973451761877916;0.19052255432230666;0.9092677447024232;0.8805824159134183;0.8105619683051495;0.020521860065169963;0.0988957240214118;0.06973451761877916;0.1891521017053609
200;1496.0555555555557;0.8376551699053226;0.7177226439974476;0.7553625649347535;0.7972683427786629;0.6357826179450918;0.5722990461435844;0.5949407439356861;0.9107116140144778;0.890266842052448;0.94247768819158;0.8885115844579721;0.8941544912249402;0.8051831301850626;0.02364456437209009;0.0822009444029697;0.09201962746969684;0.19786513624475666;0.8902911041128616;0.8958410010167585;0.8078910482830205;0.021958054580271814;0.0822009444029697;0.09201962746969684;0.19617862645293835
250;1471.861111111111;0.8297371727781924;0.7333897527876545;0.7656055004857847;0.7986022599470611;0.6312516533355289;0.5817919206818037;0.6001644851340293;0.9125911790669525;0.8878358151182856;0.9385702593655422;0.8980954567586765;0.8794922410077323;0.8013551346696856;0.02226962547106601;0.09823813352120161;0.08002027162608233;0.20052803061834995;0.9000128453182802;0.8812966913531066;0.8042477252220823;0.020465175125691713;0.09823813352120161;0.08002027162608233;0.19872358027297563
300;1521.75;0.8121177011942567;0.7217985719132833;0.7502984300320561;0.7951482638290466;0.6154275471271461;0.5707617286224955;0.5864189647962633;0.9123172748651923;0.8871691974250898;0.9391666089812534;0.8797513487462126;0.8962895966339204;0.800280278941562;0.02419998289586569;0.07951042047021395;0.10099290774451589;0.20470331111059553;0.8824214766071145;0.8988760720646317;0.8043551471531768;0.02161350746515423;0.07951042047021395;0.10099290774451589;0.20211683567988406
350;1461.9444444444443;0.8233133255333948;0.7316337481416413;0.7605327375502733;0.7931829835354658;0.6192915930178132;0.576645195628989;0.5913342470348819;0.9105965779304513;0.8841928512893407;0.9359050498303385;0.8963848707159718;0.8741685424186949;0.7954727001374515;0.023455094304288007;0.10237636327701692;0.08004796153502064;0.20587941911632557;0.8988531380377728;0.8764671193745671;0.7991764083606495;0.02115651734841582;0.10237636327701692;0.08004796153502064;0.20358084216045338
400;1462.9722222222222;0.8136339770876758;0.7268964528155228;0.7537921561266141;0.7946033109185406;0.6121367577530878;0.5706327403265059;0.584497218835597;0.9116590080551342;0.8845561700752206;0.9341817202449244;0.8896041876716319;0.8819961773917401;0.7960131017310221;0.02347968902075852;0.0945241335875013;0.08929720250770307;0.2073010251159629;0.8920182801872875;0.8842495692145927;0.7996400774148087;0.021226297197905933;0.0945241335875013;0.08929720250770307;0.2050476332931103
450;1423.5833333333333;0.8240149051180514;0.7365472322370774;0.7656680247494319;0.7889254510016324;0.612591225834227;0.5695246325918262;0.5849585051257102;0.9122112092665456;0.8811258183434166;0.93569406714453;0.9042973048995169;0.8611145045225483;0.7903713263445609;0.02278835020658539;0.11609714527086627;0.07001009784043699;0.20889559331788865;0.9065310373815149;0.8631129470239002;0.7936056466681473;0.020789907705233552;0.11609714527086627;0.07001009784043699;0.2068971508165368
500;1457.861111111111;0.8107834485289902;0.7228237141749623;0.7513413180461069;0.7934848598578675;0.6031308136622353;0.561892674697681;0.5764274320321195;0.9120675570234589;0.8826773218991393;0.9354103430154134;0.8929991592399846;0.8745175438500912;0.7928953179760936;0.024285495761012223;0.10119696038889661;0.08311140318484027;0.20859385933474908;0.8957003975009563;0.8770181681660321;0.7969324897699976;0.021784871445071477;0.10119696038889661;0.08311140318484027;0.20609323501880839
