ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;22997.383333333335;0.3479162810217815;0.27610842332544644;0.3040433027975295;0.48056837820685394;0.10049068267276945;0.08232502958356455;0.08936137070563382;0.7863905698587439;0.5415602689341551;0.5441030453889665;0.5716934121323677;0.5267569411745254;0.3829628662807956;0.21700776916771847;0.2562352896577561;0.23096347405706802;0.7042065328825425;0.662449414572786;0.6154160987474913;0.4679766088302996;0.1283486115947527;0.2562352896577561;0.23096347405706802;0.6155473753095768
100;21732.033333333333;0.3465488429135952;0.268642911382478;0.29865115212450044;0.4852382781510757;0.10623681903280253;0.08448725123651525;0.09287684341673443;0.7879547599097205;0.5248092387153616;0.5274240516395153;0.5751184540659018;0.49402139936010786;0.3661373879057741;0.2148079508299693;0.29117064980992285;0.19755575917322427;0.7035343598131164;0.6716591316030757;0.5815495304719174;0.4517553933939621;0.1272798197181598;0.29117064980992285;0.19755575917322427;0.616006228701307
150;21833.9;0.33691704449856685;0.25815588328609484;0.28844672332781374;0.4775035582479909;0.09819566525016898;0.07724431179660263;0.08531189323845607;0.7815932419321655;0.5135910800418452;0.5093721352055783;0.5603973672303678;0.48527736503168717;0.3557623201284258;0.22445650724993324;0.2902661277183797;0.20671724832652197;0.7214398832948349;0.6611226726077386;0.5777917644835205;0.44466305565621955;0.13194210779809987;0.2902661277183797;0.20671724832652197;0.6289254838430015
200;21588.533333333333;0.32497557786936127;0.24915050202873348;0.2778706964603794;0.4751155924713094;0.08893514754425307;0.0704720859298505;0.0774971232011338;0.7826053419680505;0.5042768073768478;0.49826245079073667;0.5527962422795752;0.4744715917476462;0.34715224225136687;0.23177634840670605;0.2937520598456477;0.19959728822778244;0.725125696480136;0.6566224158351582;0.5684908128352812;0.4371513832595778;0.137757127319071;0.2937520598456477;0.19959728822778244;0.6311064753925013
250;21843.216666666667;0.30652128034878506;0.25207824094644976;0.2725389221485087;0.4782250452930302;0.08759083644019493;0.07387595947649381;0.07896595803368846;0.7811720655717702;0.5002419190843583;0.4903515881353772;0.5461450889711499;0.47304056945953754;0.3431117695888279;0.23359886273840583;0.2933605678020566;0.21246419795442364;0.7394236284948862;0.6486118904410957;0.5674244624453448;0.43232334456305455;0.13921496975259856;0.2933605678020566;0.21246419795442364;0.6450397355090788
300;22669.733333333334;0.2925481734064784;0.24988305916976933;0.26556762281605695;0.47729159540980165;0.08277026166570946;0.07256795631779066;0.07621211040381425;0.7842265547338364;0.5025423083529339;0.4884165158409897;0.535299876474258;0.4841954167181891;0.34563937021117674;0.24379694051932146;0.2720076427624894;0.22994458474079146;0.7457491680226024;0.6373540819321024;0.5822256407081491;0.43702408467719983;0.14576671652936135;0.2720076427624894;0.22994458474079146;0.6477189440326421
350;21250.616666666665;0.284310623837286;0.24259545855313475;0.2577871719028572;0.4711622936984009;0.08163948765253265;0.07121618795667752;0.07491346756200037;0.7738299354138642;0.47924965908478134;0.46715196589822783;0.5334409934101704;0.44538255159414947;0.32417952092812286;0.24281629267127205;0.31180115573457845;0.19792502455882607;0.7525424729646765;0.6429896461218927;0.5428341716426135;0.4157534035920138;0.14536467262280806;0.31180115573457845;0.19792502455882607;0.6550908529162126
400;21662.2;0.2921186603379676;0.2507335570348314;0.2655819293991628;0.47500818727558186;0.08296454868218078;0.07280276999448729;0.07635203705601229;0.7807197499131497;0.48466141539923085;0.4689871560117139;0.5318267541081195;0.4557923238051298;0.32899963542978167;0.24575371313123276;0.29845396306363764;0.2086281205632736;0.7528357967581438;0.6393318161524273;0.5541530101158524;0.42074259717432116;0.14739302682051006;0.29845396306363764;0.2086281205632736;0.6544751104474212
450;19990.683333333334;0.2778619639647795;0.2328802924353634;0.24909861112607876;0.47391172147067323;0.08069661636760427;0.06873402503740648;0.07299249656031274;0.7736557134755732;0.47177787936439425;0.46663369232359;0.5453299776330619;0.42583421139014316;0.317144422890793;0.23038157496732367;0.3437842136425331;0.17172521739297478;0.7458910060028318;0.6559738253408018;0.518049415751825;0.40528171377080113;0.13816637060564194;0.3437842136425331;0.17172521739297478;0.6536758016411498
500;20635.083333333332;0.2704782196501775;0.23230039426861618;0.2454778856758205;0.4684842301475551;0.07569376744520578;0.06614233468865044;0.06931259934340248;0.773751798661053;0.47731647338301314;0.46723969724703657;0.5398100180212657;0.4375521710967553;0.32212811215131165;0.23455493973863653;0.32789288916460807;0.18482401455780334;0.747271843461048;0.6466695330034207;0.5295911511426971;0.409428362234704;0.14251595969269495;0.32789288916460807;0.18482401455780334;0.6552328634151062
