ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;30390.57627118644;0.7118446553852392;0.7806099570645234;0.7407969305106405;0.4875619721482955;0.2819063119651065;0.31259970043612;0.29514782234564974;0.7986789769194281;0.627500519908515;0.7880094788277785;0.8617497775688253;0.5163474589939915;0.4698730577467717;0.03383450972041395;0.4498180312855946;0.05755635362816109;0.5412088946341697;0.8850637219308116;0.5295269322559232;0.48760348059048153;0.020655036458482316;0.4498180312855946;0.05755635362816109;0.528029421372238
100;29910.762711864405;0.7225702262911265;0.6751501203335052;0.690987815418022;0.501716952615528;0.3011080627783281;0.2882936718483893;0.2919096012239781;0.8032500761165211;0.6168654849576464;0.7897650329869126;0.8721049263347885;0.49593144176866816;0.45851535659040316;0.03627573053389774;0.467792827697434;0.0397587103466906;0.5438272685780224;0.9018765075972474;0.5117839972554883;0.48016933082881563;0.020423175047077576;0.467792827697434;0.0397587103466906;0.5279747130912023
150;27153.310734463277;0.7291429525665136;0.7652277095531955;0.7427241426773604;0.46861290630370167;0.281713495785402;0.29986720788251703;0.2891754610079858;0.7886319684240044;0.5897257412006263;0.7699320899755171;0.872827648692294;0.46690668060417395;0.4319028816253475;0.03124704721330931;0.5018462721825167;0.04250885073709247;0.5756021701329185;0.897665015031885;0.4793272407793963;0.44852827029350323;0.018826487038087012;0.5018462721825167;0.04250885073709247;0.5631816099576962
200;27182.175141242937;0.6995769525687389;0.7772226205287455;0.7325260441885831;0.46319651894714853;0.27026283013063807;0.3007336356426236;0.28339979258884074;0.7828224778415999;0.5899875095751751;0.7665803497249444;0.8675768313885037;0.46757975833613363;0.43152590964217313;0.03517585526886842;0.4972443863949979;0.041049173137403895;0.5734694148012702;0.8963511424674038;0.48213676372813924;0.45104952543044313;0.020618849876862817;0.4972443863949979;0.041049173137403895;0.5589124094092647
250;30302.24293785311;0.7103265448297226;0.7411521726712859;0.720625249271023;0.47529271536550444;0.2719845457574389;0.2875297621106922;0.27798433562141894;0.7973698763608547;0.6042321544080462;0.7530334425476294;0.8387265700035731;0.49607793836810643;0.44563933274843415;0.03976074077958029;0.46416132085231326;0.06492157948113195;0.5688436411130255;0.8678681596359625;0.5119865081286503;0.4664745365170701;0.023852171019036365;0.46416132085231326;0.06492157948113195;0.5529350713524815
300;28408.005649717514;0.7076426137405726;0.7658883194883928;0.731603631882616;0.47147241907642734;0.2704038179308932;0.29578486734720894;0.2812301207707502;0.7925831812438338;0.5973100399608395;0.7562809319482068;0.8511542197718591;0.4837200398805913;0.4388459022039658;0.039147479625587706;0.477132480493821;0.05398584920734297;0.5702658093267517;0.8812413670406021;0.5000076924788328;0.4604227108886358;0.022859827027346142;0.477132480493821;0.05398584920734297;0.55397815672851
350;31790.333333333332;0.6975043689415499;0.7273160140945983;0.7072990747594352;0.489491922736738;0.26819043430761774;0.2848257562537379;0.27466250912195705;0.8042370312815578;0.6226787893599932;0.7641368030746133;0.8378584569142203;0.5180751893516711;0.4630732406094963;0.0428953310735597;0.43902947957476923;0.06803434889342343;0.5499591595417525;0.8677177784018326;0.535619572439012;0.48629161645198604;0.025350947986218737;0.43902947957476923;0.06803434889342343;0.5324147764544114
400;25410.45197740113;0.7319983392988451;0.7514628538664844;0.7364502893642602;0.4436872751719836;0.26361471351346466;0.2753984366809374;0.26779082249429753;0.7781140977688406;0.5559836734159884;0.7372010076424793;0.8615740663489523;0.4319716627439489;0.398104894181402;0.032615081601336325;0.5354132556547148;0.04374533972830689;0.611773676984358;0.8895516821713335;0.4451244371647757;0.4153550463806743;0.019462307180509467;0.5354132556547148;0.04374533972830689;0.5986209025635313
450;32270.5197740113;0.6822519460655799;0.7459404494076909;0.7076629977344187;0.48448535645007595;0.2717820774774586;0.3006259091158073;0.28371355531584935;0.7978678472005936;0.6164859324572369;0.7474798005863557;0.8231910438390102;0.5161973045868323;0.4571781367464942;0.049270315604265126;0.4345323798089025;0.06995730776980803;0.5537600031829757;0.8588673476204789;0.5369889009386849;0.4845968862119761;0.02847871925241254;0.4345323798089025;0.06995730776980803;0.5329684068311231
500;26772.994350282486;0.7134589894174718;0.754978206974375;0.7298057320612512;0.4580146476360549;0.2584871779302783;0.276639787256164;0.2660816488977378;0.7897241808748453;0.574977357407749;0.7457097263175977;0.8534802963087992;0.45627562284322043;0.41598834372337695;0.03500204078707572;0.5087223363697039;0.052951560622491005;0.5966759377792706;0.8814305280366546;0.4705686346401836;0.43464704629537343;0.02070902899011244;0.5087223363697039;0.052951560622491005;0.5823829259823075
