ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;19948.4;0.6445739092982232;0.7074074361103659;0.6706070023166449;0.6382795416492336;0.40251878086045084;0.4396958634062706;0.41789344352786745;0.8021929437515617;0.7236925214219307;0.7994642378580958;0.7918039631309317;0.6718531932056219;0.5731276905832953;0.08446791712939145;0.24367888966498666;0.09627423874709298;0.424421045541471;0.8249224819933346;0.6994144272914293;0.6095412627099067;0.056906683043584004;0.24367888966498666;0.09627423874709298;0.3968598114556636
100;18592.25;0.669029943798089;0.6366144385569922;0.6470825678704597;0.6228494627159853;0.40782100729525667;0.3863152111989575;0.39348278655740615;0.7972929434000811;0.6937907926760256;0.7836664295567545;0.8014808181358348;0.6192701041837657;0.5388554109716844;0.07881359466409422;0.30191630115214013;0.07630958549047472;0.45703948130670907;0.8387092088099102;0.6470711423381997;0.575679787571456;0.05101255650966018;0.30191630115214013;0.07630958549047472;0.42923844315227505
150;18233.433333333334;0.6634569236788497;0.6980913568859418;0.6766040367818321;0.6243970330152186;0.4124544351813961;0.4312914149961624;0.41932084079955256;0.7961022176693718;0.7114678664039766;0.8009175094496774;0.8262056819806536;0.6292555979906891;0.5583988783192189;0.07034131785218954;0.30040308415712125;0.06260386533623431;0.43334826734554516;0.8573414224291649;0.6524888622749742;0.5900871639788171;0.047108053567904644;0.30040308415712125;0.06260386533623431;0.41011500306126025
200;18759.3;0.6504314668327288;0.7129471649266402;0.676720314110416;0.6253467417955256;0.4042011416401631;0.4403716118739124;0.41926541987805616;0.7956677322527056;0.7146825934613247;0.7998702262515315;0.8152402804657644;0.6419397831306585;0.5623659430679904;0.07354350588634587;0.2845167109829954;0.07287752733908347;0.4309377442084248;0.847366541031029;0.6666119340218964;0.5958275338875053;0.04887135499510802;0.2845167109829954;0.07287752733908347;0.406265593317187
250;19663.316666666666;0.6621835660255125;0.6803784150617163;0.6672075561557719;0.6478201428637976;0.42676381108995165;0.438124456766886;0.42991005840661883;0.8059864896132175;0.7238057933576897;0.7953381456480747;0.8029490345608317;0.6640147410858371;0.5741576729313974;0.0806710590124054;0.2553141999017575;0.08373368858694176;0.4197189475011048;0.8361177885823341;0.6908102298583605;0.6099789446302946;0.05387557023988203;0.2553141999017575;0.08373368858694176;0.39292345872858125
300;19409.733333333334;0.653655345162247;0.6981523408913772;0.671911350087235;0.6430418253168785;0.4218406025607269;0.4498498207665882;0.43333784255817753;0.8028931071992081;0.7248918307619341;0.8002441451030425;0.8065133178661454;0.6627379817485398;0.5745424686925514;0.08212544250805234;0.2551365757434079;0.07867109655218636;0.41593311480364664;0.8422582800326293;0.6914184310459411;0.6133439242285187;0.05344499321065088;0.2551365757434079;0.07867109655218636;0.38725266550624526
350;20371.2;0.6457794171183812;0.6587202668771578;0.6484939201551947;0.6468214823004242;0.4155459267893961;0.4242526158094861;0.4176004964498248;0.8001339652076074;0.7223881581596064;0.7897676184147253;0.7855558713393866;0.6739277403738357;0.5724205325295648;0.09220081321934842;0.23387144640681579;0.09509343237965652;0.42116569200582077;0.8221399383783405;0.7045623794942537;0.6126899368779812;0.061566174098930386;0.23387144640681579;0.09509343237965652;0.3905310528854028
400;17893.583333333332;0.6605385897238972;0.6776244045055672;0.665021881734329;0.6167392984363045;0.40990946092832276;0.4175724442199666;0.41130185701068744;0.7919523180040202;0.6964953775428174;0.7858690776423173;0.8230643834136355;0.608522193571828;0.5402381217042559;0.07098040070604834;0.3204974057221236;0.060363312323180866;0.4518411187513528;0.8585632737543042;0.6341511417732366;0.5750968451428959;0.04535145250463969;0.3204974057221236;0.060363312323180866;0.4262121705499442
450;21152.216666666667;0.6366612960490273;0.6967507515075902;0.6617596354152604;0.651251743152038;0.4166817174266851;0.4550569656849904;0.4327060294665969;0.8048557971835811;0.7283652228110289;0.7930352312333538;0.7768329243855894;0.6910260199672883;0.5788457938243526;0.08767718042392735;0.22129679960878443;0.11402779566048217;0.4230017756931939;0.8115054683375555;0.7212585077776288;0.6184484639525337;0.05744469261358684;0.22129679960878443;0.11402779566048217;0.3927692878828534
500;18466.516666666666;0.6673114309989351;0.6884373673259491;0.6746422959377738;0.6395872181554412;0.42595556742703217;0.4386912117925694;0.43033802244660885;0.8029929627943776;0.7176790178315648;0.8015081495996884;0.8220047492597716;0.6413329918250504;0.5660147483870629;0.0738634271220294;0.2848035810529202;0.06584066401046704;0.42450767218541663;0.8546634693793373;0.6660108195318649;0.5996719701402966;0.049185599415214956;0.2848035810529202;0.06584066401046704;0.3998298444786021
550;17352.333333333332;0.6942343873182096;0.7042494055814217;0.695569084033083;0.6287744759523726;0.4291583546053375;0.4329584998493295;0.4287637191592827;0.806300702943424;0.7071777840066258;0.8023175537690483;0.8420857532693247;0.6140908531017726;0.5532570027168459;0.06427287698354758;0.3216362699146799;0.05047152745665164;0.43638067435487915;0.875289264634014;0.6374869320071;0.5856677536972613;0.040876798078220096;0.3216362699146799;0.05047152745665164;0.41298459544955163
600;19777.15;0.6715469641504962;0.7060336762100837;0.6849130516804335;0.6533333525519854;0.43078439511426225;0.45154649547633724;0.4387845889518923;0.8147034300292926;0.7283644154993273;0.8026910704851448;0.797882352678691;0.674481320931937;0.5778668457861794;0.08323132716471976;0.2422873519033433;0.09005396574537923;0.4155726448134424;0.8335411792204247;0.7040234949380789;0.617814339626379;0.0536891531585777;0.2422873519033433;0.09005396574537923;0.38603047080730024
650;20765.616666666665;0.6315257423589273;0.7035779038675228;0.662623853085941;0.6443909082144041;0.40126110957148403;0.4464295607165172;0.42080117912884635;0.8039914924188238;0.7242332023003588;0.79021830567916;0.7755203888128362;0.6839789887511779;0.5736719169392827;0.09618764383194704;0.21983336741687506;0.10653176404197047;0.4225527752907927;0.8136887645010874;0.7172165630302768;0.6169313224373414;0.06295006955284792;0.21983336741687506;0.10653176404197047;0.3893152010116935
700;17714.716666666667;0.6957300658894883;0.66371809497889;0.6754326261446041;0.642883827336729;0.44560751714223057;0.42338478784967587;0.431785297135355;0.8071218376252276;0.707104394317678;0.7994977638555675;0.8364062298963538;0.6171322392713361;0.5530791415037889;0.06714108564924799;0.315726675079416;0.05303443482298655;0.43590219555165055;0.868709005640421;0.6401818238177484;0.5849721793592901;0.04409150110283563;0.315726675079416;0.05303443482298655;0.4128526110052381
750;19097.3;0.6676025381184444;0.6824661128330491;0.6713551690118671;0.6414997046742225;0.4232929629560343;0.4312853080928823;0.42500955343678987;0.8074428654363983;0.7157213003020176;0.7917812188405331;0.80637731661118;0.6475519760142961;0.5633054234796422;0.08134267743988874;0.27110534654581525;0.07592647603100372;0.4283745000167076;0.8423372231069061;0.6758375089446899;0.6012577002614988;0.053057144509494975;0.27110534654581525;0.07592647603100372;0.400088967086314
800;20280.55;0.6627496639863265;0.7007712067454174;0.6779691214443644;0.6602538632100278;0.44051725791674695;0.4656353083571017;0.4506463167291674;0.8128700404479036;0.7365690619875067;0.8051762442206034;0.8004683664989615;0.6870148058083019;0.5891392532737093;0.08254244575667237;0.23044274843502563;0.09046312924690039;0.40344832343859843;0.8339002451194191;0.7149939501112546;0.6269288530215609;0.054563301453719834;0.23044274843502563;0.09046312924690039;0.37546917913564587
850;20095.616666666665;0.6177103464369927;0.7272357538014939;0.6653930774233486;0.6313763091594758;0.38478210723491235;0.4507271781578009;0.4135019727428214;0.802810394451011;0.717982138425523;0.7871140849125725;0.7828703966915814;0.66758071018395;0.5651337985454868;0.09039614203181141;0.24202314778423845;0.09733882251830736;0.4297581123343573;0.8206963272029214;0.6992139567592004;0.6069846723895636;0.05876289545656125;0.24202314778423845;0.09733882251830736;0.3981248657591071
900;18697.316666666666;0.6519017407286172;0.7189213043095936;0.6800110148915468;0.6153738981403717;0.3931357656144553;0.42992773804828593;0.4083906673659721;0.8030000159278977;0.7053716236431374;0.7857664746324936;0.8058263175274564;0.6330561205442609;0.5507806468586776;0.07726807616114592;0.2896758032945932;0.075871740286831;0.44281561974257005;0.8425750111721578;0.6611720304456892;0.5889260598323723;0.04915216625971767;0.2896758032945932;0.075871740286831;0.4146997098411419
950;22658.4;0.6168080766030127;0.678426202151615;0.643310749516959;0.663639828732223;0.41062785300448096;0.4521413019538701;0.4285522181281673;0.808258999375516;0.7348812068773595;0.7945582801548612;0.7507280804826262;0.7245960514442735;0.5870653450483012;0.10328510151816128;0.17211884703756516;0.14206084897914578;0.4174647975348721;0.7872389099563235;0.7592275858711965;0.6310851128681102;0.06865356709123822;0.17211884703756516;0.14206084897914578;0.3828332631079492
1000;19353.4;0.658929327135612;0.6688650524909838;0.6601300243254065;0.6364388771869508;0.42483758832103896;0.4295248974207136;0.42477609598132265;0.7961161239673124;0.7166404975730655;0.7946789293356976;0.8103940421582245;0.647616487556437;0.5649723035493117;0.07733607665643577;0.27504743578712726;0.07424247462614039;0.4266259870697035;0.8442857227466903;0.6738272872492408;0.6005954886493957;0.05112527696363179;0.27504743578712726;0.07424247462614039;0.40041518737689946
1050;20482.516666666666;0.6533873795743511;0.7043137241119671;0.6748561801183951;0.6404673822543038;0.4193761749405657;0.4509700451710845;0.43258852558021316;0.801148878272271;0.7251642260501142;0.7932376937496957;0.7903134379134158;0.6756643547084399;0.5749223345785696;0.08388569027026661;0.24044995502129357;0.09829753777348348;0.4226331830650436;0.8246402997765326;0.7043766874833511;0.6130615021346172;0.055173357495355464;0.24044995502129357;0.09829753777348348;0.39392085029013246
