ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1458.3333333333333;0.8600074247793099;0.7101970281340736;0.7582327658183445;0.7994035238752263;0.6583470265448501;0.5733078440203211;0.6045074977490983;0.910063631930065;0.8973465750960761;0.953165218141934;0.9109238187629543;0.8863399158735858;0.8162226210595577;0.020131015456539173;0.09352906866987516;0.06924066139345697;0.18290074551987132;0.912492822861306;0.8877971233103876;0.818624419710493;0.018673808019737108;0.09352906866987516;0.06924066139345697;0.18144353808306926
100;1475.2777777777778;0.8458671017952659;0.7161917454097992;0.7578111040445239;0.80412957875313;0.6523962696545259;0.5795284883179328;0.6060538373178966;0.9149190400837388;0.8986857539020561;0.952853101021212;0.9049076436746374;0.8946478023324764;0.8186305462782271;0.020972863657571263;0.0843793340099523;0.07639649712641389;0.1817486947939374;0.9064559630651282;0.8960952123082561;0.8210046929513064;0.0195254536817915;0.0843793340099523;0.07639649712641389;0.18030128481815766
150;1438.9166666666667;0.846202585652734;0.7229863455355252;0.7628506573569301;0.8071963494471799;0.6538109899689089;0.5857310383646116;0.610526661435381;0.9151899762323963;0.8954504940543428;0.9499651601497665;0.9125554833367376;0.8812020608914;0.8134975628191956;0.020680986012818293;0.09811695309578172;0.06661474352786516;0.18541268263646518;0.9145337638792694;0.8829995841497648;0.816485608057946;0.018883462754453583;0.09811695309578172;0.06661474352786516;0.1836151593781005
200;1482.8055555555557;0.8363207591012436;0.7123545406245317;0.7535054506046687;0.8035277335757769;0.6489113125722556;0.5789103372850242;0.6050706736384666;0.9133761870959157;0.895055804883421;0.9481158033548708;0.8990732179830947;0.8928693756847221;0.8128965615066828;0.023484750278477292;0.08364587403680068;0.07978100388670904;0.186911628201987;0.9008287064176016;0.8945264198517547;0.8156018239513608;0.021827706111444387;0.08364587403680068;0.07978100388670904;0.18525458403495407
250;1479.0833333333333;0.8399409510093707;0.7216172295334586;0.7604886229034342;0.8073449899496016;0.6487576219969822;0.5837153009391801;0.6074548466422102;0.9125917490932645;0.8947771545746735;0.946048041202882;0.8995203537333034;0.891772897220616;0.8124628534071217;0.022402409193986863;0.08582469358539717;0.08006776817013997;0.188294870949524;0.9013166506021754;0.8934631907865744;0.8152313028249311;0.020712115628028344;0.08582469358539717;0.08006776817013997;0.18660457738356548
300;1500.9722222222222;0.8223836337411919;0.7241127765296254;0.7562659880814359;0.8054991672241169;0.6316438821203074;0.5811422051641709;0.5993445383600126;0.9144324004433896;0.8918280634232245;0.9455130225025399;0.8876657624006884;0.8979528024081228;0.8076867735334425;0.024719799820905216;0.0773273977709719;0.0923130586155307;0.19436025620740785;0.8897593442134942;0.8999591011805218;0.8109438985542067;0.02271350104850627;0.0773273977709719;0.0923130586155307;0.19235395743500888
350;1455.1666666666667;0.8358146262027482;0.7296097519631924;0.764483687244288;0.8022795448567969;0.6339783898449513;0.5795127600901595;0.5993613637014286;0.9177575481067505;0.8875336879116889;0.9417634476640929;0.9015771108963724;0.8757473611652089;0.8012342958688072;0.023961566740480725;0.10029107209431048;0.07386828235419535;0.19812092118898658;0.9036800000295145;0.87768088117731;0.8043952400277808;0.022028046728379366;0.10029107209431048;0.07386828235419535;0.1961874011768852
400;1473.361111111111;0.8322525377176531;0.7096470846645153;0.7506695108515133;0.7982690670114322;0.6309411466346276;0.564048984858275;0.5891398725936605;0.914023471563037;0.8873180158230743;0.9425666752820656;0.8947123130049994;0.8818523167421671;0.8005097881980388;0.024701925994320327;0.09344575726351267;0.08143937685138969;0.19958706010922264;0.897004134299297;0.8840047811346826;0.8040123597717311;0.02254946160180472;0.09344575726351267;0.08143937685138969;0.19743459571670705
450;1458.25;0.8218365300533779;0.7247209651543335;0.7565949778479455;0.799447097140883;0.624114429370157;0.5727997829804651;0.5914499920026541;0.9123355957267011;0.8847422891047267;0.9388173213133018;0.8985218794856217;0.8729107284827042;0.7971584723904551;0.025866891017379892;0.10122238049991567;0.07487383693806568;0.2019631084553612;0.9008646911400073;0.8751441779291574;0.8007592766982135;0.02363344157092677;0.10122238049991567;0.07487383693806568;0.19972965900890804
500;1464.0;0.8035437583553593;0.7326222865454787;0.7529418805005758;0.8000460504302083;0.6105508682561863;0.5798190828539381;0.5890406423203579;0.9136471155205366;0.8837683763201957;0.9406515244158444;0.8952526658771094;0.8737952858841378;0.7949969444183915;0.026718793188274845;0.09948592092758746;0.07688042546608533;0.20308513958194763;0.8975259268272916;0.8759392353352927;0.7984793336518925;0.02457484373711996;0.09948592092758746;0.07688042546608533;0.20094119013079273
