ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;55266.57627118644;0.5381429829684569;0.4283945181982653;0.46926538324802747;0.4773983086087629;0.13514503244671536;0.10908709673144378;0.11863904895890812;0.8433522335722977;0.6228880851000116;0.6843836228238243;0.6513987913506594;0.634790271132826;0.4580993447671571;0.11163829725812109;0.2535714316090529;0.3231243026475117;0.6883340315146856;0.6986210768517866;0.681297774423212;0.5066400497035861;0.06513079396773507;0.2535714316090529;0.3231243026475117;0.6418265282242995
100;54073.99435028248;0.5105803006851292;0.43882873327412064;0.4646820520437175;0.4778737449594793;0.1338551232854634;0.11650219348761495;0.12256317556634114;0.8330840975448461;0.6165581992451736;0.6812138157816896;0.6509864920808928;0.6235205817397522;0.4513670464423261;0.11446473063944691;0.2620146876208008;0.3137638266810404;0.6902432449412882;0.6994885126212226;0.6704564284641581;0.5004217348205526;0.06752888391504103;0.2620146876208008;0.3137638266810404;0.6433073982168823
150;49049.254237288136;0.49738525208474804;0.4380397092406769;0.45941764430984267;0.49059897990843304;0.1454085924960726;0.1299103587407995;0.13532999794830067;0.8236694806513479;0.6151529698243281;0.6846033149014333;0.6813905808819114;0.589603177486522;0.4491340661016788;0.1100194711868979;0.30037735132658017;0.23152162434086682;0.641918446854345;0.7314258518036422;0.6335655826137778;0.49735589495143395;0.06605706605964211;0.30037735132658017;0.23152162434086682;0.597956041727089
200;54908.27683615819;0.43515321909361504;0.4169848881593907;0.4202392792423146;0.47750812930168934;0.11868595598263994;0.11561506915157081;0.11554450931989989;0.8204536443984349;0.6068408489187667;0.6611492267408481;0.6362260014701686;0.6109714100769977;0.4403918166186551;0.13300760169445108;0.2560209882285511;0.29742440694082123;0.6864529968638234;0.6902970328103459;0.6640654923769256;0.4956723196257852;0.07991351939452324;0.2560209882285511;0.29742440694082123;0.6333589145638957
250;53383.53107344633;0.42362313053332645;0.406593743216313;0.4093952738801931;0.4760991192768293;0.11770819252463546;0.11497573889809372;0.11476790197024846;0.8145059994417349;0.6033507166756209;0.6544756735653087;0.6416248148920437;0.5965964636768585;0.4366669902848714;0.1361776166015571;0.26722591972158444;0.26747142072002444;0.670874957043166;0.6976455922548255;0.6498574125705335;0.49282081708827297;0.08291666770788206;0.26722591972158444;0.26747142072002444;0.617614008149491
300;52837.54802259887;0.4070128178318857;0.412796744969838;0.4046450242658862;0.4696603301724122;0.11172173628554645;0.11493399351838515;0.11185847212921896;0.8116946159487676;0.5921725609246298;0.6390897941861181;0.6326959867867177;0.5843699561007275;0.42532764246918453;0.14110162143420296;0.2745284224650696;0.27039323040764746;0.68602327430692;0.6919335208645527;0.6400898727756521;0.48348550729148565;0.0853817047592784;0.2745284224650696;0.27039323040764746;0.6303033576319954
350;49332.49152542373;0.3918405248420851;0.3796097669143174;0.3803654289635387;0.4665364889592246;0.10792830105482311;0.10637174635833127;0.1057177905878194;0.8035902455268022;0.5765219246693833;0.623825509293041;0.639966116933762;0.5477971329509523;0.4095276084682244;0.14368469294857247;0.30851817410047533;0.22297956581566133;0.6751824328647091;0.7033296051208637;0.6029157839035545;0.4679921896330426;0.08856604199597026;0.30851817410047533;0.22297956581566133;0.6200637819121069
400;51330.24293785311;0.3630516609803951;0.3585220519068947;0.35579914854613665;0.46252914359513797;0.09642479671271234;0.09720162905837963;0.09550283762780937;0.8080678581927017;0.5729142317498302;0.6141196590203318;0.6235207950004691;0.5533666373626699;0.405844457033241;0.15419049525519146;0.2924428673821386;0.24121088925026524;0.6878442518875952;0.6887592145033608;0.6125044666436622;0.467281165582959;0.09505266597419915;0.2924428673821386;0.24121088925026524;0.628706422606603
450;51787.42937853107;0.35883452043117;0.3727484071910914;0.3611552387175612;0.46278905881193977;0.09859742046918177;0.10379489887693069;0.09992925866150078;0.8061068042162736;0.5718341258376348;0.6105512741479094;0.6198548634880567;0.5562408780465371;0.4049200172362649;0.1533295024225112;0.29042961953095175;0.25781390983743846;0.7015730317909015;0.6840830769621413;0.6153536563772765;0.46570055994031945;0.09421672409177176;0.29042961953095175;0.25781390983743846;0.642460253460162
500;50350.64406779661;0.34901715991022475;0.38002013702108206;0.3589467114066462;0.46028150538031765;0.09700941284170045;0.1072423048728358;0.10052666802188008;0.8009939121716279;0.564356877921513;0.6001061003601038;0.620055641072066;0.5413363935009442;0.3974526670049306;0.15438130383592974;0.3042823026631261;0.2379062946626357;0.6965699011616915;0.6891643487851512;0.6027799072734386;0.46124975959803155;0.09293779006343542;0.3042823026631261;0.2379062946626357;0.6351263873891971
