ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;26813.2;0.42526745817139655;0.3345412754918484;0.3713435087539213;0.4724828946720932;0.11050767839591212;0.08937706492199719;0.09799239432228161;0.8029200799995654;0.5762079931164895;0.5749585216556151;0.5630586455275474;0.6121223347354865;0.41698024396206307;0.20411987596737033;0.1837577892971433;0.36626043387920365;0.7541380991437171;0.631213878010172;0.6934958745620264;0.4890589016754976;0.12274633614083037;0.1837577892971433;0.36626043387920365;0.6727645593171773
100;27397.983333333334;0.40679162592822327;0.3397446176478442;0.36723723129070157;0.4690878878870851;0.10568135540265801;0.09036230519132213;0.09661500773902897;0.7979063756313642;0.5686331695290252;0.5632625810758911;0.5522762005799339;0.6089282787413935;0.40893097038429377;0.21103869250579405;0.18003302875281252;0.3858611553034287;0.7769328765620354;0.6212895753337964;0.6934656207264621;0.4823031390771799;0.12650135052072523;0.18003302875281252;0.3858611553034287;0.6923955345769663
150;24972.033333333333;0.38350918952312874;0.3230741301786107;0.34780302778617284;0.4747556568998358;0.10901988324112324;0.09346059030239846;0.09986269727284094;0.7892974008154279;0.5538081909917566;0.5492060590975503;0.5672151588022856;0.5619042690439027;0.3935903351447031;0.2059927618440827;0.23210296911201483;0.3167775390144165;0.7548732699705138;0.6417451351928789;0.6441452537596944;0.4676251657818389;0.12375177712829058;0.23210296911201483;0.3167775390144165;0.6726322852547216
200;27451.283333333333;0.35145701108904176;0.3145745761207715;0.32946484559846606;0.46745430663454246;0.09392951992971248;0.08576712127474177;0.08900210095134191;0.7868425257654724;0.5461473022609247;0.5296724433145934;0.533742311447721;0.5822888035412728;0.38641569883981103;0.22424648609690312;0.19346471036182403;0.3980251407407062;0.8157363371994335;0.6073072481978091;0.6724290987280563;0.4627916350202691;0.13410619091011963;0.19346471036182403;0.3980251407407062;0.7255960420126499
250;26891.433333333334;0.3345104889465097;0.2991017968677173;0.3130983084721285;0.467127707290769;0.09041215863812999;0.08262047436107588;0.08561545292062915;0.7805069834925731;0.5390864749083313;0.5205122403396555;0.5328788000084588;0.566512232917865;0.37975640730864446;0.23014016054420808;0.20334760653792694;0.3728082046905602;0.8062959717726951;0.6098182522165039;0.657688940486419;0.45808726830763963;0.13896345297565424;0.20334760653792694;0.3728082046905602;0.7151192642041413
300;26731.733333333334;0.3267612828064682;0.3039680757586815;0.31244669704365313;0.4649036921507743;0.08646315167544906;0.08196449160722946;0.08350176426753891;0.7808726640686926;0.5325762150292374;0.5124838201953044;0.5277599043949205;0.5582653735058066;0.37349744187147327;0.23793463661425246;0.20379998987994086;0.3684057496781231;0.8101403761723166;0.6079066007050543;0.6528199965958947;0.45438563096916185;0.14338001352416438;0.20379998987994086;0.3684057496781231;0.7155857530822284
350;24358.816666666666;0.3044276893821579;0.2688611442851306;0.2826332690421605;0.4678001401459059;0.0865100103380843;0.07805543031496445;0.08126715950750578;0.7763369887469265;0.5135809361200218;0.4969699690452119;0.5358018394575794;0.5102042929195081;0.35558829425121025;0.2383570789998347;0.25143862808065726;0.2923737674290054;0.7821694745094974;0.6216887090910395;0.6009123957145217;0.43596068989094605;0.14764897620482104;0.25143862808065726;0.2923737674290054;0.6914613717144836
400;24849.55;0.2948853149923169;0.261834127153165;0.2745331180368461;0.46377001487565367;0.07869907351494246;0.07154799241821808;0.0742250517556011;0.7833955039515171;0.5136041361264759;0.4949776271934663;0.5281097236904244;0.5175339130510797;0.35550382417418086;0.24247271185906596;0.2399933750898545;0.31275478673578916;0.7952208736847096;0.6137040108078881;0.6104350617778815;0.4366843956753358;0.14957156313226397;0.2399933750898545;0.31275478673578916;0.7023197249579076
450;25042.866666666665;0.28841968781607685;0.27124619707134073;0.276988085411484;0.4632694418082099;0.0791966544694573;0.07583466250070373;0.07678377257255926;0.7783332893495697;0.5076162212481204;0.4857147329358559;0.5229292092905196;0.5129831270578601;0.34948340978275666;0.2452964903967347;0.24172038254540518;0.32736688167173056;0.8143837546138702;0.6085359767487151;0.6072248856630067;0.4305454986951028;0.15105473179158807;0.24172038254540518;0.32736688167173056;0.7201419960087239
500;25004.7;0.28620198446119266;0.2820333228176388;0.2813502408164133;0.46642988290454807;0.08123418156040325;0.08124327897491822;0.08044904889082945;0.7767639732642265;0.5118924338843646;0.4882299137455114;0.5258558696911899;0.5162429833522566;0.35343463718084783;0.24486177511993634;0.23889524152780708;0.31567774501670165;0.7994347616644449;0.6134178643106315;0.6119899421816409;0.4369093161198145;0.14911481629055184;0.23889524152780708;0.31567774501670165;0.7036878028350606
