ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;31642.525423728814;0.7307718966340199;0.7857045888772457;0.7536622283557013;0.5069242820184436;0.3070972960762643;0.33517434127999624;0.319286279943578;0.8084316412778714;0.6439009773748697;0.8055980126554695;0.8583859641842347;0.5396162394424329;0.48749008797304366;0.032186518600503866;0.4281972419570632;0.06703770876878495;0.527421469326352;0.8798051184577816;0.5521754704572139;0.5043223372714394;0.019627287585722786;0.4281972419570632;0.06703770876878495;0.5148622383115711
100;32721.372881355932;0.7561170692730891;0.7393094634605535;0.7426945834432356;0.5200599376890335;0.3290057336426879;0.32955228605124237;0.3274647114084095;0.809894029914824;0.6528342198017025;0.8096222344344026;0.8626659557284697;0.5484645452281712;0.4977370275571607;0.03259517064461642;0.41894028412721224;0.06239187865980822;0.513927333431637;0.8839534031100071;0.5609664244125089;0.514727713416828;0.02009329146027881;0.41894028412721224;0.06239187865980822;0.5014254542472993
150;29774.841807909605;0.7468168949001731;0.7814097919071904;0.7596877270267788;0.48755736723216025;0.2990888453859368;0.3192644093625873;0.30755236932030394;0.7983317112604901;0.6160459503063606;0.7787792452348058;0.8584100169596468;0.5045830331863403;0.459322301930999;0.032533436836198984;0.46288352997746074;0.05867238969639365;0.5540893565100533;0.8817565294864852;0.5171260839329861;0.47595359231943657;0.01999038608955324;0.46288352997746074;0.05867238969639365;0.5415463057634076
200;28870.38418079096;0.7346405746132165;0.7965274703793169;0.7610099913175861;0.4796600464691831;0.28917920551432397;0.3171106590485782;0.30144326710108554;0.7932260138635919;0.6070302549826556;0.7731033760442516;0.8569112217576457;0.4926320062967091;0.4488575481901543;0.03308632549248641;0.47428166821080453;0.05689260214777759;0.5642605958510685;0.8807610366300254;0.5052146487595365;0.46548005923543184;0.020503683029659138;0.47428166821080453;0.05689260214777759;0.5516779533882412
250;27328.915254237287;0.7440369351196786;0.7775325707979145;0.7558166646876924;0.4742336073423701;0.2864182823628457;0.3066039296632231;0.29469734377636264;0.7900559080410771;0.5917915705175245;0.7750028389309355;0.8638231621601205;0.4720857656843803;0.4337016408229995;0.03407514937007561;0.4938390849455442;0.04658359723268134;0.574497831548301;0.8900297653813966;0.48552528421262925;0.45157280530130617;0.020635630841826708;0.4938390849455442;0.04658359723268134;0.5610583130200522
300;32277.9604519774;0.7392070288368525;0.7523781575151066;0.7414387021839092;0.5079544830096231;0.30763514454178104;0.31815087478621373;0.31133443317958076;0.8075183602594463;0.6397903716492314;0.7865014460176933;0.8540141679507778;0.533171107593347;0.4822469281280345;0.03495970374978123;0.4318691886568719;0.06451568336125327;0.5313445757679064;0.8771720835900223;0.5467032234184892;0.5003545444240006;0.021427587924638995;0.4318691886568719;0.06451568336125327;0.5178124599427641
350;34195.5988700565;0.7315495494214148;0.7550587962615442;0.7391773116312941;0.5140634344576496;0.3098031176602658;0.3249322365116091;0.3157809242834765;0.8106079356905527;0.6542217793823534;0.7877954095726367;0.8423076379395361;0.5562801143040851;0.4973448224888192;0.039353818535298485;0.4043660671606163;0.0734799534643267;0.5171998391602415;0.8672491371703941;0.5715301394744152;0.5176932513857212;0.024103793364968325;0.4043660671606163;0.0734799534643267;0.5019498139899113
400;32010.949152542373;0.7376441099164515;0.7456145430041866;0.7373243551841585;0.4985843270888905;0.2977444856096633;0.3057270012309919;0.30027034122459734;0.803807515671689;0.6298570933348349;0.7768165989385691;0.8452346689433707;0.5217969725731307;0.46999904855786667;0.03823641374714534;0.43996661367972406;0.0666662712313207;0.54486929865819;0.8713906829627471;0.5370098506217594;0.4900871426592193;0.023023535698516614;0.43996661367972406;0.0666662712313207;0.5296564206095613
450;30302.35593220339;0.7277004683376475;0.7503716472676658;0.7340765783073642;0.47731609958791543;0.277829981357344;0.2928947530051506;0.28362627342957664;0.7959053912832117;0.6042356622573932;0.7593442594767233;0.8376647783018168;0.4961663353532157;0.4451034045402716;0.03906503294760277;0.46476863169918153;0.06718095499363867;0.571014619640423;0.8656819708418557;0.5116011512479925;0.4652486201139112;0.023630217052825985;0.46476863169918153;0.06718095499363867;0.5555798037456462
500;30005.49717514124;0.732043554668281;0.7884274528162467;0.7560351815138265;0.48795296071464495;0.2917658094892536;0.31664138649589146;0.3026316633336032;0.7966590498863028;0.6199515191715659;0.7729638412242997;0.8545186430037347;0.5075082671169858;0.4614993483632864;0.036073498762940026;0.4564182341200742;0.05703386310740544;0.5495255959904195;0.8797642382326931;0.5214370762542585;0.48011535618706963;0.022144689625667378;0.4564182341200742;0.05703386310740544;0.5355967868531469
550;30904.728813559323;0.7048923126467538;0.7996735499432254;0.7464385555026718;0.4827602027196501;0.2772273600450253;0.3145832295815397;0.29379301741967184;0.7941218854542478;0.6200585585841215;0.7600660064186274;0.8409625658165154;0.509642667724442;0.45994276305964166;0.041049942265191756;0.44930739001036624;0.06187613148738451;0.5522334637629426;0.8695227199711966;0.5257036677463022;0.4811176075873469;0.024988942243331588;0.44930739001036624;0.06187613148738451;0.5361724637410824
600;31337.310734463277;0.7153110683129216;0.7805525014795398;0.7430534346467601;0.4928328155719777;0.2877478217016496;0.31507143324868503;0.29965537524463054;0.7986858244731159;0.6240712496416553;0.7684955726044563;0.8412555855508477;0.5156136867453907;0.46452720562464833;0.04130379898758899;0.4430825142670202;0.062265755454809495;0.5466520687094188;0.8699464048094058;0.532048793204792;0.48639638532155016;0.02486869252818763;0.4430825142670202;0.062265755454809495;0.5302169622500174
650;34936.20338983051;0.7086940232505229;0.7601407133516896;0.7298492853409312;0.5163995256819784;0.3027733736247211;0.3272675295286472;0.31318851633571565;0.8108211496220691;0.6542737011658436;0.7766551221536601;0.832442786883036;0.5585067367123963;0.49657886363048925;0.04458938382315388;0.3969038794644499;0.0747844629455796;0.5162777262331834;0.8615530845594858;0.5765277679018216;0.5206246197493059;0.02656835263372851;0.3969038794644499;0.0747844629455796;0.498256695043758
700;36021.661016949154;0.6899907577817751;0.7485018722555062;0.7139851426703894;0.5164086345264167;0.28957548799410543;0.314726820423512;0.30022061550352924;0.8136559677743767;0.6568838615084227;0.7702018492981587;0.8191499856602795;0.5670222265795274;0.49783156205372453;0.04886183782004896;0.3841159356004236;0.08554034586053659;0.5185181192810092;0.8493332395910825;0.5863761547658561;0.5234069864460708;0.029507909633720235;0.3841159356004236;0.08554034586053659;0.49916419109468046
750;34644.97175141243;0.7053019839003757;0.7443547942038017;0.7207584698313557;0.5091149890783706;0.29475468382278514;0.3113686481440292;0.3016707179946891;0.8087613040746833;0.6443296069310105;0.7627081424552578;0.8265663383113101;0.5450988855908315;0.4848925792111046;0.0462968759177404;0.408604238491428;0.07514168161042013;0.5300427960195886;0.8575276774186145;0.5640014127689604;0.50971858019039;0.027394348739611475;0.408604238491428;0.07514168161042013;0.5111402688414596
