ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;23792.81920903955;0.5577266849364231;0.3053524390925305;0.3849062636441833;0.48283276479998843;0.18061499214520974;0.1038637844178476;0.12845577910405045;0.7999944520794395;0.45858209052635;0.5994282601165895;0.7988352650826336;0.33565458786863617;0.30355072138236805;0.052046846329450815;0.612298565801913;0.04861022813826055;0.7129556402696244;0.8496782074281105;0.3577128435218005;0.32953080230581405;0.029988590676286526;0.612298565801913;0.04861022813826055;0.6908973846164601
100;21965.378531073446;0.5477198599687733;0.28126049370582323;0.3617693723921824;0.4821276736818372;0.18034822134984388;0.09768354660636808;0.12321605014300302;0.7946109044593542;0.43514317484956966;0.585800222650453;0.8086792280322485;0.3099637504791809;0.284115666833694;0.047150150310885354;0.6428860992099338;0.03864792529770016;0.7286841748185193;0.8599119391707455;0.33007861812532596;0.3078599573779394;0.027035282664740326;0.6428860992099338;0.03864792529770016;0.7085693071723742
150;20691.966101694914;0.5148563153166867;0.254653785797071;0.33093934934067337;0.4783861118959825;0.16836630906586325;0.08814063610238176;0.11225955837546502;0.7918193936582163;0.4142369310351715;0.5748792753118196;0.8118525889372548;0.2892616480700295;0.26715579217626223;0.04411792007911517;0.6666204318508553;0.03353881724103371;0.7442771691710043;0.8638802395637704;0.3080650691495194;0.2892502412076201;0.02531449899962529;0.6666204318508553;0.03353881724103371;0.7254737480915143
200;21785.706214689264;0.49404640857271986;0.25470866849404816;0.3270102615443129;0.4744670336691488;0.15464137535385686;0.08419520384585058;0.10599089940103676;0.7945450944199438;0.42271192492888426;0.5636828732056989;0.7953922051642228;0.2989411287016618;0.27369752776750295;0.05008619185795265;0.6509726794403856;0.037844750953766396;0.7389036222521046;0.8525883830483392;0.32054358858512844;0.2990717434971991;0.02848373197448598;0.6509726794403856;0.037844750953766396;0.7173011623686381
250;20643.694915254237;0.4786356042073401;0.24621977537907916;0.3162017744528957;0.4666487927568848;0.15105781660611922;0.08220933833463294;0.10346486337550462;0.7855416438834237;0.4089910307213651;0.5638103669166129;0.8027983646710021;0.285695607343079;0.2630977393805433;0.0465663905912916;0.6677380020656293;0.03423122313065308;0.7485356157875741;0.8588104867532815;0.3057851826524039;0.2866209126670904;0.0264768152819667;0.6677380020656293;0.03423122313065308;0.7284460404782492
300;21436.429378531073;0.4530698219481361;0.2458562494960846;0.3101276484387285;0.459180929544405;0.13974588971025595;0.07994109534891763;0.09887925147515002;0.7835661276625039;0.4123076971331929;0.5492160512561218;0.7876856878456828;0.2909245312495735;0.26575831654627385;0.05200178948710386;0.6570736792633226;0.03792501870223896;0.7470004874526656;0.8482327749089434;0.31336435741393937;0.29191161861672965;0.029561963322738045;0.6570736792633226;0.03792501870223896;0.7245606612882997
350;21085.39548022599;0.46448575042072127;0.2520244413731272;0.31834051213138936;0.45750390088756065;0.14452000445517657;0.08249451663672301;0.10231145846146449;0.780859713980167;0.4090341417147824;0.5521002188171378;0.7928515779807913;0.2865515087329858;0.2629956756059041;0.04991725710655715;0.663531234160457;0.03495399300260798;0.7484024842696221;0.8539255820210432;0.30849486834700496;0.28869997425677535;0.027973897492538074;0.663531234160457;0.03495399300260798;0.7264591246556032
400;21002.27683615819;0.43526396042977133;0.23667801336295344;0.2986284283379647;0.4535218763983516;0.13167220804618146;0.07535166448358456;0.09333581826716036;0.7826134526970516;0.4016376462904541;0.5361267432207806;0.7846391185380391;0.28146992103794527;0.2573118136512735;0.05171872469680759;0.6668113542652472;0.03665490750773037;0.7551849864697849;0.8464952745531177;0.3035563903115588;0.2829706329925008;0.02963225542319402;0.6668113542652472;0.03665490750773037;0.7330985171961715
450;20086.593220338982;0.4498722215109498;0.25204137036417623;0.3151024711565533;0.4371877398858072;0.13283067342199098;0.07804718216797478;0.09587694843441988;0.7681208802224341;0.3881297854871363;0.5343050560951687;0.7888079698556989;0.26805066258546584;0.2463141655878226;0.048637477041740124;0.683311860372794;0.03371550803690366;0.7656648454514378;0.8506028828523509;0.2890228599426626;0.2706492912709353;0.027665279684543402;0.683311860372794;0.03371550803690366;0.7446926480942413
500;20590.75706214689;0.4472428752798458;0.25282627698109794;0.3146196839379688;0.44269068183175614;0.1319974064425583;0.07853288133897401;0.09587243290777349;0.772915024674359;0.39425295759783363;0.5305122135464071;0.7817493240212418;0.27592662649805105;0.25165531047961426;0.0519802040703633;0.6720931694315857;0.03716891199286256;0.7612422854948115;0.8448005987144549;0.29808485030773313;0.27731284008918355;0.029821980260681197;0.6720931694315857;0.03716891199286256;0.7390840616851293
550;23092.045197740114;0.4227181255261442;0.2555096234807986;0.31068612574625537;0.4459106381810169;0.12219534753060103;0.07746590240676154;0.09247587440237023;0.7829571661017158;0.41506730014259363;0.5174109517897868;0.7530151173981783;0.29953570761004766;0.2678431932583997;0.06483076647273704;0.6356335259172153;0.04835603293451598;0.7488203253244683;0.8230417465238217;0.3273812704430676;0.29979037517380847;0.03698520363971712;0.6356335259172153;0.04835603293451598;0.7209747624914484
600;22529.508474576272;0.41424269804371205;0.25438820274643587;0.30776109931983275;0.4403476821875957;0.12180197266099255;0.07815079712574682;0.0929689454097764;0.7739026261869806;0.4096317112326744;0.520055071955142;0.7607862056432699;0.29183774745135127;0.2631830478942042;0.06171161610810132;0.6464506364405473;0.042393707706720636;0.7505559602553693;0.8309941124476544;0.3186380408165808;0.29417417242791244;0.034911322742871835;0.6464506364405473;0.042393707706720636;0.7237556668901397
650;23121.77966101695;0.430252536658856;0.26513045064746155;0.3205226269860477;0.44300767351027026;0.12488034087205993;0.0804448065551819;0.09558423719781559;0.7780392862385426;0.4160709876076642;0.5195928669839527;0.7532694092119153;0.30000318035302925;0.2683217237026184;0.06588648127278225;0.6341103383741886;0.04681741950448004;0.7468142391514507;0.8257369602161053;0.32885606989139865;0.30154617965671143;0.037033591734412855;0.6341103383741886;0.04681741950448004;0.7179613496130814
700;22758.58757062147;0.4100466598766099;0.2527124499080879;0.305448640441953;0.43765139086941546;0.11656963243360098;0.0750662584888346;0.0891776550077467;0.7771209630403012;0.4068000507294604;0.5042775606298067;0.7484795984094529;0.2916025887238166;0.260883113914737;0.06615639305853889;0.6422410182176446;0.04641428868746517;0.7548116999636487;0.8214965002103485;0.3201092750756186;0.29350794946172226;0.0376497067067369;0.6422410182176446;0.04641428868746517;0.7263050136118466
750;22518.98305084746;0.4074598337861682;0.2535644504933873;0.3053207174741465;0.4383193951882138;0.11934597231348397;0.07731050076826988;0.09164946581566558;0.773259165091362;0.40470191984608817;0.5095780210982888;0.7505230673176385;0.2881780995802122;0.2588373403237494;0.06565740503433883;0.646164495385449;0.04314256030655133;0.7549644607263392;0.825068076393826;0.31675183787141065;0.29161184739243423;0.03708366674314043;0.646164495385449;0.04314256030655133;0.7263907224351406
800;22827.16384180791;0.4227046337813178;0.2658529842735182;0.31893372028252875;0.43624738461926876;0.11969367006139527;0.07867291960076347;0.0927440362532305;0.7767668402319396;0.4094142016555284;0.5079273765821545;0.7490256405770213;0.29403399332696895;0.2627522082320675;0.06699278283610291;0.6389732238369281;0.04614334206463106;0.7521093487376622;0.8235860805495386;0.3234133245728179;0.29649719548108466;0.03761345159025392;0.6389732238369281;0.04614334206463106;0.7227300174918132
850;24005.802259887005;0.3950049846404108;0.25553441472205796;0.30338348485917654;0.4389256875825093;0.11280922642743502;0.07584944551435792;0.08868979799224587;0.7769861816815653;0.41521939670995456;0.4998795758512155;0.7336024366652685;0.3013202642142425;0.2671362950745472;0.07392612654959616;0.6247536092361614;0.05035613821757557;0.7490358740033332;0.8110277562900274;0.3330649904622513;0.30332300326204437;0.04218140030158734;0.6247536092361614;0.05035613821757557;0.7172911477553242
900;24396.655367231637;0.4027816485849213;0.26157692498203816;0.30991225895460767;0.4400062333514571;0.114971359515378;0.0779280529909606;0.09074640130524124;0.7800050795141029;0.42123127068585514;0.5031913055306201;0.736537620619463;0.3072526013980884;0.2720723119179799;0.07356585621066308;0.6191815423912485;0.05183859014478694;0.7445859887466983;0.812502207636213;0.33900098777687604;0.3084062251876967;0.04181746983187552;0.6191815423912485;0.05183859014478694;0.7128376023679109
950;24190.158192090395;0.39222795823993234;0.2502113040633801;0.29853911649542947;0.4384989649943862;0.1112440132909001;0.07391016008305727;0.08676387742544074;0.7783838154948932;0.41521695389360985;0.49997291888449524;0.7306575474313519;0.30181702037318586;0.2668950738756793;0.07578973783525023;0.622393241791564;0.05145584111100497;0.7496388207378191;0.8111098104034853;0.33526194077192867;0.30498338387442614;0.04234481743650738;0.622393241791564;0.05145584111100497;0.7161939003390763
1000;23893.46327683616;0.42329012734711857;0.27002591210609206;0.32225065924630386;0.4403823385825747;0.12265123804272841;0.08153107881690426;0.0957120080356196;0.7788787640717619;0.41791979134473484;0.5042417933742782;0.7415124478027487;0.30314477070461543;0.2693414633388603;0.07158933644223513;0.6252658928531495;0.049623139845205555;0.74647836914059;0.8182192237888732;0.33460498140783373;0.3053664105753829;0.04012912573901684;0.6252658928531495;0.049623139845205555;0.7150181584373718
1050;24666.361581920904;0.39803328340968847;0.252769044546976;0.30217315083738205;0.4443476904879907;0.1130688058466504;0.07471179027904239;0.08792201733417623;0.7850379467858133;0.4208377073836457;0.49952413612961366;0.7279117691207815;0.30857857460365185;0.27159446137085275;0.07773536382947067;0.6136860615668775;0.054591382076668596;0.7460128074730168;0.807485632028265;0.3424463845130089;0.3100781316054924;0.043867553920113635;0.6136860615668775;0.054591382076668596;0.7121449975636598
1100;24526.71186440678;0.3921045205566758;0.25525596583032883;0.3022087931308176;0.43932984225057065;0.11334951201126846;0.07689314950402398;0.08956270910965859;0.7784030179866496;0.41814511225149914;0.49722578022670055;0.7306858289518634;0.3045772465560503;0.2693896446688991;0.07604033471721319;0.6193824187267365;0.05129594414148142;0.7467186975854313;0.8106641921578807;0.3378841842882537;0.3074140305888341;0.042733396985009775;0.6193824187267365;0.05129594414148142;0.7134117598532277
1150;26708.87570621469;0.3971505430560064;0.26747561045765234;0.3125572831043768;0.44858112688409857;0.11500559112235428;0.08065592449991485;0.09271926307121671;0.7864954464215463;0.43973635378637493;0.5022770587395886;0.7171090459024019;0.33055251014934456;0.2870614263688331;0.08669647275427811;0.5827510170963773;0.06210954357671331;0.7315570334273689;0.7990079268726415;0.3683719662414737;0.33006834255142903;0.048877016662148935;0.5827510170963773;0.06210954357671331;0.6937375773352396
1200;26289.41242937853;0.38532565894174436;0.26050175417371213;0.30407207892096094;0.44145826909424585;0.10838061714511754;0.07643873343563551;0.08768095412918012;0.785675612748281;0.433510445639423;0.4977432094822571;0.7164541527632368;0.32422432714104216;0.28193395378579633;0.08516159290461481;0.5906140799543431;0.06237202110045511;0.738147693959413;0.7980077385348299;0.3612966335973699;0.32388613344189054;0.048089286448287145;0.5906140799543431;0.06237202110045511;0.7010753875030853
1250;23562.75706214689;0.4058620527344925;0.2620889030980632;0.3113849683761148;0.43347546319205343;0.11250596605533487;0.07581131780537902;0.088529200301006;0.7776204785283753;0.40802441715711635;0.4907680253900168;0.7315476698220251;0.2954947460928099;0.26130419144939887;0.07452538678011911;0.629979867127071;0.05049593468016092;0.7550011885873509;0.812121526421836;0.32826935993390943;0.2985447247036519;0.04175077293901958;0.629979867127071;0.05049593468016092;0.7222265747462515
