ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;16276.316666666668;0.4208161670798919;0.2718246659732966;0.3244813008740665;0.5051283724787096;0.1455131161316965;0.09519935013178296;0.11301637308125764;0.7806677966516669;0.5215261189278647;0.5745432180047139;0.6635947253599596;0.4488464993068192;0.362829267136804;0.14460996204968285;0.406543538643498;0.13370376864841355;0.6848572693415943;0.7411032544432861;0.5064274586694779;0.4222987523360528;0.08702900268702403;0.406543538643498;0.13370376864841355;0.6272763099789357
100;15030.6;0.41380025416169436;0.25778928576322374;0.3112383793668962;0.5047076042329748;0.14117491756798314;0.08905453021346926;0.1069459539244336;0.7766551773417731;0.5000916229059013;0.5610453096348512;0.6710516120709593;0.41638566487350775;0.3428740210764089;0.13753280553815445;0.44608152958833786;0.1106178237430208;0.694232158869513;0.7507661133248572;0.4705263938642077;0.39953899245910485;0.08339207654745441;0.44608152958833786;0.1106178237430208;0.6400914298788131
150;14281.466666666667;0.3842291745618517;0.2358051368384128;0.28550655447517614;0.4992843254385964;0.12906143503524287;0.08042122379886289;0.09677661178100876;0.7734855229965777;0.4834813928150561;0.5496137704172513;0.6738825402468048;0.39267307712503635;0.3281839657516948;0.13293268682712467;0.47439423604783904;0.09386568049513186;0.7011926033700956;0.7553096907278422;0.4444736017755736;0.3827211896416877;0.08113216217658738;0.47439423604783904;0.09386568049513186;0.6493920787195583
200;15163.45;0.3728117231189418;0.2356402225193213;0.2822996830226362;0.49646666136370715;0.12125615504483056;0.07788954386349722;0.09272624096259555;0.7746314559948977;0.4904943457094542;0.5377345955999117;0.6575958644501974;0.40673201392257624;0.334488293504934;0.14336042540482027;0.44990756067260357;0.10705160862221189;0.7003195946996357;0.7410868058336058;0.4624690986434369;0.3926234101085976;0.08762334068395967;0.44990756067260357;0.10705160862221189;0.6445825099787751
250;14876.966666666667;0.36249811742383126;0.23048862967461856;0.2751030174232609;0.4979107977116422;0.1201083893880957;0.07771236954855049;0.0921085420003152;0.7707137444543632;0.48756100991895124;0.5381967396375467;0.6608362748313642;0.40076651869744445;0.33245502136007904;0.14051567578865395;0.45871780551390157;0.09728370339455444;0.6965171846971099;0.7443331793213042;0.4549227153863699;0.3894315313214583;0.08635947909972859;0.45871780551390157;0.09728370339455444;0.6423609880081845
300;15311.8;0.34406747746834476;0.22764878517146633;0.26758319884761167;0.498356548259742;0.11333978335905452;0.07639658804211932;0.08910508810111141;0.7767220230676332;0.48847764775905045;0.5258695848330552;0.6483048926102808;0.4061687801825763;0.33356390388453055;0.1485442759860479;0.4452869438313758;0.10531737849265238;0.6991485983100763;0.7344282745781555;0.4637682204992329;0.393654183257975;0.09094483566939132;0.4452869438313758;0.10531737849265238;0.6415491579934197
350;14980.766666666666;0.35112094777702885;0.22982637418505195;0.27138502319636826;0.4960506209513492;0.11768366587722068;0.07756149086730763;0.09132055088736978;0.771007417529196;0.4828375764768619;0.5235042893248137;0.6529609870209564;0.39650182589039795;0.32803809808767037;0.14381227875818858;0.45968589535141346;0.09671668314263292;0.7002148572522349;0.7399677144461427;0.45212220517867885;0.38674574583789695;0.08819189946990771;0.45968589535141346;0.09671668314263292;0.6445944779639542
400;15450.916666666666;0.33354418117962564;0.21807197156829158;0.2578788735433962;0.4934852591055425;0.10726507837782796;0.0716517878860285;0.084007761152467;0.7771490851908512;0.4832726969584083;0.5109146631363839;0.6382870518759263;0.40156627532026357;0.32897438394882833;0.15382339257099248;0.4446103321087439;0.10200046225278556;0.7004341869325219;0.7277346880681826;0.4602342254878542;0.3903356916437433;0.09515544240340187;0.4446103321087439;0.10200046225278556;0.6417662367649313
450;14712.05;0.3370578811648241;0.23262218520824074;0.2684989713489218;0.49325522868275357;0.1119288150707778;0.07759778213422514;0.0893849111450596;0.7717863514572572;0.4754719171961235;0.5163867642476865;0.6506718376397661;0.386849908138905;0.3211180454888475;0.1423996839125696;0.4707504079485254;0.09219682767456092;0.705346919535656;0.7368927174214088;0.4405567575659527;0.3780045269850573;0.08869283448552186;0.4707504079485254;0.09219682767456092;0.651640070108608
500;15069.3;0.3378218017277193;0.22769055221648568;0.2657445705935142;0.49289820566610826;0.10903041106522923;0.07440660395251412;0.0864140364764023;0.772105888433726;0.47915945004288096;0.5132047549217107;0.6448161182093994;0.3927057420986534;0.3246802594143985;0.148160174361942;0.45913408353940455;0.09180547704714831;0.699099734948495;0.7327796946382533;0.4482585658795;0.38342743125781453;0.09260735058109536;0.45913408353940455;0.09180547704714831;0.6435469111676483
550;16768.283333333333;0.3248949312165295;0.23218781453622678;0.2649918102381904;0.49061401091825607;0.10081637417186971;0.07318479076202808;0.08298944995809572;0.7801872088569376;0.4916347142981457;0.49759675024236494;0.6147717307693356;0.4216256037787824;0.33601901411716384;0.1725657744630579;0.4058086217581597;0.1226952660783895;0.7010696622996072;0.706545472613635;0.4872643713232144;0.40341092902244263;0.10692700691862593;0.4058086217581597;0.1226952660783895;0.635430894755175
600;15718.083333333334;0.31306139210639583;0.22441434829503268;0.25554706777128144;0.489640776209461;0.09998859545584844;0.07230114702208791;0.08200800688623151;0.7759624345126983;0.4758272085828451;0.49510114671105965;0.6235541869712321;0.3965732157635889;0.32172917786847177;0.1630255308926342;0.440401253343777;0.10669621687428406;0.7101230011106952;0.7168553108649827;0.45856554205349254;0.38603316010690797;0.10103320460273053;0.440401253343777;0.10669621687428406;0.6481306748207916
