ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1609.9166666666667;0.6178536752595134;0.6705011798251891;0.6327963057613437;0.604942050117051;0.2515351684100992;0.28749723255960924;0.2649282839255711;0.8197743074725845;0.7444039595436979;0.7697901803869491;0.7587496771106728;0.7476786492239399;0.5980435334097671;0.046855862209593806;0.2054654885664663;0.20793782250965004;0.4602591732857102;0.7668791852790993;0.7563346380956992;0.6092056253894791;0.03819987333783456;0.2054654885664663;0.20793782250965004;0.4516031844139509
100;1561.861111111111;0.6393696197131191;0.6899680933911636;0.6520755900246812;0.576753528218203;0.21917746965002266;0.25101375978579693;0.23035958338026058;0.8141664863512573;0.7251360547809956;0.7426407971164448;0.7574776765423414;0.7180541600795923;0.5752066945311987;0.046141789056977085;0.23580405086343045;0.20906046998413133;0.49100630990453886;0.7639464462113631;0.7244173465689676;0.5835248210802174;0.03977860256760182;0.23580405086343045;0.20906046998413133;0.4846431234151636
150;1501.4166666666667;0.6335731925371404;0.7061240860131541;0.652747985289548;0.5763794971964141;0.21748318095572158;0.2605361964401392;0.2323987557515621;0.813793258808047;0.7186877447401141;0.7411650556132695;0.7571538586579281;0.7059808950094432;0.5661038388291957;0.05182762548612246;0.24219147950443448;0.20051941749242264;0.4945385224829795;0.7664997556135887;0.7150599417944491;0.5780758255453343;0.04274857870111645;0.24219147950443448;0.20051941749242264;0.4854594756979735
200;1511.5833333333333;0.6206563812376015;0.6921601414184622;0.6371222229506001;0.5812906863956079;0.22006958086533046;0.26268224368686155;0.23375024966103192;0.8090624895519323;0.7158549435417734;0.7531860645396706;0.747652988483374;0.7146495259681888;0.5643546515379008;0.05158839802969252;0.2337620760021187;0.23384976056819406;0.5192002346000053;0.7548697856520166;0.721777730156223;0.5734075131906058;0.04446019384165825;0.2337620760021187;0.23384976056819406;0.512072030411971
250;1498.3055555555557;0.6096345273264291;0.6969782986292572;0.635428245930038;0.5651016665896792;0.19843002127056417;0.24228913777010253;0.21373695544116703;0.8082909507357561;0.7081628208912686;0.7246205505010521;0.744000838411045;0.6994307242003076;0.5545886081238772;0.05517855477820058;0.24539072102149184;0.21505626828587368;0.515625544085566;0.7525368183347536;0.708166010254093;0.5655923340955199;0.046443268724415204;0.24539072102149184;0.21505626828587368;0.5068902580317807
300;1437.861111111111;0.6287613375876471;0.6806659379236412;0.6366669220430474;0.6017894588035864;0.24637823930160263;0.28504718014097086;0.2578052457318091;0.8138138871980156;0.7333996888354689;0.7686758365241873;0.7683192726030644;0.7225700840370631;0.5846596444018654;0.05193697477371936;0.22549294118921745;0.19198472524512436;0.4694146412080612;0.7763984694156513;0.7300637103714055;0.594732010614921;0.044443348439377056;0.22549294118921745;0.19198472524512436;0.4619210148737189
350;1512.8333333333333;0.6018547224807453;0.7032545316756645;0.631646711056653;0.5687548938656475;0.20245035555184593;0.2532094565174531;0.2194052987523872;0.8050586768365713;0.7033547554490007;0.7287762965843588;0.7326404190676762;0.7030025326462502;0.5493113040072399;0.06036827889243976;0.23662918846130987;0.24028505004029263;0.5372825173940422;0.7414326300434978;0.7113305967320137;0.5599379802222686;0.05204021480667638;0.23662918846130987;0.24028505004029263;0.5289544533082788
400;1363.75;0.6459760449373886;0.6985825716801681;0.6532985301607803;0.5620316664507786;0.2048579391296742;0.24263646452704524;0.21693895039090105;0.8058114443484028;0.7097437625129487;0.7338251691170908;0.7746229868271466;0.678000650046303;0.556101372814877;0.05044556038033307;0.2715537895733638;0.17229657610327972;0.49429592605697675;0.7827616656349998;0.684903503991566;0.565630000557235;0.04354270643507021;0.2715537895733638;0.17229657610327972;0.4873930721117138
450;1544.4722222222222;0.6048948460348178;0.7034542339547687;0.6359419185192616;0.5752164588258204;0.20477613536270764;0.25550160908526;0.22253781440942694;0.806808519843558;0.712604045579854;0.7380000478121259;0.7359773813007394;0.7152630266598714;0.5590469764834759;0.05564553965472564;0.22909143368540297;0.23630658863357829;0.5210435619737067;0.7444811879475469;0.7236900134617428;0.569849652637521;0.04721855285285406;0.22909143368540297;0.23630658863357829;0.5126165751718352
500;1683.9444444444443;0.5560619985765629;0.6781144244863815;0.5936122097935141;0.5943666387797126;0.20693592643731618;0.2710243950788577;0.22869604605272661;0.8100284373765158;0.7008974417925097;0.7435010382793642;0.7041166232312488;0.7311181331354317;0.5472326545130615;0.06594082674457274;0.20294104011999547;0.312298277497668;0.5811801443622362;0.7144632077363974;0.7421998634353367;0.560287805375241;0.05485909644466771;0.20294104011999547;0.312298277497668;0.5700984140623313
