ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;23935.216666666667;0.6591515830201912;0.6052635215400208;0.6257488504961466;0.564023322840274;0.33005423446880944;0.30068932906505746;0.31170615994993;0.7954232555191677;0.6563306574734333;0.6959625482566136;0.6806036489705913;0.6675991187858757;0.49868529469182615;0.09728000553570816;0.2351208756784161;0.29824393435493507;0.6306448155690593;0.7173076428169519;0.7051952895874898;0.5381644400409923;0.05968383473409413;0.2351208756784161;0.29824393435493507;0.5930486447674455
100;26065.933333333334;0.657902580349498;0.6061068179865392;0.6254788508176643;0.5606132728718964;0.3243200332741662;0.29631558781595657;0.30663366123905544;0.8016721699531705;0.6514188378883442;0.6689116337519692;0.6536713360280942;0.6893003986127021;0.49421709737755826;0.09330610031572076;0.21739350107157704;0.3806286542564744;0.6913282556437722;0.6868123138846854;0.7261049185265495;0.5309021915338757;0.05650158040187354;0.21739350107157704;0.3806286542564744;0.6545237357299248
150;23584.15;0.6561054332350016;0.63144721321656;0.6385068832955464;0.5605235380874453;0.3274608338164419;0.31270546819003797;0.31714060971645136;0.7959917675033996;0.6562038288449142;0.6977012484066859;0.6864240068943044;0.6607154439121786;0.4979722129616448;0.09416674840146756;0.24511780768635383;0.29034678562069477;0.6296313417085161;0.721676886896189;0.6971713740365779;0.536182561745164;0.05771081827706835;0.24511780768635383;0.29034678562069477;0.5931754115841169
200;22810.733333333334;0.6710671256290489;0.6134041564402165;0.6353809364567059;0.5628737653522501;0.33673726731383713;0.30558650560578315;0.31733563223966654;0.7930170270086666;0.6580459204619629;0.7032359118039453;0.698467387046285;0.6526561751082647;0.5007991863162726;0.0909062401085456;0.2564375847831897;0.26259937268616146;0.6099431975778965;0.7344220623808593;0.6882583548684288;0.5387313931641186;0.05530406034838151;0.2564375847831897;0.26259937268616146;0.5743410178177327
250;22015.45;0.668314757571049;0.6375106012871208;0.6472651879253932;0.546959729618104;0.32126161727488467;0.3032918780692483;0.3091661120076667;0.7901710067127737;0.6520817495153289;0.6967842050967782;0.7038299215194291;0.6392272790074158;0.49350502895490445;0.08578669708018281;0.2749860239124014;0.2575105520539835;0.6182832730465677;0.7394156390234514;0.673453201747583;0.5300179327578536;0.05156077434001541;0.2749860239124014;0.2575105520539835;0.5840573503064003
300;22739.333333333332;0.6620190198440441;0.6281803983965104;0.6396283813027549;0.5721737180527499;0.33704604967445945;0.31721215800890523;0.32414617391531564;0.7960840984332123;0.666575296245165;0.7119014636176402;0.7016167456188533;0.6609147141008332;0.5093358553744773;0.09813381681109402;0.24095146908807286;0.2433234449806442;0.5824087308798109;0.7405310989026435;0.6988975824820941;0.5510374674062536;0.06015094842983312;0.24095146908807286;0.2433234449806442;0.5444258624985501
350;20529.7;0.6676601891977494;0.6229151337548363;0.6380224029022343;0.5431060944149346;0.32141084525310704;0.2959867461669452;0.30476911346421975;0.7816062058072827;0.6387531837858199;0.696745489199041;0.7176279286808619;0.6039399080312099;0.4784223259375588;0.08738410305378398;0.30867598891500614;0.21302938074772074;0.6090894727165109;0.7572630156925817;0.638951280511161;0.5170046989993046;0.05237273057383273;0.30867598891500614;0.21302938074772074;0.5740781002365598
400;20817.7;0.6708970935676695;0.6295982672560736;0.64331573879883;0.5518936325611159;0.32380023720187984;0.3001034593276511;0.3081549797703776;0.7903932467284726;0.6452816219260803;0.7069347509070545;0.7171679074921362;0.6140331298840027;0.48530150265533917;0.0903352928209493;0.29563157729504813;0.21675400163033534;0.6027208717463328;0.7566538332999545;0.6507033629992621;0.5249626303831567;0.05366505970568977;0.29563157729504813;0.21675400163033534;0.5660506386310732
450;24027.766666666666;0.6701385359697425;0.6417594353003585;0.6511316254588598;0.5609528124504278;0.3326465948002133;0.3164915515733519;0.3219215066633159;0.7945290734601819;0.6629902091061638;0.695291428544445;0.6873816112723966;0.6730123139012872;0.5058207155092195;0.08768823632865388;0.23929944977005885;0.29792855356764997;0.6249162396663627;0.7209344964366599;0.7075861560885046;0.5422927882499473;0.05311439414143641;0.23929944977005885;0.29792855356764997;0.5903423974791454
500;29516.45;0.6300067136224412;0.6157251082509425;0.6189640075667325;0.5697875426387146;0.31443709716797186;0.30656229619635683;0.30843499915531647;0.8100521291398439;0.6677824619920104;0.6740304285246842;0.6299456301225156;0.7501059637642418;0.5121412493763564;0.09688374584142778;0.15301029039433026;0.4585786870442214;0.7084727232799796;0.658972669291969;0.7867438245629843;0.5473068331659413;0.060245885042685465;0.15301029039433026;0.4585786870442214;0.6718348624812371
550;23213.75;0.6563164980953048;0.6469688222103527;0.6462765515201596;0.5651932491486537;0.32873880176280307;0.32113945908720065;0.32205327309496246;0.7945883071336716;0.666707419470224;0.7093613416924255;0.697994756037603;0.6669185464969923;0.5092655286741018;0.08914196166619394;0.24393949183681352;0.2693065408508789;0.6023879943538865;0.7326128761131134;0.7017145131049534;0.5468837192666725;0.054345995058233135;0.24393949183681352;0.2693065408508789;0.5675920277459255
600;23275.783333333333;0.6648611953475477;0.6402226860194048;0.6477248784237724;0.561246843491205;0.33085655755366644;0.3163209652098236;0.32094000715684845;0.7942431696162722;0.6608699728453966;0.7001498227172578;0.6962136663758165;0.6609452322083276;0.5030510511092803;0.08757703887616969;0.2514777289155028;0.28038445270872786;0.6194392205004003;0.7297101281782999;0.6949830278738219;0.53904324552827;0.05353924321067533;0.2514777289155028;0.28038445270872786;0.585401424834906
650;21957.616666666665;0.6434883906476135;0.6051824901871785;0.6179663256621879;0.5558583025684081;0.31867556937424674;0.29609405491232776;0.303885670537317;0.788831417894586;0.6484962031666225;0.6970873249438465;0.70420692586491;0.6297657753005467;0.4890899986947253;0.09480316648766754;0.27543105821178576;0.2348203381811482;0.6050545628806014;0.7445690281695415;0.6677203254991132;0.530509922603263;0.056848616289101025;0.27543105821178576;0.2348203381811482;0.567100012682035
700;23046.15;0.6531812066337513;0.6168010291966711;0.6287162830981081;0.5480667454643616;0.3159738409964448;0.2958469704362122;0.3024286246699875;0.7893076790120066;0.6484069019148239;0.6854545285629869;0.693100679402457;0.6430927598578748;0.48940969292562125;0.08904254426660958;0.2678646958755155;0.2749066438622607;0.6318138840043859;0.7286122224275091;0.6784833386410808;0.5267108139833702;0.05365196548340364;0.2678646958755155;0.2749066438622607;0.5964233052211799
750;25366.883333333335;0.6489625137619209;0.6318200706368245;0.6358499486719771;0.5602045520185911;0.32228195228075973;0.31189845887933415;0.3145932359318457;0.7979514468910849;0.6623046838280491;0.6825806626538634;0.6706523957538458;0.6897091158;0.5057179144111912;0.08933798360460302;0.22095290059539693;0.34216773257838906;0.6524586167783892;0.7032773419149356;0.7254880290927763;0.542175408897649;0.05355907031182662;0.22095290059539693;0.34216773257838906;0.6166797034856126
800;23094.316666666666;0.6361589832357857;0.6277341416495902;0.625228225999762;0.5625708277016652;0.3173551440603835;0.3088966754147666;0.3099575522029625;0.7951205704556007;0.6577458644664198;0.6970279523546459;0.6891562045836721;0.6577638099630463;0.499456662962844;0.09900633977381011;0.24322985026314384;0.2699300086151962;0.6121661986521503;0.7269793244046225;0.6958825252500455;0.5399044385468863;0.06088762448681075;0.24322985026314384;0.2699300086151962;0.5740474833651508
850;23467.516666666666;0.6542257379438181;0.6348938355020113;0.6396213901804411;0.5535033071533795;0.31988675669107036;0.3083565780784088;0.3115065520231513;0.7914628098551783;0.6591681854273849;0.6902499576668564;0.6906725751938241;0.6611326315464456;0.5012131317922758;0.08761544228103049;0.2512519261725238;0.28503102865375424;0.6238983971073085;0.725013534047935;0.6959205932886803;0.5379590576629221;0.05282748053879592;0.2512519261725238;0.28503102865375424;0.589110435365074
