ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1291.7777777777778;0.7017551633158008;0.6974911884045729;0.6886522116815177;0.6332959690820338;0.32500378543299097;0.33967254322996426;0.32846609836785623;0.812575353827532;0.7692651181705054;0.8115977045974002;0.8121966005492065;0.7410572558622129;0.6299762610328101;0.0466081801259329;0.21233456401185424;0.13138170212510827;0.3903244462628954;0.8196891713669046;0.74707303263591;0.6387283749387096;0.04059240335223571;0.21233456401185424;0.13138170212510827;0.3843086694891983
100;1207.4722222222222;0.7160517906717887;0.7233383733178962;0.7089204317914478;0.6086611997336481;0.3005125883253638;0.32311116597317213;0.30812891014757676;0.8096260371474693;0.7434323344984145;0.792752190869792;0.8095051959675144;0.7021882087801992;0.5984857058508003;0.045775385446247055;0.2520364057735539;0.12742621342247562;0.4252380046422765;0.8192889178468643;0.7093524840032933;0.6087610365104216;0.03861111022315286;0.2520364057735539;0.12742621342247562;0.4180737294191823
150;1290.138888888889;0.6925259798475867;0.7109474086035865;0.6907139778470959;0.6141247640980884;0.3009854236196449;0.3251160358199541;0.30905396504488697;0.80784134013227;0.7442800110631318;0.7861190459350271;0.7902539755339545;0.7172138504264025;0.5996490708405163;0.0506985532705525;0.23208759630304499;0.15091284778781372;0.4336989973614112;0.7997711302272463;0.7246836057767879;0.6097815461003155;0.0432287979201672;0.23208759630304499;0.15091284778781372;0.4262292420110259
200;1287.5277777777778;0.6777174335021785;0.7088892572711294;0.6828907420944574;0.6180312486637852;0.3019232387414721;0.3318885294432386;0.31276619917550214;0.8115655298923944;0.7386660160575542;0.7884444697375796;0.7794466718694864;0.7186489945845396;0.5916078151587992;0.054661520379886794;0.2266894850355737;0.16383414721084735;0.4451851526263078;0.7932348840648548;0.729685053550037;0.6067420195872049;0.04362546141438936;0.2266894850355737;0.16383414721084735;0.4341490936608104
250;1312.0277777777778;0.6632840251693818;0.7087435554155749;0.6760646638352356;0.6196187724598876;0.2966173742973804;0.33081946301652243;0.3096046016329832;0.8102396604042916;0.7424200915989747;0.7826194811057463;0.7764179220616376;0.7243019266118188;0.5964780506281679;0.05499318507319733;0.22070488831498386;0.16288905294408607;0.43858712633226726;0.7884892485785904;0.7339670092162043;0.6096699724545949;0.045328102468811755;0.22070488831498386;0.16288905294408607;0.4289220437278817
300;1456.888888888889;0.6257713378254185;0.6940511453353195;0.6463203271354164;0.6371107046504251;0.3021293446512175;0.35036798065941716;0.31981745468461725;0.8138232431106789;0.7372616993541832;0.7889235534126267;0.7400470287533621;0.7524728206773175;0.5909099596132174;0.05940707264659636;0.18812010667608622;0.23225781143095922;0.4797849907536417;0.7523886666127495;0.7639403234182178;0.6053766604470179;0.04793956990569596;0.18812010667608622;0.23225781143095922;0.4683174880127413
350;1518.9722222222222;0.6162902225438427;0.69414586161875;0.6418721288613647;0.6472641836767142;0.31366907545919986;0.365289715282682;0.33299260416523974;0.819120206363626;0.7400279191012291;0.7926107325599987;0.7293121332655175;0.7677854510623896;0.5941626537708103;0.06253520886784256;0.16967934006976784;0.25029132777713486;0.48250587671474526;0.7428799064029343;0.7808165177845393;0.6105169569035974;0.04950414214569289;0.16967934006976784;0.25029132777713486;0.4694748099925955
400;1426.9722222222222;0.6361809623499578;0.6961502378097417;0.6539883832834729;0.6327305495938642;0.30030115167353716;0.34078651503692464;0.315096139332268;0.8149847404896269;0.7342562119874269;0.7796103609270965;0.7441201240159531;0.7409183933319112;0.5874548173060627;0.06308731197499298;0.1959942946930956;0.21384434532666666;0.4729259519947553;0.7586981857337933;0.7539525529323048;0.6040667016937724;0.050053152374599605;0.1959942946930956;0.21384434532666666;0.4598917923943619
450;1475.2222222222222;0.6163103385604772;0.703229567149458;0.6463803404731261;0.635864631325478;0.2952578122837237;0.35005633817144816;0.3162396703513568;0.8168290155153163;0.7279026538513274;0.776546118436337;0.7266189026934629;0.7482749438723518;0.5798409257581293;0.06575944109139592;0.1859656150362523;0.24266270211922242;0.4943877582468706;0.7412648117340221;0.7616683484748242;0.5965029091030143;0.05236603648892341;0.1859656150362523;0.24266270211922242;0.48099435364439813
500;1421.4444444444443;0.6414346918338603;0.6997749641914489;0.6598684678493831;0.6413460592606272;0.3135829649766162;0.35552309510554436;0.3297154903968471;0.8161387256476532;0.7479854434883895;0.7945202383295092;0.7570596242562501;0.7537096414587804;0.6040237107214188;0.05762854778270459;0.18866181075851507;0.19786737710546354;0.4441577356466832;0.7690698862480276;0.7640804807012085;0.6177605281219639;0.04725770854027648;0.18866181075851507;0.19786737710546354;0.43378689640425505
550;1383.888888888889;0.6430843872988006;0.7122994400240538;0.6673374050380096;0.6332062915028295;0.3043761437148984;0.3478960804724529;0.32153463081352296;0.8164290376742963;0.7361931600726759;0.7873168861629386;0.7562376008344506;0.7324219353548505;0.5897220337562431;0.06048913702117964;0.20708892762396994;0.1920141201146746;0.4595921847598241;0.7704935679191444;0.7447750163190452;0.6057473472852365;0.048136056056984886;0.20708892762396994;0.1920141201146746;0.44723910379562937
600;1478.6944444444443;0.6315118078098965;0.6905799170457315;0.6482033301558208;0.6437332566246038;0.31038985459943585;0.351618099825254;0.3250458637701524;0.8185530334708673;0.7440466240057175;0.7942246469601837;0.7446354457879816;0.7620818101525737;0.5994561891245382;0.05675270737932327;0.18116548246810316;0.23368649853385598;0.4716046883812825;0.7551970023643055;0.7720508457688802;0.6120357128463945;0.04678367176301675;0.18116548246810316;0.23368649853385598;0.46163565276497587
650;1535.3055555555557;0.6096801702025635;0.6918295099293421;0.6354446147620707;0.6560008133192734;0.3089674365818724;0.3656903110405752;0.3293623540048912;0.8254291621876448;0.7405000892520843;0.8011097754333237;0.7272589608345865;0.7745963869358868;0.5947884432296183;0.06035031580433979;0.16505329725977327;0.26862061564753276;0.49402422871164586;0.7388185153771039;0.7857670221562487;0.6088054167183833;0.049179680583977904;0.16505329725977327;0.26862061564753276;0.482853593491284
700;1337.5833333333333;0.6671041562322125;0.7100642927921688;0.6771920077371427;0.624704450860545;0.29753557489034704;0.3312675349566388;0.30949575735969137;0.8116207657232728;0.7357011594747389;0.7834894698887654;0.7665309216406281;0.725711933412662;0.5895759325230479;0.05382078371630117;0.2204672828710366;0.19039555886132048;0.46468362544865827;0.7783298802726301;0.7357020606397179;0.6025288020251023;0.04383065648924542;0.2204672828710366;0.19039555886132048;0.45469349822160254
750;1412.8333333333333;0.6444393532228935;0.6962003252442556;0.6570677240977268;0.6440978705747348;0.31799171345100596;0.3596059496737237;0.3328541699276538;0.8211741255748806;0.7426407705457698;0.7960815956662158;0.7533585254230076;0.7523454094342807;0.5983734455490749;0.05692698600956493;0.19072760455615453;0.2229447108456812;0.4705993014114007;0.7658615319058972;0.7634378582429721;0.61277166576137;0.045834537200873285;0.19072760455615453;0.2229447108456812;0.4595068526027091
800;1524.8333333333333;0.5965271994644472;0.7044751155790592;0.635490570628384;0.647132445323884;0.2971823261276239;0.36359937383679275;0.3226109919777875;0.8197301299399447;0.7300403371409055;0.7826561272137229;0.7179987888990502;0.761789237051615;0.5826647824977607;0.06359841688011734;0.17461234606826756;0.26918505068630955;0.5073958136346944;0.7316158380055471;0.7747793870456822;0.5984725117251064;0.05060826688605029;0.17461234606826756;0.26918505068630955;0.49440566364062755
850;1415.5277777777778;0.6434388110898371;0.6979268090228081;0.6572681268182752;0.6383001613649029;0.3052753190794762;0.3471580425170661;0.32026482601370404;0.8187532547469873;0.7371736537689704;0.7863341920232787;0.7491343631156785;0.7448854810331111;0.5918298329571843;0.058560564292470994;0.19655395467441783;0.22037529786846796;0.4754898168353567;0.7614637441908546;0.7561353136404865;0.6059422234796488;0.047310731685095746;0.19655395467441783;0.22037529786846796;0.46423998422798146
900;1406.0;0.6362891114973059;0.6982073254081537;0.6555446335902083;0.6386250299111536;0.3079172210433087;0.3531334052309138;0.3252488247208919;0.8185138005376559;0.7396966173840746;0.794160258798664;0.7493378437377536;0.7477184160982628;0.5937329326410363;0.05903745704856008;0.19324412685317705;0.21445219443749453;0.4667337783392318;0.7617343483871921;0.7584700028357987;0.6079037380206203;0.048285870311024257;0.19324412685317705;0.21445219443749453;0.45598219160169584
950;1489.9444444444443;0.6262824288028522;0.6938151867811114;0.6461694841098757;0.650005575983435;0.3161041695931643;0.365378684309938;0.33387640936331486;0.8252124095230553;0.742468325401619;0.7965335187622659;0.741694597473765;0.7626324271599676;0.5974881267234555;0.05908988888036512;0.17827768395966742;0.23829968964284395;0.47566726248287655;0.7548071904062797;0.7749493021981175;0.6132485355495838;0.046773013842215154;0.17827768395966742;0.23829968964284395;0.4633503874447266
1000;1502.8055555555557;0.6251291881806338;0.6849102029386637;0.6411524149488209;0.6497201687453794;0.3132728510741199;0.3608176599786903;0.3303027427086276;0.8250223654316562;0.741732481580975;0.7961473438530682;0.7395111953879213;0.7663174566322161;0.596444828337933;0.057260465118898186;0.17642207824888562;0.24873646687827092;0.4824190102460547;0.7510997898877416;0.7772134121917634;0.6100568592325798;0.046364509559350925;0.17642207824888562;0.24873646687827092;0.4715230546865075
1050;1430.0;0.6395257246434984;0.6830734483171068;0.6486825017656196;0.6457714892894402;0.3171619570470185;0.3536427947889822;0.3294626707148263;0.819379154742557;0.7448238173890456;0.7989147965677867;0.7525227062099321;0.755705504514744;0.6003978627796844;0.05761861328887544;0.18667588219638073;0.21743296728663497;0.4617274627718912;0.7644738596262278;0.7662622752861846;0.6139615546387716;0.04706184251743479;0.18667588219638073;0.21743296728663497;0.4511706920004505
1100;1481.111111111111;0.6221338053775581;0.6840992341345168;0.6392027450620659;0.6533674621746628;0.31827393642886675;0.36666719120089564;0.33545443178702383;0.8253189072484081;0.7420677038016462;0.8002515618554155;0.7403061436170523;0.76507758595619;0.5965927421379126;0.05691014389549739;0.17801227014831258;0.2419100316437898;0.47683244568759975;0.7527250647953789;0.7764152671496517;0.611261239850522;0.045572462702035736;0.17801227014831258;0.2419100316437898;0.4654947644941381
1150;1497.2777777777778;0.6307003977632506;0.6790969740610804;0.6403788543447984;0.654403405000319;0.3207006731533282;0.361766291078643;0.3342820106576346;0.8286058110951626;0.7470811659024132;0.8069530329689097;0.7463307152601382;0.7690703313617301;0.6028639364352452;0.05464848785655213;0.17628118078171787;0.2403478966531037;0.4712775652913738;0.756761956355091;0.7788269682827649;0.6153800184753437;0.044891850935517306;0.17628118078171787;0.2403478966531037;0.461520928370339
1200;1477.4722222222222;0.6094342349735344;0.6938692274715385;0.6370696465815898;0.6422354013707237;0.29789243958267375;0.355206738929675;0.3194637349853655;0.822209745343028;0.7357824419372014;0.7928048687727172;0.7339034453569185;0.7584979849075425;0.5892642118530211;0.05936161588097147;0.182140399211486;0.2501083852150596;0.4916104003075172;0.7471834628776189;0.7706334653393327;0.6045663567196855;0.04722613544918133;0.182140399211486;0.2501083852150596;0.47947491987572705
1250;1457.7222222222222;0.6242615481251701;0.700651476435527;0.6489291820270341;0.6410398798874716;0.3017332415984212;0.3525061422867302;0.320814141246848;0.8178814199246617;0.738418425484278;0.7929304383279163;0.7414477268938314;0.7541670835550003;0.5921544101026472;0.05869549194627488;0.18713742449872497;0.23084784598650362;0.4766807624315035;0.75349326841942;0.7650198966454739;0.606051958204749;0.0478426788558013;0.18713742449872497;0.23084784598650362;0.4658279493410298
1300;1461.2777777777778;0.6216728181674227;0.6891058605076996;0.6409100057411297;0.6484147577661015;0.30831797444658876;0.35876000483871234;0.32647100330993367;0.8198821113859128;0.7396164401631194;0.7951924485895537;0.7422182032520583;0.7573901881280587;0.5939158550771242;0.05932333655208158;0.18328647531985964;0.2377366999880833;0.4803465118600245;0.7552234799939992;0.7691121551290911;0.6090133854591439;0.04760136955104918;0.18328647531985964;0.2377366999880833;0.4686245448589921
1350;1414.75;0.645072859271889;0.7002122514989344;0.6589986466966087;0.631097691660985;0.29594882398293954;0.3348955646029921;0.30934970580827553;0.8157676285109337;0.7345988465888071;0.7877646492100022;0.7536997784786982;0.7376397046515086;0.588046147468241;0.05533127006628715;0.2070290252822043;0.215595807431343;0.47795610277983447;0.7655187828108971;0.7481944964597668;0.6014895922002297;0.04477647825802904;0.2070290252822043;0.215595807431343;0.46740131097157644
1400;1368.1944444444443;0.6580482240698794;0.6940866527933912;0.6637342980970218;0.6299288105469514;0.30030159536760886;0.3313650442562174;0.31064772603334473;0.8175917291088393;0.73823829757793;0.7891282614387126;0.767300871273656;0.7316708689010485;0.5930848771725574;0.05423181315119294;0.2140973179477586;0.19283197976842234;0.46116111086737394;0.7797945770721156;0.7424166481947526;0.6070712895547897;0.04348603385748873;0.2140973179477586;0.19283197976842234;0.4504153315736697
1450;1436.25;0.6441517702138818;0.6859594824099849;0.6515690251278556;0.6405424812156721;0.30713533284379546;0.34375502867021485;0.31936974351558267;0.821774264865232;0.7356103841999349;0.7931871195031676;0.7476185393429818;0.7482803710397335;0.5899233193476175;0.05640287523547045;0.19531675372479604;0.23737862536902166;0.48909825432928816;0.7593499771589279;0.7589373321986189;0.6032306747538148;0.04574591407658495;0.19531675372479604;0.23737862536902166;0.47844129317040285
1500;1480.2222222222222;0.6130529779499583;0.6996719505539404;0.6421310860730384;0.6325849917853438;0.28807099425093496;0.3424508850305573;0.3085027915763968;0.8152503122738239;0.7242535160970952;0.7752753195958589;0.7253315118128165;0.7464102269500908;0.5759153250209916;0.06394585339734263;0.1896439196525664;0.260687034119968;0.514276807169877;0.7387194727385539;0.7590492463013705;0.5911686536232428;0.05130683404606291;0.1896439196525664;0.260687034119968;0.5016377878185972
