ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;15003.55;0.7163024717646244;0.6658511764356848;0.6824595718573292;0.6164702976487331;0.42737582218062825;0.39507613727307617;0.40604883989794077;0.7964791362073244;0.6703644985705427;0.8012957349687704;0.8502048343034042;0.564292444269743;0.5129723286084258;0.05712121066956828;0.37858634506068883;0.04482081893547701;0.480528374665734;0.8809446416038448;0.5843272292500686;0.540243518938712;0.03708642568924251;0.37858634506068883;0.04482081893547701;0.4604935896854084
100;13689.2;0.724465853786818;0.6520638309558674;0.6782799748678253;0.5937060379533096;0.4164139815518871;0.3722254875622628;0.3884629978725776;0.7841499072126074;0.6435946617375679;0.8030868992282587;0.8765532740122567;0.5186335080841009;0.48386447020635204;0.04346732043295101;0.43789917148294816;0.029758655137639676;0.5111251470535388;0.9022958100549326;0.5332818881653069;0.5039091147442208;0.028818940351744957;0.43789917148294816;0.029758655137639676;0.4964767669723328
150;13845.45;0.7166908162036592;0.6718148884008788;0.6858143644448546;0.5951430527188779;0.4112802723322344;0.3823553642232336;0.391858811610562;0.7888553753259137;0.6494942267747761;0.8003126420931175;0.8695608106250586;0.5281504583253687;0.4899180373578896;0.04805937238328724;0.42379016929134405;0.03134453479102544;0.5031940764656567;0.8988878983694661;0.5452819032158709;0.5133394720748777;0.03092792749278506;0.42379016929134405;0.03134453479102544;0.48606263157515467
200;15090.816666666668;0.7074196544577148;0.6650191286127021;0.6783671378684295;0.6138636317275131;0.4261604850814794;0.3991386623431153;0.4078632403849455;0.7936192726560376;0.669537587810097;0.794153259795101;0.8496598443900177;0.5619673437523213;0.5122168600415057;0.05631749829283942;0.3817151579548393;0.04310068338014634;0.481133339627825;0.879780736246887;0.5809639929997749;0.5381224111973396;0.037320849045386024;0.3817151579548393;0.04310068338014634;0.46213669038037164
250;14611.05;0.718959054065867;0.6876020763432706;0.6967354560983967;0.6122269426938772;0.4297196159051194;0.40982433463103546;0.4158431633696562;0.7952434378406834;0.6739076265091809;0.8115694405410568;0.8693800171756987;0.5592911814017797;0.5168919300773382;0.04902665357121299;0.3916821650270072;0.035243856270272156;0.47595267486849235;0.8961369257409317;0.5758911087526776;0.5398365725150387;0.03242672622031532;0.3916821650270072;0.035243856270272156;0.45935274751759475
300;16865.033333333333;0.6931280952571118;0.677798716641465;0.6791941050373972;0.6380503547395525;0.4379443316363044;0.4281759797679524;0.4291649710163635;0.8017436364263322;0.70354748370839;0.8052488342210105;0.8329013212964439;0.6179863776042189;0.5514994380732684;0.06553935056561631;0.3164742718301647;0.05894379966509874;0.4409574220608797;0.8629669427695006;0.6392646530706901;0.580514272159794;0.04426107509914521;0.3164742718301647;0.05894379966509874;0.41967914659440864
350;17379.266666666666;0.6813196044409899;0.6894307699549511;0.680125281534453;0.6393272519975283;0.4312198611104253;0.43654227949286784;0.43061006138905517;0.8001163468799374;0.7078529977339933;0.8003535291192332;0.8210264007621979;0.630614781988772;0.5557159756473102;0.07260938658145268;0.29677583142977537;0.06701754605179375;0.43640276406302175;0.8526683087559495;0.6539266757187843;0.5872291841730394;0.04929749285144052;0.29677583142977537;0.06701754605179375;0.4130908703330096
400;16621.733333333334;0.6981059028430778;0.6709077019337604;0.6781530229668341;0.6374090606821081;0.4406842921876294;0.42413909451795784;0.42844573332147695;0.8030319977934007;0.6984343878835044;0.7989927450660946;0.8332845231432199;0.6099106866261458;0.545218189375191;0.06690995461330071;0.3231793587605534;0.05544144600387736;0.4455307593777315;0.8646096278510231;0.6318581707618749;0.5751171199710322;0.04496247047757163;0.3231793587605534;0.05544144600387736;0.42358327524200245
450;16100.383333333333;0.6937705778156082;0.6862713355005717;0.6847311966179513;0.6234692616841889;0.4298047004005162;0.4245846935670877;0.42393704289382295;0.7970509690425345;0.6924583614356103;0.8022133334485759;0.8454876449530702;0.5949938495506797;0.5382551361854218;0.06069318005429422;0.34431297039502595;0.04729706666347624;0.4523032171127964;0.8751483527171208;0.6147868280443402;0.5655420141309528;0.04090020156063378;0.34431297039502595;0.04729706666347624;0.43251023861913596
500;16461.466666666667;0.7088241055544117;0.6823095089296836;0.6896955049931724;0.6402104933517906;0.45211895363386284;0.43641241429260214;0.4405836248534388;0.8012218011808565;0.7052855943805733;0.813052787481415;0.8495741088635932;0.6120852924297643;0.5535739695039155;0.05974701333471551;0.3281676942355204;0.04872009296025925;0.436634800530495;0.878047702367671;0.6317252044096324;0.5808529454980573;0.04010710135484729;0.3281676942355204;0.04872009296025925;0.4169948885506268
