ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;30092.84745762712;0.49770429797057153;0.30967611070855544;0.3740428499935856;0.46703839494892757;0.13659408916661062;0.08880257352714989;0.1053280810010973;0.8104587447792274;0.4765853004750268;0.5586526804282764;0.7115531466277603;0.37774019918488266;0.31860354701335053;0.09296821225952699;0.5292915885555903;0.08997532216137333;0.7122351229764906;0.7862801621235948;0.4179515373428583;0.3635584359337041;0.0527568741015514;0.5292915885555903;0.08997532216137333;0.672023784818515
100;28530.27683615819;0.4371957888448956;0.28021968333186464;0.3343032299516617;0.4479235596873901;0.11522965982897988;0.07711621750987784;0.09039175398570817;0.7969288233695307;0.4424162106871054;0.5237227417211233;0.6931089424929117;0.340513891036238;0.28879742139101056;0.09915996640734005;0.5603261425564219;0.07695675483689886;0.7364428638006607;0.7782638704442786;0.38278246524943116;0.33563028353877733;0.056891392194146954;0.5603261425564219;0.07695675483689886;0.6941742895874676
150;30966.062146892655;0.4230696162010203;0.28135622485471173;0.33135535717867015;0.44701061051697616;0.10672123215508086;0.07396752997723358;0.08559236641684985;0.8058017715601894;0.4537922859224275;0.5145077939893465;0.6698228452444926;0.36178061151061064;0.29816906153363293;0.1122935926095026;0.5259257958798866;0.09996345051760669;0.7381828390069961;0.7595200664823167;0.41102102533833473;0.3516932520725273;0.0630531787817785;0.5259257958798866;0.09996345051760669;0.6889424251792718
200;27370.05649717514;0.41696195404696035;0.274908510305901;0.3246293628826554;0.43809105959415556;0.10471583337079456;0.07196482170669598;0.0835039707714462;0.7994393598734407;0.42672936709592885;0.5087216581344758;0.6904184407154649;0.32525408283666657;0.2759273135229352;0.09662271464230329;0.5781232025210302;0.07694031559651368;0.7516862327598473;0.7779795975790187;0.36727264685260325;0.3221039669328301;0.05460415062636657;0.5781232025210302;0.07694031559651368;0.7096676687439104
250;27560.610169491527;0.3987034725157443;0.27623281155653945;0.3202241369686384;0.4303485959122711;0.10042600559517215;0.07237661446838739;0.0825034080393298;0.790417737885448;0.42212498847333313;0.4994396957965998;0.6814238470895273;0.3222920186636252;0.2722151790117326;0.09999870846565959;0.5777092728707153;0.07941311567473733;0.7571210970111121;0.7713004527592945;0.3656047532755092;0.3194513198211162;0.05668597385377555;0.5777092728707153;0.07941311567473733;0.7138083623992282
300;30526.90395480226;0.411255957338694;0.2926447060131622;0.33556451475164273;0.4372639649591474;0.10036259725610747;0.07439318276942862;0.08381126766477762;0.8022972880151586;0.4452281532647828;0.4996755573541429;0.6638983587137243;0.35436623964124686;0.29106697449925667;0.11296991591263043;0.5326638444461228;0.10122232295411997;0.7468560833128732;0.755664160284686;0.40394183188018545;0.34470613485458557;0.06339432367369177;0.5326638444461228;0.10122232295411997;0.6972804910739344
350;26940.627118644068;0.3773377417249446;0.2734442727042519;0.3113350990696167;0.41949334551357553;0.0920142564665081;0.06930228874176216;0.0775977646989795;0.7795449480678918;0.4121470810942446;0.4914302954526542;0.6787082611034068;0.3112707091381722;0.2639352978683371;0.09849111775388551;0.5902381731079424;0.0760939994016772;0.764823290263505;0.7697923885841595;0.3537414060236396;0.3102248329744918;0.05602042086841806;0.5902381731079424;0.0760939994016772;0.7223525933780376
400;24179.011299435027;0.3978089476408896;0.2532108212050854;0.30330567839577927;0.41985320992434305;0.09696250873585961;0.0641489326679883;0.07563159470740878;0.7815041009699581;0.38983585871482207;0.48639851246735194;0.6947916690444293;0.28463246156643535;0.24637054828284127;0.08718182734849218;0.6281857110850725;0.06089827375292502;0.7762658121864897;0.7845333094812172;0.32203668095971294;0.28742150431572416;0.04977760795521465;0.6281857110850725;0.06089827375292502;0.7388615927932121
450;25021.86440677966;0.3703694981478673;0.2472855046092806;0.29062609860496524;0.41871199121286456;0.09171587027036797;0.06366571640203066;0.07360743372500915;0.7762088720151689;0.3927076634213114;0.4800609315612188;0.6848519479425019;0.2895497177667678;0.2486252513782966;0.09233184837621926;0.618118433857013;0.06534185322801421;0.7757921354612464;0.7783498388504906;0.3297362924741546;0.29249690525532823;0.052145273668832454;0.618118433857013;0.06534185322801421;0.7356055607538596
500;28333.887005649718;0.35383734672929035;0.2794345959217091;0.306816351047013;0.4146384580197693;0.08520382474619113;0.06963303001400864;0.07529837290341615;0.7797925110809346;0.4149964635977264;0.4748706485044996;0.6575329212523392;0.31962864329254287;0.2662208857970371;0.11031825810309143;0.5700530986043656;0.0874638244721198;0.7678351811795768;0.7528842554866291;0.3666774475478497;0.3167260402510422;0.06326945384778461;0.5700530986043656;0.0874638244721198;0.7207863769242701
