ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1598.5277777777778;0.5402088544728285;0.6154856020244108;0.5590643837032541;0.6179220186345312;0.2276722904148199;0.28085342206817665;0.24562158832325748;0.8143520529713028;0.7284308319538477;0.7644811277758797;0.7240568118474014;0.7516925066700614;0.577391001047937;0.05716206171812532;0.19114543161181322;0.24855252874813116;0.4968600220780697;0.7329563988885873;0.7607082037145367;0.5889852254177674;0.04814636467365004;0.19114543161181322;0.24855252874813116;0.4878443250335944
100;1569.5555555555557;0.508928612568487;0.65618821658221;0.55630207083011;0.569946942194725;0.1734913502929042;0.24361108002931273;0.19719984816152725;0.8006563953224447;0.6929513049478342;0.6977049007784495;0.7032844394162888;0.7071663075225874;0.5371044049022576;0.05968431861366276;0.2331493738637499;0.2738324712540873;0.5666661637314999;0.7112181985980921;0.7150119397144913;0.5464564149498383;0.0518386864217588;0.2331493738637499;0.2738324712540873;0.558820531539596
150;1362.611111111111;0.6248793298271783;0.6203201084500954;0.6053544201185743;0.5922989561534329;0.2399326992798885;0.2562403168704585;0.24234718906598335;0.815362060953861;0.7325948263615872;0.7535591470957659;0.7740932514832431;0.7134978717479196;0.5840226140823424;0.04892179953957626;0.23758032871250417;0.17573684589028898;0.46223897414236936;0.7821899376804677;0.7208339226797107;0.5938548732181826;0.041585748607785;0.23758032871250417;0.17573684589028898;0.4549029232105783
200;1429.75;0.6289448583677404;0.6156840478491025;0.5976493551061711;0.5904930141583845;0.2233189923559128;0.23439839729905027;0.2199945653045343;0.8111240759905735;0.7166489067309526;0.7543101716179341;0.7667771968025755;0.7006554826308099;0.5670310617928945;0.04895868166392167;0.25038583570526846;0.21341744325946227;0.5127619606286524;0.7747372184558398;0.7086680232906132;0.5766429558811601;0.04094614100411845;0.25038583570526846;0.21341744325946227;0.5047494199688491
250;1491.2777777777778;0.524251132355102;0.6804104571535597;0.5709856541708616;0.5952726226077433;0.20230283383959363;0.2829629516909181;0.22918356373109297;0.8064341706789212;0.7221401150979339;0.7376187999985274;0.7320754534233315;0.7300539570028792;0.5703392963494469;0.0559147571921523;0.21403128580496844;0.23159204673780845;0.5015380897349293;0.7404983974336811;0.7379690471679146;0.580579536066077;0.04799966702711703;0.21403128580496844;0.23159204673780845;0.49362299956989397
300;1347.638888888889;0.6275895458246151;0.6957271813350772;0.6399477684260823;0.5925844501662496;0.24030869201828167;0.28331809713380407;0.25327955234619565;0.7981097440121212;0.7175853813169862;0.7476431495389199;0.7588772921608004;0.7020066116963628;0.56652843178774;0.054566365462118925;0.24342702284151826;0.20362435987860172;0.5016177481822389;0.7696955398843474;0.7121344894182915;0.5791566399037793;0.044438487740190075;0.24342702284151826;0.20362435987860172;0.49148987046031006
350;1417.75;0.6106842092908713;0.6772064615818681;0.6197349382355479;0.5700386491817779;0.2067156510066016;0.24696621344826733;0.2183175902698358;0.8024187245520901;0.702200752216301;0.7233741263689448;0.74128094197302;0.6924505080949195;0.5491849032497605;0.05539040722871821;0.25215908467636233;0.23273119525991165;0.5402806871649921;0.7496815051383119;0.7010308816454489;0.5592910182674407;0.04681003367818892;0.25215908467636233;0.23273119525991165;0.5317003136144629
400;1126.5555555555557;0.6534646337241123;0.6908926371325892;0.6528781327860913;0.5061662072301832;0.16174389207890946;0.18252375096745688;0.16696749953640513;0.8054959086487415;0.6642943573111482;0.6799674990062183;0.7885555096375914;0.5927439249859314;0.5067174403637809;0.04288797644557066;0.36436809856849783;0.12505397202312812;0.5323100470371966;0.8011320122577288;0.6018446831077574;0.5188004682473384;0.03378721832374457;0.36436809856849783;0.12505397202312812;0.5232092889153707
450;1311.388888888889;0.621520618021867;0.6716073076161935;0.6226262037123041;0.5729202311893149;0.21253932970215803;0.24743572844416123;0.22184032468238868;0.8131363844675293;0.7100503645774361;0.7305595274931609;0.7731436199238968;0.6772890391771721;0.5580690722812105;0.05147118799825637;0.2712397728245716;0.17194411668529455;0.49465507750812243;0.7833863195112163;0.6863632489761713;0.5696583540487505;0.04239697819925718;0.2712397728245716;0.17194411668529455;0.4855808677091233
500;1507.888888888889;0.5847545791836785;0.6736851486157771;0.6011091807525057;0.5846393305109883;0.21685431697104166;0.26658940524732555;0.23148917262223176;0.8038887111828551;0.7096626639048266;0.7328266469997714;0.7285879075780254;0.7181866499393952;0.559123844026145;0.05999653999482942;0.2218168100657755;0.2676314318041864;0.5494447818647912;0.735719533440201;0.7261691556386219;0.5678182687291314;0.052014034295602585;0.2218168100657755;0.2676314318041864;0.5414622761655644
550;1260.5;0.6268164256227462;0.715671945054909;0.6522961482397442;0.4896922534229467;0.14790729765776955;0.18254323404699044;0.15992556064315053;0.8006672709920832;0.6495007253458593;0.6642753365584564;0.7591696711227576;0.5915574980222411;0.4894762424997807;0.04676820543477352;0.36167429654298533;0.1589544515788396;0.5673969535565985;0.7726198414601609;0.6022697621485567;0.5023432816217297;0.03605594130845813;0.36167429654298533;0.1589544515788396;0.5566846894302832
600;1475.5833333333333;0.5740492253667124;0.7154100594597587;0.6136157729548228;0.5668638437475252;0.19483185436742578;0.260780557137964;0.2157842170810467;0.8063600433018085;0.6980521495977321;0.7202019341456913;0.7338783893298795;0.6913365838674597;0.5445736577989144;0.05231466655295481;0.25634874957958537;0.24277069167687268;0.5514341078094129;0.7417303661692691;0.6990335850754269;0.5537175299779925;0.04461766534498748;0.25634874957958537;0.24277069167687268;0.5437371066014456
