ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;67149.83050847458;0.5654394349028803;0.506553757723132;0.529399922478566;0.6284224323358081;0.29816009572068203;0.2689708704806774;0.2804383529204539;0.8534757502677912;0.7429075411843424;0.806510640194732;0.6935674314801495;0.812307944340814;0.5953165414860561;0.0860867745953624;0.10160528106382359;0.30119006234008333;0.48888211799926934;0.7171565527603686;0.8399571883420863;0.6274428018503567;0.05843753059408992;0.10160528106382359;0.30119006234008333;0.46123287399799695
100;55560.63276836158;0.6223067418915164;0.6075061375172435;0.6092855898628652;0.6890704469179911;0.4187874737734189;0.4079054286389017;0.409831372260386;0.8603645317300127;0.77977052741488;0.8574527671130842;0.8168213618495601;0.7504497894047246;0.6418471672692024;0.0637842620782249;0.18576594851705053;0.10936974325262724;0.35891995384790265;0.8400239964734425;0.7721600951977956;0.6717983846197348;0.0420739562851538;0.18576594851705053;0.10936974325262724;0.33720964805483156
150;38719.9604519774;0.7452752431120462;0.5616963007528324;0.6329400068574342;0.66639932877601;0.46994380362423915;0.3583711749264443;0.40201057126302153;0.8608712797464676;0.7385907678290254;0.8665702703097278;0.9021009773410733;0.6329596319548948;0.5913138780335884;0.03534158558104336;0.33169878246406187;0.03495752031626684;0.401997888361372;0.9222013681297221;0.6464176493651629;0.6112640176362216;0.02188356817077528;0.33169878246406187;0.03495752031626684;0.388539870951104
200;44192.57627118644;0.6520257314248563;0.47416218664322757;0.5411445054393924;0.6663154445012157;0.40832845966420717;0.30167816543970355;0.3422358975856384;0.8566271956481767;0.7326940023536802;0.836159771953549;0.8413205446541581;0.6584061916745166;0.5840403276775078;0.05546757796469493;0.2861262303607883;0.0733621211804757;0.41495592950595905;0.869988180335259;0.679478235921801;0.6136992954906572;0.034395533717410685;0.2861262303607883;0.0733621211804757;0.3938838852586748
250;49039.05084745763;0.6877445885187227;0.6105901908786544;0.6413212025117168;0.6945194861835589;0.45868133825668916;0.4098177693132775;0.4293771804648912;0.8654127710010658;0.7934170873514232;0.8713823760581384;0.8525519641254212;0.7463886125539738;0.6609164667332237;0.05309006517560237;0.20052132227042382;0.07983491774168061;0.3334463051877068;0.8742232833473907;0.7650474725160747;0.6881455343393086;0.03443120521350142;0.20052132227042382;0.07983491774168061;0.31478744522560587
300;48118.16949152543;0.6857133641002862;0.5624057786460069;0.6115532733522621;0.6848392787689228;0.44582808334953394;0.3682547889083056;0.3994074360628001;0.8591483196473513;0.7726178531453239;0.8596230693471608;0.8513171224509308;0.7122922560122434;0.633689177286576;0.053330676855487244;0.23437706713226925;0.07348105117738148;0.36118879516513797;0.8754966380802878;0.7318025422345269;0.6619740146396842;0.03382039063320372;0.23437706713226925;0.07348105117738148;0.34167850894285445
350;41230.83050847457;0.7455636891835331;0.6329836010486317;0.6790877694960267;0.6714702057901273;0.48446274056312444;0.41477354564877933;0.44346953857431504;0.8578025336980338;0.7700041980407515;0.8862324676868762;0.9138442889411899;0.66974626337657;0.6308212764900556;0.03512984243933219;0.2951238941840979;0.02736326059557983;0.3576169972190099;0.934470913058267;0.6842765852100557;0.6530494228960301;0.02059952060584638;0.2951238941840979;0.02736326059557983;0.3430866753855241
400;35160.31073446327;0.7143419233906266;0.5754959551506453;0.6293842154481224;0.6125543781943571;0.4059014501238073;0.32826793332012744;0.3586591709009956;0.8451040771033339;0.7046142164340539;0.8891459801012895;0.9424221499134783;0.5691977928816446;0.5503912826018014;0.022391904752061445;0.40841030236629405;0.011771245833810357;0.4425734529521657;0.9593869957273626;0.5790892564733408;0.5652262852506632;0.01250044116036525;0.40841030236629405;0.011771245833810357;0.4326819893604696
450;47435.5988700565;0.7152041779225652;0.5983320703066224;0.64607390988968;0.7052471026365024;0.4937277189670282;0.41527443986231993;0.44749698449689745;0.8660816664139136;0.7934795325605459;0.8776775305341679;0.876479141667081;0.7276806951962372;0.6610162742140496;0.04820601079860463;0.22411329400515803;0.054911720049418786;0.3272310248531814;0.8992616880944775;0.7461382777002078;0.6887148855944354;0.029748428294634033;0.22411329400515803;0.054911720049418786;0.30877344234921084
500;57865.71751412429;0.6875024397303251;0.6040773149214119;0.6381184741152112;0.7213413537412281;0.4812183508765236;0.42503362286230234;0.4481089863861084;0.8710913688637865;0.8186543009875499;0.8847979091174608;0.8211579039029289;0.819132520543058;0.6956790792723461;0.05526732042250663;0.12560015903443536;0.12681334928547988;0.30768082874242186;0.8392091633844099;0.8369072826523869;0.7211378456984143;0.037492558313177646;0.12560015903443536;0.12681334928547988;0.2899060666330929
