ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;29666.25;0.5892441300959309;0.5271989322440438;0.5525136411308292;0.553596930379441;0.2712585982960877;0.24140012280391593;0.2536467597754109;0.8039260062375025;0.6352573586679688;0.6342687896338077;0.5971931484405898;0.7129018009857543;0.47613253660501237;0.13233923373009365;0.15475896528415198;0.46360474768676335;0.750702946701009;0.632809973209206;0.7596848205007486;0.5179198346095365;0.08555621421509926;0.15475896528415198;0.46360474768676335;0.7039199271860146
100;21709.733333333334;0.6076204639702415;0.6268390905022163;0.6102276604105389;0.534976738861939;0.29082754381828935;0.294344266925414;0.2892351714525024;0.7883843380821344;0.6164121033042956;0.6602805596152077;0.6803165989175515;0.5903309391287112;0.4531851944924049;0.10321608000924122;0.30645298086204764;0.23454284623348673;0.6442119071047756;0.7228136537675407;0.629853068475835;0.4945785518831692;0.06369395066211728;0.30645298086204764;0.23454284623348673;0.6046897777576518
150;20253.016666666666;0.6829915618316587;0.5529583107746404;0.6042422284115964;0.5612780372954577;0.33153110661297996;0.26594796224533285;0.2916576948634522;0.7954388957898332;0.6341824000622981;0.6894839568112074;0.7063153620018746;0.5945896959453656;0.4736697996064739;0.10919127817508521;0.29621902587954924;0.17713535372710137;0.582545657781736;0.7511844521434301;0.634475478545555;0.517493083281774;0.06930549557489574;0.29621902587954924;0.17713535372710137;0.5426598751815462
200;24202.866666666665;0.5876672572310488;0.44324912134857025;0.4986420107061802;0.5610940784056166;0.28852527063893707;0.2160757450703616;0.2436854550325059;0.7921853510110719;0.6176100939449143;0.6355214144332322;0.6347176398597446;0.6245802456394098;0.4575126396735188;0.1408745377394692;0.23454521662112085;0.27423575885961343;0.6496555132202035;0.6835683140812548;0.6750385594268347;0.5079268822471782;0.09041622395204447;0.23454521662112085;0.27423575885961343;0.5991971994327788
250;23460.85;0.6114959778135131;0.5930476150189907;0.5962926039652419;0.5518216299130404;0.2963485810872273;0.2852748952692069;0.28780178548604385;0.7917374982381886;0.6309118590225928;0.6512745342836381;0.6544055909326248;0.6346023787500316;0.47027035236053705;0.12623247787694777;0.23916514337302056;0.28106531613229746;0.6464629373822657;0.7013428800048503;0.6828569032624715;0.5192119363308777;0.07797795336450815;0.23916514337302056;0.28106531613229746;0.5982084128698261
300;24977.05;0.6170942302430162;0.5325871315826454;0.5665457620930776;0.5613182489771643;0.3063440339153738;0.2620477788720318;0.27979831076089445;0.790797319217003;0.6367189152544799;0.6474785321762918;0.6457609654859398;0.6526091581886694;0.4771630167193023;0.1287730924460784;0.21861774936525222;0.2951538864137934;0.6425447282251241;0.6902916263840522;0.7002193001620941;0.5253177132781951;0.08116295047265373;0.21861774936525222;0.2951538864137934;0.5949345862516995
350;20112.966666666667;0.6409979786790925;0.6063594108283645;0.617143025017579;0.5481968044370734;0.31302170591765505;0.29197884870655294;0.2991046398506242;0.7844111750844409;0.6281121116811285;0.679511749835439;0.7070648863411472;0.5866446656630018;0.4657457263844572;0.10355775004494501;0.3097975842920533;0.18317961780331174;0.5965349521403099;0.7542703134268246;0.6267965505237428;0.5106535028709841;0.06340586518420387;0.3097975842920533;0.18317961780331174;0.5563830672795689
400;18413.266666666666;0.6325004472137421;0.5386960049517888;0.5735842381081985;0.5110982120813492;0.2850879311467435;0.23710066475448605;0.2549860344654259;0.762808573102198;0.5900082213268938;0.6686411721249056;0.7175630976734858;0.5221386214779484;0.42643599165063806;0.09689929785636277;0.3809620806656888;0.14582817613042165;0.6236895546524732;0.7646150035237104;0.5590402506187016;0.4673067677856938;0.059997668715609825;0.3809620806656888;0.14582817613042165;0.5867879255117204
450;23907.45;0.6236350742472554;0.5633759133700899;0.586857866409255;0.549891038975534;0.3003834058760268;0.2688816998638177;0.2811848862941868;0.7884409348772082;0.6364679326778189;0.649985007097016;0.6590982469255359;0.6418773704755076;0.4760962460573127;0.11818526132263153;0.23993736820186085;0.2853546107027515;0.6434772402272436;0.70360636972239;0.6881985891098685;0.5235000887649482;0.07186404268827049;0.23993736820186085;0.2853546107027515;0.5971560215928827
500;27646.566666666666;0.6255271656810796;0.586181509891707;0.6018313498702453;0.5622322650491683;0.30866098063093383;0.28939399723040393;0.2970922817002998;0.8032376896001682;0.6529003724341814;0.6581374080697592;0.6327052254280175;0.7067974328080485;0.4941358594584306;0.11537483701306471;0.17782773017888698;0.3893515667188648;0.6825541339108165;0.6691126068532646;0.7501971313288975;0.5364565158080467;0.07197513849221555;0.17782773017888698;0.3893515667188648;0.6391544353899673
550;19819.616666666665;0.624416230663239;0.5607639668253898;0.5826078312087066;0.4884106994377941;0.2635948840052224;0.2305398516668724;0.24204654002472895;0.7573428148969122;0.5802374316161314;0.6331816336002546;0.6895434684557155;0.5304196676894969;0.41721231498126515;0.09059293327723822;0.37898739903326495;0.20765881083689888;0.6772391431474021;0.7333419647037847;0.5670680504590563;0.4558080301561925;0.05394455050767877;0.37898739903326495;0.20765881083689888;0.6405907603778425
600;27349.183333333334;0.6038370259425061;0.574933148251258;0.5851233638014499;0.5471379751450175;0.28980864634406867;0.2749016946565181;0.2801877945849787;0.7912453399642178;0.6428657435017019;0.6323022184114967;0.6271675358387142;0.6930598887657667;0.4840327043584988;0.11251740104819102;0.1944227101860423;0.40322649570958424;0.7101666069438176;0.662108922009454;0.7347003177666085;0.5238845713429728;0.0708769720473491;0.1944227101860423;0.40322649570958424;0.6685261779429756
650;26091.683333333334;0.6191502694888394;0.5912154465043995;0.6005614991455239;0.5541606070141911;0.3021285233413;0.28779738063528304;0.292599062350035;0.792458885937093;0.6460038746987122;0.6533277044447371;0.6429585652894045;0.6801699539077593;0.48640179100975944;0.1086808929988318;0.211149153093409;0.3510649547133434;0.6708950008055843;0.6806181514995262;0.7216843033933599;0.5282316278021479;0.06716654351323119;0.211149153093409;0.3510649547133434;0.6293806513199836
700;20248.166666666668;0.6320452101819415;0.5097634313249032;0.5561198727402598;0.5273919908142221;0.29096012693837126;0.23071626737202383;0.25327470008623776;0.7791812501998938;0.5985480602758778;0.6491096531104662;0.6890051466715048;0.5536825108781191;0.4357206193265444;0.10562717414601686;0.34069031497586394;0.19240176667303152;0.6387192557949123;0.7365343253592301;0.5945196394898796;0.4793591490289702;0.06479004553425644;0.34069031497586394;0.19240176667303152;0.5978821271831519
750;22946.016666666666;0.6513983025317563;0.5738973303029837;0.6043402270333399;0.5469323567870049;0.3117236123155397;0.27203864191790156;0.2876000269623232;0.7888192381391783;0.6365837874042991;0.6640687427844277;0.6769067724248422;0.6270365836741466;0.47618532072007275;0.10486754025969208;0.2680958760661613;0.26045902633750645;0.6334224426633598;0.7170758390762765;0.6673370083061555;0.5180888687674773;0.06456711562768329;0.2680958760661613;0.26045902633750645;0.593122018031351
800;28790.75;0.608650626193415;0.5649132337978701;0.5818428828301644;0.5537888728947233;0.28652251980545335;0.2663632568213058;0.27413846080997073;0.8022856361048123;0.6326062275531047;0.6265748327232924;0.5983063881546983;0.7042105954282907;0.4722825902669329;0.13199351574779972;0.1637958888239096;0.444536002659101;0.7403254072308106;0.6380390141194471;0.7527036756501954;0.5180458008417327;0.08350043552589528;0.1637958888239096;0.444536002659101;0.6918323270089062
850;24327.05;0.6238977725951056;0.5914685330941046;0.6017152024025318;0.5431331018045531;0.2936198383795607;0.274295164983588;0.2809051039561513;0.7890455069599482;0.6338455859421053;0.6561716868087549;0.6550681965071016;0.6436214809684315;0.473191319739031;0.11226933220109032;0.24410918683047791;0.3112511893603311;0.6676297083918994;0.6975841272903356;0.6884944233526294;0.5185840224004463;0.06739638981689262;0.24410918683047791;0.3112511893603311;0.6227567660077017
900;24353.166666666668;0.6405274803536106;0.5914397026430829;0.6104299428304374;0.5484084112785884;0.3057372111059561;0.28091373572103995;0.2905637747710573;0.7936945924500968;0.6427613726221255;0.6587613034539637;0.6625250133438091;0.6541379563637854;0.48286654296856113;0.10515688337279386;0.24070516026342068;0.3137999876396251;0.6596620312758396;0.7010863469587151;0.6950466862029249;0.5246559762887352;0.06424815353365432;0.24070516026342068;0.3137999876396251;0.6187533014367
950;16216.55;0.6378922282600512;0.542046084829812;0.5773358442188957;0.4761179263980696;0.2618911575193291;0.2149888358327407;0.2323736868740823;0.751439971506007;0.5466758548756491;0.6520978021539331;0.7301712485411093;0.458246961613334;0.3830664624209102;0.08571298500423886;0.45604005338242715;0.12355339362249586;0.665306432009162;0.7803358088953348;0.4923148890472066;0.42083625068017727;0.05164505757036612;0.45604005338242715;0.12355339362249586;0.6312385045752893
1000;19254.533333333333;0.6472935821123552;0.5449526054101239;0.5835208116783995;0.5225131120626989;0.2941762865265971;0.24279260603013325;0.2621769138005422;0.7815456543129101;0.5948726529830622;0.6605278682992736;0.7051138501868416;0.5397041599992384;0.4311805377264648;0.09607287506878957;0.36422296493197215;0.18235973648223794;0.6426555764829998;0.7492918668274166;0.5765276856345222;0.4705735455341485;0.059249349433505794;0.36422296493197215;0.18235973648223794;0.605832050847716
