ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;55810.36723163842;0.5910428625261307;0.5302668885712778;0.5527683696018977;0.6423632360863203;0.337040528023229;0.30300283515535287;0.3157789411595334;0.8506898726380169;0.7349960114943164;0.8063641271063204;0.7536000370596643;0.7251991541069698;0.5842835902485629;0.08813756844886297;0.1866632774441674;0.1537126464212315;0.4285134923142619;0.7871891776048016;0.7562169624846954;0.6246419870455245;0.05711976007113725;0.1866632774441674;0.1537126464212315;0.3974956839365361
100;68436.59322033898;0.5469591409368354;0.5471237552374737;0.5412225255825298;0.6697119364195007;0.3371215341403846;0.3356963793822189;0.3331632604646267;0.8560159128780096;0.7593149022221525;0.8304847061663261;0.7163092672842373;0.8154189737363808;0.6150987196236242;0.08062318523498316;0.10395784102863613;0.25703225418328507;0.44161328044690434;0.7395888252397672;0.8419580675157965;0.6471806651679249;0.054084091455567404;0.10395784102863613;0.25703225418328507;0.4150741866674885
150;42460.90960451977;0.6638633676836828;0.6372262877484094;0.6455023100187341;0.6350575053993417;0.3949123685018513;0.38125139015927134;0.38543039655511224;0.846256985794212;0.7461634401774969;0.8414249395026464;0.8538202025165598;0.6697636095068764;0.5995760925954594;0.05746481850043647;0.272771571992687;0.05982829239186918;0.3900646828849927;0.8826503338089866;0.6916211986535015;0.6310124729905262;0.035607229353811484;0.272771571992687;0.05982829239186918;0.3682070937383677
200;52408.4406779661;0.6488551068478952;0.6065718763553724;0.6216997578020698;0.6833313865195759;0.4266559791339989;0.40036470234090277;0.40986106280436896;0.8589855758688235;0.7809308776817695;0.8555764447989389;0.8200595984302934;0.7496588445475377;0.6440304591710344;0.06707945653811896;0.18326169891434327;0.09801117604103525;0.3483523314934975;0.8465228732995983;0.7731158847322613;0.6772951499711836;0.04362241635339537;0.18326169891434327;0.09801117604103525;0.32489529130877387
250;41355.58757062147;0.7180426632852495;0.5940019915708399;0.6445994311882818;0.6526717416899377;0.440520633257073;0.36725455566147613;0.3973638013097682;0.8529104190769906;0.7428465047469275;0.8521678592509886;0.8796476040483154;0.6481230022200077;0.5955137209855142;0.0482766080879145;0.3036003896920778;0.04091507938375163;0.39279207716374387;0.9075092520046252;0.6678916168210584;0.624532755617749;0.028507993486863805;0.3036003896920778;0.04091507938375163;0.3730234625626932
300;40999.022598870055;0.7048173844001152;0.5627119438319634;0.6193358962109174;0.652617203728053;0.4378548554812563;0.351308301224546;0.38598696412956357;0.8555946844196289;0.740057838978548;0.8585826969650683;0.8900312112683002;0.6387410406567093;0.5925060362225996;0.044355993851578665;0.31690296549171204;0.03411204004782372;0.3953709993911144;0.916432252628119;0.6568885688184354;0.6193243169935594;0.02620846568985247;0.31690296549171204;0.03411204004782372;0.37722347122938826
350;38985.463276836155;0.7247932981427814;0.5527413704801262;0.6194217552038565;0.6544956295257773;0.4493240555190051;0.345381708345988;0.3859646414948419;0.85402267733348;0.7245922249906132;0.8532520931112699;0.8957710861915954;0.6137827182223977;0.5738055211813996;0.04125776807708668;0.3449595137005156;0.029553555917921852;0.4157708376955241;0.9228977488459089;0.6315054129813682;0.5998084133126037;0.02353507331811619;0.3449595137005156;0.029553555917921852;0.39804814293655366
400;52310.338983050846;0.6784809395278335;0.5683076729113017;0.6131510362675188;0.6984627645688111;0.4558085455384754;0.38264097543817244;0.4125922026819229;0.8631324265298969;0.7896313809612152;0.8641210528231082;0.8369176615893991;0.7503089920574726;0.6555800526360172;0.06112920228910367;0.18856180565342387;0.08753591470734277;0.3372269226498703;0.8612403640774295;0.7719303684022967;0.6866567331528827;0.03950782594427953;0.18856180565342387;0.08753591470734277;0.31560554630504617
450;49078.19774011299;0.6727010239572134;0.6179296752705365;0.6389911131558813;0.6744178795834864;0.43897846010245795;0.40433548108293754;0.4177948770476137;0.8574046073378853;0.7790557161095885;0.8596594313904364;0.8507106088507587;0.7213150525079155;0.6413137314422671;0.057926554550550166;0.22075839294153443;0.0689283100330479;0.3476132575251325;0.8758057177171371;0.742193836072119;0.6717102703081638;0.037047770986346526;0.22075839294153443;0.0689283100330479;0.3267344739609288
500;44752.00564971752;0.5281368491144192;0.5804074862633514;0.5446317232752514;0.5685117620027211;0.2523820245496898;0.2835560995018403;0.2629257735056747;0.8264352436569872;0.6680968460461904;0.7447892005639465;0.7433535002066681;0.6192734069469419;0.505973093751102;0.10144631750537107;0.27928027554768703;0.12070055090150016;0.5014271439545582;0.7899151235230634;0.6564644828325779;0.5527588857091738;0.06425524161973525;0.27928027554768703;0.12070055090150016;0.46423606806892237
550;37945.299435028246;0.7105130651014497;0.5754243492054358;0.6283955898925718;0.6136366613788758;0.4060605054046041;0.3303770269498069;0.36028540809578896;0.8466660263438519;0.714412078298461;0.862477346299848;0.9152777228241769;0.5924165092291582;0.5618708224911787;0.03419135543900179;0.37339213533184;0.020173431554610304;0.42775692232545215;0.9376056825902176;0.6063622653939797;0.5824829377494463;0.020245599274180303;0.37339213533184;0.020173431554610304;0.41381116616063063
600;47340.67796610169;0.6968293715934154;0.6142098292625272;0.6473168066577927;0.6980742675286773;0.47669379507089815;0.4230410505286613;0.44469002769812566;0.8635693519774738;0.7884121648647202;0.8754651089951693;0.8700134746231435;0.7251832781646088;0.6543777857233348;0.051328105735822215;0.22348861609956905;0.05750332939345578;0.33232005122884706;0.8933009128423617;0.7441440228289324;0.6827234678980507;0.03236736107149846;0.22348861609956905;0.05750332939345578;0.3133593065645233
650;42233.186440677964;0.695022829761831;0.5944642148649082;0.6348892734007596;0.663296296999474;0.43914979869249315;0.3778799968121092;0.4027399719185043;0.8566159168832447;0.7558924170578103;0.8658459828933276;0.8884532382985313;0.6626565341153857;0.6120550938988584;0.04505862826418317;0.2922848376204311;0.03853370115441061;0.37587716703902485;0.912220204047494;0.6798856889561165;0.6377211910498949;0.027829473423452423;0.2922848376204311;0.03853370115441061;0.3586480121982941
