ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;27223.95;0.5580817678851872;0.5010450436611239;0.5225499091253695;0.5694869242927645;0.2696924330462681;0.23943058628307054;0.2509364656161917;0.7967787446958298;0.6244125049012401;0.6335407568412813;0.6058795904461639;0.6675807426010658;0.4620272848884187;0.14785089989477793;0.1845683575041563;0.3461526833451783;0.6785719407441125;0.6518977686841604;0.7201244521160973;0.513143709867514;0.09530719037974646;0.1845683575041563;0.3461526833451783;0.6260282312290811
100;26575.25;0.5677936163846004;0.5527925432958213;0.5549152709621231;0.5530207464057748;0.2780318151593309;0.26647554438352583;0.26938790349504593;0.7880691765382947;0.6249631337468007;0.6291876398016214;0.6271276493266918;0.6529860174852594;0.46414218384936506;0.1183364274574072;0.22867755505733348;0.3616898553020564;0.708703837816797;0.6676197629781108;0.6983011745956041;0.5081977049377663;0.07302127034706235;0.22867755505733348;0.3616898553020564;0.6633886807064523
150;20512.183333333334;0.6354999189214889;0.627695137245928;0.6258962908118515;0.5678287226959385;0.3095224498184906;0.30119907795931644;0.30259324350308403;0.8050364545576353;0.6433761912860992;0.6944932397199438;0.6990373467684405;0.6133422215375042;0.4809573412147188;0.1158513562298892;0.27080642223260654;0.18789730733659762;0.5745550857990932;0.7494699569558967;0.6593583294110169;0.5326637866131937;0.06983524835637658;0.27080642223260654;0.18789730733659762;0.5285389779255807
200;25303.533333333333;0.6083851578191589;0.600608665249566;0.5990551538248383;0.575377118702263;0.31088986736235225;0.30311302199440976;0.30415062855328656;0.7977392199710499;0.6484971642339712;0.6730438848775668;0.6507216754169586;0.6706449071404947;0.4881712692408395;0.11797496909274562;0.21138012376675974;0.29717284414363043;0.6265279370031358;0.69385964769381;0.7156355654631669;0.5356017079195491;0.07298431077007321;0.21138012376675974;0.29717284414363043;0.5815372786804635
250;20547.8;0.6492377817732499;0.5671330600951453;0.5996188846431458;0.5585558858199152;0.32554306070527994;0.28133173424208485;0.29888933492049;0.7813339369172115;0.6312895025393012;0.6784798300390023;0.701610704288018;0.5913656954587694;0.4693561889095929;0.11715110201666731;0.2914832025245631;0.17087720132638362;0.5795115058676141;0.7541398313174368;0.6369938138879465;0.5206475650644313;0.07152298358749029;0.2914832025245631;0.17087720132638362;0.5338833874384371
300;20132.933333333334;0.6208421359041627;0.5115355538757964;0.552734835603044;0.54607237029033;0.30585585175282765;0.24709139756073506;0.26903343824568815;0.7751754659071804;0.6069222811257954;0.6623448216276102;0.6954735585960967;0.5593771056957652;0.44410613167113716;0.1126875217934454;0.3279353725107895;0.16942864540789987;0.6100515397121347;0.7504524092773478;0.6051374585244448;0.4950905398731336;0.06692716896476555;0.3279353725107895;0.16942864540789987;0.5642911868834549
350;18675.2;0.6309164767328549;0.496313087035711;0.5465967842601955;0.5269354161968529;0.2920069848231876;0.22475559805236;0.24948322450636048;0.7676861211930573;0.5841593681429599;0.6498885418166126;0.700710682215712;0.5212199585421373;0.4220418596208344;0.11207641231615355;0.366703629141709;0.14833007558323172;0.6271101170410944;0.7589421219956977;0.5661853980973791;0.47175599884138636;0.06711097276091187;0.366703629141709;0.14833007558323172;0.5821446774858526
400;23817.2;0.6195142219940315;0.5525173942698739;0.5780323224070256;0.5546682362930474;0.30541650840113477;0.26897145076948664;0.28284453364564366;0.7844654010248385;0.6357562155086114;0.6606072911352283;0.6666829396920412;0.6370061405721427;0.4758188417855575;0.1085202096907843;0.2544736497370728;0.28543292046966956;0.6484267798975266;0.7083538687855173;0.679346515383758;0.5196269774893125;0.06617983487916922;0.2544736497370728;0.28543292046966956;0.6060864050859114
450;24226.916666666668;0.5907917384857952;0.6000603455025836;0.5898060734330173;0.554115421551714;0.2948189013610745;0.29601558947655104;0.2925481552183954;0.7883131703222575;0.6318102102079651;0.6476385250165443;0.6533015527903687;0.6399514587840269;0.4695822206012869;0.11688992915988718;0.243158612056086;0.29125122452671715;0.6512997657426903;0.6982863434259797;0.6857721561916442;0.5171874061639726;0.07106923175226963;0.243158612056086;0.29125122452671715;0.6054790683350728
500;23955.383333333335;0.46594325209005377;0.5623691104868568;0.5021287326958408;0.541991970414826;0.21940929921587599;0.25931832027986873;0.23403840406157778;0.7747261741905513;0.588494514915046;0.5961368518595713;0.5926419699090532;0.6002596382279457;0.42326536228278383;0.18351854259897954;0.21622181917307498;0.2759259789901337;0.6756663407621882;0.659852286628083;0.6705155463342;0.4936486950999644;0.11326263449272507;0.21622181917307498;0.2759259789901337;0.6054104326559338
