ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1467.7222222222222;0.865230866026227;0.7266553090186618;0.7714175827389833;0.8052153293231114;0.6597286878534144;0.5816455037499185;0.6093560535790115;0.9148866124598829;0.8943867385317955;0.946758038619052;0.9067029730296586;0.8857129276334098;0.8113274882635573;0.020027328837005517;0.09425974352958465;0.07478961376471563;0.1890766861313058;0.9083314674907778;0.8872456175425766;0.8138338794859709;0.01849463892783894;0.09425974352958465;0.07478961376471563;0.1875439962221392
100;1438.7777777777778;0.8595407660909553;0.7336428364744799;0.7759735234654437;0.8030235967381448;0.6557830972767553;0.5861674762183823;0.6119463676194683;0.9163058492967482;0.8923108309607612;0.9440316025108945;0.9124095497793794;0.8755598747198885;0.8079647636919829;0.019920397216134943;0.10451972806397657;0.06659396714592342;0.19103409242603486;0.9139876140296883;0.8770037172084171;0.8103631370364849;0.01847655472760625;0.10451972806397657;0.06659396714592342;0.18959024993750617
150;1430.6944444444443;0.8520733233489765;0.7396429482037999;0.7773812603614636;0.8044068389055422;0.649802100512884;0.5876995295994288;0.6101825069542836;0.9156573264503033;0.890635039201348;0.9414400508239957;0.9098483749124655;0.8743893141078497;0.8053280619318526;0.021196203632840038;0.1044144822593102;0.06755625851294231;0.19316694440509255;0.9117006199335582;0.876089903069121;0.8081497412399753;0.019495614671568677;0.1044144822593102;0.06755625851294231;0.1914663554438212
200;1439.0555555555557;0.8486175449316122;0.7455684293547473;0.7801799655726331;0.8048946331737656;0.6513915081538991;0.5947631973477948;0.6154156004814029;0.9146469619271174;0.8893869616127795;0.9394465357946726;0.9079678831870986;0.8737931719149464;0.8034078414406783;0.021305240603067436;0.10490158748198611;0.06982136745381412;0.19602819553886766;0.9100323561104775;0.8757169820645732;0.8065738215816807;0.01938143045344079;0.10490158748198611;0.06982136745381412;0.19410438538924102
250;1456.7777777777778;0.8371826167673001;0.7397802420046533;0.771196632218853;0.8028425714834438;0.6387450039280721;0.5859998230922285;0.6040614303736531;0.9157787674568749;0.8874566608485568;0.9371753017769304;0.9019056749138996;0.8756665683536025;0.8003183312249659;0.02187772671356492;0.10245570493283263;0.07601136446670481;0.20034479611310235;0.9042576210186632;0.8778752108240544;0.8039144446337991;0.019669084243112908;0.10245570493283263;0.07601136446670481;0.19813615364265033
300;1444.5;0.8453995810333602;0.7426973012632597;0.776633067093565;0.8030565994380162;0.647508512156137;0.5915102485703048;0.6114857655636476;0.9135021046189665;0.8883600983181588;0.9375053262798182;0.9050928950939553;0.8742600559196482;0.8017815075511054;0.022019727255103115;0.10372021682524873;0.07183704752985497;0.1975769916102068;0.9076190715334977;0.8766083228639813;0.8056443629343971;0.01967146031077005;0.10372021682524873;0.07183704752985497;0.19522872466587377
350;1427.0;0.8509595576341911;0.7456889196282158;0.7818055015765353;0.8014489456890038;0.6473496943123557;0.5897628863931248;0.6111681174303276;0.9133774294018766;0.8860165148170084;0.9361793977916025;0.9109183885092634;0.8642571651513438;0.7980734041638062;0.021592087460320757;0.11415074738833542;0.06450641367419802;0.20024924852285422;0.913413317724124;0.86655647775576;0.8018514616863038;0.019292774855904648;0.11415074738833542;0.06450641367419802;0.19794993591843807
400;1421.3055555555557;0.8482997001066767;0.7477311011186135;0.7830819874581001;0.797993710651492;0.6459128754668534;0.5895758493456902;0.6107824691745576;0.9102553202679439;0.88650199497919;0.9354861471655465;0.9112914649400616;0.8649381508199723;0.7988880106982958;0.02130083401011866;0.11376101516990904;0.06481018701653299;0.19987203619656072;0.9140771037523074;0.8675058223285808;0.8031122746835403;0.018733162501510248;0.11376101516990904;0.06481018701653299;0.19730436468795232
450;1448.8333333333333;0.8310773084929413;0.7392545949138535;0.7687879740920559;0.8003652550797041;0.6309757298855251;0.5843176092315393;0.6003359618477928;0.9145455280983867;0.8850524861586864;0.9327430805632372;0.9011370522197955;0.8712984884449761;0.7965827939584411;0.023047804672694114;0.10565370688232976;0.07437612972471577;0.20307764127973965;0.9037858720904877;0.8737974441472858;0.800675430085033;0.020548848970384538;0.10565370688232976;0.07437612972471577;0.20057868557743008
500;1457.1944444444443;0.8305005867411689;0.7444129967567751;0.7715025075710338;0.8037186569235482;0.6363517074403925;0.5932380052346393;0.6074495599552888;0.9136387961007854;0.887144805055658;0.9355892366638818;0.8998841300738936;0.8766625889701269;0.7997779208426851;0.02333069113201071;0.10000671989786235;0.07650636358672777;0.1998437746166008;0.9032615876069584;0.8798910086008742;0.8050597418370651;0.020102271501263428;0.10000671989786235;0.07650636358672777;0.19661535498585353
550;1444.2222222222222;0.8325564400360225;0.7410497487704197;0.7703965113632903;0.8003750687291723;0.6341062125553532;0.588096071261315;0.6038158820108456;0.9132818247453629;0.8868935543986267;0.9345656733353217;0.9024804221532645;0.8739795782775233;0.7993646560200216;0.02245498730614705;0.10356543441632986;0.07455647133141538;0.2005768930538923;0.9052883769372058;0.8766171576676413;0.8036647923604359;0.019817407916028915;0.10356543441632986;0.07455647133141538;0.19793931366377418
600;1454.0833333333333;0.8310368893263694;0.7435569659059829;0.7717929622382563;0.8040415119342341;0.6361951092055322;0.5925373537141116;0.6074790615552317;0.9132178081193936;0.8858780467410059;0.9345816316988199;0.898700712331533;0.8753179723063921;0.797754535755411;0.023655555213417997;0.10102647248018998;0.07730127478609551;0.20198330247970342;0.9020572224255756;0.8785208217307786;0.8030102981171054;0.020452705789031456;0.10102647248018998;0.07730127478609551;0.1987804530553169
