ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1572.75;0.542663584549523;0.6612200661049061;0.5796038019259109;0.6344984942665214;0.2539253497625107;0.33014975836552823;0.2805700097744799;0.814782784260202;0.7512104657103216;0.7902330165614976;0.7418964448669328;0.777737144861251;0.6058092989658858;0.04620328832511339;0.17605956681363552;0.24653072678727536;0.46879358192602427;0.7476311624461953;0.7833451820495912;0.6133779519692122;0.04059525113677314;0.17605956681363552;0.24653072678727536;0.463185544737684
100;1620.0555555555557;0.5407964102012477;0.6522367087046268;0.5735960228778014;0.6161166272543936;0.2312923149435224;0.3003832111287901;0.25470585814637725;0.8154680444226275;0.7294169162349985;0.7725824179205997;0.7201386839123517;0.7625585730870585;0.5790729998276646;0.052262525254229836;0.18517890165871148;0.278227668891345;0.5156690958042863;0.7287658869472018;0.7708576609824492;0.589766678647139;0.04396343735883918;0.18517890165871148;0.278227668891345;0.5073700079088956
150;1570.1666666666667;0.5150045520717729;0.6541568673508018;0.5572928360868498;0.605959694190484;0.20968995312273606;0.28922087081329434;0.23646632965566886;0.8110776705477794;0.7154118495405484;0.7555299335652763;0.7139739480605855;0.7417628517883605;0.5621881668728318;0.05630851685235055;0.20192863135928882;0.27441947225785135;0.5326566204694907;0.7250178219388721;0.7520875898549504;0.5755833951820976;0.04598377878576076;0.20192863135928882;0.27441947225785135;0.5223318824029008
200;1465.1944444444443;0.5737374318070201;0.6467444443319079;0.5892587173442436;0.6102191683949267;0.24170122926902918;0.295466255987492;0.25900844752941216;0.8096899260204551;0.7303995525810643;0.772038889326423;0.7488899049550962;0.7364580562731531;0.5815079046780357;0.052079162617875735;0.21146278110897113;0.220399261304676;0.4839412050315228;0.7592470763584458;0.7454530122410521;0.593589182939981;0.043084206649976746;0.21146278110897113;0.220399261304676;0.4749462490636238
250;1594.5;0.5356374000468068;0.6463771746263018;0.569614980354803;0.6110421468149093;0.22434798725243368;0.29191984475173677;0.24802883514672772;0.8139858615168573;0.7263516927299792;0.7720465881607481;0.7209585789942768;0.7555723585014177;0.5753542367449646;0.05340615102526231;0.19102149047331998;0.2689593151918944;0.5133869566904767;0.72924827949103;0.7633318897959459;0.5854823544568694;0.04564661973073403;0.19102149047331998;0.2689593151918944;0.5056274253959484
300;1483.1666666666667;0.5660720856129796;0.6493180028984429;0.5878246606088295;0.6123387314078821;0.24565889991787027;0.3037924774607684;0.2653784917159141;0.8069716780901488;0.7287032465259312;0.7688463999213494;0.7456711976920878;0.7376525721958141;0.5791533098948303;0.054457962158833244;0.2078894656453527;0.22804975618611265;0.4903971839902987;0.7564576953349726;0.747096245370916;0.5916016621476797;0.04501428898373125;0.2078894656453527;0.22804975618611265;0.48095351081519666
350;1519.2777777777778;0.5608006890437242;0.6412146163553643;0.5791986792798439;0.6133431561856344;0.24032065822205467;0.2956219634665431;0.2579404494562583;0.8104756007819737;0.7288372058333095;0.7720951695081982;0.7358040800189835;0.7495146196541401;0.5799903830200235;0.05186810969472086;0.19861727065113904;0.2598244036230652;0.5103097839689252;0.7438099406178672;0.7567203457702243;0.5895599536529667;0.04466238357863663;0.19861727065113904;0.2598244036230652;0.503104057852841
400;1460.9722222222222;0.5762202214626699;0.6475144933768644;0.5940287119292391;0.6124143632098367;0.24289288035230536;0.29310128159327054;0.25962794647821225;0.808441463403442;0.7376078213520949;0.768732915907476;0.7592766638666317;0.7380328053052153;0.5898764953712288;0.0509350018981963;0.2110321927965884;0.2051294801590834;0.467096674853868;0.768696557910474;0.7461658460221319;0.6007434426826317;0.04280196118127974;0.2110321927965884;0.2051294801590834;0.4589636341369515
450;1404.7222222222222;0.5946683910271239;0.6536959170832034;0.6064489254459584;0.5993145091886088;0.2421265132035629;0.284886962013236;0.2560104092493638;0.8067604518790479;0.7358144390579651;0.7614268909263796;0.7694125005027476;0.7252348532445219;0.5885618002954548;0.0513180167035922;0.22344713005188607;0.1870319913241657;0.4617971380796439;0.7793249188885211;0.7337185156472664;0.5999549287894363;0.042834354300847546;0.22344713005188607;0.1870319913241657;0.4533134756768993
500;1608.4722222222222;0.5095310250585791;0.6438484864365033;0.5502741681314933;0.612971935013748;0.22001226732466017;0.30015855882098247;0.24656539363393654;0.806914110424948;0.7163885119115265;0.7634788727551071;0.7056438102452101;0.756333110359902;0.5642912430468155;0.05867024962880434;0.18499664001129365;0.30858871437613244;0.5522556040162304;0.7147201094895979;0.764962031097827;0.5753531440806879;0.050041328890879276;0.18499664001129365;0.30858871437613244;0.5436266832783053
