ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;47412.43502824859;0.5755665324640992;0.5159118986248691;0.537106148580132;0.6866850438212152;0.38017738547558855;0.3421741223470778;0.35580907408402;0.8627646149186767;0.719863377372675;0.7935171628529137;0.7941029065597445;0.6626682207266406;0.5664035823533372;0.09214467331507699;0.24518710595828241;0.08018591992013406;0.4175176991934934;0.8442098461571672;0.7032383809140039;0.6217181288072022;0.05157451312771359;0.24518710595828241;0.08018591992013406;0.3769475390061301
100;53104.700564971754;0.583340130327814;0.536914417973322;0.5532291044480231;0.6959246288795804;0.39532317679420265;0.36337836647532;0.3749538992661202;0.8660204053187075;0.7485116863866045;0.814714418829713;0.7930217768624888;0.7115524198853795;0.6015512981217479;0.08780673664961397;0.20064084346500655;0.09921195434750603;0.3876595344621265;0.8317814416357812;0.7459478130337847;0.648328380093785;0.053411343501208956;0.20064084346500655;0.09921195434750603;0.3532641413137215
150;47234.93220338983;0.618663077881842;0.5722257625611794;0.5891352274866629;0.6851277295725898;0.4136974093938904;0.38228801043700245;0.3940117453430476;0.8636313269091651;0.7515547816640016;0.8296351798039729;0.843539563800279;0.6803078837241298;0.6055318115564063;0.06920262444969526;0.250489491826175;0.05700324252864539;0.37669535880451566;0.8775676536982324;0.7073907534084972;0.6442745266534677;0.04211975476532768;0.250489491826175;0.05700324252864539;0.34961248912014803
200;48653.83050847457;0.6296582247437651;0.5656686314004008;0.5904744257175087;0.6910255326654454;0.4232530279627967;0.3807473780633409;0.39747057069107866;0.8644521458635446;0.7567797486207155;0.8322677206672897;0.8393716783029955;0.6918907145398315;0.6124456540243954;0.06736475826605678;0.24074452719411168;0.06526144422767086;0.37337072968783946;0.8709099636687772;0.7173478571775075;0.6487610757263409;0.041907615628380725;0.24074452719411168;0.06526144422767086;0.34791358705016323
250;56428.51412429378;0.6007351987876753;0.578872703654984;0.5845380055369321;0.710979216473672;0.42022181644027967;0.403794623385167;0.4085770801984584;0.8690492501264193;0.7751955107914521;0.8398203965035741;0.8047490480610568;0.7505371577494105;0.6361318095157378;0.078191021866374;0.17127182038421532;0.10673113191901296;0.3561939741696023;0.8355984958376788;0.7794213005618086;0.6758889768757145;0.049306879053976106;0.17127182038421532;0.10673113191901296;0.32730983135720443
300;47179.101694915254;0.6525976401700815;0.593061807463197;0.6166540248907807;0.6948128381715204;0.4438333586673519;0.4033493308888322;0.4196314233952795;0.8665474292754759;0.7692778097780226;0.849435831436516;0.8604107332678582;0.6977902386972953;0.6284322039489334;0.05989861163557203;0.24231114966713269;0.05330243437995032;0.3555121956826551;0.8896450835707247;0.7211084071364914;0.6625248285794073;0.03658044319637596;0.24231114966713269;0.05330243437995032;0.332194027243459
350;49863.740112994354;0.6464889162482721;0.5770664016085596;0.6043557570140242;0.7006502582235342;0.44160227495735954;0.3948849395849764;0.4134543808653166;0.8680339619961477;0.7703893070685705;0.84507946667422;0.8460295764142055;0.7098631955149375;0.6301941907961683;0.0640302580446808;0.22610654644038183;0.06551837795577332;0.35565518244083594;0.8752165472132672;0.7339147271711232;0.6648831762662243;0.039978726388495;0.22610654644038183;0.06551837795577332;0.3316036507846501
400;49524.056497175145;0.6480118364961559;0.593101633442029;0.6141745924088043;0.6991565660725091;0.4444192237612459;0.40614174427232835;0.4211952968807469;0.8677643925166463;0.773469223574839;0.8501226950330268;0.854282616998704;0.7087541424229238;0.634136261621783;0.06296001528307259;0.22828584229400364;0.058386806084244805;0.349632663661321;0.8832012794188292;0.7325929988556681;0.6686532513002008;0.03912115885032828;0.22828584229400364;0.058386806084244805;0.32579380722857676
450;53470.76836158192;0.635998294287999;0.6041407019719066;0.6145369115228475;0.7089176115474658;0.4450241119214403;0.4216388880417942;0.4297598611461439;0.8688336162324319;0.7822392437054569;0.8519201680021945;0.8383068974081591;0.7358788743979274;0.6455677607861773;0.06774793101987643;0.1963731945821961;0.07676643816658228;0.3408875637686548;0.8664228312819634;0.760833601895297;0.6810599245188964;0.042793203522506776;0.1963731945821961;0.07676643816658228;0.31593283627128516
500;65166.24858757062;0.5703579950576138;0.5921728196212729;0.5760715690297316;0.7173077431549706;0.40335100865819523;0.41711589544122235;0.4069128237968997;0.8717530973332345;0.7753270310546639;0.8360361183366781;0.7622595885618607;0.7932543544910696;0.63721615128672;0.08797067684286253;0.11877496866606785;0.169323011065933;0.3760686565748634;0.7921757642818172;0.8254842674258726;0.6780656147151082;0.055740763908059716;0.11877496866606785;0.169323011065933;0.3438387436400606
550;51590.99435028248;0.6249236646841303;0.598294829555654;0.6054828688749218;0.7001813316923843;0.4309851630128798;0.4117372733765655;0.41738654146510834;0.8678172241134867;0.7698299700110036;0.8453438871672591;0.8425319569039421;0.7114530011233509;0.6294886129553243;0.06963564150846763;0.21891135736818143;0.06623414311662927;0.3547811419932783;0.8727911715884563;0.7374467200778091;0.6660868932563739;0.04364192255400952;0.21891135736818143;0.06623414311662927;0.3287874230388202
600;62199.016949152545;0.6006455862092339;0.6067026286408891;0.59855355041291;0.7236280100140797;0.4275898336615342;0.4305182534749853;0.4257554650242193;0.8741144781976378;0.794065884017433;0.8565817248658779;0.7933057010068912;0.7982189850693984;0.6619165604096844;0.07476303704671264;0.12701797788388886;0.1399193279514584;0.3417003428820598;0.818211195760898;0.8239244218740231;0.6963023902604143;0.04905760024208801;0.12701797788388886;0.1399193279514584;0.31599490607743524
650;55936.372881355936;0.6371968759796608;0.6095504740630403;0.617977663125672;0.7226333116978009;0.4585021745257442;0.4370390280491346;0.44417514571818134;0.8729258086423405;0.7934026881802674;0.861042126054382;0.8380507439354039;0.7563834788774231;0.6608458799239434;0.06647075509364732;0.1771457660289297;0.08420649454987558;0.3278230156724526;0.8642901042574205;0.7807525708005452;0.6952730858416919;0.0421016631705252;0.1771457660289297;0.08420649454987558;0.3034539237493305
700;32048.677966101695;0.35159739512418425;0.3088117043581927;0.31879456572437975;0.5678420399497577;0.191512454791242;0.1640513846511862;0.17186203510771475;0.8237818067454495;0.46579297427202204;0.5394394118213591;0.6900662432167193;0.3555163285097132;0.30566306042440883;0.12631733704050016;0.5181663344497868;0.035288732337819186;0.679772403828106;0.7712922363573362;0.3970466614092597;0.35391096868259697;0.08478700414095357;0.5181663344497868;0.035288732337819186;0.6382420709285593
750;33923.8813559322;0.4189478269099105;0.36384199648973536;0.38101015662387155;0.5980394807655961;0.24424898799579436;0.20911980581346748;0.2208714471015417;0.8345428002996493;0.5383905331291793;0.6336023195290313;0.7548819917960576;0.42215205637165426;0.3708048829495412;0.10371079628433168;0.474137147344014;0.03478971740973036;0.612637661038076;0.8153768200370418;0.4555183269588953;0.41199660073345484;0.0703445256970906;0.474137147344014;0.03478971740973036;0.579271390450835
