ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;22035.866666666665;0.5571286322035772;0.5147748352791548;0.528241139650744;0.5550698239260901;0.27541526820796286;0.25039902662281216;0.258717966996227;0.7922381586698297;0.6033679367800804;0.6225346113357122;0.64716110824376;0.5869617439196005;0.44185935358305234;0.133388091919587;0.2796501641608124;0.23789292618721067;0.6509311822676102;0.7051415090069652;0.6415959736177691;0.49823545001999153;0.07875386222141847;0.2796501641608124;0.23789292618721067;0.5962969525694415
100;22956.883333333335;0.5672787158864797;0.5278495994861158;0.5388389555746645;0.5466066865420152;0.2753904200494539;0.25161346523676037;0.2588188410866299;0.7920467678557762;0.6028331202014569;0.6237185115692631;0.6429020291388046;0.5941942381231218;0.4414820446744067;0.12322704291258894;0.2825787189642891;0.2709158886928218;0.6767216505697;0.6933375191316546;0.643800244791806;0.49114985651306214;0.07362103624390473;0.2825787189642891;0.2709158886928218;0.6271156439010158
150;21180.75;0.5731591144196138;0.5524456831954238;0.5538727144429608;0.5366099020927159;0.2727333889496643;0.25740602870766444;0.260316884157993;0.7838261466684047;0.602205228639681;0.6360162693108177;0.6676145951646567;0.5724745559075954;0.44054954718629313;0.114551343123959;0.3129741009684455;0.22352270934660126;0.6510481534390059;0.7180840842315419;0.618524952074798;0.4884609958528895;0.06850094695675671;0.3129741009684455;0.22352270934660126;0.6049977572718035
200;21560.45;0.586875154655285;0.5345971226025161;0.5517194200412209;0.5465707395004031;0.28486166458812007;0.25442638126167927;0.2647154427644627;0.7854584012873024;0.6069711541183795;0.6412122763716827;0.6706843950876319;0.5781239025974005;0.4455592528986238;0.1179885760656531;0.30388752133694635;0.21790828123334866;0.639784378635948;0.7214967081464689;0.624796917929227;0.4943062019564536;0.07131556073382662;0.30388752133694635;0.21790828123334866;0.5931113633041217
250;23838.05;0.5790549267846341;0.562459674424904;0.5637140289449807;0.5496763883397076;0.28278187355617285;0.2697908789347285;0.2724795790856879;0.790684472931649;0.6214921533578638;0.6469177166838512;0.6510649126839501;0.6229726831167873;0.461372392568195;0.11503725805353189;0.2619900588296806;0.28949198201073023;0.6665192988939428;0.6958777460212546;0.6693093840797112;0.5075055368852504;0.06870055709060817;0.2619900588296806;0.28949198201073023;0.6201825979310189
300;20967.9;0.5832967935268453;0.5529982531326891;0.5597255766244763;0.5388080359626956;0.27999507525572975;0.2597325675869837;0.2653604500207779;0.7816248130263311;0.6059531943721959;0.6430718157825777;0.6748648370662379;0.5725801863715135;0.4445131296625788;0.11437921953512684;0.31304059409335966;0.21270730352161535;0.6401271171501018;0.7259389070120597;0.6188756989351824;0.4931972109621983;0.06808370697145794;0.31304059409335966;0.21270730352161535;0.5938316045864328
350;22255.416666666668;0.6017418468714714;0.5521334644917155;0.5688862666695084;0.5491222557862604;0.2920324702198478;0.2640965183717324;0.27363037272764695;0.7862852784634552;0.6215591676356115;0.655631771837095;0.6731176102743813;0.6013575304046037;0.4615830767511741;0.11504875159828785;0.2835937179971085;0.231432160451889;0.6300746300472853;0.7201071598419523;0.6463027654520868;0.5081797598610855;0.07010351655080456;0.2835937179971085;0.231432160451889;0.585129394999802
400;20896.75;0.5958723764615644;0.5533926587084472;0.5649366812935165;0.5425547911336958;0.286728674605023;0.2609003598781603;0.2684614394056977;0.7832006526828141;0.608542873315574;0.6544587377430223;0.6840571181762378;0.5717113897691637;0.4472251939746039;0.11183849214563368;0.3164501180852027;0.19986173286919856;0.6281503431000349;0.7336992917590474;0.6162844923378369;0.4945011642066255;0.06726538957696046;0.3164501180852027;0.19986173286919856;0.5835772405313617
450;22815.0;0.5927909537365098;0.5789620469480765;0.57874120644983;0.545096042891796;0.28913133834724986;0.2769621349183112;0.27912658377420585;0.7860198631498501;0.6209525288893332;0.6524316060101395;0.6671876609885421;0.6064339638614303;0.4601067486482676;0.11304257720975207;0.2805234589288175;0.2516075282612687;0.6451735643998385;0.713830542738111;0.6523566235482631;0.5072008884573582;0.06711991752291943;0.2805234589288175;0.2516075282612687;0.5992509047130057
500;26117.683333333334;0.5747818106351509;0.5938960211078557;0.578686608931384;0.5597032746819253;0.2852208536342432;0.2903639894161229;0.28483091192613486;0.7979062472510865;0.6362354651473208;0.6518658777887281;0.6359567876526313;0.666157904158807;0.47680958698561327;0.1191729786536484;0.21466911718754464;0.3477598637082268;0.6816019595494198;0.6778230492325432;0.7141471463303684;0.5230983089412343;0.07118373648208703;0.21466911718754464;0.3477598637082268;0.6336127173778584
