ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;37215.00564971752;0.5565447366197952;0.4462602962623163;0.4872485830017006;0.6380639007787144;0.33548095246174814;0.26933160995719774;0.2941645658364769;0.8503090560940372;0.6263404764221666;0.7077525213994126;0.797225645849309;0.5216047657595853;0.461190210635619;0.09111745726359156;0.38727777697682314;0.04155671484449012;0.5199519490849048;0.865769924797658;0.5647846884128148;0.518202758968297;0.047937534610362056;0.38727777697682314;0.04155671484449012;0.4767720264316754
100;38505.293785310736;0.596155869142126;0.49212938710063653;0.5314423252365084;0.6521890535806348;0.37167893857883805;0.3075244703571087;0.3320056688938759;0.8552691245093756;0.6696644188753316;0.7684085779178379;0.8325345271983823;0.565498989233969;0.5086330829511521;0.07384959981480298;0.36065141095122805;0.039287114995242456;0.4737881257612735;0.8893283439152669;0.6024769423078756;0.5596575229065144;0.0368716467408964;0.36065141095122805;0.039287114995242456;0.43681017268736705
150;44906.79661016949;0.5835952390597315;0.49409516675701337;0.5284455548264972;0.6725545073089981;0.37480933745231737;0.3181134979504638;0.34015377268329255;0.8590371207311642;0.7019712535161042;0.7781247440892486;0.7993984129640577;0.630374989644746;0.545065070309701;0.09052832661271117;0.2790966837425429;0.0692631590451206;0.4388881694003747;0.8526022155890022;0.6712226246330518;0.6004435091248875;0.049680691624405394;0.2790966837425429;0.0692631590451206;0.3980405344120688
200;41085.6384180791;0.6174627429952679;0.517431732884519;0.5564410756145056;0.6653270990991516;0.3951888291604966;0.33169539226109995;0.35670021999448004;0.858899450567575;0.7032770094774753;0.7997267287404358;0.8437156256594007;0.6068887063711339;0.5468797775312053;0.07033233395381247;0.32277895967505377;0.04169452238608798;0.43480581601495416;0.8893884717651253;0.6388046476680269;0.591719642764488;0.03841639265691931;0.32277895967505377;0.04169452238608798;0.4028898747180611
250;50553.937853107345;0.5737198102717267;0.5182188373558201;0.538435693487298;0.6852619400471891;0.3733593461333051;0.33896106161708134;0.35159395628916146;0.8637346810926867;0.733198895306547;0.7994985341425952;0.7815533227343253;0.6949865134263471;0.5824655795898332;0.09520633436269124;0.20980715221096158;0.10245430933028761;0.4074677959039405;0.8270370672521576;0.7347621813726114;0.6358600826092455;0.055430666416426924;0.20980715221096158;0.10245430933028761;0.36769212795767614
300;39118.07344632768;0.6383872690133489;0.541408461499262;0.5794134915106964;0.6574506959762808;0.40440631360569324;0.34427520789868205;0.3680638459311565;0.8568241138350131;0.7058387880143359;0.8155845492320243;0.8676631740089077;0.599735766872007;0.5503832260358947;0.0576077757922566;0.3426564573357363;0.03342212942788099;0.43368636255587395;0.9073990840592041;0.62624253010656;0.5883186964881801;0.03110101255770377;0.3426564573357363;0.03342212942788099;0.4071795993213211
350;40309.740112994354;0.6378665129339058;0.5415165848214026;0.5793434430197817;0.660260427169403;0.4060148227453777;0.3445787595491737;0.36902509424410734;0.85772567155061;0.712839178156835;0.8184091163072892;0.8686707344296144;0.6079412393733059;0.5581049630233125;0.05841377905082028;0.33364498157587386;0.03290180737430286;0.424960568000997;0.9066824385058727;0.6338106775378576;0.5951994741197716;0.03254434088626855;0.33364498157587386;0.03290180737430286;0.3990911298364453
400;44764.333333333336;0.6208862577548907;0.542706068094719;0.573330757247942;0.6777854118263518;0.4085491393287742;0.35700677340237497;0.3774925809044641;0.8605847031607283;0.7372650716999598;0.8230754951544728;0.8478119412070724;0.6552161216992587;0.5875596532045617;0.06772283528436994;0.2770610430163714;0.05022121154032565;0.395005089841067;0.8846572111880634;0.6832092932127846;0.6275109211880776;0.039729663770844026;0.2770610430163714;0.05022121154032565;0.3670119183275411
450;41837.42372881356;0.6457262492008327;0.5398198788863601;0.5813401906497281;0.6684786767377664;0.41620928115615313;0.348608905774717;0.3753985944665361;0.8586835107885545;0.723017357354059;0.8237657355345455;0.8637545346968815;0.6254215461370419;0.570438932795542;0.06001035940939978;0.3145680944535582;0.03797621261151105;0.41255466647446903;0.90167657974073;0.652138755317343;0.6089891967840462;0.0332931502290987;0.3145680944535582;0.03797621261151105;0.385837457294168
500;45084.333333333336;0.6298241997079185;0.548422642722001;0.5800525618516061;0.6802284209978082;0.4165189569170795;0.36302581032505377;0.3840694740301838;0.860336347152792;0.740514016163035;0.8280666172588567;0.8508853254928789;0.6590574348455734;0.5918403680530865;0.06486497056986756;0.2760775945845589;0.05093516672551651;0.39187773187994296;0.8863393345968754;0.685980421401502;0.6304581349148001;0.037941984013939084;0.2760775945845589;0.05093516672551651;0.36495474532401445
550;49421.76271186441;0.6182917471274408;0.5466963919300143;0.5743702040993028;0.6907399444303106;0.4138638011212883;0.365878781044051;0.38474635077664604;0.8633126878736143;0.7526796061506081;0.826812054607275;0.8247301635117817;0.6950067105654241;0.6069478835875161;0.07456753225184466;0.23042575718273126;0.07348177649821314;0.37847506593278907;0.8612544523440671;0.7252595265502607;0.6496722341065307;0.04431471626700811;0.23042575718273126;0.07348177649821314;0.34822224994795253
600;46888.47457627119;0.6196291353501935;0.5528854186917258;0.5785437855249563;0.6833211208144642;0.40872825608201024;0.36531553429669955;0.382238638220298;0.862795308649393;0.748215503642498;0.8270276073654206;0.8369899983121281;0.679468190021463;0.601342293747537;0.07054961832173265;0.24998219165680435;0.062165892311728276;0.3826977022902653;0.8719369783421408;0.7072896843222305;0.6408851336790917;0.04272812402096511;0.24998219165680435;0.062165892311728276;0.35487620798949776
