ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;22061.649717514123;0.670476228970721;0.5676192279847997;0.6046343141948507;0.46061024887030794;0.23874646329692684;0.20771565996856436;0.21884718655534977;0.7983601834534394;0.47603221929478756;0.6344418759872528;0.8188154395155748;0.3521713731620125;0.3219326810636895;0.04612295690752245;0.601705669930465;0.04043103953504199;0.6882596663730296;0.8778248393434532;0.3761675807265113;0.3513967575147126;0.022126749343023697;0.601705669930465;0.04043103953504199;0.6642634588085307
100;19411.38418079096;0.7242138814432679;0.5754601624846706;0.6299301352664989;0.44261039292941984;0.24798730379640793;0.2049719986794276;0.22086596322141377;0.7841993228744074;0.45294864328994644;0.633845079528253;0.8492657208993912;0.3255647620499824;0.3033692457848711;0.0331789599574426;0.641256277992575;0.03187751842259238;0.7063127563726099;0.8940917226658096;0.3417069438994927;0.32318626809933426;0.017036778107932332;0.641256277992575;0.03187751842259238;0.6901705745230997
150;18459.46327683616;0.7402223615654361;0.5907463906316995;0.6456908050891769;0.4358745525730801;0.25438544266905216;0.21108473397183605;0.22718723972611193;0.7766319750697307;0.44838232943458844;0.6334942122707304;0.8686455763998575;0.3177580213992536;0.2998449270909529;0.028751996033535683;0.6534899825672107;0.023892888540260046;0.7061348671410066;0.9094594669347397;0.33159137898195506;0.31700207931040225;0.014918638450834187;0.6534899825672107;0.023892888540260046;0.6923015095583049
200;19057.350282485877;0.7345823562361091;0.6008426243377689;0.6496131338177618;0.43377825488610633;0.24772603366841395;0.21210085204251633;0.22514208403068817;0.776970960233973;0.4542067155492419;0.6305469630929674;0.8532725715415096;0.32812538388271734;0.3051961538068074;0.031666886396321876;0.6402077297209607;0.03315642671850057;0.7050310428357833;0.8922006252197373;0.3421598062274704;0.3224715856666375;0.017632464051568857;0.6402077297209607;0.03315642671850057;0.6909966204910303
250;21650.118644067796;0.7061180517327315;0.6268642148234891;0.6539604938270919;0.4475569937742742;0.24973679210362315;0.2295447993423216;0.2359332969862622;0.7827969381639277;0.49318216384452973;0.6608082659813735;0.8475161345496869;0.36725912375245723;0.33877303087992994;0.03643046988363083;0.596310406363912;0.03797935030140295;0.6707202265489457;0.8879272012429559;0.38362215142516287;0.35924842535680485;0.020067442210925237;0.596310406363912;0.03797935030140295;0.6543571988762401
300;19764.977401129945;0.7332668804275057;0.6226601071743276;0.6632878048257314;0.43563253035223093;0.2558559379779749;0.22358990244579693;0.23550153969897786;0.7758551473482407;0.47299919703840937;0.6646923268474785;0.8678165009731309;0.34207671292730973;0.3212695413013425;0.029919584648227134;0.628003702424463;0.027339106331004198;0.6852623934036945;0.9058864721689711;0.3559215144937797;0.33860911432399576;0.016074783081757225;0.628003702424463;0.027339106331004198;0.6714175918372246
350;21160.4802259887;0.7370347899514232;0.6292833726160157;0.6692803270244541;0.444701130718905;0.2587567871373265;0.22877832148173902;0.23985362185078887;0.7806929510788654;0.490335674787964;0.6615228743704018;0.8581548439714644;0.3614996486788561;0.33649878489465884;0.0328277317216144;0.6056726195995294;0.033300728513558864;0.6718010798347028;0.8963247479558304;0.37641588480339533;0.35525798923600227;0.01791149559707514;0.6056726195995294;0.033300728513558864;0.6568848437101635
400;21581.322033898305;0.7273254444864967;0.6424101458598344;0.6732287548056382;0.4446949543401018;0.25398248445950317;0.23193539954964193;0.23969741037879527;0.7820906935460816;0.4964584564194957;0.6616078993838085;0.850708123968647;0.3697572140353807;0.3417514075739748;0.035319490545933335;0.5949232954186859;0.0374561270136305;0.6676989129782498;0.889951027087981;0.38567693832811417;0.36174244171523134;0.019399766253199852;0.5949232954186859;0.0374561270136305;0.6517791886855164
450;22152.197740112995;0.7080098264021235;0.6516628611642024;0.6704119606288294;0.44642234468954956;0.24976361138920772;0.23683614270673178;0.24057822705971774;0.7836027311725794;0.5029413974275582;0.6655125879221292;0.8436536318490044;0.3786523319924764;0.3475451473395211;0.03700496542100012;0.5843427025865234;0.04247673347181633;0.6638244014793399;0.883328833319317;0.39527771610020673;0.36834805165863704;0.020379581313269862;0.5843427025865234;0.04247673347181633;0.6471990173716097
500;18697.762711864405;0.7485330822362941;0.6335879971857814;0.6765019336802232;0.4260403063534663;0.25220032857791697;0.22174950007256386;0.23312053048319153;0.7705711534684762;0.45609029432617065;0.6445982174985555;0.8666633727462241;0.3268666875775576;0.3064780700154706;0.02777193026665629;0.6453613821557862;0.02962750469067892;0.7027608171131213;0.90038133745976;0.3388853326579553;0.32140480857410825;0.015753285186258587;0.6453613821557862;0.02962750469067892;0.6907421720327236
