ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06593687795096156;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0676107655538204;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07090491996749577;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1072897428784052;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;241.69444444444446;0.23858765236216214;0.013714712068627642;0.02544978322161991;0.21423519178413533;0.10897799187014873;0.005982428792179709;0.01118048687612897;0.274797431103905;0.03824715653666126;0.4023552525762569;0.3144504625617205;0.02134851040326474;0.02097582859666637;0.004844918265527234;0.9738065713312081;1.6394397565733595e-05;0.9786678839943009;0.46769343639783045;0.026003905772109932;0.0259822286578471;0.00018952289668203965;0.9738065713312081;1.6394397565733595e-05;0.9740124886254559
300;1243.4444444444443;0.8193099176998788;0.6180928062986827;0.6868782802258396;0.7731867457314929;0.6010236882528034;0.47704248189704185;0.522801953665355;0.909463536082678;0.8268286717146505;0.8933076919947344;0.9176620821379279;0.7627825118184283;0.7141504330941976;0.020972461171013274;0.2162450270105586;0.04811317728848243;0.28533066547005426;0.9209288675508138;0.7654120047284922;0.7182984471432462;0.018342968260949128;0.2162450270105586;0.04811317728848243;0.2827011725599901
350;1346.75;0.846016508007303;0.6530227105235916;0.7187063222767278;0.7891704595926748;0.6352283004210331;0.5183607428147412;0.5627604007347208;0.91369816155105;0.8633653093781594;0.9238717112213755;0.9324518780167756;0.8090084806807162;0.7646559417617529;0.018682870985557643;0.1723086483337262;0.04071492475193808;0.23170644407122193;0.9350606828781819;0.8112435276130283;0.7683098773085549;0.01644782405324542;0.1723086483337262;0.04071492475193808;0.22947139713890963
400;1427.611111111111;0.8442052068486519;0.6773063289831907;0.7338285255530579;0.7989277499006646;0.6487672940094599;0.5477438097785847;0.586408485295844;0.917442942215973;0.8801239022422442;0.9280755527539759;0.8989249141876541;0.8651067181344249;0.7890072820253552;0.0270674019532915;0.10782587991228364;0.07205953747692932;0.20695281934250442;0.9022930767404351;0.8682469509657016;0.7940960928714706;0.023927169122014827;0.10782587991228364;0.07205953747692932;0.20381258651122777
450;1401.138888888889;0.8453740481576122;0.6977847152455625;0.7496060273889695;0.7963214543418297;0.6381749665346087;0.552994972106924;0.5860319476170062;0.915162888555877;0.8805535414720275;0.9315750023276801;0.9154637224775389;0.8506940917234662;0.7895989838633906;0.021705260671089834;0.12760064760544398;0.05817099506159093;0.20747690333812474;0.9180942742842126;0.8530814058531988;0.7935529610692709;0.019317946541357305;0.12760064760544398;0.05817099506159093;0.20508958920839224
500;1449.5833333333333;0.827569641265794;0.7088289129704002;0.7489467147910915;0.8008125943788565;0.6287416888673192;0.5645398910294589;0.5885583547516261;0.9130724511336427;0.8824071965937085;0.9297719320696893;0.9028532177959236;0.8647328911661125;0.792340300928968;0.02624716122033386;0.10901994761355377;0.0681463252858186;0.20341343411970625;0.9055347190318034;0.8672379532748982;0.7964584019768893;0.02374209911154803;0.10901994761355377;0.0681463252858186;0.2009083720109204
550;1436.888888888889;0.8243365582631125;0.6989822348910555;0.7434576786873417;0.7949430926366738;0.6217528910286814;0.5523823667580853;0.5793512148099211;0.9152371240633203;0.8803856550256063;0.9305616739357411;0.8952416074678384;0.8689378555585252;0.7892051881958686;0.027315185994980437;0.10374695844649438;0.07678641132847662;0.20784855576995148;0.8979710279491425;0.8714766725293434;0.7933239572739613;0.02477636902416223;0.10374695844649438;0.07678641132847662;0.20530973879913328
