ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;4173.073446327684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09977818698214946;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;4173.073446327684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10226564748278962;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;4173.073446327684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09808940770424006;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;4173.073446327684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10980450426516787;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;5154.062146892656;0.15680343507580818;0.004694880889869448;0.009020771465211254;0.369587446224591;0.041432123202369414;0.0011185045197217565;0.0021558738477382698;0.6010420179768823;0.016343534274130975;0.20899256609972022;0.5092260504835161;0.008356478480208632;0.008285146592861056;0.006759785512208312;0.984883736007583;0.0003964901767060602;0.9920400116964974;0.8770116919614135;0.013805146501175777;0.013777467468717462;0.0013111174912411668;0.984883736007583;0.0003964901767060602;0.9865913436755303
300;20466.19209039548;0.34092303531265283;0.15944018720015285;0.21327450686050212;0.4403494238696668;0.09439654916630165;0.04580605823251285;0.060562578091411114;0.7806562919435106;0.3048361881174725;0.37368837696077656;0.6374319075392214;0.20770450606227714;0.18212834037359021;0.09438294634084479;0.697912547596878;0.039415624956870766;0.8317111188945937;0.7858832276362027;0.25768097599105244;0.23597871380651772;0.044406476412069455;0.697912547596878;0.039415624956870766;0.7817346489658183
350;25663.16384180791;0.3182650704347854;0.17221955664224275;0.21946749742239238;0.44083015237451945;0.0803633927522332;0.045215333248188;0.056753608417689255;0.7919771193107464;0.3628147710800103;0.4007077643051042;0.6298584357999666;0.2646890867805901;0.22416046778847692;0.1183073837015515;0.6170035295178584;0.059114723252458236;0.794425636471868;0.7630978962617438;0.32244402335155603;0.28633712533487066;0.06055244713058566;0.6170035295178584;0.059114723252458236;0.7366706999009022
400;29371.129943502823;0.3608659996378027;0.24264146556111885;0.2851828421234224;0.4433059613657916;0.09073352381428354;0.06319650062527556;0.0731499347244085;0.801593008398557;0.4053027509229947;0.4181268753663093;0.6260743038027506;0.31420193572059824;0.2573284350619736;0.13219505368247206;0.5536030105969298;0.08651391763955545;0.7723119819189573;0.748374027682763;0.3775591086323558;0.3249185044581052;0.06883788077071447;0.5536030105969298;0.08651391763955545;0.7089548090071996
450;27335.90395480226;0.33001112805144184;0.21716383295025224;0.2572779895390222;0.434142324678414;0.08100097207499712;0.05542669029531935;0.06456918104526634;0.7948451401117381;0.3881694814123574;0.41305236137700346;0.6346289231640911;0.29210792833204724;0.24389955675486602;0.12102408522283345;0.5868679864451193;0.0736102390754223;0.7815023107433752;0.754385636634892;0.348749469531699;0.3047283605556355;0.06438254402318173;0.5868679864451193;0.0736102390754223;0.7248607695437231
500;29146.050847457627;0.311856606108883;0.22101031661361942;0.25363448125565047;0.4258816052199035;0.07077668520866935;0.052252382620113724;0.05887899027463547;0.790622253042222;0.39548392386728426;0.40672084888029664;0.6168157216617831;0.30448979890047523;0.2495392768094482;0.13290546051910798;0.5626047405804169;0.08463268402392529;0.7801428851234503;0.7386668450725545;0.36626951858423745;0.31527553294493943;0.0711257408353456;0.5626047405804169;0.08463268402392529;0.7183631654396878
550;27953.214689265536;0.350458323119637;0.25297551360433845;0.2885652630799974;0.4320032952864228;0.0868358389076974;0.06503670820911316;0.07296135889665947;0.7906348906290951;0.40195987741330375;0.42106379128712834;0.6408884278688245;0.3060926206904333;0.25494035223524836;0.12113466661490044;0.5727727126946661;0.07575571192556914;0.7696630912351359;0.7571126570006186;0.3627592436166681;0.3162558947676647;0.0644680436886657;0.5727727126946661;0.07575571192556914;0.712996468308901
600;23466.175141242937;0.33359071005635604;0.21350982559967227;0.2551711203519059;0.4168640372028993;0.0793735170995461;0.052683158359761305;0.06199109401452238;0.7744233078331229;0.3626971517499724;0.4133521999218561;0.6676758737904586;0.2593878352706374;0.22471184887176485;0.09654839270799234;0.6440637720213702;0.051229516230359165;0.7918416809597217;0.7792367385337129;0.30376013279680825;0.27330986129408275;0.05217609518182155;0.6440637720213702;0.051229516230359165;0.747469383433551
650;27333.661016949154;0.33272662054807306;0.24550920432685694;0.2776532697255705;0.4215401815709078;0.0786234226879084;0.059871725900612814;0.0667299993747042;0.7803184672012073;0.3894620508979094;0.40979807177149846;0.6349454526597833;0.29382765625149987;0.24501803454676963;0.11984630618072323;0.5863260375677769;0.07513748984138327;0.7813098335898835;0.7510515453632852;0.34877676415296227;0.3040189672958358;0.06489719827926085;0.5863260375677769;0.07513748984138327;0.7263607256884209
700;29030.67231638418;0.3429586870350575;0.2565335163438686;0.2881282261906902;0.4318114462096954;0.08286965481504355;0.06397002165717613;0.0708246809942112;0.7908695119810913;0.406848590644492;0.4150521329070513;0.6312718194038442;0.3140100760091195;0.25876697688772027;0.12826604442949885;0.5577238795613817;0.08214169949880402;0.7681316234896847;0.74873474348207;0.37355599928765987;0.32282855596011106;0.06872012115095846;0.5577238795613817;0.08214169949880402;0.7085857002111443
750;29896.5197740113;0.30040790310786364;0.2559186563745432;0.2718272402504013;0.41807948394991024;0.0722146692223771;0.06310867297683473;0.06623365356547727;0.7773410130835753;0.3990601375687693;0.4062118568240548;0.6112268323771451;0.30955224489763056;0.252366192378828;0.1372215506501096;0.5532262044522598;0.08902917026982597;0.7794769253721954;0.7309878768508546;0.37157769309803435;0.31787868479225195;0.07519610244970584;0.5532262044522598;0.08902917026982597;0.7174514771717916
800;25597.01694915254;0.3333063925594498;0.2405029373406233;0.274328904668935;0.4164971717321529;0.0790483909543518;0.05872193495163719;0.06611133586633239;0.7754763245280029;0.37456733230762973;0.40238723471702886;0.6401071287292724;0.27638624732533795;0.2333971372382468;0.11361572602190842;0.6099980266527536;0.0651160498945199;0.7887298025691819;0.7584861817318566;0.32883154171872103;0.2899096630686938;0.061170431628525396;0.6099980266527536;0.0651160498945199;0.7362845081757989
850;31099.12429378531;0.3076883985556317;0.25723595174800057;0.27543597915370543;0.42714797352096534;0.07283351895570062;0.06248767598678224;0.06608587105164243;0.7871146870076262;0.4102452375785932;0.4062148756948257;0.6094561569922794;0.32373894944900355;0.26116886088374797;0.14185671238809017;0.5344043381629063;0.09735867102005659;0.7736197215710531;0.7296277879808719;0.3890845230040385;0.33012785969593544;0.07651113883305517;0.5344043381629063;0.09735867102005659;0.7082741480160181
900;28556.706214689264;0.3258358760490489;0.2732753757171703;0.2920667440777547;0.4190320578803363;0.08169090092431802;0.07019015821634039;0.07417636396097063;0.7703876781265957;0.40478534249419823;0.4203370772242442;0.6403533170956422;0.30820420804325277;0.2571506122899677;0.12193820008174751;0.5698575918749998;0.07390801981710703;0.7657038117738543;0.7568909315230499;0.3651484440333163;0.31902124555134215;0.06499396409168393;0.5698575918749998;0.07390801981710703;0.7087595757837908
