ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;48541.299435028246;0.5035067519471069;0.45552985244516203;0.47282483765494887;0.5717310604160659;0.23689358681137385;0.21508993914045593;0.22302572050928818;0.8087603328151923;0.6547924136921323;0.7135976522855544;0.721941570045194;0.6104502883341738;0.4900815881857674;0.11177151079060342;0.27777820087522276;0.1380052889108327;0.5275550005766588;0.7708760976131939;0.6510417314835617;0.539853313886404;0.07118006764121554;0.27777820087522276;0.1380052889108327;0.486963557427271
100;8910.299435028248;0.804385814184385;0.39084004096553765;0.5006527367021173;0.30493955936640454;0.1960112677968501;0.09762980747973547;0.12474166988881906;0.7094905963842139;0.2326860010953669;0.7082591183352313;0.9436838381225585;0.1393342452489994;0.13795044878589344;0.0059823316723019914;0.8546834230786987;0.0019062757818144522;0.8625720305328151;0.9653562707627449;0.14202058905821285;0.14103866701936216;0.003295987863088521;0.8546834230786987;0.0019062757818144522;0.8598856867236015
150;50408.21468926554;0.657449473867242;0.5888512454061426;0.6159975410616206;0.6859305689180926;0.4378027824702785;0.3921367514065638;0.41050205462221356;0.8593215673733398;0.7845904723472688;0.8621231615692706;0.8477010808155162;0.7337975719578935;0.648738424622243;0.05726878508015123;0.2089336429619553;0.07574237094993994;0.34194479899204644;0.8707309999704036;0.7532631120065189;0.6771336001443493;0.03780324503152593;0.2089336429619553;0.07574237094993994;0.32247925894342117
200;47033.92655367232;0.6646283013106815;0.6103730396046847;0.6309183034903219;0.6718190376053709;0.43322115477927275;0.39978840472985433;0.41259944868698006;0.8547186266709899;0.7736830293151755;0.8650495386856828;0.8648744325545333;0.7055966505370553;0.6356291551146012;0.049043730961832295;0.24535961850111238;0.06174392459979684;0.3561472740627415;0.8877059279317314;0.7233108576291429;0.6616962978354187;0.0313295238697446;0.24535961850111238;0.06174392459979684;0.3384330669706538
250;56845.80225988701;0.6334618549641857;0.6194598555826968;0.6209270844040042;0.7162233308069355;0.4464837098796684;0.4372977497097933;0.43829641260689317;0.8670149832035546;0.8056254911594102;0.8772170947590563;0.8168418449536493;0.7974098886954909;0.6770161289173485;0.06244034426395902;0.14014976704054996;0.118099467235389;0.320689578539898;0.8384212827988425;0.8181289711380322;0.7065431374416886;0.04172126182141776;0.14014976704054996;0.118099467235389;0.2999704960973567
300;51785.1581920904;0.6806841612290717;0.5791894559285299;0.6196297179974787;0.7081387928093675;0.47422334518649323;0.4033738353607739;0.4318189184079327;0.8652839153551396;0.8016194120473747;0.8828601927014057;0.8666817047028198;0.7486682701181806;0.6722326515694391;0.048706326040515294;0.20262540384130417;0.06687973797271271;0.3182114678545322;0.8859269846325376;0.7650544842324986;0.6967017361361513;0.03232011192619729;0.20262540384130417;0.06687973797271271;0.3018252537402142
350;48460.89265536723;0.698945581651573;0.6734199147629083;0.6813983841677576;0.6945336428417166;0.4755245009881573;0.4598239810189692;0.4647771098805165;0.863495732554801;0.8091735200073646;0.8921021862370089;0.8811740751280012;0.7515237686758509;0.683031016169918;0.04371528946082696;0.2047609418633221;0.057842527941574386;0.30631875926572344;0.8999924724147232;0.7670173041957635;0.706632732296104;0.028221753940914224;0.2047609418633221;0.057842527941574386;0.2908252237458107
400;45577.72316384181;0.6947957182697768;0.5992204430379884;0.6371459869495204;0.6756782128218232;0.4585792980221139;0.3956154714888733;0.42085941884909994;0.8589789912013206;0.7778178802075429;0.8901123692672254;0.9089500450220542;0.6843853287081844;0.6409888009166812;0.037127514710816184;0.27848715658099943;0.031207047010440934;0.34682171830225655;0.9267312037008462;0.6976500765000083;0.6612851857771929;0.02386276691899219;0.27848715658099943;0.031207047010440934;0.33355697051043254
450;60090.96610169492;0.6482311543646173;0.6252312368211221;0.6318622776975976;0.7261867783584085;0.4606341566558222;0.44449800663326605;0.4494483807165959;0.8735299745817519;0.8198037928905766;0.8882149323732614;0.807320651576716;0.8364750703867921;0.6973560187428877;0.05511268532270959;0.10841224429049821;0.15000675410776668;0.31353168372097445;0.824530805892371;0.8541152298734458;0.722153777303977;0.03747252583605593;0.10841224429049821;0.15000675410776668;0.2958915242343208
500;61564.30508474576;0.6398311784314711;0.6031887544240959;0.6161705352486806;0.7196860309692366;0.4408588405196204;0.4170251576027894;0.4255230938822157;0.8739455010716173;0.8226552732951214;0.8930134482772536;0.7960988640058215;0.8553791701031972;0.7013554295001653;0.05389363354205521;0.09072719635474774;0.17159733346769238;0.3162181633644953;0.8124000755638586;0.8725942957982559;0.7253121566710027;0.03667850784699649;0.09072719635474774;0.17159733346769238;0.2990030376694366
550;44222.54802259887;0.7207783496424447;0.6318412809244248;0.66793817731399;0.6665475814272408;0.465354927506002;0.4080139715379867;0.43149911931795654;0.8545380385637459;0.783969055178436;0.9013027113741815;0.9232703949242764;0.6854765778669015;0.649136816021846;0.03171002308228466;0.28281339905081376;0.024960412029174393;0.3394838341622728;0.9389417900953063;0.6969639524616774;0.6669627768048713;0.020222648487508824;0.28281339905081376;0.024960412029174393;0.327996459567497
600;72751.90960451978;0.5960533024343851;0.5693773459114176;0.5769928705496379;0.680655088607422;0.3768155376859985;0.3604155739778003;0.3654195387428011;0.8615961369883024;0.7787784414834754;0.8571970294980772;0.7196624424170216;0.8573996616041639;0.6422121580652173;0.06350107012838221;0.07909926826745399;0.2895843507825529;0.43218468917838904;0.7357369124216774;0.8765494539601866;0.6653293960505575;0.04435127777235946;0.07909926826745399;0.2895843507825529;0.4130348968223664
650;57492.30508474576;0.7052028700398963;0.6318640523897324;0.6615276773885765;0.7466146790982225;0.5232585469204744;0.4708040255074073;0.49218828434918943;0.8792936399248998;0.8390287914667393;0.9058983225914811;0.8474778160455513;0.8329751877749856;0.7253243531204112;0.04675917935444783;0.12026563287056652;0.10497487929190803;0.27199969151692244;0.8627183501856738;0.84779286538828;0.747334020115751;0.031941501741153386;0.12026563287056652;0.10497487929190803;0.25718201390362794
700;42646.734463276836;0.7213932399737779;0.6467203455064056;0.676065157598382;0.6654419216342339;0.45940180459632385;0.4150826881067424;0.4326174601082853;0.8543975316133471;0.7754022069057331;0.8950981605397431;0.9109624592408374;0.6805769984469923;0.6379872826968527;0.034837487031919245;0.28458551452108855;0.031667951165137445;0.3510909527181453;0.9282442955514277;0.6931059940493105;0.6572421097284936;0.02230849142960099;0.28458551452108855;0.031667951165137445;0.33856195711582704
750;55935.61581920904;0.7047220673206969;0.6358893696962176;0.6637016971134094;0.7480832219239317;0.5249175981261072;0.4754799520870171;0.4956326739351087;0.8799510976384317;0.8431383380615041;0.9112134603839457;0.8606576452568706;0.8281922848745848;0.7312987314961135;0.044799840786614274;0.12700787433880079;0.09058117190531427;0.26238888703072927;0.8757069469657406;0.842480164907884;0.752948335271694;0.03051196075331511;0.12700787433880079;0.09058117190531427;0.24810100699743015
800;58429.50847457627;0.6894943462550808;0.639414037776439;0.6591277527004656;0.7274528738512155;0.4873652496216514;0.45314032535185716;0.46682470503929274;0.8734331963304938;0.8272168565973843;0.8949670610351752;0.8247753096392847;0.8339095437420376;0.7081113284674357;0.048030611775830505;0.11805984448213194;0.13485628105750888;0.30094673731547134;0.8400770910860945;0.8491407197523732;0.7300282617798493;0.03279943576549493;0.11805984448213194;0.13485628105750888;0.28571556130513576
850;58700.93220338983;0.6854483883986724;0.661938775291811;0.6696950594186022;0.734274201452467;0.4994377349199282;0.4827533260954478;0.48843365907326514;0.872775906257437;0.8330508013156944;0.900868908051335;0.8380243881266619;0.8305252929709841;0.7164990318934608;0.04753347351799971;0.1219412335110162;0.11577843462303945;0.28525314165205534;0.8533313141993945;0.8455669850853732;0.7385288444038592;0.032491781403610705;0.1219412335110162;0.11577843462303945;0.2702114495376664
900;59918.21468926554;0.6852356462050284;0.6387190684565487;0.6563786590217039;0.7416546381959142;0.49817648874766274;0.4660003509166788;0.47831081430157935;0.8809314136013541;0.8388417049685258;0.907448322202774;0.8260351154438893;0.8555795058919606;0.725265523927878;0.046418544009861624;0.09800195009817776;0.13911283262328314;0.28353332673132253;0.8405083593104761;0.870360244654254;0.7466598817000781;0.031637805247568124;0.09800195009817776;0.13911283262328314;0.268752587969029
950;50767.57627118644;0.7285101238012318;0.6517936932013122;0.6831011850263446;0.7372221198697796;0.538347220150845;0.4829119897036074;0.5056914860882638;0.8749176325272278;0.835050213106554;0.9176632614921492;0.904542120202107;0.7779013337714737;0.7197735050883588;0.035199352278101274;0.18689931395042506;0.04674105794627281;0.2688397241747991;0.9184131052906507;0.789670814768831;0.7383624739547756;0.023429871280743936;0.18689931395042506;0.04674105794627281;0.2570702431774418
