ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;19597.666666666668;0.4563496509189349;0.38101310896121376;0.4071337220734295;0.5283855571174322;0.20748966351300835;0.166153766673495;0.18077400489740905;0.774678397820139;0.5326380689403744;0.5642175196760336;0.6300017391646784;0.48190381834916013;0.3695181081614095;0.1492397670809861;0.36885641456985374;0.19269613379213305;0.7107923154429729;0.7008094423993722;0.5403786371999355;0.42877391425346173;0.09076494823021074;0.36885641456985374;0.19269613379213305;0.6523174965921974
100;5182.533333333334;0.758817829736124;0.3748981088682392;0.4809670932363227;0.3439823996404462;0.23068992214344766;0.09589755711523656;0.129973631295342;0.6916497674540533;0.24331694822798006;0.6334009820146113;0.8970834809373109;0.1432065414110132;0.14080260370561157;0.010989032734105415;0.8458044258548812;0.005450659866218578;0.8622441184552054;0.9290210087965605;0.14808131450829098;0.1462727350726112;0.006114259636827574;0.8458044258548812;0.005450659866218578;0.8573693453579275
150;22157.983333333334;0.6171588651697754;0.556856636178354;0.5791191780782452;0.552470860502843;0.2995241115384093;0.26553750404769466;0.27822896065387037;0.7891832720533516;0.62272690223419;0.6553117459310516;0.6781809887266824;0.5986540467679543;0.4607146683133515;0.116444587398944;0.2849013658331016;0.2236625339169728;0.6250084871490186;0.7271241146843224;0.6449469929426137;0.5096638734512912;0.07015164122428455;0.2849013658331016;0.2236625339169728;0.578715540974359
200;21223.133333333335;0.6161458909103371;0.5815640653533792;0.5927258684728908;0.5618778490500226;0.31297283569984174;0.2917019747900033;0.29907344505503664;0.7887125392126286;0.6310794282240056;0.6735883846039792;0.6972942119440312;0.5947114014665674;0.46968210939237204;0.11737954798560171;0.28790905054783067;0.1785939631902283;0.5838825617236608;0.7482462250849788;0.6403078755546094;0.5198475676219789;0.07178307389755999;0.28790905054783067;0.1785939631902283;0.5382860876356189
250;24552.5;0.6088499551334439;0.6145502240335113;0.6064844625238368;0.56305056687309;0.2995171875152271;0.29868200264570527;0.29638823834336886;0.7993191367457572;0.6396852879045006;0.6623722267131167;0.6557661196583614;0.6490446531067885;0.47847829512040474;0.1188244739303276;0.23213087296288373;0.285591349923919;0.6365466968171302;0.7010183020409693;0.6976131270238485;0.5281109685288516;0.0702560000132678;0.23213087296288373;0.285591349923919;0.5879782229000706
300;22187.6;0.6294336949980707;0.5525657338824266;0.5810817671538074;0.5314290976627086;0.2935090605347056;0.25269600579432955;0.26777217359445904;0.7793735181278357;0.6094836921045437;0.6441469042689493;0.6758180390699023;0.58270954267666;0.4475720051034099;0.10481024114452243;0.31248021617881777;0.2375406515871497;0.6548311089104897;0.7225414443483048;0.6265071432673691;0.49329307879129275;0.061012640553813315;0.31248021617881777;0.2375406515871497;0.6110335083197808
350;20991.783333333333;0.6236028618870069;0.6495983430338205;0.6306211475082079;0.5633755357982273;0.30877967014783647;0.3174259034247494;0.3102241625103687;0.7942049748554367;0.6449161287776108;0.6960754847909948;0.7071784956031274;0.6101610072841168;0.4832216846622899;0.11084002848982642;0.27899896422605663;0.17942900345431462;0.5692679961701975;0.75613766572849;0.6543602476487109;0.5328338427382354;0.06664078812523255;0.27899896422605663;0.17942900345431462;0.5250687558056039
400;17937.383333333335;0.6211514365049084;0.5568743386367174;0.5776630020826201;0.49995328368447356;0.27308326972218605;0.23738062332278784;0.24953095319049529;0.7649533017157623;0.5732664235151889;0.6553699815718562;0.7197865343755505;0.497416326034582;0.40980153396320806;0.09161345523144447;0.4109702187339736;0.1368943348338714;0.6394780087992893;0.7697010767764871;0.5351411898752707;0.45178371801390976;0.05388859139075574;0.4109702187339736;0.1368943348338714;0.6017531449586007
450;27120.933333333334;0.6016595209460617;0.6084230807100917;0.6005161978862845;0.5618407185487769;0.2907396410949674;0.2926994860451912;0.28945933234423976;0.805718820648977;0.6480936031968642;0.6613027822934202;0.6318383469311338;0.6945731087204534;0.488486570560604;0.11980451696174017;0.18562237431780645;0.3713246528324995;0.6767515441120461;0.672889780933493;0.7426989440454329;0.5356070721542597;0.07167868163676067;0.18562237431780645;0.3713246528324995;0.6286257087870666
500;29177.216666666667;0.5976701830166998;0.5921155519701439;0.59012284746827;0.5751158658232028;0.28872343071588497;0.2861053700318129;0.2850640561550666;0.8176002250824254;0.6599557068521524;0.6815667639730442;0.6161168419432957;0.7389245425595055;0.5022639036022698;0.12082489212763906;0.14025056531285532;0.42965188162392975;0.6907273390644241;0.6546295756536102;0.7880532218634545;0.5493256204147451;0.07169621282369018;0.14025056531285532;0.42965188162392975;0.6415986597604753
