ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;222.27777777777777;0.05934307606302491;0.004506044999045137;0.007435816158269195;0.08113828111744244;0.005496945154873544;0.0008793477479500185;0.001445592749940576;0.06385281385281386;0.0442138194776478;0.38614363694221787;0.5433037375063402;0.024246623527536433;0.023987756725780587;0.0013687804006880403;0.9743845960717754;0.0027701421877764235;0.97852351866024;0.5522256951717719;0.02470156799460154;0.024474851232721116;0.0009138359336229322;0.9743845960717754;0.0027701421877764235;0.9780685741931749
100;1007.4722222222222;0.6595855828035735;0.54167255411634;0.5774134786952728;0.49592628930877797;0.16335552981762708;0.154200018000279;0.15551651345798984;0.8087294363972511;0.6241247611747571;0.6722754788471326;0.7911226162151728;0.5515892028034753;0.46941717012176604;0.04528226249072522;0.4031285347057994;0.11702871946174796;0.5654395166582726;0.8090254856101422;0.5618697908626904;0.48272183699545695;0.0350016744315102;0.4031285347057994;0.11702871946174796;0.5551589285990577
150;1361.388888888889;0.5352786900201063;0.5585795062502966;0.5324792103543146;0.5552920347832951;0.17437526198941045;0.1971490851225798;0.18117608010085653;0.8038201045065222;0.6979498614001828;0.7174227048579604;0.7304523523588196;0.691436713438229;0.5434098322581882;0.06039965787423488;0.24816362868753603;0.22464663799193924;0.5332099245537102;0.7419283428360173;0.7011842804675501;0.5562954090247669;0.05065209084491381;0.24816362868753603;0.22464663799193924;0.5234623575243891
200;1479.0277777777778;0.5083535743750632;0.6091520917348673;0.5410464191862048;0.5759811726477151;0.1902117070726098;0.24395389658469752;0.20947633111143574;0.8062902283805113;0.7121259979710173;0.7276147729370269;0.7213646120130218;0.7260959961401762;0.5593206359511345;0.05787357800392923;0.21603042585589452;0.25004643030586726;0.5239504341656909;0.7294046561895893;0.7336053617306644;0.568999847648585;0.050364212413441;0.21603042585589452;0.25004643030586726;0.5164410685752027
250;1183.7777777777778;0.6305702146148984;0.6278220471919757;0.6176688352845155;0.4885291841259342;0.1416353951888284;0.1532158195945007;0.14471438598552208;0.8024735482953218;0.6774761543158232;0.6863323775179405;0.7813748651710923;0.6165997539543522;0.5207371736469747;0.04817998115895542;0.33522026488669243;0.13356149933135197;0.5169617453769997;0.7921287807026692;0.6249509315617323;0.5318530510628081;0.03982880355157541;0.33522026488669243;0.13356149933135197;0.5086105677696198
300;1199.1666666666667;0.682347902266364;0.6496293361976385;0.6471163847968797;0.5394512140139676;0.19269140529287324;0.20115991291808483;0.1923118608797946;0.8276951296049021;0.6860846713116652;0.7272466587409456;0.8022073814017204;0.6285308926101025;0.5321665510622883;0.03562484418561058;0.3358442632042869;0.13955855408674334;0.5110276614766409;0.8112092936200868;0.6359048526922788;0.542163550057253;0.028250884103434366;0.3358442632042869;0.13955855408674334;0.5036537013944646
350;1218.1666666666667;0.7121420537222055;0.6620762726630445;0.6716298544314321;0.5648720013387234;0.2349658557863081;0.23762190772561897;0.23231148856141054;0.8203286698640418;0.7335306473504132;0.7555390200156903;0.832819244558444;0.6757328729652181;0.5878150641204819;0.035190593074014925;0.28907653396076705;0.11240648017366582;0.4366736072084479;0.842098129960631;0.6835033092025715;0.5989471137719428;0.02742015683666144;0.28907653396076705;0.11240648017366582;0.4289031709710944
400;1204.5;0.6950891291584065;0.6793881196414335;0.6741214548801071;0.5181335553509324;0.18237215296647571;0.19513223134130786;0.18520546823328035;0.8217348409694519;0.6915887962993654;0.719855995166808;0.8227235092873029;0.620416739849866;0.5389632262687413;0.03614785808576526;0.34343540206436884;0.11033472540231987;0.4899179855524539;0.8329715295973101;0.6290828473904476;0.5504532105705047;0.027481750545183606;0.34343540206436884;0.11033472540231987;0.4812518780118723
450;1435.138888888889;0.6165805429853557;0.6701888135838876;0.6281944377942915;0.5588274599066;0.197596470266265;0.23404301844754144;0.21006832707740872;0.8081923341264218;0.6992056146546242;0.7127885739919776;0.7474871745539367;0.6803512393508888;0.5434222933211363;0.05308710313248149;0.26656165751662975;0.1979002911773171;0.5175490518264283;0.7588568774696639;0.6911588142339506;0.5572770482648175;0.042279528249419676;0.26656165751662975;0.1979002911773171;0.5067414769433665
500;1475.9722222222222;0.5023628910377288;0.6533887381055651;0.5581666998911042;0.5904017151274507;0.20468828444561193;0.284720515959956;0.2347128994194925;0.7990240297888158;0.7202688090837861;0.7298559741793264;0.726854349175589;0.7282667431672308;0.5671813826061878;0.07017999381780099;0.20155326301496818;0.21541773164590172;0.4871509884786709;0.7428046149274271;0.7432858679608316;0.5862804877165121;0.055160869024200185;0.20155326301496818;0.21541773164590172;0.4721318636850701
