ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;12848.056497175141;0.15262511119801597;0.0310657854980931;0.049695682436230036;0.44495532404846494;0.04460028757006835;0.008275482759242928;0.01345504256214507;0.8104712826937277;0.15993179944024424;0.40063227130659546;0.658007409426492;0.09248705648342487;0.08791713460723885;0.044687712577290054;0.862825230939285;0.0029221312756177423;0.9104350747921928;0.8394012402495996;0.11739166377421392;0.11452903437892335;0.019783105286500974;0.862825230939285;0.0029221312756177423;0.8855304675014039
100;26285.19209039548;0.5596602182015169;0.3389978028179504;0.4114688245521681;0.5150632378309967;0.25497383701043036;0.15294975651229795;0.18666250880842752;0.801018678985152;0.5104796872723404;0.7463086329831806;0.8713143653683959;0.3682194659280028;0.3486553394573101;0.03822951608817012;0.593551017983827;0.01615100190362074;0.6479315359756179;0.9173051502801501;0.3866104658364437;0.37247290135378175;0.019838516179729253;0.593551017983827;0.01615100190362074;0.629540536067177
150;44826.31638418079;0.5624909379468456;0.4947435429379956;0.5182280655141805;0.5850148336912645;0.2968628577020217;0.26360453966338404;0.2750932926773711;0.8192687810209056;0.6730145477423747;0.7651727206229347;0.7834448931074897;0.6001977030622209;0.5114867596942739;0.07601529179694169;0.32378700514083747;0.09500525892181576;0.49480755585959496;0.823867995238535;0.6299469309982308;0.5506264148028448;0.046266063860931586;0.32378700514083747;0.09500525892181576;0.4650583279235848
200;47533.44632768362;0.5888300082067082;0.6038484488783128;0.5909078112670213;0.622736416111505;0.35016807233718433;0.35997162786584386;0.3521502601915275;0.8319353057409866;0.7326814844232801;0.8112615691687589;0.8014646452883208;0.6823610670968441;0.5820830791110051;0.07841688363488297;0.23922204926827298;0.09384303977739569;0.41148197268055164;0.8382489516011418;0.7122920706446974;0.6231224909911496;0.0484858800870296;0.23922204926827298;0.09384303977739569;0.3815509691326983
250;31569.858757062146;0.6592579791881324;0.5233251493821578;0.5712196389241276;0.529666800560474;0.31312431427912596;0.2487298447315456;0.27157047885360186;0.8166105878402925;0.6198910856654076;0.8106781303993023;0.9060221494757971;0.48068087739019244;0.4571419577782163;0.034547391358993;0.4847717312508145;0.01509168420886662;0.5344108068186743;0.9354807838382446;0.49566646314972;0.4781688886790845;0.019561805599465406;0.4847717312508145;0.01509168420886662;0.5194252210591467
300;55393.853107344636;0.5865557408005553;0.5080377503057473;0.5377400608939354;0.6362844593351238;0.34922448601988176;0.30113508408267997;0.31968248150938977;0.8277968921415112;0.740549908764719;0.8064713557504005;0.7767287351098355;0.7129388833170515;0.591546254568863;0.0800098587524445;0.20705125793050405;0.12896438505121335;0.41602550173416186;0.8069240970939735;0.7400172927951829;0.6275005847923835;0.05293144927431284;0.20705125793050405;0.12896438505121335;0.38894709225603025
350;53082.41242937853;0.6313807371855968;0.583282655476273;0.6010435316470141;0.6484534065733838;0.3739229507115794;0.3464417362431616;0.35677036575315213;0.8442330329366768;0.7592511862517299;0.8294453777459049;0.796793447257386;0.7303186585894451;0.6153126071860722;0.07408191723905465;0.19559942417150017;0.11771548606235971;0.3873968274729145;0.8267953885263299;0.75731622270532;0.6521455642373771;0.04708435312317975;0.19559942417150017;0.11771548606235971;0.36039926335703965
400;64318.5988700565;0.580393351038137;0.5490671835790422;0.559013448325237;0.6616393511968349;0.35556342741313574;0.33572775704781344;0.3423665021076395;0.8497304828311241;0.765484518603572;0.8305938655566474;0.746571254349865;0.7931755874456278;0.6236094821282727;0.07672674430328316;0.13009766825108895;0.20768515642395013;0.4145095689783223;0.7703653689770933;0.8187522932418825;0.6558004622028762;0.05115003850702837;0.13009766825108895;0.20768515642395013;0.3889328631820675
450;57115.056497175145;0.6217610836129;0.6060189370875918;0.6091747607292868;0.6968256318958241;0.41419271468056457;0.4047377885478849;0.4065766964755493;0.863269552074863;0.7976206248801637;0.8652889699207588;0.8006585940702974;0.7984256613838275;0.665926921990784;0.06657117081642662;0.13500316779974567;0.13641664362729003;0.33799098224346236;0.822707218029906;0.8201044046175769;0.6960916446675253;0.04489242758267729;0.13500316779974567;0.13641664362729003;0.316312239009713
500;72909.88700564971;0.46161968342961796;0.569707673663415;0.5052664945850032;0.6053968741797763;0.22632476950398658;0.27828501049964827;0.2475460390928633;0.8493564111882238;0.7157844974455534;0.7968162083974409;0.642881496130612;0.829528880495658;0.5619522209714575;0.08787553454234313;0.08259558496199888;0.4226515763652955;0.5931226958696375;0.66696544448032;0.8593831099469804;0.5945609372927375;0.0580213050910207;0.08259558496199888;0.4226515763652955;0.5632684664183151
