ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05451260220047154;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.055334714574300184;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04969494229015186;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06282967794857565;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;175.83333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07352989987712741;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
300;177.22222222222223;0.5704415954415955;0.019138655756617967;0.036652793553221784;0.06954282325326006;0.0;0.0;0.0;0.0;0.005442398132195656;0.21060330265509392;0.511391694725028;0.0027403909749665017;0.002737508531357975;0.00044327243839901244;0.9968163365866344;0.00031601590891485766;0.9975756249339484;0.5404922238255572;0.0027954051150818958;0.002792522315235162;0.00038825829828361867;0.9968163365866344;0.00031601590891485766;0.9975206107938328
350;1406.5833333333333;0.4356390349945444;0.6137838501048722;0.490278421392706;0.6043054410789126;0.1777832307149968;0.2805256718982767;0.2120896960809954;0.8190878269265326;0.6572272503531441;0.6962114854347092;0.6643047664015527;0.6775694940668371;0.4974861151667089;0.08204841580348793;0.24038209012967496;0.2858560720461309;0.6082865779792939;0.6861780542827156;0.6962604560240456;0.5189952764008381;0.0633574538462794;0.24038209012967496;0.2858560720461309;0.5895956160220853
400;1062.6944444444443;0.6007797022319439;0.6573264854446196;0.6095627980658582;0.5466092792638664;0.18851722799795634;0.23165558924896656;0.20366937064963914;0.8025934544596619;0.6497622828491685;0.6786565498498747;0.756967649220551;0.5948662114718679;0.49145494321794403;0.05709070566899858;0.34804308285913355;0.14969928123749315;0.5548330697656253;0.7741946648174047;0.6063136623096086;0.5058027458075566;0.04564325483125806;0.34804308285913355;0.14969928123749315;0.5433856189278846
450;1382.361111111111;0.4731745053946883;0.6819851759731578;0.5390021363547647;0.6018395732725166;0.18651897156624914;0.30488923667141005;0.22566629795609217;0.8133481509848051;0.6407448696616833;0.6908987402949982;0.6387144292217415;0.6848797167015845;0.4769220743012677;0.08328886866241844;0.23183141463599707;0.3598132577589009;0.6749335410573162;0.6626930009740142;0.7043667765215387;0.49862211930425215;0.06380180884246414;0.23183141463599707;0.3598132577589009;0.655446481237362
500;1295.25;0.604065946886142;0.6538876674887897;0.6108660171188418;0.6181536262424533;0.2594480405739333;0.30500882945655233;0.2743723824894448;0.8157674348374356;0.7148684729174969;0.74758247802417;0.7472198212538274;0.7094612139624742;0.5630650279051013;0.061961082469332546;0.22857770356819312;0.22015201234281767;0.5106907983803433;0.760650636088687;0.7219616416498789;0.5774070640054108;0.04946065478192804;0.22857770356819312;0.22015201234281767;0.4981903706929389
550;1017.7777777777778;0.7132703051429433;0.651302671585939;0.6631674805789219;0.5461381946016699;0.2150280274638543;0.2172304221134;0.21163365578434343;0.8010782973286541;0.6671184249138998;0.7064000490241159;0.8001928701233227;0.5963141614757782;0.512278806656064;0.04722226529833643;0.3564635732258853;0.12164451434273296;0.5253303528669548;0.8178495802985386;0.6075998599696296;0.525848148128082;0.035936566804485266;0.3564635732258853;0.12164451434273296;0.5140446543731035
