ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;4173.073446327684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10674865199841617;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;4173.073446327684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10645697279642902;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;4173.073446327684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10750224772814215;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;4173.073446327684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11120013199002712;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;4173.073446327684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11995507607830642;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
300;4181.824858757062;0.5213867128526345;0.0015167754337953826;0.0030168523296876925;0.10128096420740416;0.035821052826331926;0.00010155087546553107;0.0002023518343143144;0.14250291453680983;0.0004169085366285745;0.19926761021924;0.5480762536109509;0.00020860809337249617;0.00020856461893827114;0.00011975240715959586;0.9996716394994679;1.787222825282689e-06;0.9997931791294526;0.8259342578442606;0.00030617804615554157;0.0003061635166263668;2.2182454376550446e-05;0.9996716394994679;1.787222825282689e-06;0.9996956091766697
350;26031.853107344632;0.4817419868575534;0.4099301557152706;0.4333945905944135;0.44352607876056743;0.15019645661113978;0.13554900661604072;0.13958266773566;0.7905591901967858;0.42973799124645295;0.5337932919849917;0.6930446463287242;0.33238228822736743;0.2799285357591984;0.09243945555478997;0.5751782562178427;0.07778637607720268;0.7454040878498354;0.7913891948351148;0.3780687182723042;0.3315086809086617;0.046753025509853184;0.5751782562178427;0.07778637607720268;0.6997176578048985
400;21945.38418079096;0.6114139086220057;0.49326588808212346;0.5353115587729866;0.4514223000652198;0.2134877319877408;0.1789625124651082;0.19114533455726407;0.7878596578584376;0.4580868497441007;0.6307159885731934;0.8214074187586885;0.33355283304928823;0.3064860037066784;0.04754818564550393;0.6188989813052078;0.030423899471054155;0.6968710664217659;0.8842080366708659;0.3576960325418033;0.3365486185232779;0.02340498615298888;0.6188989813052078;0.030423899471054155;0.6727278669292508
450;27312.84745762712;0.5900410411163768;0.5418954021599055;0.5547192749675315;0.4652181117175022;0.2013481991003205;0.19559570468201576;0.19512029061440472;0.80308331211153;0.5095202583079368;0.636708956756759;0.7720142801337861;0.40497099908605666;0.35130597672168346;0.06694438033575112;0.5280846205781923;0.06997447565187138;0.6650034765658147;0.8373499416814191;0.4378416283847878;0.39131015264601193;0.034073751037020004;0.5280846205781923;0.06997447565187138;0.6321328472670836
500;25050.028248587572;0.6509366818698398;0.5501124731898734;0.5868199901653556;0.4413520178762436;0.20018766588511525;0.17979177399058688;0.18670537914530566;0.7997333368946639;0.4871276780090758;0.6246041539756517;0.7809102961759877;0.3806719002519726;0.3326674028708993;0.0537773270051431;0.5655507727428843;0.07578033813923298;0.6951084378872604;0.8329390662974888;0.40539533577921655;0.36192629381561026;0.02905389147789911;0.5655507727428843;0.07578033813923298;0.6703850023600164
