ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08045745785739511;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08129825028745241;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07868791923069089;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08021222469437697;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08774201309619159;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
300;2593.1666666666665;0.43812559207335366;0.004497514955090324;0.008671597664111056;0.1646766459981167;0.07286689539444886;0.0005040346084851259;0.0009948219458233993;0.19509259259260217;0.0017407014968226625;0.22040023501294448;0.6191288250567405;0.0008732508604262316;0.0008723781284681625;0.0004386925702271315;0.9986880565693467;1.8396127732309177e-05;0.9991451452673061;0.8945497498508118;0.0012381468852743383;0.0012377385718386786;7.379654537902465e-05;0.9986880565693467;1.8396127732309177e-05;0.998780249242458
350;17213.033333333333;0.44460146539646817;0.4037993810077735;0.4144331149418911;0.5752550738518474;0.2246156652297352;0.20251552614743185;0.20873079772216702;0.8008568175113427;0.5255427470405151;0.5699887318731173;0.638186739054403;0.4540523692157759;0.3625472398208462;0.1589785832888907;0.38696904749533345;0.10223835553329555;0.6481859863175197;0.7339275008483482;0.5195077042247357;0.43587721185561346;0.09352324827993092;0.38696904749533345;0.10223835553329555;0.58273065130856
400;15313.183333333332;0.5678630472301759;0.48436436092572144;0.5121556407137842;0.5947712665655033;0.320247983047527;0.2664150792945478;0.2849369111533924;0.7967736343422768;0.5747474168156381;0.65898384854342;0.7636775891565221;0.4689773805100041;0.4103250962799489;0.09564935580411348;0.43537326368588236;0.050217410130862686;0.5812400296208585;0.830950982716094;0.5089253241433005;0.4602306068836214;0.05570141217081705;0.43537326368588236;0.050217410130862686;0.5412920859875622
450;19160.35;0.5615155843243852;0.5438155340163131;0.5446191781137226;0.620406943571918;0.3295250958628789;0.3164813926396002;0.31831932376094674;0.8047757659096518;0.6296781488122174;0.6797638451169651;0.7129799189238745;0.572304911739524;0.46678881970031333;0.1282398051493056;0.2994552831111704;0.10491615327681851;0.5326112415372944;0.7778220011231859;0.6224179514971807;0.5276071911267265;0.07812676539164896;0.2994552831111704;0.10491615327681851;0.4824982017796378
500;18510.1;0.6027697137192791;0.5418260631149717;0.5639894411095623;0.6271176204172414;0.3517108294215166;0.3169537664933359;0.32972434267482054;0.8083945020359515;0.6459799447030473;0.70486989105958;0.7399280279207765;0.5800072176519441;0.48529964238732953;0.11250131093892653;0.30749147140912964;0.0928456636540367;0.5128384460020928;0.7955657238602799;0.6220220168060661;0.5372748052862778;0.07048651178480424;0.30749147140912964;0.0928456636540367;0.47082364684797046
550;14718.0;0.6603102734042388;0.5148464262579256;0.566716598442439;0.6007647992670022;0.38318481226843387;0.29342413973720316;0.32548260746767216;0.7925185127268117;0.6075726529812975;0.7250734803604668;0.8265332396009873;0.4888319821311224;0.4457341888021656;0.06599884757682185;0.44516917029205577;0.033085643660400614;0.5442536615292782;0.8758789253322292;0.5164301578670211;0.4822764273963495;0.03840067184092326;0.44516917029205577;0.033085643660400614;0.5166554857933797
600;18529.4;0.6055821171806687;0.6437898389831272;0.6190580050593576;0.6289507679144276;0.3702950334540908;0.39121481788688844;0.3774231254446436;0.8094953266447124;0.6727629387437748;0.7365005376814263;0.7660526579296234;0.6055255685297876;0.5132118500863991;0.10568727465001686;0.2887871568201954;0.08146404561344721;0.4759384770836594;0.8190659904663133;0.646580253800865;0.5658242005566051;0.06463258937893965;0.2887871568201954;0.08146404561344721;0.4348837918125822
650;17964.833333333332;0.6239413069096444;0.5916050514416169;0.6007065281997916;0.6131990164902734;0.3696908537062292;0.3484991945292707;0.35482982571700633;0.7999767909703794;0.653795906947875;0.7249960183478739;0.7682825155811659;0.5770353300067093;0.493357948331265;0.10119702361685763;0.321767646376433;0.07493690866945245;0.4979015786627431;0.8231061228333348;0.617003295637892;0.544382603535985;0.06122905798567502;0.321767646376433;0.07493690866945245;0.45793361303156044
700;18486.483333333334;0.6307519263465775;0.6469508317376402;0.6335740578352259;0.6379908988590871;0.38578123249139945;0.39373304856025887;0.38665260190852174;0.8174538971124423;0.6798008052636272;0.7439709198064764;0.7755734132404264;0.6106781111484479;0.5210589857896794;0.09712387370329585;0.29219801514825644;0.08128275465651087;0.470604643508063;0.824672861348981;0.6483221911724365;0.5700058262614055;0.059479793679307086;0.29219801514825644;0.08128275465651087;0.4329605634840743
750;19569.5;0.64152794672712;0.5944077845882146;0.611071607671952;0.6441725001755896;0.3974877097760668;0.3685427295769693;0.3788492185643283;0.8108059118681695;0.6818468188887548;0.7413459663706359;0.7569218467245179;0.6264401557923319;0.5248866092571149;0.10922144428022383;0.2643383999274443;0.09364953716079195;0.4672093813684602;0.8073192538963286;0.6669436521218703;0.5762284729247887;0.06871794795068546;0.2643383999274443;0.09364953716079195;0.4267058850389217
800;20108.516666666666;0.6016086082257563;0.6465122697228608;0.6183548486276732;0.6413117333428902;0.37877641378423904;0.4063502974798409;0.3890890888762542;0.8097823285882183;0.688128225982343;0.7412412965501329;0.750324847113893;0.6408931075346118;0.5317383345537243;0.10966195390357573;0.24944493856181243;0.10566824868225869;0.4647751411476469;0.7968660610882258;0.6794020373757991;0.580298564455974;0.07115302406238845;0.24944493856181243;0.10566824868225869;0.4262662113064596
850;17853.65;0.6190023865468508;0.6790193700595641;0.6434122233204158;0.6247495694086308;0.3722723457402308;0.40674119349413174;0.3862489553145402;0.8102605716495701;0.6791912376213697;0.7457886323413259;0.7846897936067659;0.6038362991904298;0.5195891382050936;0.09437894440993526;0.301784756399635;0.07531862941072615;0.4714823302202964;0.8293580147563939;0.6376785211723657;0.5634704323091192;0.060536722427999415;0.301784756399635;0.07531862941072615;0.4376401082383605
900;19007.2;0.6262108374435517;0.6656445581304224;0.6407945416459494;0.6425262028707993;0.3913186591733466;0.4148623838267129;0.3999450363174381;0.8114463648851608;0.6946509131651997;0.7562909666955192;0.7803590176397994;0.6305077829272593;0.5378666103982054;0.09653701806745298;0.27295519900528775;0.08357234221293904;0.4530645592856798;0.823943256185439;0.6650508981182506;0.5828494253723897;0.06199390287646172;0.27295519900528775;0.08357234221293904;0.41852144409468844
