ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1586.4444444444443;0.6360416610873458;0.5948093724617505;0.5951228542329049;0.6322091349966239;0.30465689495259923;0.3051948183257539;0.29740040025099373;0.8334390058304427;0.7654733682965474;0.8325221457407345;0.7361831115463378;0.8177384173825981;0.6241537781587883;0.04164604195273551;0.14061554066466642;0.2816354758955884;0.46389705851299023;0.7420718968922161;0.8234023629196972;0.6317966997021364;0.0359820964156365;0.14061554066466642;0.2816354758955884;0.45823311297589137
100;2120.472222222222;0.4044538125036482;0.3810195934194699;0.37077359696138806;0.5280530485358944;0.12872307245279652;0.12480126240025384;0.12089620635953599;0.827742587323466;0.677447877895907;0.8294818847940764;0.568279575047481;0.8979159814060126;0.5223496026590343;0.04353485697686526;0.05854916161712219;0.7929448246470977;0.895028843241085;0.573165150303884;0.9036443478921942;0.5291983988178569;0.03780649049068362;0.05854916161712219;0.7929448246470977;0.8893004767549032
150;1930.2222222222222;0.5393480698786243;0.5428481991147134;0.5193071460877922;0.5938873176207231;0.23318763304608783;0.2505074559389957;0.23459498352524066;0.8284841751695945;0.7293725039373249;0.852437305899808;0.6358912707724689;0.8834657042957224;0.5805927281252035;0.04233767964098217;0.07419661606329556;0.52716819203847;0.6437024877427476;0.6397961627884112;0.8878893880592488;0.5861941179856506;0.03791399587745571;0.07419661606329556;0.52716819203847;0.6392788039792212
200;1796.388888888889;0.5101151121443672;0.45887788923146694;0.4635863011512057;0.5968255881454017;0.2192874534706122;0.2134446513469169;0.2103820952958694;0.8335439062915412;0.7410595862550995;0.8335078535006764;0.6630551700902978;0.8596656079355695;0.5942006576779673;0.04536872393194952;0.09496566813248108;0.42967918242337955;0.5700135744878101;0.6669231424537353;0.8638736710893082;0.5994921104433684;0.041160660778210616;0.09496566813248108;0.42967918242337955;0.5658055113340712
250;1945.388888888889;0.5626451617301066;0.5128944043623275;0.5191406792559934;0.5947006310679348;0.24404628164863965;0.23768836289437825;0.23529204681827068;0.8406393036813455;0.7441528738549795;0.8544352383150647;0.6464032002429839;0.8958961442157479;0.5985741870931869;0.04132780948246049;0.06277604630179169;0.49512622787074345;0.5992300836549956;0.6495181222316204;0.8997433714791219;0.6032110829876113;0.037480582219086414;0.06277604630179169;0.49512622787074345;0.5953828563916215
300;1775.2222222222222;0.6194368856441798;0.5476331244521488;0.5588877370802181;0.6183173031416171;0.2869485717881448;0.27054495176376475;0.2710694331923198;0.831844477253288;0.7678323249211011;0.8469594422601087;0.69796116854225;0.865684354622421;0.6285230884775701;0.04291932155538174;0.09139632382219726;0.35833043207216864;0.49264607744974753;0.7021277808065459;0.8703709729239892;0.6346619877941623;0.038232703253813505;0.09139632382219726;0.35833043207216864;0.48795945914817934
350;1826.5833333333333;0.6225156506425262;0.539190367633504;0.554898985879634;0.5877863385512508;0.250298248799194;0.2308156254307594;0.23376543234306357;0.8442138019628278;0.7370272114267735;0.8386546511407592;0.6588010027093157;0.8653064588353243;0.5899035190786427;0.041570317504168564;0.093123223660507;0.468020623940111;0.6027141651047866;0.6631829824850366;0.869951203239338;0.5961524316467338;0.03692557310015505;0.093123223660507;0.468020623940111;0.5980694207007731
400;1755.25;0.6395132610675854;0.5541451427796871;0.5716285593818031;0.6154849442184491;0.28903796105482366;0.269652285372498;0.2719318355376603;0.8453337383586108;0.7639121484166105;0.855552610537054;0.69334433824592;0.8672182903558132;0.622598173838611;0.04144242564178093;0.09133928400240582;0.3746628842616958;0.5074445939058826;0.6981709233454487;0.8724117567587014;0.6295613597392016;0.036248959238892695;0.09133928400240582;0.3746628842616958;0.5022511275029944
450;1900.8055555555557;0.5954265575679618;0.5483108862827039;0.5539198490733158;0.6061233464534426;0.27067631610063314;0.26384492722439246;0.26200813363257613;0.8400463874989597;0.7547012016150785;0.8546767728664366;0.6640594859385811;0.8883255255203986;0.6111546035042456;0.03822279776772271;0.07345167671187877;0.44349819903826315;0.5551726735178647;0.6670650202487605;0.8920130589056774;0.6157193467068253;0.034535264382443934;0.07345167671187877;0.44349819903826315;0.5514851401325859
500;1685.6666666666667;0.6626518850184479;0.5810313469606573;0.5987637577169372;0.6272632968165358;0.321375953048803;0.30358062269846803;0.3056059856475559;0.8323423345143908;0.7817039793516055;0.8518544170139701;0.735398358556303;0.8428451736827075;0.6462280947245123;0.039583159797402095;0.11757166651989048;0.2809952807166104;0.43815010703390295;0.7395305367336378;0.8473497486045476;0.6523574740122009;0.03507858487556205;0.11757166651989048;0.2809952807166104;0.4336455321120629
