ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;20480.05;0.6206120968917547;0.5881526355222277;0.5980392371185366;0.5699049833656101;0.2967333390010082;0.27975888325997444;0.2850701493166633;0.8054946220304448;0.6233033112084109;0.6676260172475049;0.6700574183082969;0.6077716570979251;0.46039757549819327;0.13309372793407687;0.25913461496799817;0.23284127537820176;0.6250696182802769;0.7321528578759222;0.6656843255715003;0.5232514095266256;0.07518105946050174;0.25913461496799817;0.23284127537820176;0.5671569498067018
100;26722.916666666668;0.5866528678393562;0.5543356817643654;0.5648558499591481;0.5732257997198141;0.25742794661900537;0.24440415283328845;0.2484166100066261;0.83578303348937;0.635346215173104;0.6604948533985121;0.5950866363639289;0.7145388737209041;0.4744090139776434;0.14513312589726796;0.14032800038182816;0.4462673410599585;0.7317284673390545;0.6465671733970931;0.7773139767066009;0.5349220903192381;0.08235802291157118;0.14032800038182816;0.4462673410599585;0.6689533643533578
150;26645.566666666666;0.6247533977133924;0.5966835265611543;0.6051842963438848;0.5741011140382394;0.29181998695966455;0.27839569639028816;0.282306082222829;0.8212662793159587;0.645017217869278;0.6618170556742007;0.6199875315874713;0.7090987227103118;0.4864118383990086;0.12866215919763277;0.16223911809205552;0.4248615520982254;0.7157628293879135;0.6641413876714007;0.7618455231993102;0.5380876589883068;0.07591535870863436;0.16223911809205552;0.4248615520982254;0.6630160288989153
200;23426.383333333335;0.6059904873880668;0.5418203527284278;0.5673088904729434;0.5790210470986427;0.284211996821164;0.2537251102089092;0.2657841760160636;0.81841984103643;0.6284831796890107;0.6471278008955896;0.6323351451523563;0.6499383101740522;0.46743842738000363;0.14256841686903646;0.2074932729569112;0.31332945309298055;0.6633911429189283;0.6890541301550019;0.7097936933448797;0.5285971945479379;0.08271303369820918;0.2074932729569112;0.31332945309298055;0.6035357597481009
250;31255.1;0.6301534881310612;0.5849141375405913;0.6026082080196478;0.562358819646548;0.26102525291249745;0.2449470192322197;0.2509950759436626;0.8362594979775448;0.6522958742440468;0.6674274903570301;0.58226484437605;0.7758701510947313;0.4949593020590004;0.13033357413877567;0.09379627476649298;0.5511590785557047;0.7752889274609732;0.6204648037247255;0.8294689332186458;0.5436484485469394;0.07673479201486123;0.09379627476649298;0.5511590785557047;0.7216901453370588
300;22270.1;0.6910887619785594;0.6090179840840246;0.6433988598141795;0.5798998455863651;0.32746168038182294;0.28807734350616504;0.30452637036798635;0.8207358503239571;0.6410755754097655;0.6668121122819126;0.667960217887043;0.6500045341180701;0.4806680060811236;0.11445805515985914;0.23553741072207063;0.31099888714698576;0.6609943530289155;0.7155161830064969;0.6993669652624671;0.5315806401310167;0.06509562401546225;0.23553741072207063;0.31099888714698576;0.6116319218845185
350;29815.766666666666;0.6215625497547319;0.5388240721439923;0.5733020149687458;0.5546070938438584;0.2682176565894786;0.23415607087275672;0.2482649000813871;0.8186370165183307;0.6241147963622232;0.6242825410386934;0.5832243569834586;0.7006764225326774;0.4640617962757363;0.15473662456691784;0.1445869529004046;0.4459117444115319;0.7452353218788544;0.6321225744910277;0.7631440513410565;0.520857104258178;0.09226899575853902;0.1445869529004046;0.4459117444115319;0.6827676930704755
400;29015.816666666666;0.6297978487894514;0.5566369528680093;0.5874978490379561;0.5587427910723896;0.2667199899711728;0.2371583859988747;0.24960987937736748;0.8263295588343742;0.6388962367666882;0.6477417110570947;0.5946111840188961;0.7197941383910654;0.47997635586520704;0.1477149072207227;0.13249095438821193;0.4484856277804306;0.7286914893893653;0.6404274236643107;0.778987071696774;0.5348832806381121;0.08852197391501411;0.13249095438821193;0.4484856277804306;0.6694985560836565
450;29783.15;0.6095215558979024;0.6045924124713468;0.6034430486860773;0.5650845505154284;0.2774825087090343;0.2763840127271223;0.2753331531863234;0.8190429805163819;0.6359233468716605;0.6421353459555053;0.5916016427222214;0.7216324092544093;0.47631004809392624;0.13941201180573332;0.13895557893985758;0.47781843144423514;0.756186022189826;0.6359993520491797;0.7783510135754388;0.5291746412930223;0.08269340748470363;0.13895557893985758;0.47781843144423514;0.6994674178687963
500;23628.383333333335;0.6721019738807296;0.5884633701946096;0.6237235109180332;0.5834360628474985;0.33189718788966943;0.29014523130673714;0.30774020849323197;0.8200716599177453;0.6558081475554103;0.6775017873681358;0.6676909056363756;0.6747767051121412;0.49749246801544567;0.1167040754291688;0.20851921945869012;0.31190455463110545;0.6371278495189645;0.7115886010026692;0.72243781420058;0.5465676821872953;0.0690429663407299;0.20851921945869012;0.31190455463110545;0.5894667404305256
550;24788.416666666668;0.6549208820962111;0.583976601765892;0.6132590440539595;0.5736581807361866;0.3114799618381098;0.27661240037126866;0.2908533492486524;0.8188069267394538;0.6406752407010486;0.6467192604684608;0.6419362685533115;0.6744330317454721;0.4813966487848821;0.1169528077412929;0.2086141605132351;0.35945795510423845;0.6850249233587664;0.6856604503097337;0.7221199384740192;0.5293195738908735;0.0692659010127458;0.2086141605132351;0.35945795510423845;0.6373380166302193
600;30408.416666666668;0.616490031710227;0.6094693163825016;0.6092851816440887;0.5729040041624672;0.2778581869888041;0.27467389828057065;0.2745559948409063;0.8308596480522685;0.653766392071834;0.6695215559029248;0.5913123292241114;0.7636543008211946;0.49594248408553415;0.12333846802542837;0.11300723115337699;0.5131957324453225;0.7495414316241278;0.6281669542637582;0.8137707124769711;0.5421861062627804;0.07322205636965194;0.11300723115337699;0.5131957324453225;0.6994250199683514
650;36570.28333333333;0.4905298963005055;0.5975603190362401;0.5337778934242042;0.5407152366327542;0.18442725911954103;0.22450277211714909;0.20035343195231176;0.835380899591775;0.602643293553318;0.6347479105767349;0.516650216619118;0.7668020051188742;0.43969410687196747;0.14186623387775346;0.09133176100337224;0.7232292403139954;0.9564272351951212;0.5549207712996933;0.8260271909782968;0.487585273193657;0.0826410480183309;0.09133176100337224;0.7232292403139954;0.8972020493356987
700;25501.866666666665;0.622365989963949;0.6506689479984692;0.6324650051879736;0.5732086938624658;0.28235226772487326;0.29413206097310385;0.28642708740203;0.8294950474371264;0.6500406869266766;0.6736233415166932;0.6313386038072734;0.7028670756283263;0.48892838104647807;0.11478746792504543;0.18234545644662836;0.39792811783902093;0.6950610422106949;0.6711935823098881;0.7486503252178761;0.5355318667243093;0.06900421833549546;0.18234545644662836;0.39792811783902093;0.6492777926211449
750;29163.016666666666;0.5844579694837186;0.5766809200630809;0.5767779410593269;0.5574046751999536;0.25928359872692613;0.2551323902497286;0.2553821135914395;0.809593543559213;0.6360430234774586;0.6352947406958577;0.5964214577184886;0.7127426408663052;0.47671111251089526;0.14048419703376222;0.14677316209993235;0.4509260518004388;0.7381834109341335;0.6400951100554919;0.768115116424227;0.5285302796948035;0.08511172147584072;0.14677316209993235;0.4509260518004388;0.682810935376212
800;29325.05;0.6098682962108781;0.6023749433349603;0.6018649215649664;0.5764293739268651;0.2844706399836178;0.2813266666045634;0.2807756846430717;0.8300493770718264;0.6510483349738396;0.6571165942003759;0.6043070888987312;0.7406348324509511;0.4924989835646336;0.1205012466956561;0.13886392085339277;0.47782423101989707;0.737189398568946;0.6421563566595875;0.7888853262439902;0.5384937935829951;0.07225075290261702;0.13886392085339277;0.47782423101989707;0.688938904775907
850;28356.216666666667;0.6184370405257333;0.6293294601935637;0.6205240712325849;0.5820676189886602;0.2979165997452926;0.30296730759467866;0.2987495718801014;0.8237403490495934;0.6617247546499029;0.6736080521844896;0.6222291160422649;0.7378774046530747;0.5043800212741048;0.12351960010926825;0.13860299523765698;0.4259886162901602;0.6881112116370854;0.6626639121119117;0.7882373134497257;0.5537589083698702;0.07315969131261713;0.13860299523765698;0.4259886162901602;0.6377513028404344
900;28242.116666666665;0.6368353014177962;0.5808570653060208;0.6040046349048479;0.5731164056449671;0.30018014187338865;0.2735126857478811;0.28447555073520814;0.8145418236290906;0.6531647480337175;0.6595253735991078;0.6182100720372534;0.722339046861437;0.4956242642660691;0.1313650789466092;0.14629587419195378;0.4109437996381848;0.6886047527767476;0.6598208331299066;0.7735995925846307;0.5451311651963751;0.08010453322341553;0.14629587419195378;0.4109437996381848;0.6373442070535541
950;24992.7;0.6386491027759444;0.6087608991861849;0.6193340466923183;0.5759155595312334;0.3072686496746472;0.2921735385158384;0.29760524969500746;0.8124975049255425;0.6393867255936146;0.6530783857473172;0.6344532777323;0.6712347233442775;0.4794766769685387;0.13828954333047064;0.19047573332525192;0.33246552221764836;0.661230798873371;0.6861399597890093;0.7281933763675047;0.5374526984297368;0.08133089030724336;0.19047573332525192;0.33246552221764836;0.6042721458501435
1000;27800.433333333334;0.6160696541255372;0.5689247651512124;0.5870376734921565;0.5654807199097748;0.2809156192471964;0.2598859867693619;0.2678063598425467;0.8168548524275779;0.6386218534496572;0.6359853730118503;0.6033641148254933;0.7086238966385836;0.4799254038117942;0.13947858019435883;0.15189752316705749;0.42950244808638594;0.7208785514478023;0.6492962887247405;0.7646973292171879;0.5337699404346153;0.08340514761575446;0.15189752316705749;0.42950244808638594;0.664805118869198
1050;22392.283333333333;0.6707711207165938;0.5953337352484801;0.6251141876462962;0.577164044535487;0.3317995125933337;0.2916304160512627;0.30742810574763896;0.8137696063317731;0.6411554745735933;0.6655291267385308;0.6712341010847277;0.6468885357358195;0.48155197910664227;0.10915585368242126;0.24395561058175916;0.2959436062349337;0.6490550704991142;0.7155024388327659;0.6916243945905338;0.5285338703546331;0.06441999482770713;0.24395561058175916;0.2959436062349337;0.6043192116444002
1100;29295.833333333332;0.6099301535893135;0.5886942428928378;0.5950062704911212;0.5688220222940829;0.272713949422436;0.2639702003598944;0.2664091273652332;0.8240991080426519;0.6494258175102292;0.658870485917771;0.5931074157256176;0.7505800754138848;0.49117899498215173;0.12673462750401357;0.12268529708210153;0.5006013552045393;0.7500212797906547;0.6300990256503259;0.799013937592427;0.5366894408309846;0.07830076532547145;0.12268529708210153;0.5006013552045393;0.7015874176121123
1150;25008.483333333334;0.6553929017788783;0.5907144927901342;0.6170775762938538;0.5780358452623714;0.3130147808337913;0.2815928955959789;0.29437558283993204;0.8143013985580085;0.6523011135233651;0.6705962699278024;0.6441192885494099;0.6915380015193919;0.49377939735408155;0.12363737459495265;0.18482462388565543;0.3545032437438998;0.662965242224508;0.6881289474772717;0.7406824866775163;0.5441025706681732;0.07449288943682819;0.18482462388565543;0.3545032437438998;0.6138207570663836
1200;22074.8;0.6702299914890365;0.6052731182894525;0.6308011781588941;0.5716718917138462;0.3277320215706746;0.29391434668132044;0.3071365279970705;0.8081687231515641;0.640265500472245;0.6708183314486754;0.6767370278352645;0.6405326359565696;0.480444864126858;0.11115912900439787;0.2483082350390325;0.2875106825580766;0.6469780466015068;0.7227218537767305;0.686283986399447;0.5287357406985408;0.06540777856152052;0.2483082350390325;0.2875106825580766;0.6012266961586296
