ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1303.6666666666667;0.8118633909709736;0.7485716110253308;0.7652516804891952;0.6577609515614041;0.4047518740285281;0.3914291253969354;0.393503068886193;0.8191570046733067;0.8115597772410102;0.8495570706467007;0.872255388464735;0.7635206181706439;0.6870185309046759;0.028331312032317993;0.20814806979703807;0.08796241568611728;0.3244417975154733;0.8755852352771971;0.7664464616384099;0.6916215498320731;0.025405468564552103;0.20814806979703807;0.08796241568611728;0.3215159540477075
100;1265.8055555555557;0.8489130166153562;0.7481985050658182;0.7808750316679391;0.660066937527454;0.427965768625311;0.39500682022321004;0.4056711608952634;0.8226472301772558;0.810054454067854;0.8699101512900795;0.8869154923449012;0.750112728803066;0.6842419596950453;0.024825614593225933;0.22506165660370803;0.07434940268370836;0.32423667388064237;0.8897390207733191;0.7525585652766337;0.6881150188680702;0.022379778119658113;0.22506165660370803;0.07434940268370836;0.3217908374070746
150;1336.111111111111;0.8109808272343061;0.7554707141718893;0.768005246840905;0.6669036135210781;0.4215629295680785;0.4108156256688882;0.4107459743753574;0.8181798046166695;0.8174374535257922;0.8689599333244409;0.8698897849523571;0.7748844736908267;0.6948573019912834;0.028303925533612204;0.19681160077556123;0.09124573284341206;0.3163612591525855;0.8731133444214695;0.777793833375727;0.6993184588372116;0.025394565848711814;0.19681160077556123;0.09124573284341206;0.3134518994676851
200;1351.4444444444443;0.8057100252399958;0.7421043964887616;0.7586286178118278;0.6680137299228771;0.4223806482275656;0.4058960636416702;0.40819141754057786;0.8143170937715216;0.8144374463654518;0.8583160254077116;0.8650520946261506;0.7741278901993538;0.6913990649463874;0.028672765365397708;0.19719934443524859;0.09581824111201627;0.32169035091266257;0.8680544680306802;0.7768857572499004;0.6955964341206722;0.025914898314851068;0.19719934443524859;0.09581824111201627;0.318932483862116
250;1246.388888888889;0.8200873404820871;0.7312857738061178;0.760622659323942;0.6528794376222734;0.4084927605272697;0.37971134692152303;0.3889637366107541;0.8136376210021319;0.8003868130654619;0.8382025479932523;0.8803357981590162;0.7390423743335801;0.6711303765081085;0.027361942335821933;0.2335956833305978;0.0768338462272165;0.3377914718936362;0.8836525206860827;0.7417849371466612;0.6754298153990832;0.024619379522741;0.2335956833305978;0.0768338462272165;0.3350489090805553
300;1300.7777777777778;0.8283415363584035;0.7382014933044602;0.7654226214545541;0.668384336455539;0.4308889328681105;0.4032189657450527;0.4107313590594069;0.8191633123712914;0.8094765819531584;0.8607783902641175;0.8739702199719369;0.7589352996777633;0.683567012001471;0.027890659827286793;0.2131740404949498;0.08567348550014217;0.3267381858223788;0.8771104769934959;0.7617131258076889;0.6879282421132018;0.025112833697361184;0.2131740404949498;0.08567348550014217;0.3239603596924532
350;1281.9722222222222;0.8280109174548939;0.7475027617652086;0.7720092841962604;0.6619277929812368;0.4326796548732206;0.4082360477692407;0.4149603520715474;0.8185243801959778;0.8085688098607386;0.8639020648100421;0.8798350544226697;0.7525291523821499;0.6823734556789416;0.026674980321643116;0.22079586729620698;0.07979003395575741;0.32726088157360755;0.8829436654280014;0.7552046148596923;0.6865683638662291;0.02399951784410075;0.22079586729620698;0.07979003395575741;0.32458541909606514
400;1261.4444444444443;0.8267201958529883;0.7745216362589983;0.7888961934663498;0.6560881929645613;0.4175711972440989;0.40763593084486577;0.4083554101596032;0.8167479964939478;0.8075563096053126;0.8595970291200349;0.8809962462084101;0.7499775309966294;0.6809311552220253;0.02603632502919025;0.22398614397418026;0.07894413979645325;0.3289666087998238;0.8842865864429372;0.752764788981578;0.6853359721390191;0.023249067044241838;0.22398614397418026;0.07894413979645325;0.32617935081487537
450;1352.111111111111;0.8108826249016444;0.7443364488148854;0.763170967427953;0.6670458013270698;0.4270196568196789;0.40783827462249306;0.4122304651911144;0.8168037305363138;0.8148129790311562;0.8587715605431431;0.8629574633502148;0.7763941537179534;0.691361307425551;0.028939488161075857;0.19466635812097072;0.09882474504490484;0.3224305913269514;0.8654865525164945;0.7787320055096765;0.6949736559257121;0.026601636369352862;0.19466635812097072;0.09882474504490484;0.32009273953522843
500;1285.1666666666667;0.8398115770402577;0.7558365240961562;0.7834809443767603;0.658457889115262;0.4152458317685299;0.391102535194086;0.3984083898004859;0.8173456607792483;0.8054683190037665;0.853131498683946;0.8786047138519719;0.7491252269507286;0.6784012818385815;0.025268272466284616;0.22560650058298679;0.08234800752793237;0.3332227805772037;0.881184283400308;0.751321181845088;0.6818608807445954;0.023072317571925308;0.22560650058298679;0.08234800752793237;0.33102682568284447
550;1302.111111111111;0.8293308448404333;0.7558383987101496;0.777661904511206;0.6591667061706432;0.41090419646912696;0.3926649862299692;0.3969506140960928;0.8186739779807793;0.8102765003942931;0.8544955124084668;0.8789342484872745;0.7564781990243014;0.6849994653399464;0.02567893971301098;0.21784286126268765;0.08224579578462325;0.32576759676032185;0.8813312971171978;0.7585455867757863;0.6882327152642966;0.023611551961526152;0.21784286126268765;0.08224579578462325;0.32370020900883706
600;1288.0;0.832379994199532;0.7644212059097063;0.7852089057634675;0.6553945557561346;0.4152386787390315;0.39981504268864376;0.40315987664846575;0.8163214689271413;0.8067193970541476;0.8524161636178375;0.8734382608736464;0.7542535285752278;0.6798614840842562;0.027994890601515617;0.2177515808232567;0.08510125735486487;0.3308477287796372;0.8761920589539024;0.7566277030045339;0.6835767588229799;0.025620716172209467;0.2177515808232567;0.08510125735486487;0.32847355435033104
650;1277.4166666666667;0.8383550699001806;0.7738536989979462;0.7933560580385435;0.6608661372892953;0.41957550499689344;0.4041640595769693;0.4077316103941462;0.8189017244851818;0.8100493129671804;0.8576145231450801;0.8790015782603823;0.7556571989547707;0.6842566558129022;0.027302328280874793;0.2170404727643544;0.08082493314559568;0.3251677341908249;0.8819594357935965;0.7581886348242458;0.6882324419957867;0.02477089241139979;0.2170404727643544;0.08082493314559568;0.3226362983213499
700;1305.5833333333333;0.8214522881159412;0.761353572835405;0.7790077928228708;0.6567509068053873;0.4198672049075869;0.40348115006607294;0.4069911990418513;0.8126911241979957;0.8085487022334725;0.851850970151869;0.8676328188425613;0.7611591377287183;0.6824062438859637;0.03025482670645954;0.20858603556482208;0.08975501773832396;0.3285958800096056;0.8703095208023606;0.7635082854815471;0.6860424854274978;0.027905678953630733;0.20858603556482208;0.08975501773832396;0.3262467322567768
750;1298.4166666666667;0.8342516546974009;0.775013308235281;0.7930052584651359;0.6578302632333073;0.413097765111889;0.4014124396329331;0.4035458344174907;0.8191717312331259;0.810936304344446;0.8571333206498957;0.8737268738633465;0.7606730097879553;0.6855648937304983;0.027953305613276976;0.21137368459876782;0.08552544157292441;0.3248524317849692;0.8766869866645979;0.7632607171476038;0.689584464868701;0.02536559825362843;0.21137368459876782;0.08552544157292441;0.3222647244253206
