ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;23374.80790960452;0.5724149719192586;0.42888566425773506;0.48376032366649024;0.48074790578025794;0.2108741226393459;0.16013317978399902;0.1798721958910581;0.8074696792899334;0.44413764005062667;0.51093476071883;0.7538299453806274;0.3278057663896949;0.2910477647480568;0.0739986967041783;0.5981955369061268;0.04776220047270756;0.7199564340830127;0.8576615218902559;0.3728476014776877;0.3437731356382468;0.028956861616185523;0.5981955369061268;0.04776220047270756;0.6749145989950198
100;17323.858757062146;0.6444251143709565;0.4241911225617498;0.5029886162013572;0.44152226441107845;0.20182560097609098;0.13491159108597506;0.15939902291799452;0.7902796505894325;0.3790716721864573;0.5284597832848911;0.796250335553062;0.26264526501515545;0.2394506775627765;0.05121078654362774;0.6861439484412168;0.032615814464779555;0.769970549449624;0.8841209906509421;0.29372188702257623;0.27545069950714973;0.020134164536206943;0.6861439484412168;0.032615814464779555;0.7388939274422033
150;18094.67231638418;0.6244202416707944;0.43718203863849614;0.5063035584031037;0.4514151144830499;0.2162504880675862;0.151420747929613;0.17575913553045844;0.7972166024709572;0.38930910711317557;0.5164663916164909;0.7969163985537606;0.26844643922404854;0.24731561876333633;0.05060192332651495;0.6809516374494365;0.027935203029923618;0.759488763805875;0.8892481835788665;0.30043559010080323;0.2848697087766731;0.018612772449760277;0.6809516374494365;0.027935203029923618;0.7274996129291205
200;24753.16384180791;0.5875262026576256;0.46099439493849664;0.5093101895306194;0.48270504051073;0.2119041061425639;0.1697994970877645;0.1861120929007338;0.8151397301008836;0.4629511948534909;0.5258967649322559;0.7541273523503661;0.34953278594352866;0.3074191337044031;0.07636674746199265;0.5741004665944787;0.054232242380264147;0.7046994564367355;0.8531699395342209;0.39599904862267743;0.36235308032857927;0.02990048478284391;0.5741004665944787;0.054232242380264147;0.6582331937575867
250;17499.09604519774;0.6391892837533307;0.380174113496639;0.4676686273004387;0.45038444979323844;0.19667369491814074;0.12013846988001722;0.14655562877642536;0.8049966120923852;0.36741812804031465;0.504541552992094;0.7752572406846814;0.251690714708432;0.22935754463522595;0.05471518412015716;0.6935941011714107;0.0334045298982176;0.7817138151897857;0.8707269809864195;0.28463745890197906;0.26707454938839004;0.021768439926610133;0.6935941011714107;0.0334045298982176;0.7487670709962385
300;16805.68361581921;0.6831854564800262;0.3910753021943772;0.48768896904505527;0.463991926572213;0.22952913844472406;0.1347715324108186;0.16665514370286721;0.8082832906708934;0.37403551484223546;0.523116696439385;0.8145761047505455;0.2519497255184753;0.23541255213321527;0.04313246657150822;0.7049178079100166;0.0216045659045119;0.7696548403860366;0.9010667193397387;0.27942753112303026;0.2678081591419778;0.015654660966953178;0.7049178079100166;0.0216045659045119;0.7421770347814817
350;14115.54802259887;0.6832462257138574;0.3794400404696476;0.4786679491545583;0.4191795332530771;0.20376684161960584;0.11434960210124116;0.1439876835161879;0.776045385858498;0.3211027038216373;0.5077742115502442;0.8198112744462234;0.20836002606363;0.19591133209103107;0.03603518813978092;0.7556047857965891;0.01912221711482293;0.810762191051193;0.9040703880286496;0.231138698064022;0.2220055442614569;0.013256516139388917;0.7556047857965891;0.01912221711482293;0.7879835190508009
400;13940.327683615818;0.6396765898146106;0.35053905196366797;0.4426943844553285;0.43214822224367505;0.2196917274648155;0.12093736676820564;0.15281979007374202;0.7787179212492681;0.3175696378822826;0.5097587035623988;0.8335272271816039;0.20331337293747215;0.19381027343161225;0.03195887294620144;0.7647277541163265;0.012305487991201547;0.8089921150537295;0.91923545100531;0.22433993518503356;0.21824950729862522;0.01093231069863998;0.7647277541163265;0.012305487991201547;0.7879655528061678
450;23611.994350282486;0.5937258479550379;0.4262890037164854;0.48879594288353817;0.49006616057558333;0.2210654418214758;0.16246793560328757;0.1847081850405867;0.8208129464280896;0.4492480713104953;0.5170398412090373;0.7533492367991841;0.33408621469666927;0.2953555481456253;0.07611614475488233;0.5897976405484484;0.05021879409413779;0.7161325793974684;0.8539623088879386;0.379578603523141;0.34849355174855334;0.030623755928410656;0.5897976405484484;0.05021879409413779;0.6706401905709969
500;21128.485875706214;0.6403715152831397;0.419769580844857;0.4992262671076777;0.47650596758392855;0.22459197073922457;0.1497602335411688;0.17713497590691038;0.81609580266958;0.4205235794845117;0.5159958651464811;0.7838228486581156;0.2969439383552335;0.27155326706474997;0.059088580736848896;0.6439674809079174;0.031142623328922706;0.7341986849736892;0.8811231157838165;0.33367287617859415;0.31509724001977224;0.022359642913488305;0.6439674809079174;0.031142623328922706;0.6974697471503285
550;22271.75706214689;0.6170478755114509;0.42964553547638595;0.49847355052876124;0.48730750115082255;0.2268397697551762;0.1616321715322965;0.18601423075389148;0.8211622550576133;0.4335667863653912;0.5241713566772597;0.7738978036339093;0.31226308277788795;0.28230628815375136;0.06549748353563144;0.6222394336864806;0.0361998976724817;0.7239368148945937;0.8746986216698802;0.353402367714547;0.3312254424945623;0.02435819859897244;0.6222394336864806;0.0361998976724817;0.6827975299579347
600;21190.084745762713;0.6277046442801747;0.43371033304134776;0.5053961219586982;0.4729168634437552;0.22213188113132712;0.15625204272513568;0.18097261345426868;0.8142735091030444;0.42704848455578726;0.5257815725041161;0.7867650832506592;0.30342751063243595;0.27734641384139325;0.05844609506406696;0.638126394303497;0.03219574866910728;0.7287682380366713;0.8833443348708563;0.34033982033190907;0.32134519857874466;0.021533785364593844;0.638126394303497;0.03219574866910728;0.6918559283371982
650;21119.949152542373;0.6223383631999099;0.45241975827526215;0.516609732580529;0.4634027096941777;0.2094233074632912;0.15538428586164868;0.17610485563965161;0.8119671891085507;0.42115347794029934;0.5152554895769501;0.773862408438648;0.3008948518679825;0.2720758621351245;0.06183035894284963;0.6372747891891679;0.038954905647890475;0.7380600537799079;0.8723789551585435;0.33968751758351035;0.3175780424433709;0.0230376932273218;0.6372747891891679;0.038954905647890475;0.6992673880643802
700;21816.231638418078;0.5727611388321264;0.45809089345220405;0.5015293964490994;0.46239905539474724;0.20656780057648103;0.16415669611964956;0.18061643447695006;0.8019330726287203;0.4350639897654036;0.5184830767875075;0.771761102059402;0.3140093175407377;0.28362120395772855;0.06637554655101541;0.6196151359082469;0.03684431755430391;0.7228350000135663;0.8740296511392316;0.355470316215858;0.33281753983846724;0.024914547875895036;0.6196151359082469;0.03684431755430391;0.681374001338446
750;21678.768361581922;0.6180612616023189;0.44766298261262494;0.5114989298002229;0.4752776330868613;0.2201282780396957;0.16225405602704332;0.18429923648272672;0.8138792945319685;0.43038725915468423;0.5212369233190247;0.778699051530533;0.30769590543945846;0.27973735280051987;0.06275208659867744;0.6295520079618642;0.03342170715412027;0.7257258017146619;0.8804042211750505;0.3478909479209118;0.3277750604626166;0.022557044117224076;0.6295520079618642;0.03342170715412027;0.6855307592332085
800;23818.4802259887;0.603304691884976;0.4428608045616755;0.503364682175904;0.48668099454925606;0.2208606492163169;0.16558156818085207;0.18678149298662514;0.817151134171767;0.45037652146853224;0.5147659517646226;0.7568288788351041;0.33231909270938004;0.29621888624981074;0.07404304369157656;0.5936378635990434;0.044912146770296;0.712593054060916;0.8621509286306573;0.37843112535152895;0.3508336290829069;0.02793101104942762;0.5936378635990434;0.044912146770296;0.6664810214187671
850;21950.18079096045;0.5862729142497503;0.4422198814547532;0.4971291855684816;0.48013091373578665;0.22346376111642705;0.16848265242752258;0.18976773395397623;0.8113528890193918;0.4343378623009948;0.5125420288337809;0.7796007196424077;0.31055602360822937;0.2830105279451099;0.06370938262471185;0.6257345937670588;0.031229308532367543;0.7206732849241382;0.881995574616358;0.35078548001427634;0.3311079599805865;0.02347992621866489;0.6257345937670588;0.031229308532367543;0.6804438285180912
900;23245.706214689264;0.5924894107534698;0.42899842572455926;0.48961117643270585;0.48249656344239594;0.2139494688633902;0.15882662408507162;0.1796584494128514;0.8198706750592466;0.4376735044824687;0.5079533999459305;0.7555972546548382;0.31937107130619563;0.2858105772114859;0.07227796471497899;0.6083509639788253;0.04259908605823832;0.7232280147520427;0.86257427921008;0.3645640404588434;0.3391071393413736;0.0270849955623313;0.6083509639788253;0.04259908605823832;0.678035045599395
950;19893.57627118644;0.634812322584498;0.4255364318574063;0.5018668047204154;0.46996107083117394;0.22390715705501027;0.1525627802211932;0.17905030636979186;0.8096253254321311;0.4085237966471257;0.5123395484957554;0.7875868160859365;0.28561478057315326;0.2621530976175403;0.05621183270266056;0.6581733867241861;0.029179659051126253;0.7435648784779729;0.8865837651739376;0.3216316441978832;0.3048045448850208;0.020194969077930603;0.6581733867241861;0.029179659051126253;0.7075480148532429
1000;20506.389830508473;0.6229049078911293;0.41584251018262813;0.4909857756173304;0.4701027485618046;0.22010558764669663;0.1495667145085056;0.1756409635639707;0.8123958287686903;0.41050547899722056;0.5047758281734726;0.7773527233889133;0.2886826049912631;0.26358279205739493;0.059516325706608045;0.6518010693021288;0.032327173754164974;0.7436445687629019;0.8782475997515652;0.326188287254053;0.307744777356124;0.02201064344381811;0.6518010693021288;0.032327173754164974;0.7061388865001119
1050;19996.689265536723;0.6298105554030482;0.43502558230787675;0.50737914005908;0.467002384589743;0.22420722793627382;0.1563014133294713;0.18194918156807932;0.8075449785150681;0.4105525301274458;0.5098362256163586;0.7895940674021695;0.2864608403530161;0.26366869702056894;0.05540785325748141;0.6581313063895025;0.027950090890417296;0.7414892505374012;0.8879290073870948;0.32199037031448513;0.30587959864432096;0.01987832329601249;0.6581313063895025;0.027950090890417296;0.7059597205759321
1100;20418.491525423728;0.624659429859233;0.43048461560448587;0.5017162358981699;0.4666139278968577;0.21730007242546123;0.1525531504746902;0.17680832387928883;0.8076377598035631;0.41214580062093076;0.5129935929008462;0.7802963315785743;0.29005928795839997;0.265071215415564;0.05896406265895405;0.650976649382646;0.03152235295661889;0.741463064998219;0.8817722809858024;0.32804346526483197;0.31008632997748736;0.020979885352522057;0.650976649382646;0.03152235295661889;0.7034788876917869
1150;18071.367231638418;0.6337969346214687;0.4229218992506041;0.49928671271080405;0.4480650959255656;0.2141087868688685;0.1433993880444981;0.16942665065223908;0.7979105070416318;0.3831540355987863;0.5112565868396601;0.8004966182931536;0.2602240965216188;0.24204890008614313;0.048539496376443246;0.6912364071019379;0.022534557353633248;0.7623104608320144;0.8985192700495555;0.29206833287579637;0.2796571406691078;0.01669526002226568;0.6912364071019379;0.022534557353633248;0.7304662244778369
1200;19331.751412429378;0.6137973999957856;0.42401575462185365;0.4937529982340872;0.4608520745265635;0.21362235435609653;0.14891697020008848;0.17312670858069212;0.8061730820187103;0.39760192362908886;0.5021705992443062;0.781114933891679;0.2759984246710057;0.2532035056346349;0.05695904021383251;0.6670425351151618;0.02902152731094471;0.753023102639939;0.8814520744302009;0.31182909145835275;0.2952894749883116;0.021128373426485478;0.6670425351151618;0.02902152731094471;0.717192435852592
1250;20511.84745762712;0.6109052776016708;0.42013662762995463;0.49039277694773314;0.4681587933027075;0.21572565893050707;0.14991702740475585;0.17461296756496847;0.8078711623323063;0.4111518518562229;0.5014632180352135;0.774338536863;0.28921151052953703;0.2638251202382193;0.061687280105984614;0.6491012093644783;0.031190501397009178;0.7419789908674721;0.8788164128801551;0.32830762156029886;0.30995935134934616;0.022591169075222732;0.6491012093644783;0.031190501397009178;0.7028828798367103
1300;19279.542372881355;0.6159716212661129;0.43459389229650774;0.5020844997674616;0.4557241185439565;0.21419842629115113;0.1521321304808505;0.17564000393782553;0.8024406837528255;0.39735693010338013;0.50545040877595;0.7817464393695459;0.2756408646065812;0.2532483628021639;0.05644728296454914;0.6679118524288697;0.02802310162964241;0.7523822370230612;0.8836715753500184;0.31150929427601054;0.29551007453518774;0.020578853295119832;0.6679118524288697;0.02802310162964241;0.7165138073536319
1350;18887.762711864405;0.6314994016031895;0.4252239515816003;0.5004119662079476;0.45276035536862214;0.2117984584363523;0.14418953196193038;0.16928996202081606;0.7996724315516508;0.39090678152961195;0.5038731785462554;0.7859829008865621;0.26867188752675636;0.2478758443028486;0.054192967078310096;0.6771351453949335;0.025980499746685894;0.7573086122199295;0.8875457200698681;0.3034792631122555;0.28890259412391694;0.01938559149281105;0.6771351453949335;0.025980499746685894;0.7225012366344304
1400;18153.728813559323;0.6342009214443415;0.416249569236498;0.4942907802268591;0.4479982675657846;0.2115021230687849;0.14046112176616038;0.16642642446705672;0.7971600006406339;0.37807279117832265;0.5012760302959377;0.7869334291865254;0.2567265060686225;0.23788324030535135;0.05189194000449345;0.691381553926884;0.023663774685070534;0.7669372686164481;0.8893252653535515;0.2902971515614755;0.27739107692852194;0.01832129451164043;0.691381553926884;0.023663774685070534;0.7333666231235949
1450;18878.084745762713;0.6210881493742626;0.41867615120466023;0.4923975743194345;0.4517059434358672;0.20832981701304756;0.1415376832232322;0.16626437162058724;0.7989921790582656;0.3888845363089556;0.49770513861449794;0.7841267490307553;0.2670000123002123;0.24621354993498754;0.05428819251252756;0.6787117951872602;0.026472751417578856;0.7594727391173666;0.8859848479244969;0.3017679872855358;0.28706687628228006;0.01952021752720406;0.6787117951872602;0.026472751417578856;0.7247047641320431
1500;19838.389830508473;0.606521469355861;0.4391464009375801;0.5019177040383527;0.45623145919407626;0.2086244750533635;0.15182468559001835;0.1734863012385899;0.8019799890896165;0.4037114338869491;0.502785604845575;0.7779554039231991;0.28172286598522006;0.2580307344944299;0.05887753030563984;0.6593996037091401;0.029404310068473324;0.7476814440832532;0.8808565061503996;0.31917080820105725;0.3022248759495341;0.021429588089802633;0.6593996037091401;0.029404310068473324;0.710233501867416
