ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;14684.8;0.5373169123379342;0.43423744345518867;0.47157699224808347;0.5533820796921796;0.2369727627398928;0.1835773831498386;0.20305110387636846;0.8035529983224212;0.5028498656266621;0.530357446965078;0.6793036979744511;0.4096324396140622;0.3409522589006881;0.14147712677002264;0.4488904336159151;0.07917291615113636;0.669540476537074;0.7937118932367231;0.4833206298457198;0.42204549033175576;0.0677889365383651;0.4488904336159151;0.07917291615113636;0.5958522863054164
100;10947.233333333334;0.6000232345345895;0.4413008794839186;0.4959653612875293;0.5215677352045094;0.2510084806492966;0.17314788838622944;0.19964185804122855;0.7837927989102443;0.4501815828710422;0.5617499745834736;0.7434886246658915;0.33695419393190745;0.2953239662184132;0.09414602574719351;0.5688997803208992;0.047623351221418815;0.7106691572895113;0.840651097251034;0.3867334733937197;0.3509167035802865;0.04436674628538118;0.5688997803208992;0.047623351221418815;0.660889877827699
150;12023.766666666666;0.5657954671691023;0.43186269436753216;0.4780010425819585;0.5376230822436331;0.24767355246795839;0.17792456913678845;0.20183195709833204;0.7908289897860679;0.4665834712194797;0.5380551480531228;0.7228288286187298;0.35699341208912055;0.30876789810146743;0.11137895533454015;0.5316276325763393;0.05346335648426143;0.6964699443951408;0.8270766939359863;0.4143315419418355;0.37228517428615704;0.05404082548182517;0.5316276325763393;0.05346335648426143;0.6391318145424258
200;15676.8;0.5503169135870108;0.4684987887010524;0.49751565446742796;0.5592449051880954;0.2502350034289477;0.2051143304323043;0.221615614043915;0.8062501740644691;0.5266334380352026;0.5556173650881994;0.6828645110500011;0.43911902584516654;0.36244670406426766;0.14339417388689057;0.41748680026794294;0.08874208431661727;0.6496230584714506;0.7885782077868231;0.5118536250264241;0.4428465110535065;0.07065957470563308;0.41748680026794294;0.08874208431661727;0.5768884592901932
250;11054.783333333333;0.5896027282643033;0.40853906882664165;0.4712478188557195;0.5183707067740178;0.2401535644402977;0.15659105837887863;0.18490651755385484;0.7910215066454891;0.4385056994477882;0.5403566585539298;0.7267975563049323;0.3289057359501575;0.2846267403080636;0.10394299578888234;0.5671512682609603;0.054389327581532664;0.7254835916313752;0.8287496832283784;0.38200961970819486;0.34234670455098226;0.050839112030844964;0.5671512682609603;0.054389327581532664;0.6723797078733377
300;10912.016666666666;0.6184844209970194;0.41562228778328625;0.4850601054854943;0.5293767347060069;0.26508856239455064;0.16794085178808887;0.20040329014326808;0.7928813626486734;0.4518206283809444;0.5561452713196916;0.7501907106809887;0.3373596987571122;0.2964891269852005;0.09343445558648039;0.5692058456564072;0.0463465220565124;0.7089868232994001;0.8428448024526249;0.38456969386576484;0.3490702063718389;0.046224460477827835;0.5692058456564072;0.0463465220565124;0.6617768281907477
350;9673.166666666666;0.6082068061771557;0.40182684501999594;0.47094022052347756;0.5039032490972791;0.2428013461458524;0.1489113118701084;0.17948711903893427;0.7766985273632223;0.4132469272267041;0.5423640363193601;0.7566414704222859;0.29896003965939705;0.26482788275282076;0.08597580088270686;0.6150641594578962;0.03890396269857847;0.7399439230391816;0.8513796915441142;0.3428300083828143;0.3132833122249501;0.04210583215928964;0.6150641594578962;0.03890396269857847;0.6960739543157642
400;9421.566666666668;0.5868740073057601;0.377459148700687;0.44526323525933226;0.5086024471616304;0.24672992643742037;0.1458833743547182;0.17748325982131594;0.7740688302186987;0.40126757266490376;0.5349437728523528;0.7653524000959434;0.28665577867742065;0.2554081413891563;0.08206549515094642;0.631278726171633;0.034372362381456835;0.7477165837040362;0.859132967346551;0.32815924272496083;0.3012908674757963;0.04056203110340619;0.631278726171633;0.034372362381456835;0.706213119656496
450;14998.483333333334;0.5570186750272655;0.44462317698954246;0.48491066054909027;0.5603489937782717;0.2546293482888889;0.19638825829507264;0.21726319542686878;0.8032119487573481;0.5188886149611432;0.5419354660837757;0.6785149336333188;0.4329065876456912;0.35642813449958055;0.14352000336824805;0.4235734089860609;0.09395465940242069;0.6610480717567294;0.7836083435822611;0.5043638974466564;0.43455044855049885;0.07206269356728282;0.4235734089860609;0.09395465940242069;0.5895907619557643
500;13703.216666666667;0.5842356851841976;0.4370541714705785;0.49032217224660446;0.5518435403483469;0.2613922721904763;0.186726364666018;0.2135688566954987;0.7987377442892906;0.49775328078662334;0.5453477465140982;0.7066622954883992;0.39461835855169897;0.3358175738697494;0.1229310363513098;0.48245060509699117;0.06835142899630393;0.673733070444605;0.8097418818978064;0.4567357394623845;0.40485621586994636;0.06081365544062426;0.48245060509699117;0.06835142899630393;0.6116156895339194
550;14385.933333333332;0.5631288442517323;0.44330718830282617;0.4866323100138907;0.5518207040554693;0.25900289464752796;0.19484010040527283;0.2180573943943554;0.7934506703043994;0.5068630237851706;0.5521198267006295;0.6986559787232639;0.4104242010973273;0.3443712348233118;0.12808559192877148;0.4614902069739012;0.08211703683069758;0.6716928357333702;0.8015227385353827;0.47605022951020814;0.41654161965560105;0.06245956351589074;0.4614902069739012;0.08211703683069758;0.6060668073204895
600;13893.083333333334;0.5803891106722573;0.44721810780469584;0.49567036347686816;0.5538646999489779;0.26518942254626954;0.1951105211917882;0.22050277763320264;0.7955328554242673;0.5072436351432379;0.5546296276399374;0.7125354714190801;0.40488357025071475;0.34484385218856295;0.12235658244240205;0.4727598473068833;0.06847654214195105;0.6635929718912362;0.8154639333348815;0.4680128761244695;0.4155862678716954;0.059227276568647236;0.4727598473068833;0.06847654214195105;0.6004636660174817
