ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;18300.6;0.1839334760704326;0.21950848507560158;0.19439053426741593;0.4891618758113621;0.0598636417000141;0.07185582947436839;0.06346392475730213;0.8013136155534285;0.33355608636604345;0.2809731848775911;0.39528805154377805;0.2981592943287575;0.20410859985706584;0.30631629960459195;0.3955244060666507;0.17481617354736875;0.8766568792186114;0.5133241818701468;0.3864820641692429;0.2804157370866808;0.21799352976410652;0.3955244060666507;0.17481617354736875;0.7883341093781259
100;13103.016666666666;0.2616546857457418;0.22530822592366576;0.23442331186265677;0.49913721694296787;0.08957294624764851;0.07814159969209514;0.08094248861058359;0.7988345104335199;0.3433530578186629;0.33215529487750445;0.5074116121128824;0.2675947002135163;0.2120838208539594;0.19131023915094814;0.5410950606355357;0.0784968679153981;0.8109021677018816;0.6258346883458709;0.33016737806789626;0.2738288603824127;0.12873756129656813;0.5410950606355357;0.0784968679153981;0.7483294898475018
150;14939.433333333332;0.2451310225594042;0.24231089000037692;0.23640186348730344;0.5018452933814795;0.08659549734265282;0.08651855758993511;0.0841034888034454;0.795625550020021;0.327768586033521;0.30783632429590935;0.44283853453931143;0.269284779860334;0.20034936639134956;0.2405811553726341;0.49013406476703186;0.11138263784232132;0.8420978579819871;0.570039625788674;0.34566893610747823;0.27226432201003636;0.1641969991254898;0.49013406476703186;0.11138263784232132;0.765713701734843
200;15426.4;0.2611287068533853;0.2661590039867951;0.2556719566726471;0.501446652482916;0.09064913073143453;0.0937863157366564;0.08958490591198069;0.800869599056781;0.3531049895645131;0.32627185741424813;0.4615533535559859;0.2961264428118293;0.21942297394470453;0.2392145732120899;0.46465898397608074;0.11798120124731909;0.8218547584354897;0.5780622346955296;0.36999158072824057;0.28908301491061633;0.1653494352956787;0.46465898397608074;0.11798120124731909;0.7479896205190785
250;12776.516666666666;0.3041627549720664;0.2633778092001465;0.2735954795822949;0.5045111417028285;0.11014891989295324;0.0961723874956529;0.09966083270903729;0.7984965873121533;0.35582846629287174;0.35607200888311447;0.5318336987618052;0.276699205333424;0.22166668035892928;0.1773833900412226;0.5459174046253534;0.07629170151907053;0.7995924961856464;0.6445357201162941;0.33541165442625426;0.2807942024994832;0.11867094094839235;0.5459174046253534;0.07629170151907053;0.7408800470928162
300;14305.383333333333;0.29982270126397403;0.2869885421363931;0.28403427941487197;0.5080365882729337;0.10933615366309492;0.10632688072608923;0.10460958975370405;0.802922081140269;0.36488118927696633;0.34777800891606336;0.5027081729159297;0.2969125035623989;0.22802599672623292;0.20221193825360284;0.5008755581839983;0.10360665997280248;0.8066941564104035;0.6206767671127894;0.3653057778654032;0.29536885780469785;0.13381866395059855;0.5008755581839983;0.10360665997280248;0.7383008821073994
350;13184.566666666668;0.31758283195658266;0.28197409221872677;0.28910819115739683;0.5018559988922499;0.11415777590691105;0.10237095708527134;0.10458308905897366;0.7993236314775242;0.36645802843252;0.36425604581763693;0.5342657872927182;0.28877402105493666;0.2294906199280023;0.17981384924493723;0.5314121297001262;0.08244054828382467;0.7936665272288882;0.6496044177170865;0.35079324207570284;0.2921163748641909;0.11779462822417106;0.5314121297001262;0.08244054828382467;0.7316473062081218
400;13137.75;0.3162095444832615;0.276265368248593;0.284688674171412;0.4998643706340938;0.1129661050639382;0.09990220727416704;0.10254504210982991;0.796099988520545;0.363907574276808;0.35960246453290845;0.5322506786350649;0.28653848697182727;0.22764747573957453;0.1787764049018525;0.5346851081263201;0.08168968354897774;0.7951511965771503;0.6472604130933918;0.34705946022586304;0.2888509730671286;0.1182554316478168;0.5346851081263201;0.08168968354897774;0.7346302233231147
450;13897.983333333334;0.29904964386179994;0.28205692028946916;0.2805704614995495;0.49930237924534193;0.10680833613981332;0.10179104964861059;0.10091274827302905;0.8003279505096889;0.359423019949249;0.34958069481680165;0.5051292611401469;0.2886425077827352;0.22374113545821764;0.1987469409428588;0.5126105512744059;0.09415600151666169;0.8055134937339264;0.6237148635398884;0.3549774324352942;0.28948579405316177;0.13241201629029972;0.5126105512744059;0.09415600151666169;0.7391785690813674
500;13260.416666666666;0.31414217342452905;0.282525527332977;0.2875194787162482;0.497742726170791;0.11236337264714542;0.10194953331840127;0.10346792017672342;0.7951112711244135;0.3646870297574117;0.3618268342912134;0.5313270526233203;0.28686371002083944;0.22780856239255856;0.18187677453794276;0.5312595154412179;0.08135577427413002;0.7944920642532907;0.6466610903255731;0.3483387699910804;0.2897710671664007;0.12040171456770175;0.5312595154412179;0.08135577427413002;0.7330170042830496
550;13348.283333333333;0.3043064163610398;0.27726283937895935;0.2795004670483008;0.4992594519806814;0.10877943883330049;0.1003286655747712;0.10078756298485711;0.7993883940189171;0.3482722182584726;0.34254338049657185;0.5042739834658403;0.2754914846208016;0.21511751974156848;0.19216992826500887;0.5323385871141896;0.08835089492029738;0.8128594102994958;0.6251358043980241;0.3401980092502758;0.2793646237046162;0.12746340363553468;0.5323385871141896;0.08835089492029738;0.7481528856700216
600;13561.816666666668;0.3120400999456367;0.2889634594271069;0.2898472490784781;0.5007171801129522;0.11202733274273993;0.10460826617835829;0.10469730923863364;0.7992370120748462;0.3669263145345354;0.3630714145273041;0.5238376363728148;0.2920377078564737;0.2297608771426494;0.18774872086979374;0.5202135712737325;0.08733926497584149;0.7953015571193677;0.6382447741114786;0.3547159089703257;0.2925867651042111;0.12507051975594172;0.5202135712737325;0.08733926497584149;0.7326233560055158
650;13197.15;0.3072277409426463;0.280038868852607;0.28282336579566053;0.4983790832313261;0.10946859349518824;0.10083654863224227;0.10154296031271119;0.7981206512904032;0.3520774886335397;0.34986739583590365;0.5126472898478672;0.27764481799381596;0.21824528629588863;0.18776454535822784;0.5345906366479561;0.08518005876824909;0.8075352407744332;0.6316595545091533;0.3406462182677062;0.2812460456023368;0.12476314508433757;0.5345906366479561;0.08518005876824909;0.7445338405005428
700;13310.816666666668;0.3175248553718172;0.28845274910914753;0.2918333412379104;0.5004740149457939;0.1135387426322519;0.10401665133332076;0.10500113205222086;0.79874746036416;0.37072147831749264;0.3697612561672404;0.5366850240800632;0.29259444884483105;0.2326688525619718;0.18001581304313954;0.5273897381120294;0.08194270806761343;0.7893482592227824;0.6497492010283609;0.3531759393576204;0.29412057058804053;0.1194343225303501;0.5273897381120294;0.08194270806761343;0.7287667687099929
750;13884.533333333333;0.31372206135814623;0.2959858259397776;0.294365839813005;0.5033380453129317;0.11244154617096615;0.10701155957455949;0.10618120993486939;0.8038837161298946;0.3781953984932395;0.3734491937919431;0.5276530640972236;0.30474850446637064;0.2388462852463353;0.18932797354103903;0.5059235219925903;0.09207612948610439;0.7873276250197336;0.6395131206129455;0.36807409046734224;0.30250905506989934;0.12600238754006737;0.5059235219925903;0.09207612948610439;0.7240020390187621
800;14006.183333333332;0.2988202674794405;0.302409442876896;0.2907746598651394;0.4988400496685906;0.10757227901581574;0.1096947982535205;0.10526736871348126;0.8012211712171037;0.37004690817668884;0.3631120636158708;0.5144834913375707;0.29883331133149993;0.23227122937523148;0.1961601501359046;0.5050065385325956;0.09537317666382145;0.7965398653323218;0.6280831692028411;0.36368783888325834;0.29677159194002495;0.13130562258414616;0.5050065385325956;0.09537317666382145;0.7316853377805632
850;12926.366666666667;0.3110101659988426;0.2806487267356841;0.2843285927701185;0.4947700691927376;0.11107236340591577;0.10128423471892059;0.10234826228905029;0.7966186181189574;0.35597983360380364;0.35762538818431744;0.5272622665375779;0.27786896756970675;0.2215476460203642;0.17700398017784344;0.5451270522524498;0.07910454332066191;0.801235575750955;0.6411405390770033;0.3366487125737344;0.2809301513625548;0.11822423517381574;0.5451270522524498;0.07910454332066191;0.7424558307469274
900;12720.216666666667;0.3105641429892985;0.27813794868288283;0.2831530741813496;0.49437214602102847;0.11103051721177101;0.10037705744741368;0.1019951828086901;0.7953740256473869;0.3534080649925753;0.35683681922441074;0.5308876431956071;0.27367049576296903;0.2194719112378036;0.17420351670586365;0.5521259875311675;0.07525579074803526;0.8015852949850663;0.643345065395413;0.33076225961724737;0.27721197488986393;0.11711175285158522;0.5521259875311675;0.07525579074803526;0.7444935311307879
950;13157.816666666668;0.31280023350991565;0.2888604405918348;0.2897749775343666;0.49660012993241964;0.11147641625818443;0.1036521602934743;0.10387881066148198;0.8017531213455491;0.3630249659088006;0.36324608524607094;0.5280772633115867;0.2857692697133481;0.22716263595963235;0.18081000199232494;0.533420728294327;0.08166210225315532;0.7958928325398074;0.6403101317307016;0.3452560974797256;0.28712540141133686;0.12132317422594743;0.533420728294327;0.08166210225315532;0.7364060047734298
1000;13410.833333333334;0.30631627108272796;0.2903434433819244;0.28763163791544144;0.49813449194373;0.11009391035329803;0.10526430303591851;0.1040985349442837;0.79919664160176;0.3600570207707567;0.35813177745078556;0.5174343745012981;0.28565269282705535;0.22472133931728822;0.1867957762219263;0.5275515309510185;0.0877103645487722;0.8020576717217167;0.6320594073981116;0.3475313926017811;0.2866264790398286;0.12491707644720054;0.5275515309510185;0.0877103645487722;0.7401789719469911
1050;12914.866666666667;0.29967710854816704;0.2660620887548698;0.27081588124468225;0.4924363163648599;0.10591961089099655;0.0951699228061475;0.09654504759500585;0.7941999388669224;0.34359486807332923;0.34369587473207086;0.5104882384917777;0.26780670664811945;0.21239814634089127;0.18173451385808492;0.5504587794937958;0.08009794843100876;0.8122912417828895;0.627074487441394;0.327207290536177;0.27189237217071754;0.1223339299700273;0.5504587794937958;0.08009794843100876;0.7528906578948317
1100;13170.316666666668;0.3011431031120811;0.27935440779756404;0.2796099319817893;0.4943494586504398;0.10676093582688327;0.09993683149908612;0.09981024086244839;0.7972850690242406;0.35234927872737726;0.35277302167726626;0.514088620882603;0.2772549976387494;0.21895616098484433;0.184417814610309;0.5383271877509416;0.08495486381031168;0.8076998661715624;0.6300505876530587;0.33837718958059143;0.280053004837827;0.12329562266846694;0.5383271877509416;0.08495486381031168;0.7465776742297201
1150;13182.15;0.31000014880955773;0.28470898003216866;0.28629833959441103;0.4970785300370337;0.11063544367392812;0.10240174704211445;0.10281409523756586;0.7998976230369724;0.36334674371161013;0.3643580332123701;0.5293998524684062;0.28580275914218595;0.22741862041144842;0.17920843933900774;0.5349888015188063;0.0824178786206984;0.7966151194785124;0.6415868050429133;0.345131117359082;0.2873368788887625;0.11988008112211175;0.5349888015188063;0.0824178786206984;0.7372867612616165
1200;12244.533333333333;0.30038888069787595;0.2626626900436461;0.2695128482823558;0.4854085125712146;0.10501111152675356;0.09243287384129432;0.09472835882701786;0.7886405513184169;0.3371780039370958;0.34384006548698376;0.5252317498803518;0.25640877888694685;0.20745916776676862;0.16793660202663704;0.575654619086416;0.06889349374530467;0.8124847148583577;0.6407149250230589;0.31143354049946936;0.2632389886950632;0.11291184041411448;0.575654619086416;0.06889349374530467;0.7574599532458351
1250;13570.033333333333;0.2968356990070823;0.2817457237865667;0.2786842546790708;0.49509758446518354;0.10491616628569386;0.10069277207544285;0.09928806512461671;0.8003801989676856;0.3587449069433669;0.3580625620137014;0.5122865275023444;0.28580406757151133;0.2239085569933306;0.19059841397608684;0.5235975184524019;0.09033507060228371;0.8045310030307724;0.625546279580991;0.34794361375159916;0.285607600396164;0.12845886779599897;0.5235975184524019;0.09033507060228371;0.7423914568506845
1300;13459.8;0.29169207552817306;0.28181446831253765;0.27641418116567934;0.4908446998523387;0.10327718116941126;0.10050478369142614;0.09841339284318826;0.7918489198489014;0.3531388093394725;0.3518937714926523;0.5104713444228977;0.2795993826222897;0.2194289249312479;0.1875864500895616;0.5328141672881487;0.08840958737329754;0.8088102047510078;0.6235104255252217;0.3401672507697312;0.27972030253026287;0.12701858194212012;0.5328141672881487;0.08840958737329754;0.7482423366035662
1350;12232.733333333334;0.30997201744123176;0.2689096369963895;0.27700583739858475;0.4879487751981527;0.10881189042419241;0.09527445757850231;0.097941351190505;0.7943413115945794;0.3389761250230257;0.34805605226841185;0.5250530790045747;0.2588454490215764;0.20885237120097774;0.1677130212904839;0.5734415296879397;0.07185415488297399;0.8130087058613976;0.6393877257722475;0.3138768297856808;0.26452227431206576;0.1126816405263794;0.5734415296879397;0.07185415488297399;0.757977325097293
1400;13063.85;0.30484195232425354;0.28336074103404657;0.282897159321356;0.4934262710426561;0.10855250803292696;0.10146451313223537;0.10123332207682166;0.8011117526557057;0.3562708415076763;0.35895355645953736;0.5226209103451926;0.2797553113677259;0.22185058757036893;0.17885650448772716;0.5413881841445469;0.08382172183020128;0.8040664104624753;0.6348124744877032;0.3385816863866452;0.28099576831695455;0.12003012946880785;0.5413881841445469;0.08382172183020128;0.7452400354435562
1450;12910.016666666666;0.31070979053886033;0.28593758876842573;0.28716245864358775;0.495897086531887;0.11251186889389378;0.10419991055139798;0.10453197300252433;0.7956869332272232;0.359614870514618;0.36483112313819627;0.5322895250267452;0.28088438993581416;0.2247272429392517;0.1727459199276869;0.5463696901364989;0.08037419896015877;0.7994898090243444;0.6433718094169186;0.33818323985378296;0.2827626952688346;0.11544707000971816;0.5463696901364989;0.08037419896015877;0.7421909591063758
