ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1052.9444444444443;0.44388576147752823;0.6619599942905183;0.5104874521243242;0.4689648206579742;0.10861685774523928;0.1919249496160672;0.13556254821341376;0.7785320978254746;0.591233946085298;0.590880480215726;0.6684794624720842;0.5647988782732792;0.42651782391916365;0.07986992186118297;0.35533119986553774;0.22909337128385118;0.664294493010572;0.7014199376244638;0.5850256810402947;0.4498679025099315;0.05964311909416764;0.35533119986553774;0.22909337128385118;0.6440676902435566
100;1229.6666666666667;0.42436102372027223;0.6386035933630925;0.4818121384040592;0.5497006119998464;0.14922830759981787;0.272852305870537;0.18729510346892508;0.7840590440330382;0.6151709670377934;0.63139721150567;0.6427379844191218;0.6315849247287695;0.44988343975933387;0.09238448803990101;0.27603058723132956;0.298884251897811;0.6672993271690415;0.6825089371894103;0.6605276016379656;0.4823590586180317;0.06344181113070484;0.27603058723132956;0.298884251897811;0.6383566502598454
150;1200.9444444444443;0.4175678327096516;0.640452521386879;0.4812994951382843;0.5351684713956556;0.14065389508669582;0.2611941036872451;0.17839382291085645;0.7755556690691303;0.6108943055814399;0.6226820499278588;0.644677956077383;0.6217980675699787;0.44590953800474886;0.09225351870016632;0.285948413729855;0.28735497266600496;0.6655569050960263;0.6852522783129045;0.6503189436464123;0.4779754882242814;0.06373264262373267;0.285948413729855;0.28735497266600496;0.6370360290195927
200;1186.5555555555557;0.42349727241838653;0.6495728983663569;0.485940863057987;0.5307858409252835;0.13097436435886037;0.24424622387276992;0.16568748411691625;0.781475849168395;0.6126126364569818;0.6158788227986559;0.6528234464534459;0.6142476066112605;0.4471135101371376;0.08992545013913907;0.2958269432496003;0.27712465627738075;0.6628770496661203;0.6931029984502222;0.6424037970855528;0.4790683536920992;0.06176925966484675;0.2958269432496003;0.27712465627738075;0.6347208591918279
250;1208.888888888889;0.42949893826122687;0.6718967033630417;0.49956447112131896;0.5411732693926857;0.14525943183998594;0.270773482119941;0.18396621372550148;0.7881426059824393;0.6120015480266893;0.6257673835233537;0.6488504313788579;0.6180550197694605;0.44582252901352704;0.08959803673501893;0.29234694349552054;0.29050855894174216;0.6724535391722815;0.6870583157347037;0.6458904990877442;0.47712390967402146;0.06176255741673531;0.29234694349552054;0.29050855894174216;0.644618059853998
300;1196.6666666666667;0.42760976850399657;0.656101107823438;0.49311245588824065;0.5381376096385991;0.1435089690170835;0.2597776512335311;0.17969184311665118;0.7874243226435;0.615012050454054;0.6211260295661348;0.6538087858180816;0.6188870563476553;0.4489541553863395;0.09004741807370248;0.2910655255786423;0.28252529980120966;0.6636382434535544;0.6940282501910564;0.6477584282313699;0.481943698754143;0.06117604618998786;0.2910655255786423;0.28252529980120966;0.6347668715698398
350;1199.0;0.42600044766873735;0.6535478547676123;0.4913957329430996;0.5369854535706612;0.14747886707362204;0.2634841502403946;0.18397967807757812;0.7856180010665222;0.6153168495731327;0.6174185965759552;0.6552258608753807;0.6145869098710529;0.44968638110349457;0.09263261546287298;0.29278047466607415;0.26873595424960933;0.6541490443785566;0.6959940003099285;0.6443013929983171;0.483495301701798;0.06291813233560875;0.29278047466607415;0.26873595424960933;0.6244345612512922
400;1177.111111111111;0.4175186307058809;0.6515139567591698;0.4855542983940674;0.5205060023442354;0.1300947999730614;0.2331493928939448;0.16226686901879728;0.7769887555077936;0.6053460478546083;0.6028929508652077;0.6513294962144933;0.5991901967323907;0.43862179818855684;0.09425728580606954;0.3065525174615399;0.2696860280373638;0.6704958313049733;0.6898354179520686;0.6275863109945332;0.4704256570511373;0.06586117154392696;0.3065525174615399;0.2696860280373638;0.6420997170428306
450;1227.4166666666667;0.4125543793619741;0.6567966034479544;0.4823959515082271;0.5414230957388791;0.14689186135569665;0.273098677184174;0.18564904825631212;0.7907480775061279;0.6156370315832079;0.6260537761961188;0.6472755375557674;0.6249239759584035;0.4499251533528443;0.09521165577465762;0.2798643682669388;0.28784955964028064;0.662925583681877;0.6888555042787394;0.6558513235976815;0.48468640216172143;0.06428430813537972;0.2798643682669388;0.28784955964028064;0.6319982360425992
500;1223.8333333333333;0.4162182267372705;0.6640457495608335;0.49025487788746364;0.5370596946254392;0.1451959255410708;0.2691765614689696;0.18383186285443226;0.7888190172915602;0.6145664921039117;0.6255701805329115;0.6481046170293728;0.6182803788251522;0.4488352675060239;0.09888749301721293;0.2828321281576349;0.2728846585589001;0.6546042797337478;0.6915732641645906;0.6511066873495817;0.48566495887535754;0.06606118449278361;0.2828321281576349;0.2728846585589001;0.6217779712093185
550;1295.0277777777778;0.4051711340591044;0.6412189141971951;0.47238779906308637;0.5638625610650283;0.16272695114021707;0.3016409560784914;0.20535527170596057;0.793212096504292;0.6279615251810695;0.6464188528545516;0.6428100947193761;0.6528647178342969;0.46282689223816564;0.09494579593657385;0.2521894862291293;0.31183323983215006;0.6589685219978532;0.6841395377804351;0.6852721368312787;0.49919537264187575;0.06253837693959179;0.2521894862291293;0.31183323983215006;0.6265611030008711
600;1219.888888888889;0.4289297620960266;0.6573865300990803;0.4950866057597094;0.5450888648841384;0.15169909506271118;0.2702861698349141;0.18892704074172675;0.7953573850722563;0.6219865500356131;0.6336533577446056;0.6567804155706528;0.6252239309445673;0.4569074457028866;0.09332563621004936;0.2814504328453833;0.2693650325913238;0.6441411016467565;0.6994028278986671;0.6568108210205721;0.4928397955692285;0.061738746134044634;0.2814504328453833;0.2693650325913238;0.6125542115707517
650;1203.138888888889;0.4123699206834759;0.6583143291340593;0.4819100068649828;0.5434179557504789;0.14523143715419332;0.27182947156044324;0.18396070136072293;0.792088453797804;0.6114927273571609;0.6193041337570695;0.6497676124358536;0.6121802082641051;0.4457649825563073;0.09720566682183661;0.29061412491405836;0.26898754502975614;0.6568073367656511;0.6944681352210205;0.6444367995279477;0.4822764037148436;0.0649490755579938;0.29061412491405836;0.26898754502975614;0.6245507455018083
700;1200.5277777777778;0.43096799213625414;0.6649040363530258;0.4991244877138787;0.5428098077625427;0.1502886839411736;0.26899202358738394;0.1875546900358733;0.7959173096512574;0.6205598068206533;0.6306777919480955;0.6605042157475798;0.6183545247453209;0.4553032013434046;0.09449693878247492;0.2871485364722042;0.25622887624134977;0.6378743514960289;0.705489351780039;0.6516256920619223;0.49323424086090917;0.061225771465873505;0.2871485364722042;0.25622887624134977;0.6046031841794275
750;1216.0;0.41937977444622604;0.6586721724118302;0.4893826708772948;0.5451495160021788;0.14988212428224712;0.2718648761874744;0.18788519868581174;0.7924721681218796;0.6210747808044399;0.6321951046528446;0.6567824650958491;0.6211438241413495;0.45591502389200883;0.09427244722376173;0.28458372863488873;0.26280391180510987;0.6416600876637603;0.6997902444237104;0.6527049169744813;0.4919298623252244;0.06271135439063007;0.28458372863488873;0.26280391180510987;0.6100989948306288
800;1208.6944444444443;0.41686538183911254;0.6537645876591799;0.483833014737309;0.5557078343050738;0.15683968452173114;0.2868168814426628;0.19672749303631074;0.8004880796117805;0.619605260624108;0.637641915868804;0.6564297540796278;0.6220177796034512;0.45438801045819766;0.09479004482281345;0.28319217557373544;0.2658515672704409;0.6438337876669898;0.7005424099140598;0.6544815752676291;0.4911943893458506;0.06232624915863546;0.28319217557373544;0.2658515672704409;0.6113699920028118
850;1216.861111111111;0.3992867430916605;0.6458721431907075;0.46964342823028116;0.5486497849904679;0.14407132449492352;0.273198918043681;0.1834563384341331;0.7965394974131054;0.6120424046138875;0.62431271707235;0.6452179901502487;0.6175569544883686;0.4465349607897618;0.09921391904733395;0.28322912646429754;0.27549277146514745;0.6579358169767789;0.6927163823471195;0.6522855224302292;0.4858700627933903;0.06448535110547328;0.28322912646429754;0.27549277146514745;0.6232072490349183
900;1207.7777777777778;0.41567255837153216;0.6488113565583605;0.48254678736638446;0.545979299775593;0.15117513837673746;0.2749990816242036;0.18966718120748138;0.7912001666943211;0.6164855826500762;0.6246324702835732;0.653641367414216;0.6160163675853927;0.45101739855815404;0.09849868776861813;0.28548494464598917;0.26086215451669637;0.6448457869313038;0.7006683959111664;0.6513480364218636;0.4910461821178634;0.06316701893214732;0.28548494464598917;0.26086215451669637;0.609514118094833
950;1217.9166666666667;0.3994386642407959;0.6529513587818299;0.47277442753434495;0.5370662346928176;0.13647341439995844;0.2607558122420125;0.17452478970929147;0.7941283940056549;0.6092143714325806;0.6162567598230857;0.6428327528402442;0.6123262085798911;0.4433838622978329;0.10137405360840465;0.2862997378117045;0.27378662667546455;0.6614604180955737;0.6895897264684776;0.647648504105716;0.48285013754443046;0.06605175808257964;0.2862997378117045;0.27378662667546455;0.6261381225697487
1000;1203.0555555555557;0.4124270489691669;0.6598558671969518;0.48348802591232043;0.5441730609009912;0.14559559269922834;0.2739455748572246;0.1846927597899276;0.7974549943874274;0.6152820136169912;0.6295889556005273;0.6534060533810023;0.6160589440405873;0.4496827640529422;0.09613928771827067;0.28780176824114223;0.26671323976793926;0.6506542957273521;0.6981780227805839;0.6491921579416258;0.48709766729859116;0.06300607381723204;0.28780176824114223;0.26671323976793926;0.6175210818263136
1050;1243.388888888889;0.40583145300184936;0.6556209507954467;0.4778060955490094;0.5459793200344528;0.145454808591611;0.276312461695581;0.18544864785878076;0.7911367544868333;0.6172885710451247;0.6282830136919721;0.6456327398636723;0.6250172902864012;0.45195490039264896;0.10057324835310538;0.2744094613604934;0.27794249564336815;0.6529252053569669;0.6903766046481103;0.6594479174492445;0.4904542097680349;0.06614262119026208;0.2744094613604934;0.27794249564336815;0.6184945781941236
